Trading_Code,Sector
CROWNCEMNT,Cement
BSRMSTEEL,Engineering
MAGURAPLEX,PaperPrint
ASIATICLAB,Pharmaceuticals&Chemicals
EASTRNLUB,Power&Fuel
MTBPBOND,Corporate Bond
PREMIERBAN,Bank
DUTCHBANGL,Bank
PREMIERCEM,Cement
MONNOCERA,Ceramics
SIPLC,Insurance
BEXGSUKUK,Corporate Bond
HAMI,Miscellaneous
SJIBLPBOND,Corporate Bond
BARKAPOWER,Power&Fuel
SUMITPOWER,Power&Fuel
MPETROLEUM,Power&Fuel
PBLPBOND,Corporate Bond
BANKASI1PB,Corporate Bond
ABBLPBOND,Corporate Bond
HEIDELBCEM,Cement
CONFIDCEM,Cement
FUWANGCER,Miscellaneous
SBACBANK,Bank
DEBBDWELD,Debenture
MBPLCPBOND,Corporate Bond
IBBLPBOND,Corporate Bond
DEBBDLUGG,Debenture
DEBBXDENIM,Debenture
TECHNODRUG,Pharmaceuticals&Chemicals
BDWELDING,Engineering
DEBBXKNI,Debenture
DEBBXFISH,Debenture
DEBBDZIPP,Debenture
FIRSTSBANK,Bank
TILIL,Insurance
BSCPLC,Telecommunication
DEBBXTEX,Debenture
SEB1PBOND,Corporate Bond
NCCBANK,Bank
MEGHNACEM,Cement
SHARPIND,Engineering
SHAHJABANK,Bank
BPPL,PaperPrint
UCB2PBOND,Corporate Bond
LHB,Cement
ARAMITCEM,Cement
DEBARACEM,Debenture
PREBPBOND,Corporate Bond
APSCLBOND,Corporate Bond
AIBLPBOND,Corporate Bond
IBBL2PBOND,Corporate Bond
DBLPBOND,Corporate Bond
SOUTHEASTB,Bank
CAPITECGBF,MutualFunds
MIDLANDBNK,Bank
STANCERAM,Miscellaneous
CBLPBOND,Corporate Bond
RAKCERAMIC,Miscellaneous
SPCERAMICS,Miscellaneous
ONEBANKLTD,Bank
DSES,Index
DS30,Index
DSEX,Index
MICEMENT,Cement
NPOLYMAR,Miscellaneous
TAUFIKA,Engineering
UNITEDAIR,Travel&Lesiure
MONNOSTAF,Engineering
GLAXOSMITH,Pharmaceuticals&Chemicals
OLYMPIC ,Food&Allied
EASTLAND ,Insurance
AZIZPIPES ,Engineering
ARAMITCEM ,Cement
LAFSURCEML,Cement
QSMDRYCELL,Engineering
BRACSCBOND,Corporate Bond
CMCKAMAL,Engineering
UCBL,Bank
BEDL,Engineering
FLEASEINT,Financial Institutions
ACIZCBOND,Corporate Bond
FUWANGCER ,Ceramics
ULC,Engineering
ICBISLAMIC,MutualFunds
BDBUILDING,Engineering
MTBL,Bank
APEXADELFT,Tannery Industries
OCL,Cement
CTGVEG,Food&Allied
BOC,Pharmaceuticals&Chemicals
MONNOJTX,Jute
BEXTEX,Textile
KEYADETERG,Pharmaceuticals&Chemicals
FIDELASSET,Financial Institutions
DHAKAFISH,Food&Allied
GULFOODS,Food&Allied
PADMACEM,Cement
ALPHATOBA,Textile
NILOYCEM,Cement
QSMSILK,Textile
TBL,Bank
BLTC,Telecommunication
MODERNIND,Engineering
BDPLANT,Engineering
HILLPLANT,Engineering
BANGLAPRO,Food&Allied
BDONLINE,ITSector
SOCIALINV,Financial Institutions
DANDYDYE,Textile
MEGHNASHRM,Textile
EXCELSHOE,Tannery Industries
ROSEHEAVEN,Travel&Lesiure
RANGAFOOD,Food&Allied
ALAMINCHEM,Pharmaceuticals&Chemicals
ASHRAFTEX,Textile
LEXCO,Miscellaneous
MAQPAPER,PaperPrint
MAQENTER,Engineering
WONDERTOYS,Miscellaneous
SREEPURTEX,Textile
GACHIHATA,Food&Allied
MITATEX,Textile
QSMTEX,Textile
MODERNCEM,Cement
RAHMANCHEM,Pharmaceuticals&Chemicals
BDZIPPER,Engineering
BCIL,ITSector
BDDYE,Textile
TULIPDAIRY,Food&Allied
SAJIBKNIT,Textile
PADMAPRINT,PaperPrint
BDLUGGAGE,Engineering
BENGALFINE,Textile
PERFUMCHM,Pharmaceuticals&Chemicals
EAGLESTAR,Insurance
DYNAMICTEX,Textile
MONAFOOD,Food&Allied
MHOSSAIN,Engineering
BIONICFOOD,Food&Allied
SALEHCARPT,Miscellaneous
AMAMSEAFD,Food&Allied
METALEXCR,Engineering
BEMCO,Engineering
BXFISHERY,Food&Allied
SHINEPUKUR,Miscellaneous
PHARMACO,Pharmaceuticals&Chemicals
TRIPTI,Food&Allied
GBJVFOOD,Food&Allied
CHICTEX,Textile
BDHOTELS,Travel&Lesiure
RASPIT,ITSector
RASPITDATA,ITSector
PHENIXLETH,Tannery Industries
PETROSYNTH,Power&Fuel
