Trading_Code,Date,Open,High,Low,Close,Volume
AAMRANET,2025-04-08,22.4,22.5,22.2,22.3,123154.0
AAMRANET,2025-04-07,22.8,23.0,22.3,22.3,105056.0
AAMRANET,2025-04-06,22.4,22.7,22.2,22.3,84291.0
AAMRANET,2025-03-27,23.2,23.2,22.4,22.5,76706.0
AAMRANET,2025-03-25,22.9,22.9,22.5,22.8,55689.0
AAMRANET,2025-03-24,22.7,23.0,22.2,22.4,190104.0
AAMRANET,2025-03-23,23.0,23.2,22.5,22.6,247549.0
AAMRANET,2025-03-20,23.2,23.3,23.0,23.0,192443.0
AAMRANET,2025-03-19,23.2,23.3,22.9,23.0,228958.0
AAMRANET,2025-03-18,23.4,23.7,23.1,23.1,196617.0
AAMRANET,2025-03-17,23.1,23.4,23.1,23.2,172756.0
AAMRANET,2025-03-16,23.4,23.5,23.1,23.2,160975.0
AAMRANET,2025-03-13,23.5,23.6,23.4,23.4,58745.0
AAMRANET,2025-03-12,23.7,24.0,23.4,23.5,188831.0
AAMRANET,2025-03-11,23.7,23.8,23.4,23.5,136775.0
AAMRANET,2025-03-10,23.7,23.7,23.4,23.5,80255.0
AAMRANET,2025-03-09,23.8,23.8,23.4,23.5,137348.0
AAMRANET,2025-03-06,24.1,24.2,23.8,23.8,177260.0
AAMRANET,2025-03-05,24.1,24.2,23.9,24.0,71514.0
AAMRANET,2025-03-04,24.2,24.4,23.8,24.1,229755.0
AAMRANET,2025-03-03,24.0,24.4,23.9,24.0,226853.0
AAMRANET,2025-03-02,24.8,24.8,24.0,24.1,309992.0
AAMRANET,2025-02-27,23.8,25.1,23.8,24.7,784039.0
AAMRANET,2025-02-26,23.6,23.8,23.6,23.7,167585.0
AAMRANET,2025-02-25,23.5,23.8,23.4,23.5,378899.0
AAMRANET,2025-02-24,23.5,23.6,23.3,23.4,268187.0
AAMRANET,2025-02-23,23.5,23.8,23.5,23.5,140663.0
AAMRANET,2025-02-20,23.5,23.8,23.4,23.6,97195.0
AAMRANET,2025-02-19,24.0,24.0,23.3,23.4,174318.0
AAMRANET,2025-02-18,23.9,24.0,23.7,23.8,180752.0
AAMRANET,2025-02-17,23.9,24.2,23.8,23.9,327961.0
AAMRANET,2025-02-16,23.7,24.0,23.7,23.8,193806.0
AAMRANET,2025-02-13,23.5,23.9,23.1,23.6,297323.0
AAMRANET,2025-02-12,24.0,24.0,23.3,23.5,241060.0
AAMRANET,2025-02-11,23.5,24.2,23.4,23.9,427640.0
AAMRANET,2025-02-10,23.6,23.6,23.2,23.3,180188.0
AAMRANET,2025-02-09,23.9,23.9,23.5,23.6,168836.0
AAMRANET,2025-02-06,23.7,24.0,23.6,23.9,216747.0
AAMRANET,2025-02-05,23.5,23.9,23.4,23.7,238648.0
AAMRANET,2025-02-04,23.4,23.6,23.3,23.5,175921.0
AAMRANET,2025-02-03,23.2,23.6,23.2,23.5,162870.0
AAMRANET,2025-02-02,23.6,23.6,23.0,23.1,232202.0
AAMRANET,2025-01-30,24.2,24.2,23.3,23.5,221123.0
AAMRANET,2025-01-29,24.5,24.5,23.9,24.0,212138.0
AAMRANET,2025-01-28,24.5,24.6,24.3,24.3,128842.0
AAMRANET,2025-01-27,24.6,24.6,24.3,24.4,128907.0
AAMRANET,2025-01-26,25.0,25.0,24.3,24.4,398723.0
AAMRANET,2025-01-23,25.0,25.1,24.8,24.9,167729.0
AAMRANET,2025-01-22,24.9,25.5,24.9,24.9,466795.0
AAMRANET,2025-01-21,24.9,25.3,24.9,24.9,329663.0
AAMRANET,2025-01-20,24.6,25.0,24.6,24.8,323468.0
AAMRANET,2025-01-19,24.3,24.6,24.2,24.5,131284.0
AAMRANET,2025-01-16,24.4,24.8,24.2,24.4,292787.0
AAMRANET,2025-01-15,24.7,25.0,24.4,24.5,349304.0
AAMRANET,2025-01-14,24.9,25.4,24.6,24.7,229279.0
AAMRANET,2025-01-13,25.3,25.3,24.8,24.9,315081.0
AAMRANET,2025-01-12,25.9,25.9,25.1,25.2,303597.0
AAMRANET,2025-01-09,25.9,26.1,25.6,25.7,322953.0
AAMRANET,2025-01-08,25.7,25.9,25.6,25.8,254050.0
AAMRANET,2025-01-07,26.2,26.4,25.9,25.9,154537.0
AAMRANET,2025-01-06,25.8,26.1,25.4,26.0,576079.0
AAMRANET,2025-01-05,27.4,27.4,25.6,25.9,43035.0
AAMRANET,2025-01-02,26.6,26.8,25.9,26.1,360386.0
AAMRANET,2025-01-01,26.9,27.0,26.5,26.7,158286.0
AAMRANET,2024-12-30,27.1,27.1,26.6,26.8,183858.0
AAMRANET,2024-12-29,26.8,27.1,26.7,26.8,157652.0
AAMRANET,2024-12-26,27.3,27.3,26.9,27.0,46852.0
AAMRANET,2024-12-24,27.3,27.3,26.8,27.0,60622.0
AAMRANET,2024-12-23,27.3,27.5,26.8,26.8,210060.0
AAMRANET,2024-12-22,27.6,27.6,26.9,27.0,190723.0
AAMRANET,2024-12-19,27.6,27.8,27.1,27.2,213653.0
AAMRANET,2024-12-18,27.7,28.0,27.4,27.5,287384.0
AAMRANET,2024-12-17,27.6,27.9,27.4,27.4,292257.0
AAMRANET,2024-12-15,27.3,27.5,27.0,27.4,117315.0
AAMRANET,2024-12-12,27.1,27.7,26.9,27.0,200018.0
AAMRANET,2024-12-11,27.5,27.5,26.7,26.9,236818.0
AAMRANET,2024-12-10,27.8,27.8,27.4,27.5,108113.0
AAMRANET,2024-12-09,27.8,27.9,27.4,27.6,173889.0
AAMRANET,2024-12-08,27.5,27.5,27.0,27.3,248031.0
