Trading_Code,Date,Open,High,Low,Close,Volume
ABBANK,2025-04-08,7.0,7.1,7.0,7.0,573762.0
ABBANK,2025-04-07,7.1,7.2,7.0,7.0,991601.0
ABBANK,2025-04-06,7.1,7.1,7.0,7.1,890815.0
ABBANK,2025-03-27,7.2,7.2,7.0,7.1,967177.0
ABBANK,2025-03-25,7.2,7.3,7.1,7.1,417047.0
ABBANK,2025-03-24,7.2,7.2,7.1,7.2,834089.0
ABBANK,2025-03-23,7.3,7.3,7.2,7.2,795501.0
ABBANK,2025-03-20,7.3,7.3,7.2,7.3,824183.0
ABBANK,2025-03-19,7.3,7.4,7.2,7.3,980680.0
ABBANK,2025-03-18,7.3,7.6,7.2,7.3,1893323.0
ABBANK,2025-03-17,7.3,7.4,7.1,7.2,1837250.0
ABBANK,2025-03-16,7.4,7.4,7.3,7.3,867818.0
ABBANK,2025-03-13,7.4,7.5,7.3,7.4,1087730.0
ABBANK,2025-03-12,7.4,7.4,7.3,7.4,1413377.0
ABBANK,2025-03-11,7.4,7.5,7.3,7.4,706228.0
ABBANK,2025-03-10,7.2,7.5,7.2,7.4,521041.0
ABBANK,2025-03-09,7.5,7.6,7.3,7.4,790802.0
ABBANK,2025-03-06,7.5,7.7,7.4,7.5,1495853.0
ABBANK,2025-03-05,7.5,7.5,7.3,7.4,926272.0
ABBANK,2025-03-04,7.5,7.5,7.3,7.4,881901.0
ABBANK,2025-03-03,7.5,7.6,7.4,7.4,1327909.0
ABBANK,2025-03-02,7.7,7.8,7.5,7.5,1341118.0
ABBANK,2025-02-27,7.7,7.8,7.6,7.8,2549786.0
ABBANK,2025-02-26,8.1,8.2,7.7,7.8,2154625.0
ABBANK,2025-02-25,7.3,8.0,7.3,8.0,6883656.0
ABBANK,2025-02-24,7.4,7.4,7.3,7.3,911813.0
ABBANK,2025-02-23,7.3,7.4,7.3,7.4,509282.0
ABBANK,2025-02-20,7.3,7.3,7.2,7.3,682446.0
ABBANK,2025-02-19,7.4,7.4,7.2,7.3,967062.0
ABBANK,2025-02-18,7.4,7.5,7.3,7.3,960996.0
ABBANK,2025-02-17,7.5,7.6,7.4,7.4,579857.0
ABBANK,2025-02-16,7.4,7.5,7.4,7.5,682312.0
ABBANK,2025-02-13,7.4,7.5,7.3,7.4,589777.0
ABBANK,2025-02-12,7.4,7.5,7.3,7.4,461181.0
ABBANK,2025-02-11,7.4,7.5,7.3,7.4,751642.0
ABBANK,2025-02-10,7.4,7.4,7.3,7.3,420030.0
ABBANK,2025-02-09,7.4,7.5,7.3,7.4,758443.0
ABBANK,2025-02-06,7.6,7.6,7.4,7.4,644126.0
ABBANK,2025-02-05,7.3,7.6,7.2,7.5,1477993.0
ABBANK,2025-02-04,7.4,7.4,7.2,7.2,602322.0
ABBANK,2025-02-03,7.3,7.4,7.2,7.3,841601.0
ABBANK,2025-02-02,7.3,7.4,7.2,7.2,438202.0
ABBANK,2025-01-30,7.2,7.4,7.1,7.3,1612911.0
ABBANK,2025-01-29,7.2,7.2,7.1,7.1,404981.0
ABBANK,2025-01-28,7.2,7.3,7.2,7.2,193134.0
ABBANK,2025-01-27,7.3,7.3,7.1,7.2,729030.0
ABBANK,2025-01-26,7.3,7.3,7.2,7.2,694582.0
ABBANK,2025-01-23,7.4,7.5,7.3,7.3,430546.0
ABBANK,2025-01-22,7.5,7.5,7.4,7.4,416692.0
ABBANK,2025-01-21,7.5,7.6,7.4,7.5,570479.0
ABBANK,2025-01-20,7.3,7.5,7.2,7.5,961902.0
ABBANK,2025-01-19,7.4,7.4,7.2,7.3,520288.0
ABBANK,2025-01-16,7.5,7.5,7.3,7.4,866070.0
ABBANK,2025-01-15,7.6,7.6,7.4,7.4,741077.0
ABBANK,2025-01-14,7.5,7.7,7.5,7.5,583164.0
ABBANK,2025-01-13,7.7,7.7,7.5,7.5,1390137.0
ABBANK,2025-01-12,7.7,7.8,7.6,7.6,831941.0
ABBANK,2025-01-09,7.7,7.8,7.7,7.7,426680.0
ABBANK,2025-01-08,7.9,7.9,7.7,7.7,878610.0
ABBANK,2025-01-07,8.0,8.1,7.9,7.9,1698799.0
ABBANK,2025-01-06,8.0,8.0,7.9,8.0,799248.0
ABBANK,2025-01-05,8.1,8.2,7.9,8.0,1299086.0
ABBANK,2025-01-02,7.8,8.2,7.7,8.1,3379881.0
ABBANK,2025-01-01,7.9,7.9,7.7,7.7,503252.0
ABBANK,2024-12-30,7.9,7.9,7.7,7.7,381367.0
ABBANK,2024-12-29,7.7,7.9,7.7,7.8,691342.0
ABBANK,2024-12-26,7.7,7.8,7.6,7.7,730931.0
ABBANK,2024-12-24,7.6,7.8,7.5,7.7,896308.0
ABBANK,2024-12-23,7.6,7.6,7.5,7.6,798677.0
ABBANK,2024-12-22,7.6,7.7,7.5,7.5,621545.0
ABBANK,2024-12-19,7.6,7.7,7.6,7.6,238250.0
ABBANK,2024-12-18,7.7,7.8,7.6,7.6,611815.0
ABBANK,2024-12-17,7.7,7.9,7.6,7.7,982755.0
ABBANK,2024-12-15,7.7,7.8,7.6,7.7,457464.0
ABBANK,2024-12-12,7.7,7.8,7.7,7.7,429039.0
ABBANK,2024-12-11,7.8,7.9,7.7,7.7,1100370.0
ABBANK,2024-12-10,7.9,7.9,7.7,7.8,801722.0
ABBANK,2024-12-09,7.8,7.9,7.7,7.7,1425234.0
ABBANK,2024-12-08,7.8,7.9,7.7,7.8,773866.0
ABBANK,2024-12-05,7.9,8.0,7.8,7.8,638488.0
ABBANK,2024-12-04,7.9,8.1,7.9,7.9,1412019.0
ABBANK,2024-12-03,8.0,8.0,7.8,7.9,1411734.0
ABBANK,2024-12-02,8.0,8.1,7.8,7.9,1517137.0
ABBANK,2024-12-01,8.0,8.1,7.9,8.0,1349430.0
ABBANK,2024-11-28,8.0,8.3,8.0,8.0,2070892.0
ABBANK,2024-11-27,7.7,8.1,7.7,8.0,1680647.0
ABBANK,2024-11-26,7.7,7.8,7.6,7.7,985361.0
ABBANK,2024-11-25,7.8,7.8,7.7,7.7,811525.0
ABBANK,2024-11-24,7.8,7.8,7.7,7.7,698856.0
ABBANK,2024-11-21,7.8,7.9,7.7,7.8,599816.0
ABBANK,2024-11-20,7.9,8.0,7.7,7.8,747638.0
ABBANK,2024-11-19,7.9,8.0,7.7,7.8,1419258.0
ABBANK,2024-11-18,8.0,8.1,7.8,7.9,1440524.0
ABBANK,2024-11-17,8.3,8.3,7.9,8.0,1406086.0
ABBANK,2024-11-14,8.1,8.4,8.0,8.1,2344399.0
ABBANK,2024-11-13,8.0,8.1,7.9,8.0,1351219.0
ABBANK,2024-11-12,8.1,8.3,7.9,8.0,2059270.0
ABBANK,2024-11-11,7.8,8.2,7.8,8.1,1561076.0
ABBANK,2024-11-10,8.1,8.2,7.9,7.9,1841173.0
ABBANK,2024-11-07,8.3,8.4,8.0,8.1,3163734.0
ABBANK,2024-11-06,8.5,8.7,8.2,8.3,4621920.0
ABBANK,2024-11-05,7.8,8.4,7.7,8.4,5933733.0
ABBANK,2024-11-04,7.6,7.8,7.4,7.7,2406969.0
ABBANK,2024-11-03,7.5,7.8,7.5,7.6,2553179.0
ABBANK,2024-10-31,7.9,7.9,7.5,7.6,3055791.0
ABBANK,2024-10-30,7.6,7.9,7.4,7.8,2749598.0
ABBANK,2024-10-29,7.2,7.5,7.0,7.4,2306649.0
ABBANK,2024-10-28,7.6,7.6,7.1,7.1,2387724.0
ABBANK,2024-10-27,8.1,8.2,7.5,7.6,1903542.0
ABBANK,2024-10-24,8.3,8.3,8.0,8.1,1838703.0
ABBANK,2024-10-23,8.4,8.6,8.2,8.3,2297382.0
ABBANK,2024-10-22,8.3,8.5,8.3,8.4,1414881.0
ABBANK,2024-10-21,8.4,8.5,8.1,8.3,1501106.0
ABBANK,2024-10-20,8.7,8.8,8.3,8.4,1727737.0
ABBANK,2024-10-17,8.8,8.9,8.6,8.7,1757902.0
ABBANK,2024-10-16,8.9,9.0,8.8,8.8,1427891.0
ABBANK,2024-10-15,8.8,9.0,8.7,8.9,2475534.0
ABBANK,2024-10-14,9.1,9.1,8.8,8.8,1656574.0
ABBANK,2024-10-09,8.9,9.1,8.8,9.0,2996923.0
ABBANK,2024-10-08,9.1,9.1,8.8,8.9,2383977.0
ABBANK,2024-10-07,9.2,9.2,8.9,9.0,2326910.0
ABBANK,2024-10-06,9.3,9.5,9.0,9.0,2173733.0
ABBANK,2024-10-03,9.4,9.5,9.1,9.3,2182257.0
ABBANK,2024-10-02,9.2,9.5,8.9,9.3,3346064.0
ABBANK,2024-10-01,9.4,9.5,9.1,9.2,3857615.0
ABBANK,2024-09-30,9.7,9.8,9.3,9.3,3371024.0
ABBANK,2024-09-29,9.9,10.2,9.6,9.7,4380923.0
ABBANK,2024-09-26,9.1,10.1,9.1,9.9,7843367.0
ABBANK,2024-09-25,9.5,9.8,9.2,9.2,5699635.0
ABBANK,2024-09-24,10.0,10.2,9.4,9.5,6222500.0
ABBANK,2024-09-23,9.6,10.2,9.5,9.9,8042907.0
ABBANK,2024-09-22,9.3,9.9,9.2,9.5,8308195.0
ABBANK,2024-09-19,9.4,9.6,9.3,9.3,3451773.0
ABBANK,2024-09-18,8.8,9.5,8.7,9.4,6796639.0
ABBANK,2024-09-17,8.9,9.1,8.7,8.8,2414501.0
ABBANK,2024-09-15,9.2,9.3,8.8,8.9,2811991.0
ABBANK,2024-09-12,9.4,9.4,9.1,9.1,2074559.0
ABBANK,2024-09-11,9.6,9.6,9.2,9.2,2845335.0
ABBANK,2024-09-10,9.5,9.5,9.2,9.5,3108724.0
ABBANK,2024-09-09,9.8,9.9,9.2,9.4,5043014.0
ABBANK,2024-09-08,10.0,10.2,9.8,9.9,3832625.0
ABBANK,2024-09-05,9.8,10.2,9.7,10.0,5062486.0
ABBANK,2024-09-04,10.0,10.1,9.8,9.8,2856058.0
ABBANK,2024-09-03,10.0,10.2,9.9,10.0,3410995.0
ABBANK,2024-09-02,10.1,10.3,9.8,10.0,6130602.0
ABBANK,2024-09-01,10.3,10.5,10.0,10.1,4925321.0
ABBANK,2024-08-29,9.9,10.4,9.8,10.3,4730375.0
ABBANK,2024-08-28,10.0,10.4,9.9,10.1,5159681.0
ABBANK,2024-08-27,10.5,10.5,10.2,10.2,5028087.0
ABBANK,2024-08-25,10.8,11.0,10.3,10.5,6576795.0
ABBANK,2024-08-22,9.6,10.7,9.6,10.6,10918395.0
ABBANK,2024-08-21,9.8,9.9,9.8,9.8,2045412.0
ABBANK,2024-08-20,10.1,10.7,10.1,10.1,5827144.0
ABBANK,2024-08-19,10.4,10.8,10.4,10.4,10561386.0
ABBANK,2024-08-18,10.8,10.8,10.7,10.7,436498.0
ABBANK,2024-08-15,11.3,11.3,11.0,11.0,10684364.0
ABBANK,2024-08-14,11.5,12.3,11.2,11.3,18362667.0
ABBANK,2024-08-13,11.5,11.7,10.5,11.5,23030906.0
ABBANK,2024-08-12,10.8,10.8,10.1,10.8,22729951.0
ABBANK,2024-08-11,9.9,9.9,9.5,9.9,14764750.0
ABBANK,2024-08-08,9.0,9.0,8.4,9.0,2715604.0
ABBANK,2024-08-07,8.2,8.2,7.7,8.2,7558602.0
ABBANK,2024-08-06,7.5,7.5,7.3,7.5,5370240.0
ABBANK,2024-08-04,6.9,7.0,6.9,6.9,102657.0
ABBANK,2024-08-01,7.1,7.1,7.1,7.1,1757363.0
ABBANK,2024-07-31,7.4,7.4,7.2,7.3,2920934.0
ABBANK,2024-07-30,7.4,7.5,7.4,7.4,669460.0
ABBANK,2024-07-29,7.8,7.9,7.6,7.6,2542060.0
ABBANK,2024-07-28,7.6,8.0,7.5,7.8,5236314.0
ABBANK,2024-07-25,7.2,7.6,7.1,7.5,2015147.0
ABBANK,2024-07-24,7.3,7.4,7.3,7.3,1583822.0
ABBANK,2024-07-18,7.6,7.6,7.4,7.5,2201270.0
ABBANK,2024-07-16,7.5,7.7,7.3,7.6,3592827.0
ABBANK,2024-07-15,7.5,7.8,7.5,7.5,2181120.0
ABBANK,2024-07-14,7.6,7.8,7.6,7.6,3070433.0
ABBANK,2024-07-11,8.0,8.1,7.8,7.8,4506385.0
ABBANK,2024-07-10,7.9,8.4,7.8,8.0,10681706.0
ABBANK,2024-07-09,7.8,7.9,7.4,7.8,3175456.0
ABBANK,2024-07-08,7.9,7.9,7.6,7.6,6594565.0
ABBANK,2024-07-07,7.5,8.0,7.2,7.8,5952351.0
ABBANK,2024-07-04,7.0,7.5,7.0,7.4,4965166.0
ABBANK,2024-07-03,6.7,7.1,6.6,7.0,4470710.0
ABBANK,2024-07-02,6.7,6.8,6.6,6.6,1124510.0
ABBANK,2024-06-30,6.8,6.8,6.6,6.7,1436322.0
ABBANK,2024-06-27,6.7,6.9,6.7,6.8,1327716.0
ABBANK,2024-06-26,6.8,6.9,6.7,6.8,1091562.0
ABBANK,2024-06-25,6.7,6.9,6.6,6.8,1670588.0
ABBANK,2024-06-24,7.0,7.0,6.8,6.8,2209836.0
ABBANK,2024-06-23,7.1,7.2,6.9,7.0,1394964.0
