Trading_Code,Date,Open,High,Low,Close,Volume
ACFL,2025-04-08,17.4,17.8,17.0,17.5,55904.0
ACFL,2025-04-07,18.0,18.0,17.3,17.3,35887.0
ACFL,2025-04-06,17.8,17.8,16.8,17.6,15863.0
ACFL,2025-03-27,17.8,18.1,17.7,18.0,201202.0
ACFL,2025-03-25,18.1,18.1,17.8,17.9,27462.0
ACFL,2025-03-24,17.5,18.2,17.5,18.1,93770.0
ACFL,2025-03-23,18.3,18.3,17.7,17.7,135232.0
ACFL,2025-03-20,18.2,18.5,18.1,18.3,205559.0
ACFL,2025-03-19,18.7,18.7,18.2,18.3,158740.0
ACFL,2025-03-18,18.4,18.6,18.2,18.5,305644.0
ACFL,2025-03-17,18.0,18.6,17.7,17.9,123816.0
ACFL,2025-03-16,18.3,18.3,17.5,17.7,77597.0
ACFL,2025-03-13,18.2,18.5,17.9,18.2,62913.0
ACFL,2025-03-12,18.0,18.0,17.7,17.9,41684.0
ACFL,2025-03-11,17.5,17.9,17.5,17.7,34947.0
ACFL,2025-03-10,17.6,17.9,17.6,17.7,25104.0
ACFL,2025-03-09,17.9,17.9,17.6,17.6,29088.0
ACFL,2025-03-06,18.0,18.0,17.4,17.5,130102.0
ACFL,2025-03-05,17.8,18.3,17.8,18.0,18443.0
ACFL,2025-03-04,18.2,18.3,18.0,18.1,126846.0
ACFL,2025-03-03,18.7,19.0,18.2,18.4,199809.0
ACFL,2025-03-02,19.5,19.5,18.7,18.9,204891.0
ACFL,2025-02-27,19.4,19.6,19.0,19.1,628211.0
ACFL,2025-02-26,19.0,19.6,18.9,19.3,929022.0
ACFL,2025-02-25,18.0,18.9,18.0,18.7,446458.0
ACFL,2025-02-24,17.5,18.7,17.5,18.4,610154.0
ACFL,2025-02-23,17.4,17.6,17.3,17.4,67563.0
ACFL,2025-02-20,17.6,17.6,17.2,17.4,107705.0
ACFL,2025-02-19,17.5,17.6,17.2,17.3,82782.0
ACFL,2025-02-18,17.9,17.9,17.4,17.4,108147.0
ACFL,2025-02-17,17.8,17.9,17.4,17.5,223917.0
ACFL,2025-02-16,17.9,18.0,17.5,17.6,87491.0
ACFL,2025-02-13,17.5,18.2,17.5,18.0,163162.0
ACFL,2025-02-12,17.7,17.7,17.3,17.6,110552.0
ACFL,2025-02-11,17.5,18.0,17.2,17.4,126337.0
ACFL,2025-02-10,17.2,17.7,17.1,17.1,68940.0
ACFL,2025-02-09,17.9,17.9,17.3,17.4,38923.0
ACFL,2025-02-06,17.9,18.0,17.2,17.7,103902.0
ACFL,2025-02-05,17.2,17.6,17.0,17.5,144020.0
ACFL,2025-02-04,17.0,17.0,16.9,17.0,47562.0
ACFL,2025-02-03,16.9,17.2,16.8,16.9,47964.0
ACFL,2025-02-02,16.8,17.3,16.5,16.8,121375.0
ACFL,2025-01-30,17.3,17.6,16.7,16.8,349688.0
ACFL,2025-01-29,18.1,18.3,17.8,17.9,119135.0
ACFL,2025-01-28,18.3,18.4,18.0,18.1,104757.0
ACFL,2025-01-27,18.5,18.6,18.2,18.4,73295.0
ACFL,2025-01-26,18.4,18.7,18.2,18.4,195469.0
ACFL,2025-01-23,18.2,18.5,18.1,18.4,64558.0
ACFL,2025-01-22,18.6,18.6,17.4,18.3,183289.0
ACFL,2025-01-21,18.4,19.0,18.3,18.4,141233.0
ACFL,2025-01-20,18.4,18.5,18.0,18.2,85868.0
ACFL,2025-01-19,17.9,18.7,17.9,18.1,111959.0
ACFL,2025-01-16,19.0,19.0,18.2,18.3,103448.0
ACFL,2025-01-15,18.6,19.0,18.5,18.8,118927.0
ACFL,2025-01-14,18.6,19.2,18.6,18.8,443298.0
ACFL,2025-01-13,18.1,18.5,18.0,18.4,163427.0
ACFL,2025-01-12,18.5,18.6,18.2,18.2,64852.0
ACFL,2025-01-09,17.9,19.1,17.9,18.6,478881.0
ACFL,2025-01-08,17.5,18.0,17.5,17.9,135894.0
ACFL,2025-01-07,18.2,18.3,17.5,17.6,39028.0
ACFL,2025-01-06,17.6,18.0,17.6,17.8,41530.0
ACFL,2025-01-05,18.0,18.0,17.5,17.6,39469.0
ACFL,2025-01-02,17.5,18.3,17.5,18.1,157638.0
ACFL,2025-01-01,18.0,18.0,17.5,17.5,28207.0
ACFL,2024-12-30,17.7,18.0,17.6,17.6,26023.0
ACFL,2024-12-29,17.7,18.0,17.6,17.7,17179.0
ACFL,2024-12-26,17.6,18.1,17.4,18.0,43731.0
ACFL,2024-12-24,17.9,17.9,17.7,17.7,54240.0
ACFL,2024-12-23,17.7,18.2,17.7,17.8,12110.0
ACFL,2024-12-22,17.8,18.2,17.8,18.0,34999.0
ACFL,2024-12-19,18.6,18.9,17.7,18.5,93494.0
ACFL,2024-12-18,19.0,19.4,18.2,18.3,235848.0
ACFL,2024-12-17,19.2,19.5,19.1,19.1,137949.0
ACFL,2024-12-15,19.5,19.6,19.1,19.3,142091.0
ACFL,2024-12-12,18.8,19.5,18.4,19.3,384361.0
ACFL,2024-12-11,18.6,19.3,18.5,18.8,314084.0
ACFL,2024-12-10,18.2,18.6,18.1,18.5,80623.0
ACFL,2024-12-09,18.5,18.5,18.1,18.2,37753.0
ACFL,2024-12-08,17.8,18.4,17.8,18.2,29295.0
ACFL,2024-12-05,18.2,18.6,18.0,18.1,103781.0
ACFL,2024-12-04,18.7,18.8,18.1,18.2,89877.0
ACFL,2024-12-03,18.9,18.9,18.3,18.4,82063.0
ACFL,2024-12-02,18.6,19.2,18.2,18.4,177246.0
ACFL,2024-12-01,18.0,19.0,18.0,18.6,223214.0
ACFL,2024-11-28,18.7,18.8,17.9,18.1,234662.0
ACFL,2024-11-27,0.0,0.0,0.0,19.0,0.0
ACFL,2024-11-26,19.4,19.5,18.7,19.0,221300.0
ACFL,2024-11-25,18.9,19.2,18.4,18.9,169024.0
ACFL,2024-11-24,17.8,19.1,17.8,18.9,231477.0
ACFL,2024-11-21,18.9,19.0,17.7,18.0,223926.0
ACFL,2024-11-20,19.1,19.4,17.7,18.9,295610.0
ACFL,2024-11-19,19.1,19.3,18.9,19.2,153726.0
ACFL,2024-11-18,19.6,19.7,19.1,19.3,143441.0
ACFL,2024-11-17,18.6,19.6,18.6,19.6,703978.0
ACFL,2024-11-14,17.5,18.1,17.4,17.9,137568.0
ACFL,2024-11-13,16.6,17.8,16.6,16.9,23098.0
ACFL,2024-11-12,17.5,17.5,16.9,17.1,22722.0
ACFL,2024-11-11,17.5,17.5,17.0,17.1,38461.0
ACFL,2024-11-10,17.3,17.4,17.0,17.2,57101.0
ACFL,2024-11-07,16.9,17.3,16.8,17.0,92932.0
ACFL,2024-11-06,16.9,17.6,16.9,17.1,27802.0
ACFL,2024-11-05,17.3,17.7,17.2,17.4,90273.0
ACFL,2024-11-04,17.5,17.5,16.2,17.1,85264.0
ACFL,2024-11-03,16.8,16.9,16.4,16.5,60850.0
ACFL,2024-10-31,17.3,17.3,16.6,16.8,36433.0
ACFL,2024-10-30,17.0,17.4,16.2,16.9,113651.0
ACFL,2024-10-29,16.8,16.8,16.0,16.6,86585.0
ACFL,2024-10-28,15.0,15.7,15.0,15.5,56619.0
ACFL,2024-10-27,16.7,16.7,15.1,15.2,32060.0
ACFL,2024-10-24,16.7,16.7,15.3,15.4,11302.0
ACFL,2024-10-23,16.3,16.3,15.7,15.9,25000.0
ACFL,2024-10-22,16.5,16.5,15.6,15.8,21180.0
ACFL,2024-10-21,15.6,16.9,15.6,15.8,30265.0
ACFL,2024-10-20,17.5,17.5,15.5,15.8,14302.0
ACFL,2024-10-17,17.4,17.4,16.5,17.1,20186.0
ACFL,2024-10-16,17.5,17.5,16.7,17.0,6853.0
ACFL,2024-10-15,17.6,17.6,17.1,17.1,14046.0
ACFL,2024-10-14,17.8,17.8,17.0,17.3,24730.0
ACFL,2024-10-09,17.8,17.8,17.0,17.6,22460.0
ACFL,2024-10-08,17.2,17.9,16.8,17.3,2850.0
ACFL,2024-10-07,17.9,17.9,17.2,17.2,13569.0
ACFL,2024-10-06,19.0,19.0,17.2,17.4,14829.0
ACFL,2024-10-03,17.9,17.9,16.8,17.3,11000.0
ACFL,2024-10-02,15.6,17.6,15.6,17.2,64910.0
ACFL,2024-10-01,16.5,17.8,16.5,16.7,4154.0
ACFL,2024-09-30,18.5,18.5,17.0,17.4,13146.0
ACFL,2024-09-29,18.5,18.5,16.9,17.7,2204.0
ACFL,2024-09-26,16.5,18.9,16.5,17.2,58018.0
ACFL,2024-09-25,19.1,19.1,18.2,18.3,18410.0
ACFL,2024-09-24,19.2,19.2,18.3,18.6,37720.0
ACFL,2024-09-23,18.1,19.6,18.1,19.2,10698.0
ACFL,2024-09-22,19.6,19.7,19.4,19.4,93409.0
ACFL,2024-09-19,19.5,19.5,18.8,19.3,127184.0
ACFL,2024-09-18,18.7,19.4,18.3,19.0,71552.0
ACFL,2024-09-17,18.6,18.8,18.4,18.5,38688.0
ACFL,2024-09-15,18.8,18.9,18.2,18.8,33161.0
ACFL,2024-09-12,18.3,18.7,18.2,18.6,20093.0
ACFL,2024-09-11,18.2,18.5,18.2,18.3,68008.0
ACFL,2024-09-10,18.3,18.3,18.0,18.1,5503.0
ACFL,2024-09-09,18.4,18.4,17.9,18.0,42847.0
ACFL,2024-09-08,18.0,19.0,18.0,18.2,41009.0
ACFL,2024-09-05,19.9,19.9,18.5,18.6,25866.0
ACFL,2024-09-04,18.7,18.9,18.5,18.5,62241.0
ACFL,2024-09-03,19.5,19.5,18.9,19.0,52650.0
ACFL,2024-09-02,19.8,19.8,19.1,19.4,118831.0
ACFL,2024-09-01,19.9,19.9,19.0,19.3,57365.0
ACFL,2024-08-29,19.0,19.7,19.0,19.2,126474.0
ACFL,2024-08-28,19.2,19.4,19.0,19.2,64841.0
ACFL,2024-08-27,19.5,19.5,18.5,19.0,53798.0
ACFL,2024-08-25,18.7,19.3,18.6,18.9,72744.0
ACFL,2024-08-22,18.3,19.5,18.0,18.9,757400.0
ACFL,2024-08-21,18.4,19.3,18.1,18.1,63095.0
ACFL,2024-08-20,18.3,19.8,18.3,18.6,30531.0
ACFL,2024-08-19,19.9,19.9,18.7,18.8,24569.0
ACFL,2024-08-18,19.1,19.4,18.9,18.9,131437.0
ACFL,2024-08-15,19.5,20.0,19.1,19.4,114079.0
ACFL,2024-08-14,20.2,20.4,19.5,19.6,112680.0
ACFL,2024-08-13,19.5,21.0,19.2,20.0,460959.0
ACFL,2024-08-12,19.7,20.5,19.7,19.7,189091.0
ACFL,2024-08-11,21.8,22.0,20.2,20.3,448096.0
ACFL,2024-08-08,19.9,21.0,19.1,20.8,224201.0
ACFL,2024-08-07,19.7,19.7,18.3,19.6,110209.0
ACFL,2024-08-06,18.5,18.5,17.5,18.5,86330.0
ACFL,2024-08-04,16.9,17.0,16.9,16.9,9413.0
ACFL,2024-08-01,17.8,17.8,17.1,17.4,21183.0
ACFL,2024-07-31,17.2,18.0,17.1,17.2,39184.0
ACFL,2024-07-30,17.6,18.0,17.6,17.6,124763.0
ACFL,2024-07-29,17.9,18.2,17.8,18.1,557431.0
ACFL,2024-07-28,18.8,18.8,18.3,18.3,89268.0
ACFL,2024-07-25,18.5,18.9,18.1,18.8,81959.0
ACFL,2024-07-24,18.5,18.8,18.4,18.6,116579.0
ACFL,2024-07-18,18.6,19.1,18.5,18.9,134779.0
ACFL,2024-07-16,19.6,19.7,18.9,18.9,174851.0
ACFL,2024-07-15,20.0,20.4,19.4,19.4,275593.0
ACFL,2024-07-14,18.6,20.2,18.0,19.9,732051.0
ACFL,2024-07-11,18.7,19.3,18.4,18.4,182274.0
ACFL,2024-07-10,19.8,19.9,18.9,18.9,516498.0
ACFL,2024-07-09,18.8,19.7,18.0,19.4,419342.0
ACFL,2024-07-08,18.2,18.8,18.2,18.5,477927.0
ACFL,2024-07-07,18.5,19.6,18.3,18.7,273606.0
ACFL,2024-07-04,17.0,18.2,17.0,18.2,562938.0
ACFL,2024-07-03,16.2,16.9,16.2,16.6,118414.0
ACFL,2024-07-02,16.3,16.8,16.3,16.4,83058.0
ACFL,2024-06-30,17.0,17.1,16.4,16.7,390468.0
ACFL,2024-06-27,16.6,17.2,16.4,16.8,280182.0
ACFL,2024-06-26,16.5,16.7,16.3,16.4,193337.0
ACFL,2024-06-25,16.9,16.9,16.1,16.2,52056.0
ACFL,2024-06-24,17.1,17.1,16.2,16.4,45844.0
ACFL,2024-06-23,17.5,17.5,16.4,16.7,27009.0
ACFL,2024-06-20,17.2,17.3,16.7,16.7,29606.0
ACFL,2024-06-19,16.5,17.4,16.4,17.1,100652.0
ACFL,2024-06-13,17.8,17.8,16.6,16.6,110117.0
ACFL,2024-06-12,16.5,17.7,16.5,17.1,98910.0
ACFL,2024-06-11,17.0,17.8,16.9,16.9,44038.0
ACFL,2024-06-10,17.6,17.6,17.3,17.4,28230.0
ACFL,2024-06-09,19.7,19.7,17.8,17.8,42109.0
ACFL,2024-06-06,18.1,18.5,18.0,18.3,87343.0
ACFL,2024-06-05,18.8,18.9,18.2,18.5,39074.0
ACFL,2024-06-04,18.8,19.9,18.5,18.7,75586.0
ACFL,2024-06-03,18.5,18.6,17.8,18.4,15476.0
ACFL,2024-06-02,18.0,19.3,17.8,18.0,14325.0
ACFL,2024-05-30,17.5,18.3,17.3,17.7,104515.0
ACFL,2024-05-29,17.7,17.7,17.7,17.7,30001.0
ACFL,2024-05-28,19.0,19.0,18.2,18.2,201707.0
ACFL,2024-05-27,17.9,18.9,17.7,18.7,48071.0
ACFL,2024-05-26,18.4,18.4,17.9,17.9,75951.0
ACFL,2024-05-23,18.5,19.2,18.4,18.4,79470.0
ACFL,2024-05-21,19.7,19.8,18.8,18.9,249704.0
ACFL,2024-05-20,18.9,19.6,18.2,19.0,63617.0
ACFL,2024-05-19,18.9,19.2,18.7,18.7,51017.0
ACFL,2024-05-16,20.4,20.4,19.2,19.2,22691.0
ACFL,2024-05-15,20.9,20.9,19.7,19.7,45919.0
ACFL,2024-05-14,21.3,21.3,20.3,20.3,25723.0
ACFL,2024-05-13,21.8,21.8,20.3,20.9,63912.0
ACFL,2024-05-12,21.4,21.4,20.7,20.9,144244.0
ACFL,2024-05-09,20.0,21.5,19.9,20.8,194608.0
ACFL,2024-05-08,20.4,21.0,20.2,20.5,146206.0
ACFL,2024-05-07,22.3,22.5,20.4,20.5,250144.0
ACFL,2024-05-06,19.4,21.0,19.2,21.0,240546.0
ACFL,2024-05-05,18.5,19.3,18.5,19.1,146661.0
ACFL,2024-05-02,18.7,19.1,18.7,18.7,17358.0
ACFL,2024-04-30,19.0,19.9,18.5,19.2,121866.0
ACFL,2024-04-29,20.4,20.4,19.0,19.0,33536.0
ACFL,2024-04-28,20.0,20.0,18.7,19.5,111729.0
ACFL,2024-04-25,19.7,19.8,18.5,19.2,56120.0
ACFL,2024-04-24,20.0,20.0,18.8,19.0,61657.0
ACFL,2024-04-23,20.9,20.9,19.1,19.7,83406.0
