Trading_Code,Date,Open,High,Low,Close,Volume
ACI,2025-04-08,201.8,204.9,199.1,200.7,392652.0
ACI,2025-04-07,199.4,207.8,198.9,201.9,715499.0
ACI,2025-04-06,180.1,199.0,180.1,197.5,259623.0
ACI,2025-03-27,181.9,185.0,179.4,183.9,160287.0
ACI,2025-03-25,180.0,182.3,179.0,181.2,155612.0
ACI,2025-03-24,178.3,182.0,178.1,179.9,177280.0
ACI,2025-03-23,173.8,179.5,173.1,178.3,171638.0
ACI,2025-03-20,170.7,174.1,170.7,173.8,121041.0
ACI,2025-03-19,169.0,174.9,167.7,170.7,95807.0
ACI,2025-03-18,165.3,168.9,165.3,168.3,36418.0
ACI,2025-03-17,165.6,168.5,165.5,166.7,31710.0
ACI,2025-03-16,166.8,169.0,165.0,168.2,37393.0
ACI,2025-03-13,167.0,167.4,164.7,167.0,32201.0
ACI,2025-03-12,163.2,168.3,161.1,167.3,32546.0
ACI,2025-03-11,167.3,170.9,160.0,163.2,71519.0
ACI,2025-03-10,164.1,169.0,164.0,167.9,49072.0
ACI,2025-03-09,172.8,172.8,164.0,164.1,33693.0
ACI,2025-03-06,167.0,169.0,165.2,165.5,15952.0
ACI,2025-03-05,168.0,168.4,165.0,167.6,30333.0
ACI,2025-03-04,169.8,169.8,166.0,166.4,48243.0
ACI,2025-03-03,167.0,174.0,167.0,168.6,105086.0
ACI,2025-03-02,159.7,171.9,159.7,169.6,191564.0
ACI,2025-02-27,156.5,159.5,156.5,159.2,57805.0
ACI,2025-02-26,155.0,158.8,155.0,156.2,69104.0
ACI,2025-02-25,155.7,156.0,155.0,155.4,26989.0
ACI,2025-02-24,153.1,155.9,153.1,155.2,67993.0
ACI,2025-02-23,151.9,153.3,151.9,153.1,30812.0
ACI,2025-02-20,150.5,153.0,150.5,151.9,48829.0
ACI,2025-02-19,152.1,153.8,152.0,152.8,50239.0
ACI,2025-02-18,153.1,153.8,152.9,152.9,53752.0
ACI,2025-02-17,151.2,153.0,151.2,153.0,49694.0
ACI,2025-02-16,152.0,153.3,152.0,152.6,61457.0
ACI,2025-02-13,153.8,154.0,152.0,153.3,73378.0
ACI,2025-02-12,153.0,154.7,151.2,153.9,71819.0
ACI,2025-02-11,151.8,154.9,151.8,153.4,108335.0
ACI,2025-02-10,147.7,153.4,147.7,151.6,56233.0
ACI,2025-02-09,147.7,150.0,147.1,149.7,69739.0
ACI,2025-02-06,147.2,148.0,146.9,147.7,22144.0
ACI,2025-02-05,146.4,148.5,146.4,147.2,44966.0
ACI,2025-02-04,147.5,147.9,146.7,146.9,45689.0
ACI,2025-02-03,147.0,148.8,146.6,147.4,54032.0
ACI,2025-02-02,149.1,150.0,147.0,147.1,55450.0
ACI,2025-01-30,150.0,151.0,149.0,149.4,52812.0
ACI,2025-01-29,147.5,150.5,147.2,150.2,87107.0
ACI,2025-01-28,147.9,149.9,147.3,147.8,43870.0
ACI,2025-01-27,149.7,150.4,147.0,147.5,67349.0
ACI,2025-01-26,149.4,151.0,147.0,147.6,44243.0
ACI,2025-01-23,145.2,150.2,145.0,149.4,142920.0
ACI,2025-01-22,149.8,149.9,145.1,146.2,52027.0
ACI,2025-01-21,148.3,149.6,147.0,147.5,61743.0
ACI,2025-01-20,152.0,152.3,148.0,148.3,131883.0
ACI,2025-01-19,154.0,154.0,149.7,150.4,108071.0
ACI,2025-01-16,153.2,153.7,149.7,150.1,43625.0
ACI,2025-01-15,148.4,153.9,147.6,153.2,227227.0
ACI,2025-01-14,148.5,151.0,148.1,148.4,30500.0
ACI,2025-01-13,150.0,152.5,146.4,148.0,69328.0
ACI,2025-01-12,153.5,154.0,148.8,149.3,83953.0
ACI,2025-01-09,152.9,155.2,150.1,153.5,84673.0
ACI,2025-01-08,146.0,151.0,146.0,149.9,95071.0
ACI,2025-01-07,145.0,148.6,145.0,147.7,135027.0
ACI,2025-01-06,145.7,147.0,144.0,146.4,87021.0
ACI,2025-01-05,142.7,145.7,142.1,145.0,87184.0
ACI,2025-01-02,140.4,143.2,139.7,142.7,72338.0
ACI,2025-01-01,143.0,143.0,139.0,139.7,31433.0
ACI,2024-12-30,139.3,140.0,139.2,139.6,22176.0
ACI,2024-12-29,141.9,142.0,139.1,139.7,28156.0
ACI,2024-12-26,139.8,141.0,138.6,140.6,15296.0
ACI,2024-12-24,140.0,142.0,139.1,140.9,22949.0
ACI,2024-12-23,141.0,144.4,141.0,141.2,62869.0
ACI,2024-12-22,137.0,142.5,136.1,141.0,182813.0
ACI,2024-12-19,136.0,139.2,135.4,137.4,49714.0
ACI,2024-12-18,137.9,138.5,136.1,136.7,47026.0
ACI,2024-12-17,139.1,141.9,137.5,138.7,96820.0
ACI,2024-12-15,136.0,142.0,135.2,141.1,119624.0
ACI,2024-12-12,132.6,137.9,132.6,137.4,173828.0
ACI,2024-12-11,134.3,134.5,132.3,132.6,37677.0
ACI,2024-12-10,132.3,135.0,130.9,134.3,102040.0
ACI,2024-12-09,129.9,132.2,127.9,131.4,81364.0
ACI,2024-12-08,128.0,129.3,126.0,128.4,28602.0
ACI,2024-12-05,128.7,130.7,127.7,128.0,24188.0
ACI,2024-12-04,128.0,133.0,127.1,129.5,82404.0
ACI,2024-12-03,129.1,129.5,127.8,128.2,46173.0
ACI,2024-12-02,130.0,131.0,128.0,129.1,85790.0
ACI,2024-12-01,128.8,131.0,127.4,129.9,68443.0
ACI,2024-11-28,124.7,128.5,124.7,128.4,136009.0
ACI,2024-11-27,129.7,129.7,124.4,124.7,14464.0
ACI,2024-11-26,123.3,126.0,123.3,124.4,73412.0
ACI,2024-11-25,122.6,124.9,122.5,124.1,45914.0
ACI,2024-11-24,122.5,124.7,121.9,122.3,34011.0
ACI,2024-11-21,120.8,123.7,120.7,121.4,22116.0
ACI,2024-11-20,123.7,123.7,120.0,120.5,40430.0
ACI,2024-11-19,127.9,127.9,123.0,123.5,53958.0
ACI,2024-11-18,117.1,128.5,117.0,127.0,96347.0
ACI,2024-11-17,0.0,0.0,0.0,147.8,0.0
ACI,2024-11-14,148.8,149.0,145.8,147.8,74164.0
ACI,2024-11-13,145.4,147.0,143.9,145.5,62894.0
ACI,2024-11-12,144.2,148.3,144.0,145.3,53098.0
ACI,2024-11-11,143.0,144.9,138.1,144.1,28624.0
ACI,2024-11-10,140.6,143.0,140.2,142.0,30013.0
ACI,2024-11-07,144.0,145.0,140.3,142.5,34880.0
ACI,2024-11-06,143.4,149.9,136.1,143.0,52164.0
ACI,2024-11-05,136.8,144.9,136.8,142.5,76635.0
ACI,2024-11-04,130.9,136.0,129.0,135.1,42291.0
ACI,2024-11-03,135.2,135.2,130.0,130.9,61648.0
ACI,2024-10-31,138.5,139.7,130.1,135.1,81810.0
ACI,2024-10-30,129.1,139.5,127.6,138.5,66888.0
ACI,2024-10-29,119.0,129.8,119.0,127.0,129009.0
ACI,2024-10-28,122.1,122.1,112.0,114.7,23525.0
ACI,2024-10-27,121.0,121.7,115.0,117.0,19474.0
ACI,2024-10-24,124.0,124.0,118.9,121.0,17768.0
ACI,2024-10-23,122.0,124.0,120.7,121.3,18893.0
ACI,2024-10-22,120.4,128.6,119.4,120.5,38228.0
ACI,2024-10-21,124.0,126.9,117.7,119.0,53197.0
ACI,2024-10-20,130.9,131.1,120.0,121.4,23179.0
ACI,2024-10-17,136.9,137.5,130.0,130.8,19995.0
ACI,2024-10-16,140.9,141.0,128.0,132.2,45584.0
