Trading_Code,Date,Open,High,Low,Close,Volume
ACIFORMULA,2025-04-08,134.0,135.8,133.0,134.2,38633.0
ACIFORMULA,2025-04-07,135.0,138.8,132.5,134.8,87694.0
ACIFORMULA,2025-04-06,126.3,137.0,126.3,135.4,43594.0
ACIFORMULA,2025-03-27,128.4,130.4,128.0,128.1,7226.0
ACIFORMULA,2025-03-25,130.0,130.3,128.1,129.7,14260.0
ACIFORMULA,2025-03-24,128.4,130.8,128.4,129.9,39755.0
ACIFORMULA,2025-03-23,126.0,129.7,126.0,128.3,44293.0
ACIFORMULA,2025-03-20,125.4,126.5,125.4,126.1,10018.0
ACIFORMULA,2025-03-19,125.4,126.7,125.2,125.4,25024.0
ACIFORMULA,2025-03-18,126.4,126.4,125.3,125.4,16541.0
ACIFORMULA,2025-03-17,125.2,126.7,125.1,125.2,13459.0
ACIFORMULA,2025-03-16,125.9,126.2,125.3,125.4,11365.0
ACIFORMULA,2025-03-13,126.1,126.4,126.0,126.1,16512.0
ACIFORMULA,2025-03-12,125.6,126.6,125.4,126.0,7874.0
ACIFORMULA,2025-03-11,125.0,126.8,125.0,126.5,13847.0
ACIFORMULA,2025-03-10,126.8,126.8,124.3,125.4,22487.0
ACIFORMULA,2025-03-09,127.0,128.5,125.0,125.6,25555.0
ACIFORMULA,2025-03-06,128.4,129.0,127.0,127.1,13945.0
ACIFORMULA,2025-03-05,127.0,129.4,126.0,128.4,18400.0
ACIFORMULA,2025-03-04,131.5,131.5,126.7,127.0,31276.0
ACIFORMULA,2025-03-03,128.5,133.4,128.5,131.7,84670.0
ACIFORMULA,2025-03-02,127.8,131.0,127.3,130.1,87381.0
ACIFORMULA,2025-02-27,126.9,127.9,125.6,127.5,23335.0
ACIFORMULA,2025-02-26,122.5,127.9,122.5,126.0,29449.0
ACIFORMULA,2025-02-25,127.7,127.7,124.4,126.0,28124.0
ACIFORMULA,2025-02-24,127.9,127.9,124.8,126.6,12199.0
ACIFORMULA,2025-02-23,124.6,126.5,124.5,125.8,33967.0
ACIFORMULA,2025-02-20,124.2,126.0,124.0,125.2,22274.0
ACIFORMULA,2025-02-19,124.0,125.0,123.5,125.0,10408.0
ACIFORMULA,2025-02-18,125.9,125.9,124.1,124.3,25537.0
ACIFORMULA,2025-02-17,125.0,125.0,123.7,123.9,29808.0
ACIFORMULA,2025-02-16,124.0,125.9,124.0,124.2,24924.0
ACIFORMULA,2025-02-13,125.0,125.9,124.4,124.4,31219.0
ACIFORMULA,2025-02-12,127.9,127.9,124.2,125.6,42236.0
ACIFORMULA,2025-02-11,129.8,129.8,125.2,125.8,24489.0
ACIFORMULA,2025-02-10,124.5,130.0,124.5,128.0,87536.0
ACIFORMULA,2025-02-09,124.5,125.1,120.5,124.4,40738.0
ACIFORMULA,2025-02-06,122.8,124.0,121.6,123.5,39282.0
ACIFORMULA,2025-02-05,120.3,122.3,120.3,120.8,13736.0
ACIFORMULA,2025-02-04,122.9,122.9,120.8,120.9,16219.0
ACIFORMULA,2025-02-03,123.0,123.1,121.5,122.7,25357.0
ACIFORMULA,2025-02-02,122.0,124.9,121.0,121.4,60989.0
ACIFORMULA,2025-01-30,121.0,121.1,118.2,118.5,10733.0
ACIFORMULA,2025-01-29,120.3,121.0,118.7,120.9,12517.0
ACIFORMULA,2025-01-28,118.5,120.6,118.2,120.3,35140.0
ACIFORMULA,2025-01-27,118.0,120.9,117.6,119.5,19315.0
ACIFORMULA,2025-01-26,119.4,120.0,117.1,119.4,19513.0
ACIFORMULA,2025-01-23,120.9,120.9,117.5,118.4,13700.0
ACIFORMULA,2025-01-22,117.5,120.7,117.1,117.8,20394.0
ACIFORMULA,2025-01-21,117.6,120.8,117.1,119.7,28351.0
ACIFORMULA,2025-01-20,114.2,116.8,113.8,116.4,16631.0
ACIFORMULA,2025-01-19,115.5,115.6,113.3,114.4,16957.0
ACIFORMULA,2025-01-16,116.7,116.7,114.7,115.2,1876.0
ACIFORMULA,2025-01-15,117.5,117.5,114.0,114.9,6523.0
ACIFORMULA,2025-01-14,115.6,116.3,115.0,115.6,10662.0
ACIFORMULA,2025-01-13,116.2,116.2,114.8,115.4,21260.0
ACIFORMULA,2025-01-12,118.0,118.0,116.1,116.6,7889.0
ACIFORMULA,2025-01-09,117.0,117.9,117.0,117.3,4611.0
ACIFORMULA,2025-01-08,117.8,117.8,116.7,117.0,6464.0
ACIFORMULA,2025-01-07,116.1,118.9,116.1,117.6,10128.0
ACIFORMULA,2025-01-06,116.0,117.5,115.5,116.1,17603.0
ACIFORMULA,2025-01-05,118.9,118.9,115.9,116.2,6132.0
ACIFORMULA,2025-01-02,118.8,119.1,116.0,117.0,14176.0
ACIFORMULA,2025-01-01,119.0,119.5,118.4,118.5,8215.0
ACIFORMULA,2024-12-30,118.7,121.0,118.7,119.1,7338.0
ACIFORMULA,2024-12-29,119.6,120.8,118.8,119.3,31622.0
ACIFORMULA,2024-12-26,120.5,120.6,119.3,119.6,20763.0
ACIFORMULA,2024-12-24,120.0,121.8,120.0,120.4,3217.0
ACIFORMULA,2024-12-23,123.0,123.0,120.1,120.3,4632.0
ACIFORMULA,2024-12-22,121.4,121.9,120.0,120.6,8926.0
ACIFORMULA,2024-12-19,122.0,122.3,120.5,121.5,10021.0
ACIFORMULA,2024-12-18,122.6,123.9,120.8,121.1,16548.0
ACIFORMULA,2024-12-17,122.8,123.5,122.0,122.9,41538.0
ACIFORMULA,2024-12-15,123.0,123.0,119.8,120.3,33250.0
ACIFORMULA,2024-12-12,120.0,123.0,119.3,121.8,16223.0
ACIFORMULA,2024-12-11,122.2,122.2,118.1,120.0,19981.0
ACIFORMULA,2024-12-10,120.7,122.0,120.7,121.0,11878.0
ACIFORMULA,2024-12-09,120.8,121.9,119.9,120.2,20206.0
ACIFORMULA,2024-12-08,120.0,120.8,119.6,119.9,17265.0
ACIFORMULA,2024-12-05,122.1,122.7,120.5,120.7,21948.0
ACIFORMULA,2024-12-04,123.1,123.8,122.2,122.6,22229.0
ACIFORMULA,2024-12-03,123.2,124.0,122.8,123.0,33777.0
ACIFORMULA,2024-12-02,125.0,125.0,123.3,123.6,27804.0
ACIFORMULA,2024-12-01,124.2,124.9,122.7,124.3,19183.0
ACIFORMULA,2024-11-28,121.6,126.9,121.5,125.7,42194.0
ACIFORMULA,2024-11-27,124.1,124.1,120.5,121.6,14081.0
ACIFORMULA,2024-11-26,124.0,124.0,119.2,120.8,14885.0
ACIFORMULA,2024-11-25,121.4,121.4,120.0,120.5,12315.0
ACIFORMULA,2024-11-24,123.7,123.7,118.3,121.3,7761.0
ACIFORMULA,2024-11-21,126.0,126.0,120.1,123.7,12617.0
ACIFORMULA,2024-11-20,124.0,125.0,119.3,120.6,77681.0
ACIFORMULA,2024-11-19,131.0,131.0,122.0,124.3,23142.0
ACIFORMULA,2024-11-18,124.9,132.2,124.4,129.5,200328.0
ACIFORMULA,2024-11-17,0.0,0.0,0.0,120.2,0.0
ACIFORMULA,2024-11-14,120.0,121.5,120.0,120.2,38732.0
ACIFORMULA,2024-11-13,120.0,120.0,118.2,119.6,13272.0
ACIFORMULA,2024-11-12,125.0,128.0,118.6,119.6,19800.0
ACIFORMULA,2024-11-11,118.3,122.0,118.3,119.4,10471.0
ACIFORMULA,2024-11-10,131.9,131.9,117.6,118.2,8709.0
ACIFORMULA,2024-11-07,122.1,124.4,121.0,121.4,14076.0
ACIFORMULA,2024-11-06,126.9,127.2,122.8,125.1,20690.0
ACIFORMULA,2024-11-05,117.9,128.7,117.5,126.9,73505.0
ACIFORMULA,2024-11-04,117.8,117.9,114.1,117.0,15662.0
ACIFORMULA,2024-11-03,115.4,118.9,113.2,115.1,19676.0
ACIFORMULA,2024-10-31,115.0,119.5,112.1,115.1,21345.0
ACIFORMULA,2024-10-30,114.9,119.5,113.9,119.2,13939.0
ACIFORMULA,2024-10-29,109.0,120.2,108.0,113.6,29306.0
ACIFORMULA,2024-10-28,110.5,114.9,110.1,111.5,13413.0
ACIFORMULA,2024-10-27,126.5,126.5,114.0,114.4,22467.0
ACIFORMULA,2024-10-24,122.0,122.0,116.3,117.3,8866.0
ACIFORMULA,2024-10-23,123.0,123.0,117.1,117.1,11234.0
ACIFORMULA,2024-10-22,120.0,124.0,119.1,122.7,13325.0
ACIFORMULA,2024-10-21,114.3,121.0,112.8,119.0,24502.0
ACIFORMULA,2024-10-20,118.3,118.3,114.0,114.3,14162.0
ACIFORMULA,2024-10-17,121.0,121.0,117.1,118.3,11793.0
ACIFORMULA,2024-10-16,124.9,124.9,120.9,121.0,4093.0
ACIFORMULA,2024-10-15,123.0,123.0,120.8,121.7,6881.0
ACIFORMULA,2024-10-14,125.9,126.2,122.8,123.6,8577.0
ACIFORMULA,2024-10-09,120.8,126.5,120.8,124.9,4424.0
ACIFORMULA,2024-10-08,124.3,124.3,120.0,122.2,8495.0
ACIFORMULA,2024-10-07,125.5,126.9,124.5,125.0,6480.0
ACIFORMULA,2024-10-06,125.2,129.0,125.0,125.5,8707.0
ACIFORMULA,2024-10-03,124.4,129.0,121.3,125.7,9998.0
ACIFORMULA,2024-10-02,127.4,129.7,125.0,125.6,7141.0
ACIFORMULA,2024-10-01,130.4,132.0,128.1,128.8,16588.0
ACIFORMULA,2024-09-30,131.6,132.0,130.5,130.8,11154.0
ACIFORMULA,2024-09-29,134.5,134.5,130.8,131.6,17377.0
ACIFORMULA,2024-09-26,133.8,135.2,131.7,131.9,22350.0
