Trading_Code,Date,Open,High,Low,Close,Volume
ADVENT,2025-04-08,16.3,16.4,16.0,16.1,291570.0
ADVENT,2025-04-07,16.5,16.5,16.2,16.3,245113.0
ADVENT,2025-04-06,16.3,16.3,15.9,16.2,218138.0
ADVENT,2025-03-27,16.3,16.4,16.2,16.2,113734.0
ADVENT,2025-03-25,16.2,16.4,16.1,16.2,184539.0
ADVENT,2025-03-24,16.2,16.5,16.1,16.2,207051.0
ADVENT,2025-03-23,16.7,16.7,16.4,16.4,182271.0
ADVENT,2025-03-20,16.7,16.7,16.5,16.6,379792.0
ADVENT,2025-03-19,16.7,16.7,16.4,16.6,202358.0
ADVENT,2025-03-18,16.5,16.7,16.5,16.6,286865.0
ADVENT,2025-03-17,16.9,16.9,16.5,16.5,445445.0
ADVENT,2025-03-16,16.3,16.9,16.3,16.7,632726.0
ADVENT,2025-03-13,16.1,16.5,16.1,16.3,166913.0
ADVENT,2025-03-12,16.4,16.4,16.0,16.2,206798.0
ADVENT,2025-03-11,16.5,16.5,16.1,16.1,178157.0
ADVENT,2025-03-10,15.9,16.3,15.9,16.2,196129.0
ADVENT,2025-03-09,16.8,17.0,15.8,16.1,441163.0
ADVENT,2025-03-06,17.0,17.0,16.7,16.8,276555.0
ADVENT,2025-03-05,16.9,17.0,16.6,16.9,581392.0
ADVENT,2025-03-04,16.8,17.3,16.6,16.7,1095746.0
ADVENT,2025-03-03,16.3,16.9,16.2,16.8,725203.0
ADVENT,2025-03-02,16.2,16.4,16.1,16.2,327310.0
ADVENT,2025-02-27,16.4,16.4,16.1,16.2,317867.0
ADVENT,2025-02-26,16.2,16.4,16.1,16.3,517758.0
ADVENT,2025-02-25,16.0,16.2,16.0,16.1,310702.0
ADVENT,2025-02-24,16.0,16.2,15.9,16.1,313289.0
ADVENT,2025-02-23,16.0,16.2,15.8,16.0,243542.0
ADVENT,2025-02-20,15.6,16.0,15.4,15.9,340694.0
ADVENT,2025-02-19,15.8,15.8,15.5,15.5,186204.0
ADVENT,2025-02-18,15.8,16.0,15.7,15.7,223909.0
ADVENT,2025-02-17,16.0,16.0,15.8,15.8,140273.0
ADVENT,2025-02-16,16.2,16.2,15.8,15.9,232320.0
ADVENT,2025-02-13,15.7,16.2,15.6,16.0,511818.0
ADVENT,2025-02-12,15.6,15.9,15.6,15.8,168265.0
ADVENT,2025-02-11,15.5,15.8,15.5,15.6,240381.0
ADVENT,2025-02-10,15.7,15.7,15.4,15.5,577957.0
ADVENT,2025-02-09,16.0,16.0,15.6,15.8,555944.0
ADVENT,2025-02-06,16.0,16.4,15.8,16.0,887326.0
ADVENT,2025-02-05,15.6,16.1,15.3,15.9,986947.0
ADVENT,2025-02-04,15.9,16.0,15.3,15.4,382072.0
ADVENT,2025-02-03,15.8,16.1,15.6,15.7,477276.0
ADVENT,2025-02-02,15.0,15.8,15.0,15.7,360363.0
ADVENT,2025-01-30,15.4,15.7,15.0,15.1,391223.0
ADVENT,2025-01-29,15.9,15.9,15.5,15.6,409194.0
ADVENT,2025-01-28,16.0,16.2,15.7,15.8,679317.0
ADVENT,2025-01-27,16.0,16.2,16.0,16.0,491859.0
ADVENT,2025-01-26,16.4,16.5,16.0,16.1,529342.0
ADVENT,2025-01-23,16.3,16.4,16.1,16.2,364381.0
ADVENT,2025-01-22,16.4,16.5,16.3,16.3,508465.0
ADVENT,2025-01-21,16.4,16.9,16.4,16.5,669718.0
ADVENT,2025-01-20,16.2,16.5,16.2,16.4,807754.0
