Trading_Code,Date,Open,High,Low,Close,Volume
AFCAGRO,2025-04-08,9.8,9.9,9.6,9.7,46886.0
AFCAGRO,2025-04-07,9.9,9.9,9.7,9.8,70345.0
AFCAGRO,2025-04-06,10.2,10.2,9.9,10.0,42954.0
AFCAGRO,2025-03-27,10.3,10.3,10.1,10.2,25693.0
AFCAGRO,2025-03-25,10.3,10.3,10.1,10.2,11687.0
AFCAGRO,2025-03-24,10.0,10.1,10.0,10.1,56072.0
AFCAGRO,2025-03-23,10.2,10.3,10.0,10.0,69967.0
AFCAGRO,2025-03-20,10.0,10.3,10.0,10.2,92595.0
AFCAGRO,2025-03-19,9.9,10.2,9.9,10.0,67869.0
AFCAGRO,2025-03-18,10.0,10.2,9.8,10.0,76031.0
AFCAGRO,2025-03-17,9.8,10.0,9.7,9.8,81650.0
AFCAGRO,2025-03-16,10.0,10.2,9.8,9.9,110230.0
AFCAGRO,2025-03-13,10.0,10.4,10.0,10.2,52306.0
AFCAGRO,2025-03-12,10.2,10.3,10.0,10.1,136773.0
AFCAGRO,2025-03-11,10.0,10.4,10.0,10.2,57668.0
AFCAGRO,2025-03-10,10.0,10.3,9.9,10.0,122759.0
AFCAGRO,2025-03-09,10.5,10.5,10.2,10.2,67899.0
AFCAGRO,2025-03-06,10.7,10.7,10.3,10.4,38910.0
AFCAGRO,2025-03-05,10.6,10.7,10.2,10.3,82300.0
AFCAGRO,2025-03-04,11.1,11.1,10.4,10.5,365930.0
AFCAGRO,2025-03-03,11.5,11.7,10.7,10.9,215830.0
AFCAGRO,2025-03-02,10.5,11.5,10.5,11.2,1040874.0
AFCAGRO,2025-02-27,9.9,10.7,9.9,10.5,368118.0
AFCAGRO,2025-02-26,10.0,10.0,9.8,9.9,32398.0
AFCAGRO,2025-02-25,10.0,10.2,9.8,9.9,141759.0
AFCAGRO,2025-02-24,10.1,10.1,9.9,10.0,182227.0
AFCAGRO,2025-02-23,9.9,10.1,9.9,10.0,118518.0
AFCAGRO,2025-02-20,9.8,9.9,9.7,9.8,60195.0
AFCAGRO,2025-02-19,9.7,9.8,9.6,9.7,157416.0
AFCAGRO,2025-02-18,9.8,9.9,9.7,9.8,56578.0
AFCAGRO,2025-02-17,9.8,9.9,9.7,9.8,64212.0
AFCAGRO,2025-02-16,10.2,10.3,9.7,9.8,113171.0
AFCAGRO,2025-02-13,10.1,10.3,9.9,10.0,203572.0
AFCAGRO,2025-02-12,9.4,10.3,9.4,10.0,647524.0
AFCAGRO,2025-02-11,9.4,9.5,9.3,9.4,153669.0
AFCAGRO,2025-02-10,9.4,9.4,9.3,9.3,74470.0
AFCAGRO,2025-02-09,9.4,9.4,9.2,9.2,25108.0
AFCAGRO,2025-02-06,9.2,9.4,9.0,9.3,305886.0
AFCAGRO,2025-02-05,9.1,9.6,9.1,9.3,108624.0
AFCAGRO,2025-02-04,9.2,9.2,8.9,9.0,71598.0
AFCAGRO,2025-02-03,9.2,9.2,9.0,9.1,85585.0
AFCAGRO,2025-02-02,8.8,9.2,8.8,9.1,126905.0
AFCAGRO,2025-01-30,9.3,9.5,8.6,8.8,97649.0
AFCAGRO,2025-01-29,9.6,9.6,8.6,8.8,132398.0
AFCAGRO,2025-01-28,9.0,9.3,8.9,8.9,89098.0
AFCAGRO,2025-01-27,9.4,9.4,8.9,8.9,47706.0
AFCAGRO,2025-01-26,9.3,9.3,9.1,9.1,65429.0
AFCAGRO,2025-01-23,9.2,9.6,9.0,9.3,155354.0
AFCAGRO,2025-01-22,9.5,9.5,9.3,9.4,101393.0
AFCAGRO,2025-01-21,10.0,10.0,9.3,9.5,58218.0
AFCAGRO,2025-01-20,9.8,9.8,9.2,9.5,150399.0
AFCAGRO,2025-01-19,9.6,9.9,9.3,9.4,58651.0
AFCAGRO,2025-01-16,10.3,10.5,9.5,9.7,112410.0
AFCAGRO,2025-01-15,9.6,10.2,9.6,9.8,533691.0
AFCAGRO,2025-01-14,9.4,9.7,9.3,9.4,206783.0
AFCAGRO,2025-01-13,9.2,9.2,9.2,9.2,2482.0
