Trading_Code,Date,Open,High,Low,Close,Volume
AFTABAUTO,2025-04-08,32.8,32.8,32.2,32.3,87201.0
AFTABAUTO,2025-04-07,32.7,32.9,32.2,32.3,143756.0
AFTABAUTO,2025-04-06,33.0,33.3,32.7,32.7,179331.0
AFTABAUTO,2025-03-27,33.7,33.7,33.1,33.3,57538.0
AFTABAUTO,2025-03-25,34.0,34.0,33.2,33.4,126706.0
AFTABAUTO,2025-03-24,34.0,34.3,33.6,33.8,70610.0
AFTABAUTO,2025-03-23,34.0,34.7,33.7,33.8,175692.0
AFTABAUTO,2025-03-20,32.6,34.4,32.5,34.0,325100.0
AFTABAUTO,2025-03-19,32.5,32.7,32.1,32.4,153754.0
AFTABAUTO,2025-03-18,32.8,32.8,32.2,32.3,118931.0
AFTABAUTO,2025-03-17,33.6,33.9,32.3,32.6,319607.0
AFTABAUTO,2025-03-16,34.5,34.5,33.0,33.6,305996.0
AFTABAUTO,2025-03-13,34.8,34.8,33.9,34.1,163837.0
AFTABAUTO,2025-03-12,34.4,34.8,34.2,34.5,123743.0
AFTABAUTO,2025-03-11,34.6,34.6,34.0,34.1,78532.0
AFTABAUTO,2025-03-10,34.7,34.7,33.6,34.2,175798.0
AFTABAUTO,2025-03-09,34.5,34.9,34.4,34.5,139192.0
AFTABAUTO,2025-03-06,34.8,35.0,34.6,34.7,94699.0
AFTABAUTO,2025-03-05,34.8,35.0,34.6,34.6,143520.0
AFTABAUTO,2025-03-04,35.1,35.5,34.6,34.7,156260.0
AFTABAUTO,2025-03-03,35.8,35.9,34.9,35.1,230749.0
AFTABAUTO,2025-03-02,35.0,35.7,35.0,35.5,254489.0
AFTABAUTO,2025-02-27,34.7,35.1,34.7,34.9,171887.0
AFTABAUTO,2025-02-26,34.9,35.1,34.7,34.7,155025.0
AFTABAUTO,2025-02-25,34.9,35.0,34.6,34.7,197585.0
AFTABAUTO,2025-02-24,34.9,35.2,34.6,34.6,244393.0
AFTABAUTO,2025-02-23,35.0,35.3,34.9,35.0,218660.0
AFTABAUTO,2025-02-20,35.4,35.4,34.6,34.8,147308.0
AFTABAUTO,2025-02-19,35.8,35.8,34.6,34.7,270320.0
AFTABAUTO,2025-02-18,36.1,36.3,35.4,35.5,375944.0
AFTABAUTO,2025-02-17,36.1,36.3,35.9,36.0,323402.0
AFTABAUTO,2025-02-16,36.0,36.2,35.6,35.9,320633.0
AFTABAUTO,2025-02-13,36.4,36.4,35.8,35.9,299229.0
AFTABAUTO,2025-02-12,35.1,36.0,35.1,35.7,312755.0
AFTABAUTO,2025-02-11,35.1,35.3,34.9,35.1,312245.0
AFTABAUTO,2025-02-10,35.0,35.3,34.7,34.9,338888.0
AFTABAUTO,2025-02-09,35.7,35.9,34.8,34.9,232653.0
AFTABAUTO,2025-02-06,35.5,36.0,34.5,35.8,614994.0
AFTABAUTO,2025-02-05,34.3,35.3,33.7,35.0,665831.0
AFTABAUTO,2025-02-04,36.2,36.2,34.9,35.1,1209073.0
