Trading_Code,Date,Open,High,Low,Close,Volume
AGNISYSL,2025-04-08,28.2,28.3,27.6,27.7,2163219.0
AGNISYSL,2025-04-07,27.5,28.3,27.4,28.0,2851664.0
AGNISYSL,2025-04-06,27.1,27.5,26.7,27.3,1031487.0
AGNISYSL,2025-03-27,27.2,27.4,27.1,27.3,550100.0
AGNISYSL,2025-03-25,27.0,27.6,27.0,27.2,607592.0
AGNISYSL,2025-03-24,27.3,27.4,26.9,27.0,663666.0
AGNISYSL,2025-03-23,27.8,27.8,27.0,27.2,949217.0
AGNISYSL,2025-03-20,27.2,28.2,27.2,27.7,2030291.0
AGNISYSL,2025-03-19,26.8,27.1,26.5,27.0,1019368.0
AGNISYSL,2025-03-18,27.0,27.0,26.6,26.7,682827.0
AGNISYSL,2025-03-17,27.1,27.1,26.6,26.8,643245.0
AGNISYSL,2025-03-16,27.1,27.3,26.8,26.9,637494.0
AGNISYSL,2025-03-13,27.6,27.7,27.0,27.1,916771.0
AGNISYSL,2025-03-12,27.1,27.5,27.1,27.4,1072621.0
AGNISYSL,2025-03-11,27.1,27.1,26.6,26.9,499941.0
AGNISYSL,2025-03-10,26.9,27.1,26.2,26.6,1042248.0
AGNISYSL,2025-03-09,27.1,27.3,26.8,26.9,677588.0
AGNISYSL,2025-03-06,27.3,27.6,27.2,27.3,634908.0
AGNISYSL,2025-03-05,27.2,27.4,26.9,27.1,959413.0
AGNISYSL,2025-03-04,27.6,27.7,27.0,27.1,877594.0
AGNISYSL,2025-03-03,28.2,28.2,27.4,27.5,1327948.0
AGNISYSL,2025-03-02,28.5,28.5,27.6,27.8,1186798.0
AGNISYSL,2025-02-27,28.7,28.7,27.8,28.0,3233116.0
AGNISYSL,2025-02-26,29.1,29.1,28.4,28.5,1982509.0
AGNISYSL,2025-02-25,28.2,29.4,28.0,28.9,7361795.0
AGNISYSL,2025-02-24,27.8,28.3,27.5,28.0,3372874.0
AGNISYSL,2025-02-23,28.8,28.9,27.6,27.7,2150943.0
AGNISYSL,2025-02-20,27.6,28.7,27.5,28.4,3993493.0
AGNISYSL,2025-02-19,27.1,27.7,27.0,27.5,3361527.0
AGNISYSL,2025-02-18,26.9,27.3,26.7,27.1,2249962.0
AGNISYSL,2025-02-17,27.0,27.2,26.7,26.8,1137400.0
AGNISYSL,2025-02-16,26.8,27.3,26.6,27.0,1629421.0
AGNISYSL,2025-02-13,26.5,27.0,26.5,26.6,1193923.0
AGNISYSL,2025-02-12,26.9,27.0,26.5,26.6,1336773.0
AGNISYSL,2025-02-11,27.3,27.6,26.8,26.9,2500536.0
AGNISYSL,2025-02-10,26.9,27.4,26.7,27.2,1506001.0
AGNISYSL,2025-02-09,27.8,27.8,26.7,26.8,1773878.0
AGNISYSL,2025-02-06,27.6,27.7,27.2,27.3,2176526.0
AGNISYSL,2025-02-05,27.0,27.9,26.8,27.6,4367786.0
AGNISYSL,2025-02-04,26.8,27.2,26.5,26.8,2542590.0
AGNISYSL,2025-02-03,27.3,27.4,26.3,26.5,3111644.0
AGNISYSL,2025-02-02,26.6,27.3,26.4,27.1,2229420.0
AGNISYSL,2025-01-30,27.4,28.0,26.5,26.7,7549458.0
AGNISYSL,2025-01-29,26.9,26.9,26.3,26.4,1372815.0
AGNISYSL,2025-01-28,26.1,27.0,25.9,26.8,3282367.0
AGNISYSL,2025-01-27,26.2,26.3,25.7,25.9,1419292.0
AGNISYSL,2025-01-26,26.5,26.6,26.0,26.1,1606029.0
AGNISYSL,2025-01-23,25.6,26.5,25.2,26.3,2766193.0
AGNISYSL,2025-01-22,25.6,25.9,25.4,25.5,1145830.0
AGNISYSL,2025-01-21,25.8,25.9,25.3,25.5,1582209.0
AGNISYSL,2025-01-20,25.4,26.1,25.3,25.7,1794107.0
AGNISYSL,2025-01-19,25.3,25.6,24.9,25.2,1481239.0
AGNISYSL,2025-01-16,25.8,26.2,25.1,25.3,1396454.0
AGNISYSL,2025-01-15,26.1,26.4,25.6,25.8,2325851.0
AGNISYSL,2025-01-14,26.6,26.9,26.0,26.2,2084509.0
AGNISYSL,2025-01-13,25.9,26.9,25.7,26.5,4001939.0
AGNISYSL,2025-01-12,25.6,26.2,25.4,25.7,2777986.0
AGNISYSL,2025-01-09,26.3,26.8,25.4,25.6,3380267.0
AGNISYSL,2025-01-08,24.8,26.3,24.2,26.0,3328594.0
AGNISYSL,2025-01-07,25.8,26.0,24.7,24.8,2704006.0
AGNISYSL,2025-01-06,23.4,25.5,23.2,25.4,4572115.0
AGNISYSL,2025-01-05,24.1,24.2,23.0,23.2,1061233.0
AGNISYSL,2025-01-02,24.2,24.3,23.7,23.8,925129.0
AGNISYSL,2025-01-01,24.0,24.4,24.0,24.1,673843.0
