Trading_Code,Date,Open,High,Low,Close,Volume
AGRANINS,2025-04-08,25.4,25.4,24.0,24.5,39011.0
AGRANINS,2025-04-07,25.1,25.1,24.0,24.1,28409.0
AGRANINS,2025-04-06,24.1,24.2,24.0,24.1,12159.0
AGRANINS,2025-03-27,25.1,25.1,24.3,24.5,15685.0
AGRANINS,2025-03-25,24.8,24.8,24.5,24.7,6076.0
AGRANINS,2025-03-24,25.5,25.5,24.5,24.7,11527.0
AGRANINS,2025-03-23,24.9,24.9,24.2,24.3,12409.0
AGRANINS,2025-03-20,25.2,25.2,24.5,24.6,26601.0
AGRANINS,2025-03-19,25.3,25.3,24.6,24.8,29132.0
AGRANINS,2025-03-18,25.5,25.5,24.7,24.7,30254.0
AGRANINS,2025-03-17,24.9,25.1,24.6,24.9,79139.0
AGRANINS,2025-03-16,24.9,25.9,24.4,25.4,106764.0
AGRANINS,2025-03-13,24.5,24.9,24.0,24.6,41733.0
AGRANINS,2025-03-12,24.1,24.4,23.8,24.2,27523.0
AGRANINS,2025-03-11,24.5,24.5,24.0,24.0,1280.0
AGRANINS,2025-03-10,24.5,24.5,23.8,23.9,7524.0
AGRANINS,2025-03-09,24.0,24.0,23.8,24.0,18534.0
AGRANINS,2025-03-06,24.5,24.5,23.9,24.0,21134.0
AGRANINS,2025-03-05,24.0,24.5,23.9,24.1,25952.0
AGRANINS,2025-03-04,24.0,24.4,24.0,24.0,12356.0
AGRANINS,2025-03-03,24.6,24.6,24.0,24.0,10901.0
AGRANINS,2025-03-02,24.9,24.9,24.0,24.0,24842.0
AGRANINS,2025-02-27,24.9,24.9,24.0,24.2,47459.0
AGRANINS,2025-02-26,24.8,25.0,24.3,24.4,28014.0
AGRANINS,2025-02-25,24.7,25.1,24.2,24.7,76009.0
AGRANINS,2025-02-24,24.6,24.6,24.1,24.2,15118.0
AGRANINS,2025-02-23,24.0,24.3,24.0,24.2,36339.0
AGRANINS,2025-02-20,24.1,24.1,23.8,23.8,11584.0
AGRANINS,2025-02-19,23.8,24.2,23.8,23.9,9977.0
AGRANINS,2025-02-18,24.5,24.5,24.0,24.2,13089.0
AGRANINS,2025-02-17,23.8,24.5,23.5,24.0,12774.0
AGRANINS,2025-02-16,24.8,24.8,23.6,24.3,26606.0
AGRANINS,2025-02-13,24.6,24.6,24.0,24.1,21287.0
AGRANINS,2025-02-12,24.7,24.7,24.1,24.2,5462.0
AGRANINS,2025-02-11,24.9,25.0,23.8,24.3,86171.0
AGRANINS,2025-02-10,24.4,25.1,23.7,23.8,85536.0
AGRANINS,2025-02-09,24.9,24.9,23.5,23.8,136368.0
AGRANINS,2025-02-06,25.0,25.0,24.2,24.4,19041.0
AGRANINS,2025-02-05,25.2,25.2,24.3,24.4,42165.0
AGRANINS,2025-02-04,24.9,24.9,24.2,24.5,46070.0
AGRANINS,2025-02-03,24.6,24.6,24.2,24.4,5856.0
AGRANINS,2025-02-02,24.4,24.4,24.0,24.1,9915.0
AGRANINS,2025-01-30,24.1,24.9,24.1,24.6,14306.0
AGRANINS,2025-01-29,24.6,24.6,24.4,24.5,7223.0
AGRANINS,2025-01-28,24.6,26.5,24.6,24.6,35774.0
AGRANINS,2025-01-27,24.2,24.6,24.0,24.1,13457.0
AGRANINS,2025-01-26,24.1,24.8,24.1,24.2,13779.0
AGRANINS,2025-01-23,24.3,25.0,24.2,24.7,14727.0
AGRANINS,2025-01-22,25.4,25.4,24.2,24.3,10344.0
AGRANINS,2025-01-21,25.0,25.2,24.6,24.7,18063.0
AGRANINS,2025-01-20,25.0,25.1,24.4,24.8,10715.0
AGRANINS,2025-01-19,24.0,25.2,24.0,24.9,34815.0
AGRANINS,2025-01-16,24.5,24.5,23.8,23.9,24736.0
AGRANINS,2025-01-15,24.0,24.4,24.0,24.2,7282.0
AGRANINS,2025-01-14,25.4,25.4,24.0,24.0,29237.0
AGRANINS,2025-01-13,25.5,25.5,24.0,24.1,29084.0
AGRANINS,2025-01-12,25.0,25.0,24.1,24.3,8596.0
AGRANINS,2025-01-09,25.4,25.4,24.9,25.0,6993.0
AGRANINS,2025-01-08,25.2,25.2,24.8,24.9,6479.0
AGRANINS,2025-01-07,26.4,26.4,25.0,25.1,20897.0
AGRANINS,2025-01-06,25.6,25.6,24.9,25.2,10268.0
AGRANINS,2025-01-05,24.9,24.9,24.5,24.6,13329.0
AGRANINS,2025-01-02,25.1,25.1,24.7,24.8,14344.0
AGRANINS,2025-01-01,25.2,25.3,25.2,25.2,2130.0
AGRANINS,2024-12-30,25.5,25.5,25.2,25.3,10467.0
AGRANINS,2024-12-29,25.2,25.5,25.0,25.2,22663.0
AGRANINS,2024-12-26,25.0,25.3,25.0,25.2,19002.0
AGRANINS,2024-12-24,25.9,26.9,25.0,25.1,17611.0
AGRANINS,2024-12-23,25.1,25.8,24.9,25.0,35971.0
AGRANINS,2024-12-22,25.0,25.7,24.9,25.2,47410.0
AGRANINS,2024-12-19,25.1,25.6,25.1,25.2,3723.0
AGRANINS,2024-12-18,26.3,26.3,25.5,25.6,10120.0
AGRANINS,2024-12-17,25.6,26.0,25.5,25.6,29564.0
AGRANINS,2024-12-15,26.0,26.0,25.3,25.7,10327.0
AGRANINS,2024-12-12,25.5,25.7,25.3,25.5,18449.0
AGRANINS,2024-12-11,26.2,26.2,25.5,25.8,25727.0
AGRANINS,2024-12-10,25.0,26.2,24.9,26.0,141632.0
AGRANINS,2024-12-09,25.7,25.7,24.7,24.9,26006.0
AGRANINS,2024-12-08,25.5,25.5,24.6,24.9,19324.0
AGRANINS,2024-12-05,25.5,25.6,25.1,25.3,42354.0
AGRANINS,2024-12-04,26.0,26.0,25.2,25.5,83275.0
AGRANINS,2024-12-03,26.6,26.6,25.4,25.6,59416.0
AGRANINS,2024-12-02,25.5,26.0,24.8,25.7,102082.0
AGRANINS,2024-12-01,25.9,25.9,24.8,24.9,36044.0
AGRANINS,2024-11-28,26.1,26.4,25.1,25.3,103560.0
AGRANINS,2024-11-27,26.0,26.4,25.2,26.1,42193.0
AGRANINS,2024-11-26,26.2,26.2,24.1,25.2,30918.0
AGRANINS,2024-11-25,25.7,26.3,25.5,25.7,78875.0
AGRANINS,2024-11-24,25.9,26.5,25.6,25.7,42314.0
AGRANINS,2024-11-21,27.1,27.2,25.2,25.4,207053.0
AGRANINS,2024-11-20,28.0,28.1,26.9,27.2,87895.0
AGRANINS,2024-11-19,27.3,28.8,27.3,28.0,212162.0
AGRANINS,2024-11-18,27.0,28.0,26.7,27.6,128251.0
AGRANINS,2024-11-17,26.9,27.3,26.4,26.6,81327.0
AGRANINS,2024-11-14,26.7,28.5,26.3,27.4,187963.0
AGRANINS,2024-11-13,25.0,26.7,25.0,26.6,144771.0
AGRANINS,2024-11-12,25.1,26.3,24.5,25.1,146267.0
AGRANINS,2024-11-11,23.7,24.8,22.7,24.1,61403.0
AGRANINS,2024-11-10,24.0,24.0,23.0,23.2,17448.0
AGRANINS,2024-11-07,24.3,24.3,23.3,23.9,13544.0
AGRANINS,2024-11-06,24.0,25.0,23.8,24.0,34218.0
AGRANINS,2024-11-05,24.2,25.4,23.8,24.5,95565.0
