Trading_Code,Date,Open,High,Low,Close,Volume
AIBL1STIMF,2025-04-08,6.9,7.5,6.9,7.3,1053621.0
AIBL1STIMF,2025-04-07,7.1,7.1,6.9,6.9,23374.0
AIBL1STIMF,2025-04-06,7.0,7.1,6.8,7.0,233016.0
AIBL1STIMF,2025-03-27,7.0,7.0,6.9,7.0,12420.0
AIBL1STIMF,2025-03-25,6.8,6.9,6.7,6.9,177860.0
AIBL1STIMF,2025-03-24,6.9,6.9,6.8,6.9,230754.0
AIBL1STIMF,2025-03-23,6.7,7.0,6.6,6.7,76608.0
AIBL1STIMF,2025-03-20,6.9,7.1,6.8,6.9,566737.0
AIBL1STIMF,2025-03-19,6.9,7.0,6.9,6.9,1037142.0
AIBL1STIMF,2025-03-18,6.8,6.9,6.7,6.8,679823.0
AIBL1STIMF,2025-03-17,6.8,6.9,6.7,6.8,22900.0
AIBL1STIMF,2025-03-16,6.8,7.0,6.8,6.8,4861.0
AIBL1STIMF,2025-03-13,6.9,7.0,6.9,6.9,1271.0
AIBL1STIMF,2025-03-12,7.0,7.0,6.9,6.9,23342.0
AIBL1STIMF,2025-03-11,6.9,7.1,6.7,6.8,812261.0
AIBL1STIMF,2025-03-10,6.8,7.0,6.6,6.8,211489.0
AIBL1STIMF,2025-03-09,6.7,6.9,6.7,6.7,1064.0
AIBL1STIMF,2025-03-06,6.9,6.9,6.8,6.8,11711.0
AIBL1STIMF,2025-03-05,6.8,6.9,6.7,6.8,36321.0
AIBL1STIMF,2025-03-04,6.9,7.0,6.7,6.9,1035.0
AIBL1STIMF,2025-03-03,7.0,7.0,6.7,6.8,214302.0
AIBL1STIMF,2025-03-02,7.0,7.0,6.9,6.9,54277.0
AIBL1STIMF,2025-02-27,7.0,7.0,6.8,6.9,343960.0
AIBL1STIMF,2025-02-26,7.0,7.1,6.9,7.0,284443.0
AIBL1STIMF,2025-02-25,7.0,7.1,6.8,6.8,66702.0
AIBL1STIMF,2025-02-24,7.0,7.1,6.8,6.9,36608.0
AIBL1STIMF,2025-02-23,7.1,7.1,6.9,6.9,48571.0
AIBL1STIMF,2025-02-20,6.9,7.2,6.9,6.9,238748.0
AIBL1STIMF,2025-02-19,7.3,7.3,6.9,7.0,309646.0
AIBL1STIMF,2025-02-18,7.1,7.2,6.9,6.9,113725.0
AIBL1STIMF,2025-02-17,7.2,7.2,7.0,7.1,32200.0
AIBL1STIMF,2025-02-16,7.3,7.3,6.9,7.1,263157.0
AIBL1STIMF,2025-02-13,7.2,7.2,6.9,7.0,329306.0
AIBL1STIMF,2025-02-12,7.3,7.3,7.1,7.1,321097.0
AIBL1STIMF,2025-02-11,7.1,7.2,7.1,7.2,13357.0
AIBL1STIMF,2025-02-10,7.2,7.2,7.1,7.1,87130.0
AIBL1STIMF,2025-02-09,7.3,7.4,7.0,7.2,487057.0
AIBL1STIMF,2025-02-06,7.2,7.3,7.1,7.1,495460.0
AIBL1STIMF,2025-02-05,7.1,7.2,7.0,7.0,262855.0
AIBL1STIMF,2025-02-04,7.2,7.3,7.1,7.1,153752.0
AIBL1STIMF,2025-02-03,7.3,7.4,7.1,7.2,377384.0
AIBL1STIMF,2025-02-02,7.2,7.3,7.2,7.3,303527.0
AIBL1STIMF,2025-01-30,7.0,7.3,7.0,7.2,232051.0
AIBL1STIMF,2025-01-29,7.0,7.0,6.6,7.0,1498576.0
AIBL1STIMF,2025-01-28,6.9,7.0,6.8,6.9,117187.0
AIBL1STIMF,2025-01-27,6.8,6.9,6.7,6.8,118081.0
AIBL1STIMF,2025-01-26,6.7,6.9,6.4,6.8,399640.0
