Trading_Code,Date,Open,High,Low,Close,Volume
AIMS1STMF,2016-12-01,19.5,19.7,19.5,19.7,38939.0
AIMS1STMF,2016-11-02,18.1,19.9,18.0,19.7,438552.0
AIMS1STMF,2016-11-01,19.2,19.5,19.2,19.4,30869.0
AIMS1STMF,2016-10-02,18.1,18.2,17.9,18.1,14046.0
AIMS1STMF,2016-10-01,19.3,19.6,18.8,19.4,40420.0
AIMS1STMF,2016-09-02,18.1,18.3,18.0,18.1,9715.0
AIMS1STMF,2016-08-02,18.1,18.1,17.9,17.9,12362.0
AIMS1STMF,2016-07-02,18.0,18.0,17.8,18.0,45208.0
AIMS1STMF,2016-07-01,19.4,19.4,19.2,19.3,141114.0
AIMS1STMF,2016-06-01,19.3,19.7,19.2,19.4,23574.0
AIMS1STMF,2016-05-01,19.2,19.3,19.1,19.2,42922.0
AIMS1STMF,2016-04-02,18.2,18.3,18.0,18.1,57293.0
AIMS1STMF,2016-04-01,19.3,19.4,19.2,19.3,16810.0
AIMS1STMF,2016-03-02,18.4,18.5,18.2,18.4,41986.0
AIMS1STMF,2016-03-01,19.3,19.9,19.3,19.7,103989.0
AIMS1STMF,2016-02-29,21.1,21.1,20.8,21.0,284198.0
AIMS1STMF,2016-02-28,21.5,21.5,21.1,21.2,503625.0
AIMS1STMF,2016-02-25,21.6,21.7,21.5,21.6,641532.0
AIMS1STMF,2016-02-24,21.2,21.9,21.2,21.7,513547.0
AIMS1STMF,2016-02-23,21.0,21.7,21.0,21.5,407007.0
AIMS1STMF,2016-02-22,20.6,21.6,20.6,21.2,578796.0
AIMS1STMF,2016-02-18,21.1,22.1,21.1,21.7,661791.0
AIMS1STMF,2016-02-17,20.5,21.1,20.5,21.0,147408.0
AIMS1STMF,2016-02-16,20.9,21.7,20.8,21.1,277504.0
AIMS1STMF,2016-02-15,19.5,21.2,19.5,20.7,541914.0
AIMS1STMF,2016-02-14,20.5,21.1,19.6,20.0,715050.0
AIMS1STMF,2016-02-02,18.5,18.5,18.3,18.4,57237.0
AIMS1STMF,2016-01-31,18.5,19.0,18.0,18.8,62764.0
AIMS1STMF,2016-01-28,18.4,18.9,18.4,18.8,162866.0
AIMS1STMF,2016-01-27,18.5,18.5,18.3,18.4,54757.0
AIMS1STMF,2016-01-26,18.6,18.6,18.4,18.5,100302.0
AIMS1STMF,2016-01-25,18.2,18.7,18.1,18.5,59708.0
AIMS1STMF,2016-01-24,18.5,18.6,18.1,18.3,57134.0
AIMS1STMF,2016-01-21,18.8,18.8,18.5,18.5,100226.0
AIMS1STMF,2016-01-20,19.1,19.1,18.8,18.8,128989.0
AIMS1STMF,2016-01-19,19.4,19.4,19.0,19.1,179942.0
AIMS1STMF,2016-01-18,19.6,19.9,19.3,19.5,184129.0
AIMS1STMF,2016-01-17,19.6,19.8,19.3,19.6,128055.0
AIMS1STMF,2016-01-14,19.2,20.3,19.2,19.7,59702.0
AIMS1STMF,2016-01-13,19.6,19.9,19.3,19.8,62658.0
AIMS1STMF,2016-01-03,21.1,21.8,20.1,21.2,1090158.0
AIMS1STMF,2016-01-02,18.4,18.8,18.4,18.5,52060.0
AIMS1STMF,2015-12-31,19.0,20.0,19.0,19.7,184983.0
AIMS1STMF,2015-12-30,19.1,19.3,19.0,19.1,58676.0
AIMS1STMF,2015-12-29,19.0,19.1,18.9,18.9,248492.0
AIMS1STMF,2015-12-28,19.0,19.1,18.8,19.0,201634.0
AIMS1STMF,2015-12-27,19.2,19.3,18.5,18.6,242043.0
AIMS1STMF,2015-12-24,19.1,19.4,19.0,19.2,37579.0
AIMS1STMF,2015-12-23,19.6,19.6,18.9,19.0,58319.0
AIMS1STMF,2015-12-22,19.1,19.5,18.9,19.1,170678.0
AIMS1STMF,2015-12-21,19.6,19.7,18.9,19.2,244340.0
AIMS1STMF,2015-12-20,19.5,19.6,19.0,19.2,220818.0
AIMS1STMF,2015-12-17,21.5,21.6,19.7,19.8,462077.0
AIMS1STMF,2015-12-15,22.3,22.4,20.2,21.0,1000331.0
AIMS1STMF,2015-12-14,22.4,22.5,22.3,22.4,278351.0
AIMS1STMF,2015-12-13,22.4,22.5,22.4,22.4,240221.0
AIMS1STMF,2015-12-10,19.6,20.3,19.6,20.2,90378.0
AIMS1STMF,2015-12-08,33.0,33.6,33.0,33.2,833268.0
AIMS1STMF,2015-12-07,29.4,29.4,27.3,27.9,227535.0
AIMS1STMF,2015-12-05,27.2,27.2,26.1,26.3,128279.0
AIMS1STMF,2015-12-04,24.7,25.4,24.7,25.0,4435.0
AIMS1STMF,2015-12-03,27.3,27.9,27.1,27.5,32575.0
AIMS1STMF,2015-12-02,28.1,28.5,28.0,28.4,127417.0
AIMS1STMF,2015-12-01,30.2,30.6,29.6,29.9,475494.0
AIMS1STMF,2015-11-30,22.5,23.0,22.2,22.2,158263.0
AIMS1STMF,2015-11-29,22.1,22.6,22.1,22.5,200993.0
AIMS1STMF,2015-11-26,21.8,22.4,20.4,22.1,223400.0
AIMS1STMF,2015-11-25,22.0,22.2,21.8,22.0,214758.0
AIMS1STMF,2015-11-24,22.0,22.2,21.9,22.2,260937.0
AIMS1STMF,2015-11-23,22.8,22.8,21.8,22.0,384858.0
AIMS1STMF,2015-11-22,21.0,22.3,21.0,22.1,309353.0
AIMS1STMF,2015-11-10,19.7,20.0,19.2,19.5,80418.0
AIMS1STMF,2015-11-08,32.8,33.5,32.8,33.0,849685.0
AIMS1STMF,2015-11-06,26.1,26.3,25.9,25.9,82300.0
AIMS1STMF,2015-11-05,27.0,27.0,25.7,26.6,544300.0
AIMS1STMF,2015-11-03,27.9,27.9,27.6,27.7,142026.0
AIMS1STMF,2015-11-02,28.3,28.3,28.0,28.2,130739.0
AIMS1STMF,2015-11-01,28.8,30.6,28.8,30.2,840010.0
AIMS1STMF,2015-10-29,19.6,19.8,19.5,19.7,12363.0
AIMS1STMF,2015-10-28,19.7,19.9,19.5,19.7,38258.0
AIMS1STMF,2015-10-27,20.0,20.2,19.7,19.9,123908.0
AIMS1STMF,2015-10-26,19.9,19.9,19.7,19.7,53491.0
AIMS1STMF,2015-10-25,20.0,20.0,19.7,19.8,47485.0
AIMS1STMF,2015-10-21,19.9,20.1,19.7,19.9,37506.0
AIMS1STMF,2015-10-20,19.6,19.9,19.6,19.8,73904.0
AIMS1STMF,2015-10-19,19.7,20.0,19.5,19.6,195744.0
AIMS1STMF,2015-10-18,19.6,20.0,19.6,19.8,43656.0
AIMS1STMF,2015-10-15,20.0,20.1,19.8,19.9,90945.0
AIMS1STMF,2015-10-14,20.4,20.5,20.2,20.3,132735.0
AIMS1STMF,2015-10-13,20.0,20.6,20.0,20.4,167047.0
AIMS1STMF,2015-10-12,22.5,22.7,22.5,22.5,313533.0
AIMS1STMF,2015-10-09,21.6,21.7,21.4,21.6,314514.0
AIMS1STMF,2015-10-08,32.0,32.5,31.7,32.4,1227579.0
AIMS1STMF,2015-10-06,25.6,26.3,25.5,26.1,98550.0
AIMS1STMF,2015-10-05,24.4,26.5,24.4,26.3,588965.0
AIMS1STMF,2015-10-03,28.0,28.0,27.8,27.9,66975.0
AIMS1STMF,2015-10-02,28.3,28.3,27.7,28.0,274290.0
