Trading_Code,Date,Open,High,Low,Close,Volume
AL-HAJTEX,2025-04-08,143.5,147.4,143.5,146.2,141076.0
AL-HAJTEX,2025-04-07,147.1,147.5,142.2,143.8,66901.0
AL-HAJTEX,2025-04-06,150.4,150.4,144.1,147.1,76537.0
AL-HAJTEX,2025-03-27,150.9,152.5,149.3,152.1,232362.0
AL-HAJTEX,2025-03-25,147.2,151.7,146.9,150.6,241656.0
AL-HAJTEX,2025-03-24,146.0,150.9,146.0,148.4,79849.0
AL-HAJTEX,2025-03-23,154.2,157.0,147.6,149.5,145522.0
AL-HAJTEX,2025-03-20,157.5,160.0,155.0,157.2,427459.0
AL-HAJTEX,2025-03-19,150.1,157.5,149.0,156.5,356669.0
AL-HAJTEX,2025-03-18,151.5,153.2,148.9,150.4,119693.0
AL-HAJTEX,2025-03-17,151.3,155.7,150.0,152.1,150878.0
AL-HAJTEX,2025-03-16,151.6,154.9,151.6,154.2,225852.0
AL-HAJTEX,2025-03-13,152.2,154.7,148.5,153.1,119003.0
AL-HAJTEX,2025-03-12,145.8,152.7,145.8,152.2,226428.0
AL-HAJTEX,2025-03-11,145.5,149.1,145.5,146.9,153097.0
AL-HAJTEX,2025-03-10,146.0,147.7,144.0,145.4,136028.0
AL-HAJTEX,2025-03-09,143.4,147.6,129.1,146.3,249022.0
AL-HAJTEX,2025-03-06,160.5,161.2,143.1,143.4,594228.0
AL-HAJTEX,2025-03-05,157.0,160.9,155.6,158.9,243632.0
AL-HAJTEX,2025-03-04,158.1,160.0,155.5,156.3,226368.0
AL-HAJTEX,2025-03-03,154.7,162.0,154.7,159.2,305613.0
AL-HAJTEX,2025-03-02,150.0,157.0,150.0,154.4,176351.0
AL-HAJTEX,2025-02-27,148.6,152.4,148.6,152.0,83583.0
AL-HAJTEX,2025-02-26,150.3,153.4,148.0,150.0,187612.0
AL-HAJTEX,2025-02-25,150.0,153.0,149.9,150.6,98443.0
AL-HAJTEX,2025-02-24,149.8,151.9,146.8,151.3,142047.0
AL-HAJTEX,2025-02-23,142.0,151.0,142.0,147.4,125670.0
AL-HAJTEX,2025-02-20,153.0,153.0,145.9,146.9,80537.0
AL-HAJTEX,2025-02-19,148.0,148.0,145.4,146.5,136042.0
AL-HAJTEX,2025-02-18,154.0,154.0,146.0,146.1,143109.0
AL-HAJTEX,2025-02-17,147.6,153.0,146.1,148.7,216255.0
AL-HAJTEX,2025-02-16,146.7,149.7,145.3,147.0,138128.0
AL-HAJTEX,2025-02-13,143.3,147.9,141.4,146.7,270569.0
AL-HAJTEX,2025-02-12,145.6,155.0,141.5,145.0,538774.0
AL-HAJTEX,2025-02-11,145.6,145.6,143.0,145.6,481200.0
AL-HAJTEX,2025-02-10,125.0,132.4,125.0,132.4,399015.0
AL-HAJTEX,2025-02-09,117.6,126.0,115.2,120.4,251295.0
AL-HAJTEX,2025-02-06,117.9,119.8,117.3,118.4,72810.0
AL-HAJTEX,2025-02-05,115.2,117.5,114.3,115.5,68273.0
AL-HAJTEX,2025-02-04,116.3,119.5,114.1,115.9,55937.0
AL-HAJTEX,2025-02-03,115.3,118.9,115.3,116.3,49674.0
AL-HAJTEX,2025-02-02,116.1,123.0,115.7,116.2,53935.0
AL-HAJTEX,2025-01-30,116.4,119.6,116.4,118.2,56212.0
AL-HAJTEX,2025-01-29,117.8,119.0,115.6,118.4,52373.0
AL-HAJTEX,2025-01-28,115.5,118.7,115.5,116.3,39572.0
AL-HAJTEX,2025-01-27,117.0,121.7,116.2,118.1,74355.0
AL-HAJTEX,2025-01-26,116.0,122.0,116.0,118.5,199800.0
AL-HAJTEX,2025-01-23,117.0,117.2,114.0,115.7,55910.0
AL-HAJTEX,2025-01-22,114.2,117.3,114.2,116.5,33294.0
AL-HAJTEX,2025-01-21,115.2,116.7,114.5,115.4,150980.0
AL-HAJTEX,2025-01-20,114.6,116.4,111.7,114.0,64541.0
AL-HAJTEX,2025-01-19,105.0,114.8,105.0,113.7,42544.0
AL-HAJTEX,2025-01-16,104.0,109.9,104.0,107.5,35049.0
AL-HAJTEX,2025-01-15,103.7,110.4,103.7,105.9,13358.0
AL-HAJTEX,2025-01-14,106.0,111.8,103.6,104.1,51513.0
AL-HAJTEX,2025-01-13,110.6,112.4,105.4,109.8,109125.0
AL-HAJTEX,2025-01-12,113.5,117.9,112.0,112.4,22730.0
AL-HAJTEX,2025-01-09,111.1,117.0,111.1,114.8,19844.0
AL-HAJTEX,2025-01-08,0.0,0.0,0.0,114.7,0.0
AL-HAJTEX,2025-01-07,116.0,116.0,110.0,114.7,16174.0
AL-HAJTEX,2025-01-06,109.1,118.4,109.1,112.3,11583.0
AL-HAJTEX,2025-01-05,117.5,117.5,112.0,112.4,13583.0
AL-HAJTEX,2025-01-02,117.2,119.5,115.0,115.8,61624.0
AL-HAJTEX,2025-01-01,117.1,122.0,117.1,119.5,75483.0
AL-HAJTEX,2024-12-30,117.7,120.9,117.7,119.1,49320.0
AL-HAJTEX,2024-12-29,119.6,121.2,119.0,119.5,9820.0
AL-HAJTEX,2024-12-26,117.0,122.4,117.0,121.3,102892.0
