Trading_Code,Date,Open,High,Low,Close,Volume
ALPHATOBA,2010-12-08,23.0,23.0,23.0,23.0,500.0
ALPHATOBA,2010-12-07,22.0,24.1,22.0,22.7,150.0
ALPHATOBA,2010-12-04,31.9,31.9,30.1,31.7,550.0
ALPHATOBA,2010-12-01,23.5,23.5,23.5,23.5,200.0
ALPHATOBA,2010-11-08,22.3,22.3,22.3,22.3,200.0
ALPHATOBA,2010-11-07,24.0,24.0,24.0,24.0,100.0
ALPHATOBA,2010-11-04,30.0,30.0,30.0,30.0,400.0
ALPHATOBA,2010-11-01,22.0,22.0,22.0,22.0,500.0
ALPHATOBA,2010-10-06,26.9,27.8,25.5,26.7,150.0
ALPHATOBA,2010-10-03,24.5,25.0,24.2,24.7,1400.0
ALPHATOBA,2010-10-02,24.3,24.3,24.3,24.3,200.0
ALPHATOBA,2010-10-01,22.1,22.1,22.1,22.1,450.0
ALPHATOBA,2010-09-30,25.0,25.0,23.6,24.6,1050.0
ALPHATOBA,2010-09-29,29.0,29.0,26.9,27.4,500.0
ALPHATOBA,2010-09-28,30.0,30.0,26.0,28.0,1150.0
ALPHATOBA,2010-09-27,27.0,29.5,26.8,27.6,3600.0
ALPHATOBA,2010-09-26,23.5,27.5,23.5,25.1,1200.0
ALPHATOBA,2010-09-23,21.8,24.2,21.8,23.4,1400.0
ALPHATOBA,2010-09-22,24.0,24.2,24.0,24.0,2400.0
ALPHATOBA,2010-09-21,26.1,26.1,25.0,25.2,750.0
ALPHATOBA,2010-09-20,25.6,25.6,24.0,25.2,500.0
ALPHATOBA,2010-09-19,25.6,25.6,25.6,25.6,100.0
ALPHATOBA,2010-09-16,25.5,25.5,25.5,25.5,100.0
ALPHATOBA,2010-09-08,20.0,21.8,20.0,20.7,3300.0
ALPHATOBA,2010-09-06,24.5,25.5,24.5,24.9,500.0
ALPHATOBA,2010-09-05,28.5,28.5,27.5,28.0,100.0
ALPHATOBA,2010-09-03,22.8,24.5,22.8,24.1,450.0
ALPHATOBA,2010-09-02,25.0,25.0,25.0,25.0,100.0
ALPHATOBA,2010-08-31,24.0,26.0,24.0,24.6,350.0
ALPHATOBA,2010-08-29,25.6,27.0,25.6,26.4,250.0
ALPHATOBA,2010-08-26,27.5,28.3,27.5,28.0,1750.0
ALPHATOBA,2010-08-25,27.5,28.4,27.5,28.2,400.0
ALPHATOBA,2010-08-24,26.2,26.2,26.2,26.2,1550.0
ALPHATOBA,2010-08-23,25.9,26.9,25.0,25.8,2600.0
ALPHATOBA,2010-08-22,24.9,25.9,24.9,24.9,800.0
ALPHATOBA,2010-08-19,24.4,25.1,24.4,24.8,1500.0
