Trading_Code,Date,Open,High,Low,Close,Volume
AMBEEPHA,2025-04-08,745.0,822.1,745.0,822.1,25341.0
AMBEEPHA,2025-04-07,750.0,774.8,750.0,764.8,836.0
AMBEEPHA,2025-04-06,725.0,780.0,725.0,774.3,764.0
AMBEEPHA,2025-03-27,765.0,765.0,740.0,740.5,1519.0
AMBEEPHA,2025-03-25,750.0,753.0,744.0,748.8,164.0
AMBEEPHA,2025-03-24,745.0,759.0,745.0,748.2,174.0
AMBEEPHA,2025-03-23,736.1,765.0,736.1,742.4,239.0
AMBEEPHA,2025-03-20,730.0,769.9,730.0,761.6,244.0
AMBEEPHA,2025-03-19,726.1,785.0,726.1,776.7,5684.0
AMBEEPHA,2025-03-18,720.0,737.0,720.0,734.4,221.0
AMBEEPHA,2025-03-17,720.1,725.0,720.1,722.8,219.0
AMBEEPHA,2025-03-16,736.1,737.0,720.1,722.0,839.0
AMBEEPHA,2025-03-13,732.0,740.0,732.0,736.1,473.0
AMBEEPHA,2025-03-12,730.0,747.0,730.0,742.8,72.0
AMBEEPHA,2025-03-11,730.0,741.2,730.0,736.7,707.0
AMBEEPHA,2025-03-10,730.0,754.6,730.0,739.2,194.0
AMBEEPHA,2025-03-09,759.0,765.0,732.6,739.6,143.0
AMBEEPHA,2025-03-06,741.5,749.8,738.5,743.1,318.0
AMBEEPHA,2025-03-05,731.0,740.5,731.0,738.4,5.0
AMBEEPHA,2025-03-04,721.0,754.0,721.0,734.3,819.0
AMBEEPHA,2025-03-03,721.0,759.0,721.0,741.3,1815.0
AMBEEPHA,2025-03-02,739.0,741.0,730.0,738.6,353.0
AMBEEPHA,2025-02-27,740.0,740.0,719.0,726.3,1709.0
AMBEEPHA,2025-02-26,745.0,745.0,721.0,721.1,1430.0
AMBEEPHA,2025-02-25,736.5,741.2,720.1,727.1,1258.0
AMBEEPHA,2025-02-24,745.1,759.0,740.6,740.6,224.0
AMBEEPHA,2025-02-23,753.3,753.3,741.1,745.1,60.0
AMBEEPHA,2025-02-20,795.0,795.0,750.0,753.3,1006.0
AMBEEPHA,2025-02-19,775.7,775.7,768.8,770.9,1153.0
AMBEEPHA,2025-02-18,770.0,770.8,767.9,768.9,1913.0
AMBEEPHA,2025-02-17,762.0,770.8,762.0,767.1,1116.0
AMBEEPHA,2025-02-16,766.8,775.0,766.1,768.2,1057.0
AMBEEPHA,2025-02-13,761.4,766.6,760.2,763.3,561.0
AMBEEPHA,2025-02-12,753.1,767.9,753.1,761.4,273.0
AMBEEPHA,2025-02-11,763.0,780.0,752.0,762.0,2077.0
AMBEEPHA,2025-02-10,764.0,764.0,753.0,759.0,326.0
AMBEEPHA,2025-02-09,701.0,779.0,701.0,754.3,382.0
AMBEEPHA,2025-02-06,777.0,777.0,745.0,755.9,879.0
AMBEEPHA,2025-02-05,748.9,755.0,735.0,751.7,1269.0
AMBEEPHA,2025-02-04,755.0,759.6,733.0,748.2,1296.0
AMBEEPHA,2025-02-03,735.1,754.9,735.1,745.0,442.0
AMBEEPHA,2025-02-02,765.0,765.0,735.1,738.8,2672.0
AMBEEPHA,2025-01-30,762.0,762.0,741.1,745.3,1498.0
AMBEEPHA,2025-01-29,764.9,764.9,745.0,751.3,1144.0
AMBEEPHA,2025-01-28,764.9,779.8,743.0,754.9,801.0
AMBEEPHA,2025-01-27,769.0,769.0,733.0,750.8,1560.0
AMBEEPHA,2025-01-26,769.0,799.9,730.0,756.7,5401.0
AMBEEPHA,2025-01-23,710.0,757.0,704.1,748.2,6861.0
AMBEEPHA,2025-01-22,703.0,705.6,695.2,704.9,2698.0
AMBEEPHA,2025-01-21,703.0,715.0,697.4,703.4,1016.0
AMBEEPHA,2025-01-20,699.9,701.0,692.1,696.6,967.0
AMBEEPHA,2025-01-19,688.0,700.0,680.2,688.6,1342.0
AMBEEPHA,2025-01-16,682.0,689.0,675.0,683.8,912.0
AMBEEPHA,2025-01-15,692.6,695.0,685.0,685.6,1187.0
AMBEEPHA,2025-01-14,695.0,707.0,692.6,693.5,496.0
AMBEEPHA,2025-01-13,698.1,702.0,693.0,693.5,1405.0
AMBEEPHA,2025-01-12,700.5,709.7,697.0,698.5,976.0
AMBEEPHA,2025-01-09,700.1,700.1,698.2,699.5,245.0
AMBEEPHA,2025-01-08,701.4,712.5,698.2,699.5,294.0
AMBEEPHA,2025-01-07,719.7,719.7,700.0,708.2,441.0
AMBEEPHA,2025-01-06,708.0,716.0,698.1,715.0,1415.0
AMBEEPHA,2025-01-05,720.0,720.0,700.1,700.7,391.0
AMBEEPHA,2025-01-02,719.6,719.6,702.1,705.0,56.0
AMBEEPHA,2025-01-01,702.1,714.0,702.0,712.4,1152.0
AMBEEPHA,2024-12-30,716.2,716.2,701.0,701.9,130.0
AMBEEPHA,2024-12-29,714.3,714.3,700.2,709.6,209.0
AMBEEPHA,2024-12-26,705.0,705.0,698.0,698.2,300.0
AMBEEPHA,2024-12-24,719.9,719.9,700.0,704.6,804.0
AMBEEPHA,2024-12-23,695.2,712.7,695.0,697.4,1255.0
AMBEEPHA,2024-12-22,717.8,717.8,696.2,701.4,256.0
AMBEEPHA,2024-12-19,715.0,715.0,700.0,707.6,1295.0
AMBEEPHA,2024-12-18,715.0,715.0,706.0,710.7,1108.0
AMBEEPHA,2024-12-17,720.0,720.0,707.0,709.6,827.0
AMBEEPHA,2024-12-15,688.0,700.0,688.0,699.8,776.0
AMBEEPHA,2024-12-12,680.0,705.0,680.0,693.6,563.0
AMBEEPHA,2024-12-11,710.0,710.0,695.0,698.0,1286.0
AMBEEPHA,2024-12-10,701.0,712.5,700.0,700.6,922.0
AMBEEPHA,2024-12-09,710.0,710.0,701.5,702.6,541.0
AMBEEPHA,2024-12-08,714.0,714.0,701.0,701.4,2528.0
AMBEEPHA,2024-12-05,719.8,719.8,710.6,711.2,559.0
AMBEEPHA,2024-12-04,720.0,720.2,710.0,714.5,1626.0
AMBEEPHA,2024-12-03,715.0,718.6,713.0,716.6,891.0
AMBEEPHA,2024-12-02,0.0,0.0,0.0,714.7,0.0
AMBEEPHA,2024-12-01,714.6,716.5,710.4,714.7,1581.0
AMBEEPHA,2024-11-28,711.1,719.9,708.1,714.6,3255.0
AMBEEPHA,2024-11-27,708.7,712.9,702.2,708.8,2503.0
AMBEEPHA,2024-11-26,718.6,718.6,707.0,708.6,1303.0
AMBEEPHA,2024-11-25,716.3,720.3,701.1,708.3,1118.0
AMBEEPHA,2024-11-24,720.0,724.0,713.1,716.3,1532.0
AMBEEPHA,2024-11-21,722.0,724.6,712.1,722.4,3539.0
AMBEEPHA,2024-11-20,715.1,725.0,712.0,719.7,2320.0
AMBEEPHA,2024-11-19,720.5,728.0,715.0,722.3,5121.0
AMBEEPHA,2024-11-18,741.9,769.0,713.0,720.5,4540.0
