Trading_Code,Date,Open,High,Low,Close,Volume
APEXADELFT,2014-12-01,505.0,535.0,503.3,529.9,206200.0
APEXADELFT,2014-09-01,495.6,503.9,491.0,499.5,124800.0
APEXADELFT,2014-08-01,504.0,517.0,490.0,497.7,235200.0
APEXADELFT,2014-07-01,466.0,492.8,464.9,489.1,226200.0
APEXADELFT,2014-06-01,460.0,470.0,452.5,455.5,59800.0
APEXADELFT,2014-02-01,440.1,459.8,440.1,457.6,167200.0
APEXADELFT,2014-01-27,556.3,556.3,542.6,544.2,57800.0
APEXADELFT,2014-01-26,561.0,579.6,558.1,560.2,136200.0
APEXADELFT,2014-01-23,566.9,566.9,555.2,560.8,150200.0
APEXADELFT,2014-01-22,570.0,580.0,560.0,563.3,262000.0
APEXADELFT,2014-01-21,549.0,563.8,542.0,560.1,359800.0
APEXADELFT,2014-01-20,550.0,550.9,530.1,540.6,221600.0
APEXADELFT,2014-01-19,551.9,557.7,537.0,540.4,248000.0
APEXADELFT,2014-01-16,550.3,556.5,542.1,547.6,199000.0
APEXADELFT,2014-01-15,564.0,575.0,547.0,548.4,139600.0
APEXADELFT,2014-01-13,550.0,553.0,521.2,547.6,151600.0
APEXADELFT,2014-01-01,424.1,440.0,422.0,435.7,54200.0
APEXADELFT,2013-12-30,420.0,420.0,410.6,412.1,58000.0
APEXADELFT,2013-12-29,412.5,425.0,411.0,414.1,38000.0
APEXADELFT,2013-12-26,425.0,425.0,410.8,416.8,24000.0
APEXADELFT,2013-12-24,433.0,433.0,419.3,422.2,33400.0
APEXADELFT,2013-12-23,429.0,438.5,421.0,428.1,107800.0
APEXADELFT,2013-12-22,405.0,433.7,405.0,419.4,229000.0
APEXADELFT,2013-12-19,390.0,407.0,390.0,403.5,40800.0
APEXADELFT,2013-12-18,399.0,399.8,390.0,394.5,30000.0
APEXADELFT,2013-12-17,390.0,402.7,385.2,397.0,43800.0
APEXADELFT,2013-12-15,400.0,400.0,384.0,388.4,27000.0
APEXADELFT,2013-12-12,401.0,401.0,387.0,391.8,66400.0
APEXADELFT,2013-12-11,370.5,372.7,365.0,365.5,19400.0
APEXADELFT,2013-12-09,440.0,454.0,425.5,436.9,318000.0
APEXADELFT,2013-12-08,287.0,301.8,287.0,298.8,16400.0
APEXADELFT,2013-12-06,269.0,281.3,269.0,280.9,58200.0
APEXADELFT,2013-12-05,227.9,227.9,215.3,219.3,5600.0
APEXADELFT,2013-12-03,222.1,242.0,222.1,228.9,34200.0
APEXADELFT,2013-12-02,249.5,249.9,242.5,244.3,26600.0
APEXADELFT,2013-11-28,380.0,385.0,373.0,375.0,28400.0
APEXADELFT,2013-11-27,372.0,379.5,372.0,376.8,23000.0
APEXADELFT,2013-11-26,382.1,382.2,373.2,374.2,34800.0
APEXADELFT,2013-11-25,388.0,395.0,378.5,381.3,66800.0
APEXADELFT,2013-11-24,390.1,392.0,378.1,379.2,44400.0
APEXADELFT,2013-11-21,395.0,395.0,386.3,388.5,51000.0
APEXADELFT,2013-11-20,400.0,409.0,396.0,399.1,67000.0
APEXADELFT,2013-11-19,381.0,405.0,377.1,398.1,176200.0
APEXADELFT,2013-11-18,390.0,390.0,376.0,381.5,87000.0
APEXADELFT,2013-11-14,383.4,385.7,367.5,382.6,53000.0
APEXADELFT,2013-11-13,362.6,383.9,362.5,376.8,18200.0
APEXADELFT,2013-11-12,399.5,401.0,395.5,397.0,93200.0
APEXADELFT,2013-11-11,367.0,382.9,366.1,371.9,31400.0
APEXADELFT,2013-11-09,406.7,435.9,405.0,430.5,466200.0
APEXADELFT,2013-11-07,314.0,315.9,294.1,299.6,111200.0
APEXADELFT,2013-11-06,240.0,258.7,240.0,258.7,69600.0
APEXADELFT,2013-11-04,223.9,223.9,219.0,222.3,1800.0
APEXADELFT,2013-11-03,228.0,229.0,225.7,228.7,4000.0
APEXADELFT,2013-11-02,249.9,249.9,245.5,247.5,50200.0
APEXADELFT,2013-10-31,385.1,397.0,382.5,383.8,226600.0
APEXADELFT,2013-10-30,368.0,384.9,367.1,380.3,147200.0
APEXADELFT,2013-10-29,360.0,365.0,359.0,362.4,40200.0
APEXADELFT,2013-10-28,367.0,368.0,358.0,360.3,24800.0
APEXADELFT,2013-10-27,368.0,368.0,355.0,360.1,29600.0
APEXADELFT,2013-10-24,368.0,370.0,357.0,360.0,36800.0
APEXADELFT,2013-10-23,386.5,388.0,358.1,369.2,56200.0
APEXADELFT,2013-10-22,368.0,390.0,362.0,372.3,41800.0
APEXADELFT,2013-10-21,335.0,369.7,331.0,364.8,59000.0
APEXADELFT,2013-10-20,350.0,350.0,338.0,340.0,28000.0
APEXADELFT,2013-10-12,398.0,402.0,392.3,397.7,86000.0
APEXADELFT,2013-10-11,389.0,389.0,368.0,373.8,61200.0
APEXADELFT,2013-10-10,370.0,370.0,363.0,364.5,35000.0
APEXADELFT,2013-10-09,404.9,410.0,396.3,401.5,219000.0
APEXADELFT,2013-10-07,284.0,305.0,277.0,301.4,222000.0
APEXADELFT,2013-10-06,235.0,241.0,235.0,237.9,32400.0
APEXADELFT,2013-10-04,224.9,224.9,220.0,220.8,2800.0
APEXADELFT,2013-10-03,227.0,234.8,225.0,228.6,1400.0
APEXADELFT,2013-10-02,246.9,248.0,243.1,245.2,14000.0
APEXADELFT,2013-10-01,232.7,232.7,230.0,231.4,1200.0
APEXADELFT,2013-09-30,372.2,377.0,365.0,367.3,31400.0
APEXADELFT,2013-09-29,380.9,384.0,376.3,377.3,29200.0
APEXADELFT,2013-09-26,385.0,393.5,382.2,384.4,38400.0
APEXADELFT,2013-09-25,397.0,397.0,384.5,388.3,35400.0
APEXADELFT,2013-09-24,360.1,403.9,360.0,389.1,72800.0
APEXADELFT,2013-09-23,422.0,422.0,388.0,391.2,74400.0
APEXADELFT,2013-09-22,408.0,408.0,390.0,392.1,86600.0
APEXADELFT,2013-09-19,408.0,410.0,400.0,402.4,93000.0
APEXADELFT,2013-09-18,410.0,421.0,401.5,403.1,102400.0
APEXADELFT,2013-09-17,429.0,429.0,402.5,405.6,205800.0
APEXADELFT,2013-09-16,438.9,438.9,410.0,413.7,185400.0
APEXADELFT,2013-09-15,430.0,440.0,417.4,420.8,138000.0
APEXADELFT,2013-09-12,408.0,408.0,399.0,400.0,54000.0
APEXADELFT,2013-09-10,360.0,372.7,360.0,365.5,23600.0
APEXADELFT,2013-09-09,387.0,397.0,377.3,389.9,78400.0
APEXADELFT,2013-09-07,266.0,284.9,262.1,282.0,76000.0
APEXADELFT,2013-09-06,234.5,236.0,234.5,234.7,12200.0
APEXADELFT,2013-09-05,219.9,219.9,216.1,218.7,3600.0
APEXADELFT,2013-09-04,224.0,225.0,219.0,222.0,3000.0
APEXADELFT,2013-09-01,234.9,234.9,234.4,234.6,400.0
APEXADELFT,2013-08-29,440.0,441.0,416.0,420.0,171200.0
APEXADELFT,2013-08-27,413.0,441.8,399.8,437.6,358600.0
APEXADELFT,2013-08-26,403.9,424.4,392.0,409.7,261800.0
APEXADELFT,2013-08-25,394.1,406.8,380.0,399.5,392000.0
APEXADELFT,2013-08-22,390.0,390.0,369.1,374.1,206400.0
APEXADELFT,2013-08-21,335.2,365.4,335.2,365.3,351800.0
APEXADELFT,2013-08-20,336.0,356.0,333.0,336.0,103600.0
