Trading_Code,Date,Open,High,Low,Close,Volume
APEXFOODS,2025-04-08,207.9,207.9,203.0,206.0,10378.0
APEXFOODS,2025-04-07,204.8,207.5,202.2,206.0,7481.0
APEXFOODS,2025-04-06,201.8,203.9,200.1,202.6,2632.0
APEXFOODS,2025-03-27,204.8,204.8,200.2,202.7,3556.0
APEXFOODS,2025-03-25,205.0,205.0,202.0,203.3,1615.0
APEXFOODS,2025-03-24,203.8,206.0,198.7,204.5,4352.0
APEXFOODS,2025-03-23,204.9,204.9,198.7,199.3,4418.0
APEXFOODS,2025-03-20,206.2,206.2,201.7,203.1,11758.0
APEXFOODS,2025-03-19,206.8,206.8,204.0,204.4,1941.0
APEXFOODS,2025-03-18,207.7,207.7,203.5,203.9,10697.0
APEXFOODS,2025-03-17,207.5,207.5,203.4,203.9,6456.0
APEXFOODS,2025-03-16,206.4,208.0,205.1,205.4,7418.0
APEXFOODS,2025-03-13,206.0,209.5,205.8,207.0,4306.0
APEXFOODS,2025-03-12,209.5,209.5,205.8,206.0,10287.0
APEXFOODS,2025-03-11,207.9,207.9,206.1,206.7,2065.0
APEXFOODS,2025-03-10,209.3,209.3,205.8,206.4,3471.0
APEXFOODS,2025-03-09,210.0,210.0,206.5,206.7,4847.0
APEXFOODS,2025-03-06,210.7,210.7,208.1,208.3,4869.0
APEXFOODS,2025-03-05,211.0,211.0,208.7,209.4,4683.0
APEXFOODS,2025-03-04,211.9,211.9,209.8,209.9,6032.0
APEXFOODS,2025-03-03,214.5,216.0,212.0,212.6,9590.0
APEXFOODS,2025-03-02,210.2,214.6,200.0,213.2,20419.0
APEXFOODS,2025-02-27,209.0,210.9,208.6,210.1,13110.0
APEXFOODS,2025-02-26,208.5,209.2,206.6,208.9,3868.0
APEXFOODS,2025-02-25,208.9,209.8,206.1,207.9,2989.0
APEXFOODS,2025-02-24,206.1,208.0,206.0,206.2,2114.0
APEXFOODS,2025-02-23,209.0,209.0,205.8,205.9,6932.0
APEXFOODS,2025-02-20,209.0,209.0,205.6,206.0,4181.0
APEXFOODS,2025-02-19,207.4,207.4,205.1,206.4,3736.0
APEXFOODS,2025-02-18,209.5,209.5,207.1,207.5,1270.0
APEXFOODS,2025-02-17,208.9,210.3,206.9,208.3,7271.0
APEXFOODS,2025-02-16,209.5,209.6,207.2,208.0,1850.0
APEXFOODS,2025-02-13,206.2,208.8,206.2,207.1,2194.0
APEXFOODS,2025-02-12,210.0,210.0,207.0,207.3,7411.0
APEXFOODS,2025-02-11,209.2,210.0,208.0,208.4,8304.0
APEXFOODS,2025-02-10,209.0,210.0,208.6,209.1,10198.0
APEXFOODS,2025-02-09,211.8,220.0,208.6,209.5,5429.0
APEXFOODS,2025-02-06,211.0,211.0,207.9,208.8,14441.0
APEXFOODS,2025-02-05,212.8,212.8,208.0,208.2,5002.0
APEXFOODS,2025-02-04,214.5,214.5,207.1,208.1,3556.0
APEXFOODS,2025-02-03,210.3,212.0,206.5,207.4,6416.0
APEXFOODS,2025-02-02,213.9,219.0,206.1,210.3,4486.0
APEXFOODS,2025-01-30,206.0,222.0,206.0,213.9,9652.0
