Trading_Code,Date,Open,High,Low,Close,Volume
APEXFOOT,2025-04-08,210.2,214.5,209.7,214.0,95162.0
APEXFOOT,2025-04-07,206.4,214.7,205.2,208.3,57497.0
APEXFOOT,2025-04-06,204.0,205.8,200.1,205.6,7979.0
APEXFOOT,2025-03-27,206.7,208.9,205.0,206.9,6124.0
APEXFOOT,2025-03-25,207.5,207.5,204.2,206.0,5023.0
APEXFOOT,2025-03-24,206.8,206.8,203.1,203.5,6166.0
APEXFOOT,2025-03-23,205.1,207.5,203.8,204.4,10655.0
APEXFOOT,2025-03-20,206.7,206.7,204.0,204.4,10863.0
APEXFOOT,2025-03-19,206.5,206.5,204.5,204.8,7918.0
APEXFOOT,2025-03-18,207.0,207.0,203.0,204.6,15877.0
APEXFOOT,2025-03-17,207.0,207.0,204.6,205.0,7539.0
APEXFOOT,2025-03-16,207.9,207.9,203.0,205.0,15130.0
APEXFOOT,2025-03-13,207.0,207.0,205.6,206.6,8371.0
APEXFOOT,2025-03-12,207.9,211.0,205.0,207.5,17020.0
APEXFOOT,2025-03-11,207.0,207.0,204.3,205.2,9539.0
APEXFOOT,2025-03-10,207.5,207.5,205.8,205.9,4701.0
APEXFOOT,2025-03-09,206.3,208.0,204.1,204.9,10491.0
APEXFOOT,2025-03-06,207.2,207.9,206.0,206.9,26030.0
APEXFOOT,2025-03-05,207.7,208.8,206.0,206.9,5860.0
APEXFOOT,2025-03-04,207.8,209.6,205.2,207.3,11150.0
APEXFOOT,2025-03-03,208.6,210.9,206.8,208.2,42722.0
APEXFOOT,2025-03-02,202.0,208.2,201.5,206.9,26415.0
APEXFOOT,2025-02-27,201.5,204.0,201.1,203.2,21824.0
APEXFOOT,2025-02-26,203.5,203.5,201.5,202.1,3717.0
APEXFOOT,2025-02-25,203.9,203.9,201.3,203.0,11195.0
APEXFOOT,2025-02-24,201.3,202.0,201.0,201.1,12553.0
APEXFOOT,2025-02-23,203.0,203.0,201.1,201.2,6098.0
APEXFOOT,2025-02-20,201.6,203.2,201.0,202.3,6053.0
APEXFOOT,2025-02-19,203.6,203.6,200.6,201.2,10329.0
APEXFOOT,2025-02-18,201.0,204.2,201.0,202.3,4783.0
APEXFOOT,2025-02-17,203.6,204.3,200.1,200.9,12365.0
APEXFOOT,2025-02-16,201.2,203.0,201.2,201.9,6706.0
APEXFOOT,2025-02-13,203.8,203.8,200.1,200.7,7837.0
APEXFOOT,2025-02-12,203.9,203.9,200.5,201.6,5916.0
APEXFOOT,2025-02-11,201.0,203.9,200.2,203.2,16406.0
APEXFOOT,2025-02-10,200.0,202.8,199.5,200.6,3530.0
APEXFOOT,2025-02-09,202.0,202.0,198.5,199.2,23753.0
APEXFOOT,2025-02-06,200.9,201.8,199.0,199.6,25582.0
APEXFOOT,2025-02-05,202.9,202.9,199.7,200.5,31533.0
APEXFOOT,2025-02-04,203.0,203.0,199.9,201.5,10802.0
APEXFOOT,2025-02-03,200.3,203.0,200.0,201.2,7735.0
APEXFOOT,2025-02-02,201.6,203.2,201.0,201.1,11669.0
APEXFOOT,2025-01-30,205.5,205.5,200.3,201.4,13530.0
APEXFOOT,2025-01-29,206.0,206.0,200.2,202.7,11589.0
APEXFOOT,2025-01-28,207.0,207.4,203.3,205.0,30116.0
APEXFOOT,2025-01-27,206.9,208.0,203.2,206.0,32023.0
APEXFOOT,2025-01-26,204.4,206.2,203.5,204.6,34550.0
APEXFOOT,2025-01-23,204.6,204.8,203.1,203.9,11464.0
APEXFOOT,2025-01-22,201.0,204.9,200.0,203.5,25915.0
APEXFOOT,2025-01-21,202.2,205.0,200.0,200.2,6531.0
APEXFOOT,2025-01-20,198.0,203.0,193.5,202.1,16068.0
APEXFOOT,2025-01-19,195.1,199.5,194.1,198.2,4454.0
APEXFOOT,2025-01-16,196.9,196.9,194.1,194.7,6356.0
APEXFOOT,2025-01-15,197.5,197.7,195.0,195.1,9716.0
APEXFOOT,2025-01-14,197.9,199.5,197.4,197.7,4156.0
APEXFOOT,2025-01-13,197.3,198.7,196.3,197.9,13886.0
APEXFOOT,2025-01-12,198.7,198.7,196.6,196.9,5667.0
APEXFOOT,2025-01-09,198.6,199.8,198.5,198.7,7684.0
APEXFOOT,2025-01-08,199.8,199.8,198.5,198.8,7501.0
APEXFOOT,2025-01-07,199.8,200.0,198.2,198.6,7523.0
APEXFOOT,2025-01-06,199.5,199.5,197.8,198.1,11323.0
APEXFOOT,2025-01-05,198.2,199.6,197.7,198.7,4047.0
APEXFOOT,2025-01-02,199.5,200.0,195.1,197.1,13341.0
APEXFOOT,2025-01-01,202.0,202.0,199.7,199.8,5236.0
APEXFOOT,2024-12-30,203.8,203.8,199.5,199.9,3820.0
APEXFOOT,2024-12-29,199.8,202.8,199.2,199.9,26901.0
APEXFOOT,2024-12-26,201.0,201.0,198.5,199.6,8290.0
APEXFOOT,2024-12-24,199.5,202.0,199.0,199.1,4640.0
APEXFOOT,2024-12-23,200.0,200.0,198.2,198.7,9971.0
APEXFOOT,2024-12-22,201.0,203.5,198.7,199.6,7801.0
APEXFOOT,2024-12-19,201.8,202.5,200.3,200.6,18951.0
APEXFOOT,2024-12-18,202.0,203.8,201.0,201.5,16175.0
APEXFOOT,2024-12-17,200.0,204.6,200.0,202.5,21304.0
APEXFOOT,2024-12-15,201.2,201.2,196.0,199.9,21214.0
APEXFOOT,2024-12-12,200.2,201.9,199.4,199.8,5001.0
APEXFOOT,2024-12-11,201.0,202.9,200.0,201.2,5667.0
APEXFOOT,2024-12-10,202.0,203.8,200.0,200.8,12805.0
APEXFOOT,2024-12-09,202.2,203.9,200.2,200.9,12491.0
APEXFOOT,2024-12-08,206.9,206.9,201.3,202.1,8677.0
APEXFOOT,2024-12-05,204.0,204.8,202.9,203.1,6366.0
APEXFOOT,2024-12-04,202.7,205.8,202.7,204.1,17258.0
APEXFOOT,2024-12-03,204.0,204.1,202.4,202.8,14532.0
APEXFOOT,2024-12-02,201.8,205.0,200.2,202.4,15295.0
APEXFOOT,2024-12-01,203.0,204.0,201.5,202.1,8577.0
APEXFOOT,2024-11-28,204.1,207.0,203.1,203.5,20185.0
APEXFOOT,2024-11-27,204.0,204.7,202.2,204.0,17388.0
APEXFOOT,2024-11-26,203.7,203.7,200.7,201.2,16377.0
APEXFOOT,2024-11-25,204.3,204.3,200.0,201.3,11301.0
APEXFOOT,2024-11-24,204.0,204.0,200.8,201.2,22091.0
APEXFOOT,2024-11-21,205.7,205.7,202.0,202.7,23094.0
APEXFOOT,2024-11-20,206.4,206.7,203.3,204.0,14121.0
APEXFOOT,2024-11-19,205.9,206.9,204.2,204.8,31838.0
APEXFOOT,2024-11-18,204.3,207.8,204.3,205.4,30635.0
APEXFOOT,2024-11-17,204.5,207.1,203.1,204.1,26372.0
APEXFOOT,2024-11-14,207.0,208.8,203.0,204.1,34849.0
APEXFOOT,2024-11-13,207.0,208.9,201.2,202.2,33363.0
APEXFOOT,2024-11-12,220.7,220.7,203.4,204.7,18335.0
APEXFOOT,2024-11-11,201.0,204.9,201.0,203.0,27029.0
APEXFOOT,2024-11-10,202.0,205.0,200.0,201.0,10835.0
APEXFOOT,2024-11-07,205.0,207.3,201.0,202.2,13626.0
APEXFOOT,2024-11-06,208.9,210.9,204.0,204.7,28117.0
APEXFOOT,2024-11-05,209.8,210.0,206.0,207.7,53706.0
APEXFOOT,2024-11-04,200.3,204.9,200.3,204.2,32240.0
APEXFOOT,2024-11-03,203.0,206.9,199.0,201.4,24087.0
APEXFOOT,2024-10-31,203.5,205.5,199.5,203.1,22703.0
APEXFOOT,2024-10-30,199.9,205.9,196.1,205.2,24467.0
APEXFOOT,2024-10-29,198.9,198.9,192.3,195.7,19697.0
APEXFOOT,2024-10-28,192.5,198.0,188.0,192.1,25660.0
APEXFOOT,2024-10-27,199.9,201.7,192.0,195.1,28800.0
APEXFOOT,2024-10-24,203.2,204.9,197.0,199.3,17008.0
APEXFOOT,2024-10-23,195.1,218.0,194.7,203.2,64284.0
APEXFOOT,2024-10-22,0.0,0.0,0.0,234.6,0.0
APEXFOOT,2024-10-21,233.0,237.3,226.2,234.6,152591.0
APEXFOOT,2024-10-20,238.9,238.9,230.0,235.9,216653.0
APEXFOOT,2024-10-17,237.8,239.5,235.1,235.9,30066.0
APEXFOOT,2024-10-16,239.7,239.7,236.5,236.9,9609.0
APEXFOOT,2024-10-15,237.6,240.5,235.0,236.4,36786.0
APEXFOOT,2024-10-14,240.0,241.5,237.2,238.2,29964.0
APEXFOOT,2024-10-09,237.0,241.0,235.0,239.7,34338.0
APEXFOOT,2024-10-08,235.0,239.6,233.0,235.0,27565.0
APEXFOOT,2024-10-07,238.9,240.0,235.3,235.6,61291.0
APEXFOOT,2024-10-06,244.6,244.6,238.0,238.9,41304.0
APEXFOOT,2024-10-03,246.2,246.2,240.7,242.6,54513.0
APEXFOOT,2024-10-02,245.0,248.0,239.4,246.0,92759.0
APEXFOOT,2024-10-01,250.0,260.0,240.0,243.0,366865.0
APEXFOOT,2024-09-30,236.8,241.3,232.7,239.9,34576.0
