Trading_Code,Date,Open,High,Low,Close,Volume
APEXTANRY,2025-04-08,69.6,72.8,69.6,72.2,41928.0
APEXTANRY,2025-04-07,70.0,73.3,68.8,69.5,194322.0
APEXTANRY,2025-04-06,66.0,70.0,66.0,69.4,6547.0
APEXTANRY,2025-03-27,68.0,72.9,67.2,68.8,18838.0
APEXTANRY,2025-03-25,66.2,67.8,66.2,67.2,238.0
APEXTANRY,2025-03-24,66.1,66.3,66.0,66.2,4130.0
APEXTANRY,2025-03-23,66.6,66.6,66.0,66.1,1864.0
APEXTANRY,2025-03-20,68.6,68.6,66.5,66.6,11954.0
APEXTANRY,2025-03-19,68.7,72.0,67.6,67.8,16389.0
APEXTANRY,2025-03-18,66.7,68.0,66.2,67.8,11107.0
APEXTANRY,2025-03-17,65.3,67.9,65.3,67.0,3541.0
APEXTANRY,2025-03-16,66.6,68.7,66.6,67.4,2555.0
APEXTANRY,2025-03-13,67.2,68.5,67.2,67.6,4735.0
APEXTANRY,2025-03-12,69.0,69.7,67.0,67.1,8160.0
APEXTANRY,2025-03-11,69.9,69.9,68.8,69.5,4797.0
APEXTANRY,2025-03-10,68.0,70.4,67.6,69.4,10660.0
APEXTANRY,2025-03-09,67.6,68.6,67.2,67.3,1003.0
APEXTANRY,2025-03-06,70.4,70.4,67.1,67.6,8361.0
APEXTANRY,2025-03-05,67.4,67.5,67.1,67.3,1950.0
APEXTANRY,2025-03-04,69.0,69.1,67.0,67.1,5930.0
APEXTANRY,2025-03-03,70.2,70.2,68.0,68.5,3838.0
APEXTANRY,2025-03-02,68.9,70.1,68.9,69.9,21131.0
APEXTANRY,2025-02-27,68.1,68.5,68.1,68.3,15800.0
APEXTANRY,2025-02-26,68.5,69.0,67.5,68.2,7018.0
APEXTANRY,2025-02-25,66.4,68.5,66.4,67.8,4146.0
APEXTANRY,2025-02-24,66.6,67.8,66.5,66.8,2549.0
APEXTANRY,2025-02-23,67.0,67.0,66.3,66.9,2479.0
APEXTANRY,2025-02-20,66.3,67.5,66.1,66.3,6613.0
APEXTANRY,2025-02-19,66.5,66.8,66.5,66.7,590.0
APEXTANRY,2025-02-18,67.0,67.9,67.0,67.5,4430.0
APEXTANRY,2025-02-17,69.4,69.4,65.7,67.0,4906.0
APEXTANRY,2025-02-16,67.6,67.6,65.5,65.8,12.0
APEXTANRY,2025-02-13,65.2,67.9,65.2,65.6,813.0
APEXTANRY,2025-02-12,66.1,67.0,65.8,66.2,10282.0
APEXTANRY,2025-02-11,65.6,67.0,65.6,66.3,3050.0
APEXTANRY,2025-02-10,66.7,68.8,65.5,66.1,5914.0
APEXTANRY,2025-02-09,67.0,67.0,65.5,65.7,8368.0
APEXTANRY,2025-02-06,67.0,67.0,65.3,66.1,19274.0
APEXTANRY,2025-02-05,66.0,66.9,65.1,65.8,4356.0
APEXTANRY,2025-02-04,65.7,66.5,64.5,65.2,8497.0
APEXTANRY,2025-02-03,65.9,66.5,65.5,65.9,3441.0
APEXTANRY,2025-02-02,64.2,66.7,64.2,65.9,4265.0
APEXTANRY,2025-01-30,65.0,66.4,65.0,66.4,585.0
APEXTANRY,2025-01-29,64.1,66.7,63.9,65.5,4133.0
APEXTANRY,2025-01-28,68.5,69.0,65.0,66.4,9670.0
APEXTANRY,2025-01-27,67.9,67.9,66.6,67.0,2498.0
APEXTANRY,2025-01-26,70.0,70.0,68.5,68.6,14418.0
APEXTANRY,2025-01-23,68.1,68.7,67.4,67.7,3227.0
APEXTANRY,2025-01-22,66.7,69.5,66.7,68.1,20564.0
