Trading_Code,Date,Open,High,Low,Close,Volume
APEXWEAV,2010-12-10,135.0,142.0,130.75,139.25,48800.0
APEXWEAV,2010-12-08,139.0,139.0,131.0,136.0,10400.0
APEXWEAV,2010-12-07,110.0,116.5,110.0,114.25,4900.0
APEXWEAV,2010-12-05,132.0,132.0,128.0,128.25,18850.0
APEXWEAV,2010-12-04,138.5,140.0,137.25,138.5,17200.0
APEXWEAV,2010-12-01,145.25,148.0,145.0,146.0,26350.0
APEXWEAV,2010-11-10,140.0,144.0,133.25,140.5,36900.0
APEXWEAV,2010-11-08,134.0,144.0,134.0,136.75,26900.0
APEXWEAV,2010-11-07,114.0,118.0,114.0,116.75,6650.0
APEXWEAV,2010-11-05,129.5,131.0,128.25,129.5,15200.0
APEXWEAV,2010-11-04,141.0,144.5,139.25,140.0,18100.0
APEXWEAV,2010-11-03,130.0,131.0,126.0,128.0,8950.0
APEXWEAV,2010-11-02,138.0,143.0,137.25,138.0,18800.0
APEXWEAV,2010-11-01,150.0,150.0,147.0,149.25,14950.0
APEXWEAV,2010-10-19,165.0,174.0,150.0,154.0,112050.0
APEXWEAV,2010-10-18,170.0,193.0,162.0,172.0,144500.0
APEXWEAV,2010-10-14,132.0,161.0,130.5,161.0,64350.0
APEXWEAV,2010-10-13,144.0,144.0,130.5,134.25,39250.0
APEXWEAV,2010-10-10,121.0,149.5,115.25,135.0,37000.0
APEXWEAV,2010-10-08,136.0,138.0,131.5,135.0,20800.0
APEXWEAV,2010-10-06,121.25,123.75,121.25,121.75,8400.0
APEXWEAV,2010-10-05,133.0,133.0,128.0,128.25,13400.0
APEXWEAV,2010-10-03,127.25,130.75,127.25,128.5,18300.0
APEXWEAV,2010-10-02,138.0,140.0,137.0,139.0,21100.0
APEXWEAV,2010-10-01,143.0,153.0,141.0,150.5,22800.0
APEXWEAV,2010-09-30,200.0,214.0,195.25,211.25,29600.0
APEXWEAV,2010-09-29,200.25,215.0,185.0,202.0,49150.0
APEXWEAV,2010-09-28,225.0,236.0,213.0,216.75,68950.0
APEXWEAV,2010-09-27,249.0,249.0,221.5,228.0,59400.0
APEXWEAV,2010-09-26,201.0,245.0,201.0,240.0,120250.0
APEXWEAV,2010-09-23,194.75,210.5,193.5,209.25,91350.0
APEXWEAV,2010-09-22,180.0,198.5,180.0,190.0,82050.0
APEXWEAV,2010-09-21,180.0,185.0,170.0,179.5,40150.0
APEXWEAV,2010-09-20,194.5,196.75,178.25,183.0,48100.0
APEXWEAV,2010-09-19,175.0,195.0,175.0,190.5,72900.0
APEXWEAV,2010-09-16,166.0,174.0,166.0,173.0,32900.0
APEXWEAV,2010-09-15,168.75,175.0,165.25,172.75,32900.0
APEXWEAV,2010-09-14,164.75,168.0,161.0,167.25,21400.0
APEXWEAV,2010-09-13,160.0,165.0,155.25,161.25,28600.0
APEXWEAV,2010-09-08,130.0,135.0,127.5,130.75,16600.0
APEXWEAV,2010-09-06,123.0,123.0,121.5,121.75,33650.0
APEXWEAV,2010-09-05,130.0,132.25,130.0,130.0,8900.0
APEXWEAV,2010-09-03,131.0,131.0,127.0,128.25,15150.0
APEXWEAV,2010-09-02,140.5,144.0,137.0,138.5,20400.0
APEXWEAV,2010-08-31,129.0,129.75,126.0,128.0,12350.0
APEXWEAV,2010-08-30,124.0,128.75,124.0,127.0,10150.0
APEXWEAV,2010-08-29,123.5,129.5,123.5,125.5,14650.0
APEXWEAV,2010-08-26,127.0,130.75,125.0,125.25,12200.0
APEXWEAV,2010-08-25,130.0,130.0,125.25,126.75,13100.0
APEXWEAV,2010-08-24,127.5,131.25,125.0,127.5,15750.0
APEXWEAV,2010-08-23,129.0,132.0,126.0,129.25,10250.0
APEXWEAV,2010-08-22,125.25,132.0,125.0,128.25,9300.0
APEXWEAV,2010-08-19,129.75,129.75,125.5,126.25,15350.0
APEXWEAV,2010-08-18,127.25,131.0,123.5,127.75,10350.0
APEXWEAV,2010-08-17,131.0,135.0,130.0,131.75,12600.0
APEXWEAV,2010-08-16,135.0,136.0,131.0,132.25,14200.0
APEXWEAV,2010-08-09,160.0,180.0,160.0,170.25,105250.0
APEXWEAV,2010-08-08,130.0,133.0,126.25,129.5,13600.0
APEXWEAV,2010-08-07,110.75,118.0,110.5,116.0,13450.0
APEXWEAV,2010-08-06,123.0,124.5,123.0,124.0,8100.0
APEXWEAV,2010-08-04,144.5,144.75,141.5,142.75,4350.0
APEXWEAV,2010-08-03,130.25,132.75,130.0,131.0,6700.0
