Trading_Code,Date,Open,High,Low,Close,Volume
ARAMITCEM,2025-04-08,15.5,15.5,14.4,14.5,33976.0
ARAMITCEM,2025-04-07,15.4,15.5,14.7,14.8,36716.0
ARAMITCEM,2025-04-06,15.3,16.1,15.0,15.2,76091.0
ARAMITCEM,2025-03-27,15.0,15.1,14.7,14.7,21979.0
ARAMITCEM,2025-03-25,14.6,15.2,14.6,15.0,27974.0
ARAMITCEM,2025-03-24,15.6,15.6,14.5,14.7,96248.0
ARAMITCEM,2025-03-23,15.6,15.6,14.8,15.0,71797.0
ARAMITCEM,2025-03-20,15.3,16.1,15.1,15.3,77206.0
ARAMITCEM,2025-03-19,15.7,16.2,15.4,15.6,53526.0
ARAMITCEM,2025-03-18,16.9,17.6,15.5,15.8,108776.0
ARAMITCEM,2025-03-17,15.5,16.0,15.4,16.0,253418.0
ARAMITCEM,2025-03-16,15.6,15.9,14.5,14.6,186062.0
ARAMITCEM,2025-03-13,15.0,15.7,14.8,15.4,158482.0
ARAMITCEM,2025-03-12,15.4,15.8,14.7,15.0,97770.0
ARAMITCEM,2025-03-11,15.4,16.1,15.0,15.3,71064.0
ARAMITCEM,2025-03-10,15.5,16.2,14.6,15.3,93852.0
ARAMITCEM,2025-03-09,16.3,16.5,15.3,15.5,67698.0
ARAMITCEM,2025-03-06,14.7,16.3,14.7,15.9,83657.0
ARAMITCEM,2025-03-05,16.0,16.0,14.7,14.9,57947.0
ARAMITCEM,2025-03-04,14.9,16.5,14.9,16.1,350589.0
ARAMITCEM,2025-03-03,16.3,16.3,14.4,15.0,93272.0
ARAMITCEM,2025-03-02,18.1,18.1,15.5,15.8,578087.0
ARAMITCEM,2025-02-27,16.5,16.5,16.5,16.5,110992.0
ARAMITCEM,2025-02-26,15.0,15.0,15.0,15.0,104307.0
ARAMITCEM,2025-02-25,12.8,13.7,12.8,13.7,194938.0
ARAMITCEM,2025-02-24,12.3,12.7,12.3,12.5,114882.0
ARAMITCEM,2025-02-23,12.2,12.2,12.0,12.2,52346.0
ARAMITCEM,2025-02-20,11.9,12.2,11.7,12.0,46894.0
ARAMITCEM,2025-02-19,11.9,12.0,11.6,11.8,10231.0
ARAMITCEM,2025-02-18,11.7,12.0,11.7,11.9,56062.0
ARAMITCEM,2025-02-17,11.6,11.9,11.6,11.7,32234.0
ARAMITCEM,2025-02-16,12.4,12.4,11.5,11.6,66881.0
ARAMITCEM,2025-02-13,12.4,12.4,11.5,12.0,116356.0
ARAMITCEM,2025-02-12,11.8,11.9,11.4,11.5,85497.0
ARAMITCEM,2025-02-11,12.1,12.1,11.7,11.8,61038.0
ARAMITCEM,2025-02-10,11.7,12.1,11.7,12.0,17640.0
ARAMITCEM,2025-02-09,12.6,12.6,11.7,11.9,37950.0
ARAMITCEM,2025-02-06,13.3,13.3,12.2,12.2,43144.0
ARAMITCEM,2025-02-05,12.3,12.3,12.0,12.1,28658.0
ARAMITCEM,2025-02-04,12.5,12.5,11.9,12.0,19938.0
ARAMITCEM,2025-02-03,11.8,12.3,11.6,12.1,24540.0
ARAMITCEM,2025-02-02,11.2,12.0,11.2,11.7,17171.0
ARAMITCEM,2025-01-30,12.0,12.1,12.0,12.0,10329.0
ARAMITCEM,2025-01-29,12.4,12.7,12.0,12.2,7972.0
ARAMITCEM,2025-01-28,12.8,12.8,12.3,12.5,44184.0
ARAMITCEM,2025-01-27,12.2,13.3,12.1,12.2,54962.0
ARAMITCEM,2025-01-26,12.8,12.8,11.9,12.1,10850.0
ARAMITCEM,2025-01-23,12.9,12.9,12.0,12.2,8658.0
ARAMITCEM,2025-01-22,12.9,12.9,12.1,12.6,34337.0
ARAMITCEM,2025-01-21,12.4,12.6,12.1,12.6,18326.0
ARAMITCEM,2025-01-20,12.8,12.9,12.1,12.2,18917.0
ARAMITCEM,2025-01-19,12.5,12.8,12.4,12.6,35664.0
ARAMITCEM,2025-01-16,12.7,12.9,11.9,12.1,105605.0
ARAMITCEM,2025-01-15,11.6,12.3,11.6,12.2,44375.0
ARAMITCEM,2025-01-14,11.5,11.9,11.4,11.6,31377.0
ARAMITCEM,2025-01-13,11.7,12.0,11.5,11.8,6170.0
ARAMITCEM,2025-01-12,11.8,11.8,11.4,11.6,4670.0
ARAMITCEM,2025-01-09,11.8,11.8,11.5,11.7,14524.0
ARAMITCEM,2025-01-08,11.4,11.6,11.4,11.5,14528.0
ARAMITCEM,2025-01-07,11.4,11.8,11.4,11.6,19518.0
ARAMITCEM,2025-01-06,11.2,11.4,10.9,11.1,23626.0
ARAMITCEM,2025-01-05,11.2,11.2,10.7,10.9,27224.0
ARAMITCEM,2025-01-02,11.0,11.7,11.0,11.1,31305.0
ARAMITCEM,2025-01-01,11.4,11.6,11.0,11.1,49876.0
ARAMITCEM,2024-12-30,11.8,11.9,11.1,11.3,27861.0
ARAMITCEM,2024-12-29,11.9,11.9,11.7,11.8,13160.0
ARAMITCEM,2024-12-26,11.4,12.3,11.3,11.7,5377.0
ARAMITCEM,2024-12-24,12.3,12.3,11.1,11.5,43902.0
