Trading_Code,Date,Open,High,Low,Close,Volume
ARGONDENIM,2025-04-08,16.1,16.3,16.1,16.2,83712.0
ARGONDENIM,2025-04-07,16.1,16.3,16.0,16.1,163697.0
ARGONDENIM,2025-04-06,16.8,16.8,15.8,16.1,377688.0
ARGONDENIM,2025-03-27,17.0,17.1,16.9,16.9,181995.0
ARGONDENIM,2025-03-25,17.0,17.1,16.9,17.0,102288.0
ARGONDENIM,2025-03-24,16.9,17.2,16.9,17.0,134698.0
ARGONDENIM,2025-03-23,17.2,17.2,16.9,16.9,172000.0
ARGONDENIM,2025-03-20,17.1,17.3,17.0,17.2,338399.0
ARGONDENIM,2025-03-19,17.2,17.2,17.0,17.0,147896.0
ARGONDENIM,2025-03-18,17.2,17.3,17.0,17.2,171318.0
ARGONDENIM,2025-03-17,17.2,17.3,17.0,17.0,194058.0
ARGONDENIM,2025-03-16,17.3,17.4,17.0,17.1,142365.0
ARGONDENIM,2025-03-13,17.2,17.3,17.1,17.2,99093.0
ARGONDENIM,2025-03-12,17.2,17.3,17.1,17.2,70212.0
ARGONDENIM,2025-03-11,17.2,17.3,17.0,17.1,99773.0
ARGONDENIM,2025-03-10,17.2,17.3,17.1,17.1,76392.0
ARGONDENIM,2025-03-09,17.1,17.4,16.9,17.2,275525.0
ARGONDENIM,2025-03-06,17.3,17.4,17.1,17.1,153482.0
ARGONDENIM,2025-03-05,17.3,17.4,17.2,17.3,160672.0
ARGONDENIM,2025-03-04,17.5,17.5,17.2,17.3,169761.0
ARGONDENIM,2025-03-03,17.5,17.6,17.4,17.4,99990.0
ARGONDENIM,2025-03-02,17.6,17.7,17.5,17.5,65004.0
ARGONDENIM,2025-02-27,17.5,17.8,17.5,17.6,294622.0
ARGONDENIM,2025-02-26,17.9,17.9,17.4,17.5,470794.0
ARGONDENIM,2025-02-25,18.1,18.2,17.6,17.7,737785.0
ARGONDENIM,2025-02-24,17.7,18.2,17.7,17.9,915405.0
ARGONDENIM,2025-02-23,17.7,17.9,17.6,17.7,376876.0
ARGONDENIM,2025-02-20,17.6,17.8,17.5,17.7,385059.0
ARGONDENIM,2025-02-19,17.5,17.6,17.4,17.5,270222.0
ARGONDENIM,2025-02-18,17.8,17.9,17.5,17.5,358134.0
ARGONDENIM,2025-02-17,17.6,18.0,17.3,17.8,963887.0
ARGONDENIM,2025-02-16,17.7,17.7,17.3,17.4,279381.0
ARGONDENIM,2025-02-13,17.6,17.8,17.4,17.5,362207.0
ARGONDENIM,2025-02-12,18.0,18.2,17.6,17.6,315736.0
ARGONDENIM,2025-02-11,17.7,18.3,17.5,18.1,1083701.0
ARGONDENIM,2025-02-10,17.9,17.9,17.5,17.6,348868.0
ARGONDENIM,2025-02-09,17.8,18.6,17.6,17.6,763898.0
ARGONDENIM,2025-02-06,17.6,17.9,17.5,17.5,406817.0
ARGONDENIM,2025-02-05,17.3,17.7,17.3,17.4,562799.0
ARGONDENIM,2025-02-04,17.3,17.4,17.2,17.3,210299.0
