Trading_Code,Date,Open,High,Low,Close,Volume
ASIATICLAB,2025-04-08,36.4,36.5,35.6,35.7,312261.0
ASIATICLAB,2025-04-07,37.4,37.4,35.7,36.0,344931.0
ASIATICLAB,2025-04-06,35.4,37.2,35.4,36.7,402420.0
ASIATICLAB,2025-03-27,37.0,37.0,36.1,36.3,318458.0
ASIATICLAB,2025-03-25,36.4,37.6,36.2,37.1,657091.0
ASIATICLAB,2025-03-24,35.8,36.4,35.3,36.2,484781.0
ASIATICLAB,2025-03-23,35.9,36.3,35.3,35.4,371312.0
ASIATICLAB,2025-03-20,35.7,36.2,35.3,35.9,457146.0
ASIATICLAB,2025-03-19,35.8,36.0,35.4,35.7,581842.0
ASIATICLAB,2025-03-18,36.1,36.1,35.2,35.4,381989.0
ASIATICLAB,2025-03-17,36.5,36.6,35.7,35.8,321510.0
ASIATICLAB,2025-03-16,36.6,37.0,36.0,36.1,539329.0
ASIATICLAB,2025-03-13,37.5,37.5,36.4,36.6,421761.0
ASIATICLAB,2025-03-12,36.1,37.9,36.1,37.2,636049.0
ASIATICLAB,2025-03-11,35.9,36.4,35.8,36.1,387030.0
ASIATICLAB,2025-03-10,36.0,36.7,35.1,35.7,358486.0
ASIATICLAB,2025-03-09,37.3,37.3,35.8,35.9,339517.0
ASIATICLAB,2025-03-06,37.4,37.7,37.1,37.2,402997.0
ASIATICLAB,2025-03-05,37.5,37.8,37.0,37.3,295591.0
ASIATICLAB,2025-03-04,37.6,38.1,37.4,37.5,345639.0
ASIATICLAB,2025-03-03,38.3,38.5,37.7,37.8,658999.0
ASIATICLAB,2025-03-02,37.8,38.4,37.7,38.1,496072.0
ASIATICLAB,2025-02-27,37.6,38.5,37.6,37.8,661930.0
ASIATICLAB,2025-02-26,39.0,39.0,37.7,37.9,872112.0
ASIATICLAB,2025-02-25,39.3,39.4,38.4,38.6,1006136.0
ASIATICLAB,2025-02-24,38.0,39.8,37.9,39.1,1785532.0
ASIATICLAB,2025-02-23,38.1,38.6,37.8,37.9,871562.0
ASIATICLAB,2025-02-20,38.6,38.6,37.7,37.9,621640.0
ASIATICLAB,2025-02-19,39.0,39.4,37.8,38.1,942585.0
ASIATICLAB,2025-02-18,39.6,39.9,38.6,38.8,1227536.0
ASIATICLAB,2025-02-17,38.5,39.8,38.5,39.5,709029.0
ASIATICLAB,2025-02-16,40.7,40.8,38.1,38.8,1442806.0
ASIATICLAB,2025-02-13,41.3,41.3,39.6,39.9,702995.0
ASIATICLAB,2025-02-12,40.2,41.3,39.9,40.9,933915.0
ASIATICLAB,2025-02-11,41.2,41.6,39.9,40.2,1340923.0
ASIATICLAB,2025-02-10,39.1,41.2,38.5,40.5,1694778.0
ASIATICLAB,2025-02-09,38.3,39.6,38.1,38.9,717807.0
ASIATICLAB,2025-02-06,39.5,39.5,37.7,38.0,1019574.0
ASIATICLAB,2025-02-05,44.0,44.6,38.9,39.3,1814353.0
ASIATICLAB,2025-02-04,41.3,41.4,40.6,40.8,431025.0
ASIATICLAB,2025-02-03,39.7,41.4,39.3,40.9,807505.0
ASIATICLAB,2025-02-02,40.0,40.7,39.7,40.2,514098.0
ASIATICLAB,2025-01-30,39.0,40.2,38.9,40.0,601616.0
ASIATICLAB,2025-01-29,36.1,39.9,35.2,38.7,1465806.0
ASIATICLAB,2025-01-28,40.0,40.7,38.8,39.0,1898509.0
ASIATICLAB,2025-01-27,38.3,39.9,37.9,39.6,1487896.0
ASIATICLAB,2025-01-26,37.5,38.3,37.2,37.6,792627.0
ASIATICLAB,2025-01-23,39.2,39.3,37.6,37.9,868336.0
ASIATICLAB,2025-01-22,39.9,40.2,38.4,39.0,1995030.0
ASIATICLAB,2025-01-21,41.7,42.3,37.7,38.9,3156899.0
ASIATICLAB,2025-01-20,41.5,42.7,40.7,41.8,3073341.0
ASIATICLAB,2025-01-19,42.3,43.4,41.1,41.7,2805183.0
ASIATICLAB,2025-01-16,40.2,42.5,39.5,41.9,2326359.0
ASIATICLAB,2025-01-15,38.6,42.0,38.4,40.1,3378018.0
ASIATICLAB,2025-01-14,37.3,39.2,37.3,38.4,2049889.0
ASIATICLAB,2025-01-13,38.1,38.5,36.9,37.2,1454785.0
ASIATICLAB,2025-01-12,37.9,39.2,37.5,38.1,2325060.0
ASIATICLAB,2025-01-09,37.4,38.1,37.0,37.9,1631712.0
ASIATICLAB,2025-01-08,36.1,38.3,36.0,37.3,2708324.0
ASIATICLAB,2025-01-07,35.3,36.9,35.3,36.1,2802588.0
ASIATICLAB,2025-01-06,34.5,35.7,34.5,35.3,976476.0
ASIATICLAB,2025-01-05,34.8,35.3,34.6,34.7,696649.0
ASIATICLAB,2025-01-02,35.1,35.7,34.9,35.0,899596.0
ASIATICLAB,2025-01-01,35.9,36.3,35.4,35.5,1050903.0
ASIATICLAB,2024-12-30,36.1,36.7,35.9,36.0,1559598.0
ASIATICLAB,2024-12-29,35.5,36.1,35.0,35.9,1823062.0
ASIATICLAB,2024-12-26,34.8,35.3,34.6,35.0,714393.0
ASIATICLAB,2024-12-24,35.1,35.3,34.5,34.8,874109.0
ASIATICLAB,2024-12-23,35.5,36.2,35.0,35.1,1113738.0
ASIATICLAB,2024-12-22,34.0,35.7,33.8,35.4,1548352.0
ASIATICLAB,2024-12-19,34.8,34.8,33.7,33.9,724099.0
ASIATICLAB,2024-12-18,35.2,35.5,34.2,34.5,1237354.0
ASIATICLAB,2024-12-17,36.0,36.1,34.7,35.1,1141466.0
ASIATICLAB,2024-12-15,35.1,36.4,34.8,35.7,2170770.0
ASIATICLAB,2024-12-12,37.0,37.0,35.0,35.2,1646888.0
ASIATICLAB,2024-12-11,35.3,37.4,35.2,36.7,3217025.0
ASIATICLAB,2024-12-10,35.0,35.8,34.9,35.2,2606481.0
ASIATICLAB,2024-12-09,34.9,35.5,34.7,34.9,1836768.0
ASIATICLAB,2024-12-08,33.1,34.8,32.8,34.3,1459872.0
ASIATICLAB,2024-12-05,34.0,34.6,33.5,33.6,1062675.0
ASIATICLAB,2024-12-04,33.7,35.5,33.5,34.1,2496359.0
ASIATICLAB,2024-12-03,34.7,35.9,33.7,34.2,4808585.0
ASIATICLAB,2024-12-02,31.0,33.8,31.0,33.8,2762853.0
ASIATICLAB,2024-12-01,28.8,31.5,28.8,30.8,2328452.0
ASIATICLAB,2024-11-28,31.5,32.1,30.9,31.1,1457955.0
ASIATICLAB,2024-11-27,31.0,32.3,30.6,31.2,1326869.0
ASIATICLAB,2024-11-26,32.2,32.4,30.6,30.8,925592.0
ASIATICLAB,2024-11-25,30.3,32.5,30.2,32.0,1585891.0
ASIATICLAB,2024-11-24,30.1,30.8,29.9,30.1,450123.0
ASIATICLAB,2024-11-21,31.1,31.1,29.9,30.2,857519.0
ASIATICLAB,2024-11-20,0.0,0.0,0.0,31.4,0.0
ASIATICLAB,2024-11-19,32.7,32.9,31.3,31.4,1339711.0
ASIATICLAB,2024-11-18,33.1,33.5,32.6,32.8,1567713.0
ASIATICLAB,2024-11-17,31.5,33.5,31.5,33.1,2073984.0
ASIATICLAB,2024-11-14,32.2,32.9,31.1,31.5,1324208.0
ASIATICLAB,2024-11-13,32.8,32.8,31.6,31.8,955121.0
ASIATICLAB,2024-11-12,33.2,33.5,32.4,32.6,1564938.0
ASIATICLAB,2024-11-11,32.4,33.1,32.3,32.9,1252772.0
ASIATICLAB,2024-11-10,32.9,33.4,32.0,32.2,1105518.0
ASIATICLAB,2024-11-07,33.3,33.8,32.4,32.8,1697333.0
ASIATICLAB,2024-11-06,34.5,34.6,33.1,33.5,2755567.0
ASIATICLAB,2024-11-05,35.9,36.1,34.3,34.5,4089281.0
ASIATICLAB,2024-11-04,34.4,35.5,33.4,35.1,2923363.0
ASIATICLAB,2024-11-03,33.0,35.6,33.0,34.0,2457729.0
ASIATICLAB,2024-10-31,35.7,35.7,32.0,32.9,3209545.0
ASIATICLAB,2024-10-30,31.9,34.7,31.9,34.5,3800017.0
ASIATICLAB,2024-10-29,29.8,31.7,28.5,31.6,1434180.0
ASIATICLAB,2024-10-28,28.2,30.2,27.8,28.9,1253280.0
ASIATICLAB,2024-10-27,31.8,32.0,28.5,28.5,1141720.0
ASIATICLAB,2024-10-24,32.4,32.9,31.3,31.6,788304.0
ASIATICLAB,2024-10-23,33.1,33.2,31.7,31.8,1145357.0
ASIATICLAB,2024-10-22,33.1,33.5,32.6,32.8,869946.0
ASIATICLAB,2024-10-21,32.2,33.4,31.9,32.6,980689.0
ASIATICLAB,2024-10-20,34.0,34.4,31.3,32.0,701767.0
ASIATICLAB,2024-10-17,35.0,35.5,33.4,33.8,1163982.0
ASIATICLAB,2024-10-16,34.4,35.5,34.3,34.8,1620622.0
ASIATICLAB,2024-10-15,35.0,35.6,34.1,34.3,1908757.0
ASIATICLAB,2024-10-14,33.6,35.3,33.5,35.0,2302600.0
ASIATICLAB,2024-10-09,32.2,33.9,31.8,33.4,1736972.0
ASIATICLAB,2024-10-08,32.7,32.7,31.0,31.6,949568.0
ASIATICLAB,2024-10-07,32.5,32.8,31.5,31.7,830216.0
ASIATICLAB,2024-10-06,32.5,33.4,31.9,32.2,927655.0
ASIATICLAB,2024-10-03,32.9,33.1,30.9,31.9,1072500.0
ASIATICLAB,2024-10-02,33.4,33.6,32.4,32.6,529563.0
ASIATICLAB,2024-10-01,34.4,34.7,33.5,33.7,524046.0
ASIATICLAB,2024-09-30,33.5,34.3,33.1,34.0,642603.0
ASIATICLAB,2024-09-29,34.4,34.7,33.1,33.3,502748.0
ASIATICLAB,2024-09-26,33.0,34.5,32.5,34.0,711689.0
ASIATICLAB,2024-09-25,36.0,36.2,33.7,34.1,1137440.0
ASIATICLAB,2024-09-24,37.3,37.4,35.6,35.9,728444.0
ASIATICLAB,2024-09-23,36.4,38.4,36.4,37.1,1712707.0
ASIATICLAB,2024-09-22,36.7,37.6,35.8,36.2,1727938.0
ASIATICLAB,2024-09-19,37.9,38.2,36.6,36.9,1376916.0
ASIATICLAB,2024-09-18,36.9,38.9,36.9,38.0,2267379.0
ASIATICLAB,2024-09-17,35.7,37.4,35.5,36.8,1734255.0
ASIATICLAB,2024-09-15,36.2,36.3,34.9,35.2,1122134.0
ASIATICLAB,2024-09-12,34.4,37.2,33.7,35.9,1475166.0
ASIATICLAB,2024-09-11,33.6,34.7,33.5,34.0,1009890.0
ASIATICLAB,2024-09-10,33.6,33.9,33.0,33.3,743558.0
ASIATICLAB,2024-09-09,34.8,34.8,31.7,32.9,1002106.0
ASIATICLAB,2024-09-08,37.0,37.3,32.9,33.5,978811.0
ASIATICLAB,2024-09-05,36.9,37.2,36.1,36.5,696002.0
ASIATICLAB,2024-09-04,36.9,37.5,36.6,36.7,690540.0
ASIATICLAB,2024-09-03,38.0,38.5,36.5,36.7,983556.0
ASIATICLAB,2024-09-02,40.5,40.9,38.0,38.4,2260722.0
ASIATICLAB,2024-09-01,36.4,39.9,36.4,39.9,2474968.0
ASIATICLAB,2024-08-29,35.0,36.9,34.4,36.3,1122234.0
ASIATICLAB,2024-08-28,34.6,36.7,34.6,35.3,1663249.0
ASIATICLAB,2024-08-27,35.6,36.4,35.6,35.6,1174204.0
ASIATICLAB,2024-08-25,36.6,36.6,36.6,36.6,65369.0
