Trading_Code,Date,Open,High,Low,Close,Volume
ATCSLGF,2025-04-08,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-04-07,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-04-06,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-27,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-25,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-24,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-23,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-20,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-19,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-18,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-17,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-16,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-13,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-12,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-11,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-10,0.0,0.0,0.0,7.5,0.0
ATCSLGF,2025-03-09,7.0,7.7,6.9,7.5,9739983.0
ATCSLGF,2025-03-06,6.9,7.0,6.8,7.0,2459930.0
ATCSLGF,2025-03-05,7.1,7.1,6.8,6.8,1500317.0
ATCSLGF,2025-03-04,6.8,7.2,6.8,7.1,2656896.0
ATCSLGF,2025-03-03,6.6,6.8,6.6,6.8,378898.0
ATCSLGF,2025-03-02,6.4,6.6,6.4,6.5,39345.0
ATCSLGF,2025-02-27,6.5,6.6,6.4,6.5,151392.0
ATCSLGF,2025-02-26,6.6,6.7,6.5,6.5,91700.0
ATCSLGF,2025-02-25,6.5,6.6,6.4,6.5,192220.0
ATCSLGF,2025-02-24,6.5,6.6,6.4,6.5,56851.0
ATCSLGF,2025-02-23,6.4,6.7,6.4,6.6,245301.0
ATCSLGF,2025-02-20,6.2,6.4,6.2,6.3,50871.0
ATCSLGF,2025-02-19,6.3,6.4,6.3,6.3,146401.0
ATCSLGF,2025-02-18,6.3,6.5,6.3,6.4,100886.0
ATCSLGF,2025-02-17,6.2,6.5,6.2,6.4,296203.0
ATCSLGF,2025-02-16,6.2,6.3,6.2,6.3,138311.0
ATCSLGF,2025-02-13,6.4,6.4,6.2,6.3,76365.0
ATCSLGF,2025-02-12,6.2,6.4,6.2,6.4,587180.0
