Trading_Code,Date,Open,High,Low,Close,Volume
ATLASBANG,2025-04-08,48.0,50.0,48.0,49.9,3641.0
ATLASBANG,2025-04-07,48.7,49.4,48.0,48.1,9076.0
ATLASBANG,2025-04-06,51.1,51.1,48.5,49.0,2636.0
ATLASBANG,2025-03-27,51.0,51.0,50.1,50.4,1805.0
ATLASBANG,2025-03-25,50.4,51.8,50.0,50.9,1740.0
ATLASBANG,2025-03-24,49.0,50.8,49.0,50.5,2147.0
ATLASBANG,2025-03-23,49.1,49.6,49.1,49.4,134.0
ATLASBANG,2025-03-20,48.9,49.3,48.9,48.9,2582.0
ATLASBANG,2025-03-19,50.0,50.4,49.1,49.3,2275.0
ATLASBANG,2025-03-18,48.3,49.6,48.2,48.7,2007.0
ATLASBANG,2025-03-17,0.0,0.0,0.0,49.2,0.0
ATLASBANG,2025-03-16,50.0,50.4,49.0,49.2,7223.0
ATLASBANG,2025-03-13,50.9,51.3,50.9,51.2,6589.0
ATLASBANG,2025-03-12,49.8,50.2,48.8,50.0,1322.0
ATLASBANG,2025-03-11,50.0,50.5,48.5,48.8,3255.0
ATLASBANG,2025-03-10,48.6,50.8,48.6,49.6,350.0
ATLASBANG,2025-03-09,51.6,51.6,48.0,48.2,17730.0
ATLASBANG,2025-03-06,52.1,52.1,49.4,49.7,4555.0
ATLASBANG,2025-03-05,51.4,51.5,50.8,51.1,2824.0
ATLASBANG,2025-03-04,50.7,51.5,50.7,51.4,551.0
ATLASBANG,2025-03-03,52.7,52.7,51.1,51.5,12075.0
ATLASBANG,2025-03-02,52.0,52.1,50.8,51.8,12980.0
ATLASBANG,2025-02-27,50.7,50.7,50.3,50.6,7732.0
ATLASBANG,2025-02-26,51.8,51.8,49.1,50.8,472.0
ATLASBANG,2025-02-25,50.0,50.5,50.0,50.4,13273.0
ATLASBANG,2025-02-24,50.0,50.0,49.6,50.0,39047.0
ATLASBANG,2025-02-23,51.2,51.2,50.0,50.0,4300.0
ATLASBANG,2025-02-20,52.9,52.9,52.9,52.9,1.0
ATLASBANG,2025-02-19,51.2,51.2,51.2,51.2,2.0
ATLASBANG,2025-02-18,52.0,52.0,52.0,52.0,429.0
ATLASBANG,2025-02-17,52.8,53.1,52.3,52.7,1065.0
ATLASBANG,2025-02-16,52.6,53.7,52.6,53.1,375.0
ATLASBANG,2025-02-13,52.0,53.0,52.0,52.9,3742.0
ATLASBANG,2025-02-12,51.1,52.0,51.0,51.7,1996.0
ATLASBANG,2025-02-11,50.8,51.0,50.2,50.7,2089.0
ATLASBANG,2025-02-10,51.9,51.9,50.6,50.8,729.0
ATLASBANG,2025-02-09,52.0,52.3,51.5,51.9,1078.0
ATLASBANG,2025-02-06,50.7,51.3,50.6,50.8,1207.0
ATLASBANG,2025-02-05,52.2,52.7,50.0,50.7,15337.0
ATLASBANG,2025-02-04,51.9,52.9,50.9,52.2,1839.0
ATLASBANG,2025-02-03,51.5,54.3,49.5,49.6,5537.0
ATLASBANG,2025-02-02,52.1,52.1,49.5,50.1,1001.0
ATLASBANG,2025-01-30,50.2,52.5,50.2,52.1,1252.0
ATLASBANG,2025-01-29,0.0,0.0,0.0,53.7,0.0
ATLASBANG,2025-01-28,52.7,53.9,52.7,53.7,800.0
