Trading_Code,Date,Open,High,Low,Close,Volume
BATASHOE,2025-04-08,819.0,819.0,810.9,813.5,448.0
BATASHOE,2025-04-07,827.6,828.0,813.0,815.7,294.0
BATASHOE,2025-04-06,825.0,830.0,825.0,827.5,213.0
BATASHOE,2025-03-27,837.0,837.0,830.0,834.7,168.0
BATASHOE,2025-03-25,822.5,846.0,822.5,837.1,113.0
BATASHOE,2025-03-24,828.2,828.3,820.0,820.5,553.0
BATASHOE,2025-03-23,837.5,837.5,824.0,828.3,231.0
BATASHOE,2025-03-20,822.0,829.0,821.2,826.1,240.0
BATASHOE,2025-03-19,830.0,834.9,815.0,827.7,215.0
BATASHOE,2025-03-18,830.0,838.0,825.0,831.0,108.0
BATASHOE,2025-03-17,807.5,840.0,807.5,827.7,192.0
BATASHOE,2025-03-16,842.9,842.9,835.0,835.7,311.0
BATASHOE,2025-03-13,830.0,845.0,830.0,843.7,317.0
BATASHOE,2025-03-12,840.0,860.0,840.0,846.1,600.0
BATASHOE,2025-03-11,820.0,860.0,806.5,840.2,1211.0
BATASHOE,2025-03-10,822.2,827.0,816.0,816.6,289.0
BATASHOE,2025-03-09,828.9,829.0,820.2,822.2,220.0
BATASHOE,2025-03-06,791.9,824.0,791.9,822.7,385.0
BATASHOE,2025-03-05,840.0,840.0,770.0,791.9,2642.0
BATASHOE,2025-03-04,890.0,890.0,793.2,828.6,3348.0
BATASHOE,2025-03-03,850.0,850.0,845.0,849.0,799.0
BATASHOE,2025-03-02,850.0,850.0,846.0,847.4,2249.0
BATASHOE,2025-02-27,848.5,849.0,847.0,847.7,303.0
BATASHOE,2025-02-26,850.0,850.0,846.0,848.5,313.0
BATASHOE,2025-02-25,850.0,855.0,847.0,848.4,788.0
BATASHOE,2025-02-24,859.3,859.3,850.0,851.0,274.0
BATASHOE,2025-02-23,850.6,855.0,850.0,851.0,595.0
BATASHOE,2025-02-20,851.0,862.0,848.1,855.4,91.0
BATASHOE,2025-02-19,860.0,860.0,848.5,849.2,970.0
BATASHOE,2025-02-18,864.8,864.8,855.0,855.4,544.0
BATASHOE,2025-02-17,865.0,865.0,859.5,864.0,127.0
BATASHOE,2025-02-16,862.0,867.4,862.0,865.1,176.0
BATASHOE,2025-02-13,860.0,869.9,859.1,861.0,129.0
