Trading_Code,Date,Open,High,Low,Close,Volume
BATBC,2025-04-08,320.4,322.8,319.7,321.8,48706.0
BATBC,2025-04-07,319.7,323.9,319.7,320.4,56688.0
BATBC,2025-04-06,323.5,323.5,319.5,320.7,46173.0
BATBC,2025-03-27,324.6,324.6,323.1,323.4,34363.0
BATBC,2025-03-25,324.9,324.9,322.6,323.9,50595.0
BATBC,2025-03-24,324.1,324.9,323.8,324.0,56603.0
BATBC,2025-03-23,325.0,325.0,324.0,324.2,48479.0
BATBC,2025-03-20,324.9,326.0,323.1,324.2,30548.0
BATBC,2025-03-19,326.9,326.9,323.0,324.7,42740.0
BATBC,2025-03-18,324.1,324.5,323.7,324.0,33153.0
BATBC,2025-03-17,326.0,327.4,323.4,324.0,37748.0
BATBC,2025-03-16,328.2,329.8,325.4,326.0,61739.0
BATBC,2025-03-13,328.3,329.1,327.6,328.2,47448.0
BATBC,2025-03-12,324.9,330.0,324.9,328.1,45862.0
BATBC,2025-03-11,324.9,327.0,324.1,324.9,51610.0
BATBC,2025-03-10,323.6,326.0,323.2,324.6,46188.0
BATBC,2025-03-09,326.6,327.8,324.0,324.3,57846.0
BATBC,2025-03-06,328.0,330.0,326.3,326.6,64039.0
BATBC,2025-03-05,327.0,329.2,326.0,327.6,77228.0
BATBC,2025-03-04,330.1,331.9,326.1,327.0,91941.0
BATBC,2025-03-03,334.4,334.4,330.1,330.7,100483.0
BATBC,2025-03-02,335.0,336.1,333.0,333.9,82692.0
BATBC,2025-02-27,340.0,340.0,330.2,334.0,226578.0
BATBC,2025-02-26,0.0,0.0,0.0,346.7,0.0
BATBC,2025-02-25,346.8,347.7,345.7,346.7,222597.0
BATBC,2025-02-24,345.5,348.0,344.9,345.6,116656.0
BATBC,2025-02-23,341.0,346.5,340.9,345.8,109752.0
BATBC,2025-02-20,344.0,344.0,338.0,339.0,351936.0
BATBC,2025-02-19,344.7,345.1,340.0,341.3,290222.0
BATBC,2025-02-18,346.7,347.0,343.8,344.7,292592.0
BATBC,2025-02-17,346.7,348.0,346.0,346.7,268747.0
BATBC,2025-02-16,350.3,350.3,346.2,346.7,127373.0
BATBC,2025-02-13,347.1,349.2,346.3,348.7,61317.0
BATBC,2025-02-12,348.3,348.3,346.1,346.8,61942.0
BATBC,2025-02-11,351.0,351.0,346.0,346.9,139369.0
BATBC,2025-02-10,351.0,351.3,349.0,349.3,144373.0
BATBC,2025-02-09,352.7,352.7,349.8,350.9,43529.0
BATBC,2025-02-06,349.9,354.0,259.0,350.1,167285.0
BATBC,2025-02-05,349.6,354.5,349.6,353.3,71696.0
BATBC,2025-02-04,354.0,354.5,349.2,349.6,92584.0
BATBC,2025-02-03,354.0,354.6,352.0,352.9,65233.0
BATBC,2025-02-02,353.6,355.4,351.4,352.9,60164.0
BATBC,2025-01-30,351.4,356.6,351.4,353.6,80419.0
BATBC,2025-01-29,344.6,351.5,344.6,350.7,70517.0
BATBC,2025-01-28,345.0,346.2,343.9,344.9,55850.0
BATBC,2025-01-27,347.0,347.1,343.9,345.1,50858.0
BATBC,2025-01-26,348.9,350.0,344.5,345.2,77733.0
BATBC,2025-01-23,349.7,350.4,348.5,349.0,45281.0
BATBC,2025-01-22,352.5,352.5,349.2,349.7,54633.0
BATBC,2025-01-21,352.0,353.8,349.9,350.1,79846.0
BATBC,2025-01-20,350.7,351.7,348.2,350.2,94192.0
BATBC,2025-01-19,353.0,353.0,350.0,350.5,41843.0
BATBC,2025-01-16,353.3,353.9,350.0,351.7,70116.0
BATBC,2025-01-15,357.3,357.3,352.0,353.3,95225.0
BATBC,2025-01-14,355.0,361.7,355.0,357.5,158269.0
BATBC,2025-01-13,354.4,355.9,354.1,355.0,78979.0
