Trading_Code,Date,Open,High,Low,Close,Volume
BBSCABLES,2025-04-08,17.8,17.9,17.1,17.3,223697.0
BBSCABLES,2025-04-07,17.7,18.2,17.6,17.7,120103.0
BBSCABLES,2025-04-06,17.7,18.0,17.6,17.7,119755.0
BBSCABLES,2025-03-27,18.5,18.5,18.2,18.3,152535.0
BBSCABLES,2025-03-25,18.1,18.4,18.1,18.4,215521.0
BBSCABLES,2025-03-24,18.5,18.7,18.0,18.1,348132.0
BBSCABLES,2025-03-23,19.1,19.2,18.2,18.5,446901.0
BBSCABLES,2025-03-20,18.7,19.7,18.6,19.2,1516950.0
BBSCABLES,2025-03-19,18.3,19.0,18.2,18.6,767067.0
BBSCABLES,2025-03-18,18.2,18.6,18.0,18.2,572047.0
BBSCABLES,2025-03-17,18.0,18.4,17.9,18.0,470130.0
BBSCABLES,2025-03-16,17.5,18.1,17.4,17.9,455056.0
BBSCABLES,2025-03-13,17.8,18.0,17.4,17.5,295538.0
BBSCABLES,2025-03-12,17.5,18.1,17.2,17.4,253559.0
BBSCABLES,2025-03-11,17.7,17.9,17.3,17.3,169667.0
BBSCABLES,2025-03-10,17.5,17.7,17.3,17.5,117896.0
BBSCABLES,2025-03-09,17.7,17.9,17.3,17.4,251027.0
BBSCABLES,2025-03-06,18.1,18.2,17.6,17.7,98910.0
BBSCABLES,2025-03-05,17.8,18.1,17.8,18.0,156706.0
BBSCABLES,2025-03-04,18.3,18.3,17.7,17.8,131850.0
BBSCABLES,2025-03-03,18.5,18.6,18.1,18.2,207571.0
BBSCABLES,2025-03-02,18.7,18.9,18.5,18.6,307303.0
BBSCABLES,2025-02-27,18.7,19.0,18.4,18.5,383016.0
BBSCABLES,2025-02-26,18.9,19.4,18.5,18.6,641588.0
BBSCABLES,2025-02-25,18.4,19.7,18.4,18.9,1625316.0
BBSCABLES,2025-02-24,18.5,18.9,18.3,18.3,538246.0
BBSCABLES,2025-02-23,17.8,18.8,17.6,18.6,1005946.0
BBSCABLES,2025-02-20,17.5,17.9,17.4,17.7,668170.0
BBSCABLES,2025-02-19,17.3,17.5,17.2,17.3,351248.0
BBSCABLES,2025-02-18,17.2,17.8,17.2,17.2,335053.0
BBSCABLES,2025-02-17,17.2,17.3,17.0,17.1,181645.0
BBSCABLES,2025-02-16,17.6,17.6,17.1,17.1,347617.0
BBSCABLES,2025-02-13,17.4,18.3,17.4,17.5,643616.0
BBSCABLES,2025-02-12,17.3,17.7,17.3,17.5,609464.0
BBSCABLES,2025-02-11,17.2,17.7,17.1,17.3,479072.0
BBSCABLES,2025-02-10,17.3,17.4,16.9,17.1,558687.0
BBSCABLES,2025-02-09,18.0,18.0,17.2,17.3,838309.0
BBSCABLES,2025-02-06,17.7,18.6,17.6,18.2,1581460.0
BBSCABLES,2025-02-05,15.9,17.2,15.9,17.2,1158008.0
BBSCABLES,2025-02-04,15.6,16.1,15.6,15.7,113380.0
BBSCABLES,2025-02-03,15.9,16.2,15.4,15.5,262894.0
BBSCABLES,2025-02-02,15.1,15.9,15.1,15.7,355452.0
BBSCABLES,2025-01-30,15.4,15.5,15.0,15.1,245996.0
BBSCABLES,2025-01-29,16.5,16.5,15.6,15.7,321000.0
BBSCABLES,2025-01-28,16.5,16.8,16.0,16.2,406180.0
BBSCABLES,2025-01-27,16.9,16.9,16.4,16.6,382051.0
BBSCABLES,2025-01-26,17.2,17.3,16.7,16.9,349318.0
BBSCABLES,2025-01-23,17.4,17.6,17.2,17.3,100326.0
BBSCABLES,2025-01-22,17.6,17.9,17.4,17.5,68382.0
BBSCABLES,2025-01-21,16.9,18.3,16.9,17.7,557715.0
BBSCABLES,2025-01-20,17.0,17.0,16.7,16.8,120459.0
BBSCABLES,2025-01-19,17.2,17.2,16.7,16.8,96463.0
BBSCABLES,2025-01-16,17.2,17.6,17.1,17.1,43946.0
BBSCABLES,2025-01-15,17.0,17.6,17.0,17.3,156374.0
BBSCABLES,2025-01-14,16.8,17.3,16.8,17.1,220454.0
BBSCABLES,2025-01-13,16.8,16.9,16.5,16.6,72465.0
BBSCABLES,2025-01-12,17.1,17.2,16.8,16.8,43366.0
