Trading_Code,Date,Open,High,Low,Close,Volume
BDBUILDING,2014-12-08,63.5,63.8,60.7,61.3,1234500.0
BDBUILDING,2014-12-06,58.0,58.3,57.4,57.6,383500.0
BDBUILDING,2014-12-05,68.0,68.9,66.5,66.8,653500.0
BDBUILDING,2014-12-03,67.2,67.9,66.1,66.3,286000.0
BDBUILDING,2014-12-02,71.0,71.8,68.9,69.9,777500.0
BDBUILDING,2014-12-01,74.0,75.4,73.3,73.7,1384000.0
BDBUILDING,2014-11-09,63.3,64.2,62.6,63.0,1051000.0
BDBUILDING,2014-11-08,63.8,65.4,62.9,63.5,2355000.0
BDBUILDING,2014-11-06,58.7,59.1,57.6,58.2,435500.0
BDBUILDING,2014-11-05,67.0,68.0,66.8,67.5,561000.0
BDBUILDING,2014-11-03,67.9,68.2,66.5,66.6,245000.0
BDBUILDING,2014-11-02,70.6,71.5,69.6,70.0,619500.0
BDBUILDING,2014-10-09,62.0,62.9,61.4,62.3,582500.0
BDBUILDING,2014-10-08,59.7,62.8,59.7,62.2,1910000.0
BDBUILDING,2014-10-07,55.4,55.4,54.3,54.4,213500.0
BDBUILDING,2014-10-06,58.5,60.7,57.6,58.7,977000.0
BDBUILDING,2014-10-04,68.0,68.4,67.4,67.5,188000.0
BDBUILDING,2014-10-03,67.0,68.5,66.8,67.1,265500.0
BDBUILDING,2014-10-02,73.5,73.5,70.7,71.2,978000.0
BDBUILDING,2014-09-29,60.3,61.6,59.4,60.6,1231000.0
BDBUILDING,2014-09-28,61.0,62.0,59.5,60.0,1050500.0
BDBUILDING,2014-09-25,61.0,61.4,59.3,60.1,1076500.0
BDBUILDING,2014-09-24,59.0,60.7,57.4,59.2,1222000.0
BDBUILDING,2014-09-23,63.9,63.9,58.4,59.1,996500.0
BDBUILDING,2014-09-22,63.0,65.4,62.0,62.4,1079000.0
BDBUILDING,2014-09-21,60.9,62.9,59.0,62.3,1391500.0
BDBUILDING,2014-09-18,56.0,60.8,56.0,57.9,787500.0
BDBUILDING,2014-09-17,58.9,61.8,57.7,59.6,693000.0
BDBUILDING,2014-09-16,61.5,61.5,56.3,56.8,1087500.0
BDBUILDING,2014-09-15,63.7,63.7,60.0,60.6,787000.0
BDBUILDING,2014-09-14,64.3,66.2,62.5,62.8,1876500.0
BDBUILDING,2014-09-09,61.9,62.0,60.5,61.0,581000.0
BDBUILDING,2014-09-07,56.0,56.4,54.8,54.9,265000.0
BDBUILDING,2014-09-06,52.4,56.7,52.1,56.7,445500.0
BDBUILDING,2014-09-04,69.0,70.0,67.4,68.0,409500.0
BDBUILDING,2014-09-03,69.2,69.2,66.2,66.4,406000.0
BDBUILDING,2014-09-02,71.0,73.9,70.6,72.9,2018000.0
BDBUILDING,2014-09-01,71.6,75.0,71.6,73.8,1935000.0
BDBUILDING,2014-08-31,66.1,68.0,65.2,65.7,2318500.0
BDBUILDING,2014-08-28,65.8,67.5,64.8,65.9,3335500.0
BDBUILDING,2014-08-27,63.0,66.0,62.9,64.7,2334500.0
BDBUILDING,2014-08-26,62.6,63.7,61.7,62.8,1074500.0
BDBUILDING,2014-08-25,64.9,64.9,61.7,62.2,871500.0
BDBUILDING,2014-08-24,60.7,64.4,60.7,63.9,1428500.0
BDBUILDING,2014-08-21,61.8,62.1,60.0,60.1,591500.0
BDBUILDING,2014-08-20,62.3,63.5,61.0,61.4,769000.0
BDBUILDING,2014-08-19,62.6,63.2,62.1,62.3,748500.0
BDBUILDING,2014-08-18,64.7,64.7,62.5,62.5,868500.0
BDBUILDING,2014-08-14,62.0,64.4,62.0,63.9,1399500.0
BDBUILDING,2014-08-13,63.0,63.0,61.3,61.4,828000.0
BDBUILDING,2014-08-09,61.3,62.5,60.5,60.6,601500.0
BDBUILDING,2014-08-07,56.8,56.8,55.3,55.6,424500.0
BDBUILDING,2014-08-06,53.5,54.0,51.1,51.6,328000.0
BDBUILDING,2014-08-05,66.8,67.2,65.9,66.7,402500.0
BDBUILDING,2014-08-04,66.8,69.3,66.5,68.3,511500.0
BDBUILDING,2014-08-01,68.2,71.0,68.2,70.2,1084500.0
BDBUILDING,2014-07-24,55.0,55.1,54.4,54.6,252500.0
BDBUILDING,2014-07-23,55.4,56.2,54.8,55.0,527500.0
BDBUILDING,2014-07-22,55.1,55.8,54.9,55.3,316000.0
BDBUILDING,2014-07-21,54.5,56.5,54.5,55.5,968000.0
BDBUILDING,2014-07-20,53.5,54.5,53.5,54.2,282000.0
BDBUILDING,2014-07-17,54.0,54.6,53.3,53.4,311500.0
BDBUILDING,2014-07-16,54.0,54.8,53.8,53.9,162500.0
BDBUILDING,2014-07-15,53.9,54.0,53.5,53.6,111500.0
BDBUILDING,2014-07-14,54.5,54.5,53.9,54.0,181500.0
BDBUILDING,2014-07-13,55.5,55.5,53.5,53.7,288000.0
BDBUILDING,2014-07-09,65.5,65.5,61.7,61.9,697500.0
BDBUILDING,2014-07-08,60.0,60.0,58.3,59.1,822500.0
BDBUILDING,2014-07-07,57.1,58.0,55.8,56.1,514500.0
BDBUILDING,2014-07-05,68.8,68.8,66.3,66.5,484000.0
BDBUILDING,2014-07-04,69.0,69.2,66.6,66.9,501500.0
BDBUILDING,2014-07-01,69.5,70.2,67.8,67.9,784500.0
BDBUILDING,2014-06-30,56.0,56.8,54.2,54.4,428000.0
BDBUILDING,2014-06-29,56.0,57.9,56.0,56.3,520500.0
BDBUILDING,2014-06-26,53.8,55.8,53.0,55.3,596000.0
BDBUILDING,2014-06-25,53.2,54.1,53.0,53.4,249500.0
BDBUILDING,2014-06-24,53.1,53.5,52.0,52.2,451500.0
BDBUILDING,2014-06-23,53.9,54.2,53.5,53.5,82000.0
BDBUILDING,2014-06-22,53.0,53.9,53.0,53.4,91000.0
BDBUILDING,2014-06-19,55.0,55.2,53.8,53.9,90500.0
BDBUILDING,2014-06-18,54.4,54.8,53.9,54.0,128000.0
BDBUILDING,2014-06-17,55.0,55.0,53.5,53.9,164500.0
BDBUILDING,2014-06-16,54.8,56.0,54.0,54.1,175000.0
BDBUILDING,2014-06-15,57.0,57.2,54.5,54.8,227500.0
BDBUILDING,2014-06-08,57.6,61.4,57.6,59.6,2246000.0
BDBUILDING,2014-06-07,55.2,57.7,55.2,57.2,1115500.0
BDBUILDING,2014-06-05,66.9,68.5,66.4,68.0,607000.0
BDBUILDING,2014-06-04,70.0,70.8,68.5,68.7,383000.0
BDBUILDING,2014-06-03,70.3,70.9,68.3,68.4,325000.0
BDBUILDING,2014-06-02,69.7,71.0,68.8,70.1,728500.0
BDBUILDING,2014-06-01,71.0,72.5,68.8,69.3,528000.0
BDBUILDING,2014-05-29,61.9,61.9,60.5,60.7,236000.0
BDBUILDING,2014-05-28,62.5,62.5,60.7,60.8,258500.0
BDBUILDING,2014-05-27,61.0,61.8,60.3,60.7,433000.0
BDBUILDING,2014-05-26,61.2,62.1,60.8,60.9,269000.0
BDBUILDING,2014-05-25,62.5,62.5,60.9,61.3,305000.0
BDBUILDING,2014-05-22,64.0,64.4,62.4,62.5,339000.0
BDBUILDING,2014-05-21,64.0,64.2,63.2,63.6,385500.0
BDBUILDING,2014-05-20,63.6,64.2,62.7,62.8,309000.0
BDBUILDING,2014-05-19,64.0,64.8,63.2,63.4,254000.0
BDBUILDING,2014-05-18,65.5,65.5,63.4,63.7,294000.0
BDBUILDING,2014-05-15,65.5,66.0,64.6,64.7,302500.0
BDBUILDING,2014-05-14,66.6,66.7,65.4,65.5,435500.0
BDBUILDING,2014-05-08,57.3,57.9,56.5,57.4,937000.0
BDBUILDING,2014-05-06,54.1,54.9,53.3,53.7,238000.0
