Trading_Code,Date,Open,High,Low,Close,Volume
BDLAMPS,2025-04-08,119.3,130.6,118.8,130.6,199922.0
BDLAMPS,2025-04-07,116.1,120.0,115.8,118.8,22331.0
BDLAMPS,2025-04-06,118.3,118.3,114.1,115.5,10873.0
BDLAMPS,2025-03-27,117.0,118.2,116.7,117.4,8363.0
BDLAMPS,2025-03-25,119.4,119.4,116.0,116.8,7369.0
BDLAMPS,2025-03-24,117.0,119.6,116.0,116.8,12347.0
BDLAMPS,2025-03-23,121.9,121.9,116.2,116.8,7306.0
BDLAMPS,2025-03-20,117.8,118.0,116.3,117.0,12954.0
BDLAMPS,2025-03-19,113.3,123.7,113.3,117.7,24110.0
BDLAMPS,2025-03-18,116.6,120.5,116.2,119.4,22247.0
BDLAMPS,2025-03-17,120.0,120.7,116.1,116.4,16651.0
BDLAMPS,2025-03-16,114.8,122.0,114.4,121.1,37780.0
BDLAMPS,2025-03-13,116.0,119.9,113.8,114.8,17857.0
BDLAMPS,2025-03-12,116.9,116.9,112.2,112.7,19374.0
BDLAMPS,2025-03-11,118.4,118.8,109.2,113.5,20192.0
BDLAMPS,2025-03-10,118.9,118.9,114.0,115.2,14197.0
BDLAMPS,2025-03-09,119.8,120.0,114.6,114.9,9915.0
BDLAMPS,2025-03-06,122.7,122.7,117.2,117.5,15431.0
BDLAMPS,2025-03-05,119.4,124.8,117.3,119.5,39053.0
BDLAMPS,2025-03-04,115.1,121.5,115.1,117.5,31194.0
BDLAMPS,2025-03-03,120.1,123.8,118.0,118.8,31796.0
BDLAMPS,2025-03-02,125.9,129.5,122.0,122.8,90006.0
BDLAMPS,2025-02-27,110.7,120.0,109.1,120.0,93200.0
BDLAMPS,2025-02-26,107.9,109.8,107.8,109.1,4050.0
BDLAMPS,2025-02-25,108.5,110.2,107.5,107.8,15366.0
BDLAMPS,2025-02-24,110.1,112.0,107.0,108.9,19018.0
BDLAMPS,2025-02-23,110.0,113.7,109.7,111.2,30625.0
BDLAMPS,2025-02-20,107.6,110.6,107.6,109.2,12610.0
BDLAMPS,2025-02-19,109.0,109.2,107.5,108.2,8542.0
BDLAMPS,2025-02-18,109.6,113.0,108.3,109.2,43216.0
BDLAMPS,2025-02-17,106.5,109.9,106.5,109.1,26724.0
BDLAMPS,2025-02-16,105.8,107.5,105.6,107.0,6290.0
BDLAMPS,2025-02-13,105.1,107.8,105.1,105.7,5194.0
BDLAMPS,2025-02-12,108.0,108.0,105.3,105.4,7661.0
BDLAMPS,2025-02-11,105.0,107.7,105.0,107.1,8018.0
BDLAMPS,2025-02-10,105.9,113.5,105.0,105.5,22121.0
BDLAMPS,2025-02-09,102.7,105.0,102.6,103.5,11841.0
BDLAMPS,2025-02-06,105.0,106.0,104.0,105.3,11594.0
BDLAMPS,2025-02-05,106.8,107.0,104.7,105.0,19484.0
BDLAMPS,2025-02-04,106.2,108.4,104.8,105.7,9185.0
BDLAMPS,2025-02-03,106.3,108.0,104.8,106.4,19720.0
BDLAMPS,2025-02-02,100.1,107.9,100.1,104.3,5989.0
BDLAMPS,2025-01-30,105.3,108.9,105.0,105.4,9186.0
BDLAMPS,2025-01-29,104.3,109.8,104.3,108.2,21490.0
BDLAMPS,2025-01-28,104.0,107.0,104.0,105.0,7880.0
BDLAMPS,2025-01-27,100.0,107.9,100.0,105.0,8216.0
BDLAMPS,2025-01-26,106.1,108.9,104.0,105.4,7074.0
BDLAMPS,2025-01-23,109.0,110.0,106.2,106.8,17048.0
BDLAMPS,2025-01-22,108.6,114.7,107.5,108.9,33814.0
BDLAMPS,2025-01-21,110.9,111.1,108.0,108.1,20184.0
BDLAMPS,2025-01-20,114.2,114.2,106.0,110.0,62936.0
BDLAMPS,2025-01-19,104.0,107.9,103.0,103.9,10542.0
BDLAMPS,2025-01-16,104.8,114.1,101.0,103.4,10895.0
BDLAMPS,2025-01-15,103.4,104.9,101.9,103.8,27026.0
BDLAMPS,2025-01-14,99.3,101.9,99.3,100.6,8024.0
BDLAMPS,2025-01-13,99.1,101.0,98.2,99.6,6759.0
BDLAMPS,2025-01-12,103.9,103.9,99.0,99.7,14809.0
BDLAMPS,2025-01-09,101.2,103.8,100.7,100.9,4877.0
BDLAMPS,2025-01-08,101.8,103.0,100.9,101.0,3940.0
BDLAMPS,2025-01-07,100.5,103.5,100.5,102.6,12603.0
BDLAMPS,2025-01-06,101.7,104.0,100.1,100.6,7749.0
BDLAMPS,2025-01-05,101.2,104.0,101.0,101.8,3275.0
BDLAMPS,2025-01-02,102.8,104.9,101.8,101.9,4065.0
BDLAMPS,2025-01-01,103.0,106.5,102.3,102.8,3842.0
BDLAMPS,2024-12-30,103.0,106.0,102.6,102.8,5140.0
BDLAMPS,2024-12-29,103.6,104.9,102.2,102.5,2396.0
BDLAMPS,2024-12-26,103.1,104.0,101.0,101.7,1961.0
BDLAMPS,2024-12-24,105.0,105.0,103.0,103.0,4165.0
BDLAMPS,2024-12-23,103.2,106.9,103.1,103.2,5443.0
BDLAMPS,2024-12-22,103.2,107.3,103.0,104.2,4004.0
BDLAMPS,2024-12-19,104.2,106.7,101.0,103.0,2689.0
BDLAMPS,2024-12-18,104.3,108.0,104.3,105.0,4345.0
BDLAMPS,2024-12-17,110.4,110.4,105.0,105.8,3968.0
BDLAMPS,2024-12-15,104.6,107.7,103.0,104.6,8642.0
BDLAMPS,2024-12-12,105.1,108.0,104.0,104.6,2261.0
BDLAMPS,2024-12-11,107.0,107.0,104.0,104.9,3636.0
BDLAMPS,2024-12-10,105.0,108.0,104.0,105.9,2900.0
BDLAMPS,2024-12-09,105.0,109.6,104.8,104.9,4426.0
BDLAMPS,2024-12-08,104.9,108.3,104.5,104.7,6293.0
BDLAMPS,2024-12-05,107.0,108.7,105.3,105.9,6783.0
BDLAMPS,2024-12-04,104.1,108.8,104.1,106.9,7145.0
BDLAMPS,2024-12-03,106.0,110.0,106.0,107.2,4334.0
BDLAMPS,2024-12-02,105.7,111.0,105.7,106.2,5496.0
BDLAMPS,2024-12-01,106.3,109.0,105.1,105.4,3270.0
BDLAMPS,2024-11-28,107.1,115.7,106.0,106.8,26030.0
BDLAMPS,2024-11-27,104.4,109.0,104.4,107.0,1447.0
BDLAMPS,2024-11-26,104.1,106.0,103.3,104.3,6079.0
BDLAMPS,2024-11-25,106.5,108.2,104.9,106.5,10356.0
BDLAMPS,2024-11-24,104.5,106.9,104.4,106.0,3097.0
BDLAMPS,2024-11-21,107.9,107.9,104.4,104.6,9622.0
BDLAMPS,2024-11-20,107.9,107.9,104.1,105.6,5788.0
BDLAMPS,2024-11-19,106.1,109.9,105.4,106.0,8201.0
BDLAMPS,2024-11-18,105.4,110.0,105.4,107.4,12227.0
BDLAMPS,2024-11-17,0.0,0.0,0.0,109.9,0.0
BDLAMPS,2024-11-14,109.8,110.8,108.5,109.9,8931.0
BDLAMPS,2024-11-13,111.3,112.9,105.3,105.8,14347.0
BDLAMPS,2024-11-12,117.0,117.0,110.4,111.1,7813.0
BDLAMPS,2024-11-11,116.0,116.0,110.1,114.7,3036.0
BDLAMPS,2024-11-10,116.5,117.0,111.0,112.6,3421.0
BDLAMPS,2024-11-07,114.3,117.0,113.4,113.5,8540.0
BDLAMPS,2024-11-06,118.5,118.8,113.0,114.8,18676.0
BDLAMPS,2024-11-05,114.0,118.5,114.0,117.7,16489.0
BDLAMPS,2024-11-04,109.7,117.0,109.4,114.4,9621.0
BDLAMPS,2024-11-03,114.1,117.0,110.0,110.4,7243.0
BDLAMPS,2024-10-31,119.9,120.0,113.3,113.8,21967.0
BDLAMPS,2024-10-30,107.9,116.9,106.1,116.3,16660.0
BDLAMPS,2024-10-29,103.0,108.9,103.0,106.3,7515.0
BDLAMPS,2024-10-28,124.8,124.8,98.8,103.4,17166.0
BDLAMPS,2024-10-27,104.2,111.0,100.5,101.2,12292.0
BDLAMPS,2024-10-24,110.9,110.9,104.0,108.2,6337.0
BDLAMPS,2024-10-23,113.3,113.4,103.4,105.3,4249.0
BDLAMPS,2024-10-22,109.0,114.4,109.0,112.4,10912.0
BDLAMPS,2024-10-21,108.0,113.8,106.7,111.1,5487.0
BDLAMPS,2024-10-20,118.4,126.0,108.5,109.0,13175.0
BDLAMPS,2024-10-17,115.2,116.0,113.5,114.9,7330.0
BDLAMPS,2024-10-16,117.5,118.1,115.7,116.4,3829.0
BDLAMPS,2024-10-15,115.8,119.8,115.8,117.5,3665.0
BDLAMPS,2024-10-14,119.5,123.5,115.0,116.5,1966.0
BDLAMPS,2024-10-09,117.9,120.0,116.0,119.2,7217.0
