Trading_Code,Date,Open,High,Low,Close,Volume
BDLUGGAGE,2009-12-03,26.0,26.0,23.0,24.25,650.0
BDLUGGAGE,2009-12-01,23.5,23.75,22.0,23.25,2500.0
BDLUGGAGE,2009-11-03,29.0,29.0,27.75,28.75,800.0
BDLUGGAGE,2009-09-03,29.0,29.0,28.0,28.75,850.0
BDLUGGAGE,2009-09-02,37.5,37.5,37.0,37.0,150.0
BDLUGGAGE,2009-08-03,32.0,32.0,29.5,31.25,1050.0
BDLUGGAGE,2009-07-01,22.0,24.0,22.0,22.5,400.0
BDLUGGAGE,2009-06-01,22.5,24.5,22.5,23.5,3500.0
BDLUGGAGE,2009-05-03,33.0,33.0,33.0,33.0,100.0
BDLUGGAGE,2009-05-02,35.0,38.0,35.0,35.75,10450.0
BDLUGGAGE,2009-05-01,21.5,22.75,21.5,22.5,3850.0
BDLUGGAGE,2009-04-03,35.25,35.5,35.0,35.0,4900.0
BDLUGGAGE,2009-04-02,29.75,33.75,29.0,33.25,5750.0
BDLUGGAGE,2009-04-01,21.75,21.75,20.0,21.25,300.0
BDLUGGAGE,2009-03-15,26.0,29.0,26.0,28.25,950.0
BDLUGGAGE,2009-03-03,45.0,45.0,35.0,37.75,10450.0
BDLUGGAGE,2009-03-02,28.0,29.5,28.0,28.25,1000.0
BDLUGGAGE,2009-02-26,29.25,34.0,29.25,32.0,5200.0
BDLUGGAGE,2009-02-25,29.0,29.0,28.25,28.75,450.0
BDLUGGAGE,2009-02-24,30.5,32.0,30.0,30.5,4900.0
BDLUGGAGE,2009-02-23,33.0,33.0,29.0,30.0,1050.0
BDLUGGAGE,2009-02-22,37.25,37.25,34.0,35.25,250.0
BDLUGGAGE,2009-02-03,36.25,42.25,35.75,41.75,8800.0
BDLUGGAGE,2009-02-02,30.0,31.0,29.0,30.0,1600.0
BDLUGGAGE,2009-01-29,28.75,31.75,28.5,30.25,6200.0
BDLUGGAGE,2009-01-28,26.5,30.5,26.5,29.75,4950.0
BDLUGGAGE,2009-01-26,26.5,26.5,25.5,25.75,3000.0
BDLUGGAGE,2009-01-25,24.5,24.75,24.5,24.5,2500.0
BDLUGGAGE,2009-01-22,24.0,24.25,23.0,24.0,3150.0
