Trading_Code,Date,Open,High,Low,Close,Volume
BDWELDING,2025-04-08,11.0,11.5,11.0,11.1,23964.0
BDWELDING,2025-04-07,11.4,11.6,11.0,11.1,28459.0
BDWELDING,2025-04-06,11.6,11.6,11.4,11.4,35226.0
BDWELDING,2025-03-27,11.7,11.9,11.7,11.8,20200.0
BDWELDING,2025-03-25,11.7,11.8,11.5,11.7,36154.0
BDWELDING,2025-03-24,11.6,11.9,11.5,11.5,9732.0
BDWELDING,2025-03-23,11.4,12.0,11.4,11.7,20393.0
BDWELDING,2025-03-20,12.3,12.3,11.4,11.4,70491.0
BDWELDING,2025-03-19,12.0,12.1,11.7,11.8,27315.0
BDWELDING,2025-03-18,12.2,12.3,12.0,12.1,8981.0
BDWELDING,2025-03-17,12.0,12.1,11.9,12.0,43699.0
BDWELDING,2025-03-16,12.2,12.3,11.9,12.0,24415.0
BDWELDING,2025-03-13,12.1,12.1,12.0,12.0,39455.0
BDWELDING,2025-03-12,12.1,12.4,11.9,12.0,25506.0
BDWELDING,2025-03-11,12.2,12.2,12.0,12.2,63186.0
BDWELDING,2025-03-10,12.1,12.1,11.8,11.9,14410.0
BDWELDING,2025-03-09,11.9,12.1,11.8,12.0,16300.0
BDWELDING,2025-03-06,11.8,12.4,11.8,12.3,60448.0
BDWELDING,2025-03-05,12.0,12.3,11.8,11.9,31292.0
BDWELDING,2025-03-04,12.4,12.4,11.8,12.0,72865.0
BDWELDING,2025-03-03,12.3,12.4,12.2,12.2,25839.0
BDWELDING,2025-03-02,12.8,12.8,12.2,12.4,62068.0
BDWELDING,2025-02-27,12.7,12.8,12.5,12.6,62799.0
BDWELDING,2025-02-26,12.6,12.9,12.2,12.5,142784.0
BDWELDING,2025-02-25,13.0,13.2,12.5,12.6,92040.0
BDWELDING,2025-02-24,12.8,12.9,12.5,12.8,151774.0
BDWELDING,2025-02-23,12.3,13.1,12.3,12.6,393894.0
BDWELDING,2025-02-20,12.2,12.8,11.8,12.2,152609.0
BDWELDING,2025-02-19,11.8,11.9,11.6,11.8,51705.0
BDWELDING,2025-02-18,11.4,12.1,11.3,11.7,217546.0
BDWELDING,2025-02-17,11.5,11.6,11.4,11.4,42623.0
BDWELDING,2025-02-16,11.4,11.6,11.3,11.5,66913.0
BDWELDING,2025-02-13,11.6,11.6,11.3,11.3,68410.0
BDWELDING,2025-02-12,12.5,12.5,11.3,11.4,31423.0
BDWELDING,2025-02-11,11.9,11.9,11.3,11.5,44106.0
BDWELDING,2025-02-10,11.8,11.8,11.1,11.3,14013.0
BDWELDING,2025-02-09,12.0,12.0,11.0,11.0,120979.0
BDWELDING,2025-02-06,11.5,12.3,11.5,11.7,93549.0
BDWELDING,2025-02-05,11.0,11.4,10.9,11.3,60960.0
BDWELDING,2025-02-04,11.0,11.2,10.8,10.9,77761.0
BDWELDING,2025-02-03,10.9,11.1,10.8,10.9,72737.0
BDWELDING,2025-02-02,10.5,10.9,10.5,10.8,19413.0
BDWELDING,2025-01-30,10.8,10.8,10.5,10.6,14037.0
BDWELDING,2025-01-29,10.8,10.8,10.8,10.8,11100.0
BDWELDING,2025-01-28,11.0,11.2,10.8,11.0,11590.0
BDWELDING,2025-01-27,10.9,11.1,10.7,10.9,11305.0
BDWELDING,2025-01-26,10.8,10.8,10.6,10.7,3810.0
BDWELDING,2025-01-23,11.2,11.2,10.9,10.9,23000.0
BDWELDING,2025-01-22,11.0,11.1,10.9,11.0,22991.0
BDWELDING,2025-01-21,10.9,11.4,10.9,11.1,51314.0
BDWELDING,2025-01-20,10.7,11.0,10.7,11.0,35137.0
BDWELDING,2025-01-19,11.3,11.4,10.7,10.7,22074.0
BDWELDING,2025-01-16,10.7,11.3,10.7,11.0,206739.0
BDWELDING,2025-01-15,10.7,10.9,10.2,10.3,87028.0
BDWELDING,2025-01-14,10.2,10.4,10.0,10.1,35296.0
BDWELDING,2025-01-13,10.4,10.4,10.0,10.1,18210.0
BDWELDING,2025-01-12,10.4,10.4,10.1,10.3,28718.0
BDWELDING,2025-01-09,10.4,10.5,10.2,10.3,11643.0
BDWELDING,2025-01-08,10.4,10.6,10.2,10.4,48081.0
BDWELDING,2025-01-07,10.7,10.8,10.0,10.0,168307.0
BDWELDING,2025-01-06,10.7,10.8,10.2,10.3,32212.0
BDWELDING,2025-01-05,10.7,10.7,10.0,10.5,17668.0
BDWELDING,2025-01-02,11.1,11.1,10.1,10.1,24899.0
BDWELDING,2025-01-01,10.0,10.3,10.0,10.1,15210.0
BDWELDING,2024-12-30,10.2,10.2,10.0,10.1,7799.0
BDWELDING,2024-12-29,9.8,10.2,9.8,10.0,25272.0
BDWELDING,2024-12-26,10.5,10.5,9.7,9.8,26375.0
BDWELDING,2024-12-24,10.2,10.3,9.8,10.2,9045.0
BDWELDING,2024-12-23,11.0,11.0,9.7,9.8,81285.0
BDWELDING,2024-12-22,11.0,11.0,10.2,10.7,8410.0
BDWELDING,2024-12-19,11.1,11.1,10.6,10.7,9522.0
BDWELDING,2024-12-18,10.9,11.0,10.6,10.8,6350.0
BDWELDING,2024-12-17,10.8,11.0,10.8,10.9,9751.0
BDWELDING,2024-12-15,10.6,10.8,10.6,10.7,15503.0
BDWELDING,2024-12-12,11.0,11.0,10.6,10.6,15553.0
BDWELDING,2024-12-11,11.2,11.2,10.7,10.8,15931.0
BDWELDING,2024-12-10,11.0,11.2,10.9,11.0,20066.0
BDWELDING,2024-12-09,11.5,11.5,10.8,11.0,16791.0
BDWELDING,2024-12-08,11.4,11.4,10.5,10.8,9794.0
BDWELDING,2024-12-05,11.6,11.6,10.8,10.9,33609.0
BDWELDING,2024-12-04,10.9,11.8,10.9,11.5,79935.0
BDWELDING,2024-12-03,10.9,11.1,10.7,11.0,88668.0
BDWELDING,2024-12-02,11.6,11.6,10.5,10.7,21875.0
BDWELDING,2024-12-01,10.3,10.8,10.3,10.6,6145.0
BDWELDING,2024-11-28,10.9,11.0,10.3,10.5,44376.0
BDWELDING,2024-11-27,10.9,10.9,10.1,10.3,11541.0
BDWELDING,2024-11-26,11.0,11.0,9.9,10.2,27715.0
BDWELDING,2024-11-25,10.5,10.5,9.7,10.2,66189.0
BDWELDING,2024-11-24,11.5,11.5,9.6,9.7,95986.0
BDWELDING,2024-11-21,11.4,11.4,10.4,10.5,71135.0
BDWELDING,2024-11-20,12.0,12.0,10.7,10.9,28754.0
BDWELDING,2024-11-19,11.8,11.8,10.8,11.0,44731.0
BDWELDING,2024-11-18,12.0,12.0,11.0,11.3,65248.0
BDWELDING,2024-11-17,11.9,11.9,11.4,11.5,14103.0
BDWELDING,2024-11-14,11.9,11.9,11.2,11.5,54124.0
BDWELDING,2024-11-13,12.5,12.5,11.0,11.1,20647.0
BDWELDING,2024-11-12,12.5,12.5,11.4,11.5,12046.0
BDWELDING,2024-11-11,12.4,12.4,11.7,11.8,42101.0
BDWELDING,2024-11-10,12.6,12.6,11.8,11.9,12626.0
BDWELDING,2024-11-07,12.0,12.5,11.7,11.8,30990.0
BDWELDING,2024-11-06,12.0,12.5,10.9,11.6,128325.0
BDWELDING,2024-11-05,12.2,12.6,12.0,12.1,43296.0
BDWELDING,2024-11-04,11.8,12.2,11.4,12.0,90852.0
BDWELDING,2024-11-03,12.2,12.2,11.2,11.6,40323.0
BDWELDING,2024-10-31,12.5,12.5,11.4,12.0,22367.0
BDWELDING,2024-10-30,11.9,11.9,11.1,11.5,14562.0
BDWELDING,2024-10-29,12.0,12.0,10.8,10.9,46737.0
BDWELDING,2024-10-28,12.0,12.0,11.0,11.1,39138.0
BDWELDING,2024-10-27,11.8,11.8,11.3,11.4,17213.0
BDWELDING,2024-10-24,11.9,13.0,11.6,12.5,94003.0
BDWELDING,2024-10-23,12.5,12.5,11.8,11.9,6545.0
BDWELDING,2024-10-22,11.5,12.6,11.4,11.8,56561.0
BDWELDING,2024-10-21,11.8,11.8,11.5,11.5,15045.0
BDWELDING,2024-10-20,12.3,12.3,11.5,11.5,26098.0
BDWELDING,2024-10-17,12.6,12.6,11.9,11.9,33539.0
BDWELDING,2024-10-16,12.8,12.8,12.0,12.0,22106.0
BDWELDING,2024-10-15,11.9,12.6,11.9,12.2,9638.0
BDWELDING,2024-10-14,12.9,12.9,12.2,12.4,5819.0
BDWELDING,2024-10-09,12.4,12.8,12.0,12.3,15656.0
BDWELDING,2024-10-08,12.9,12.9,12.0,12.2,3954.0
BDWELDING,2024-10-07,11.9,12.2,11.8,11.8,43841.0
BDWELDING,2024-10-06,13.0,13.0,12.0,12.1,17102.0
BDWELDING,2024-10-03,13.4,13.4,11.8,12.1,26089.0
BDWELDING,2024-10-02,13.4,13.4,12.0,12.2,83761.0
BDWELDING,2024-10-01,13.1,13.1,12.7,12.8,19570.0
BDWELDING,2024-09-30,13.1,13.2,12.8,13.0,29560.0
BDWELDING,2024-09-29,13.2,13.2,12.3,12.6,7469.0
