Trading_Code,Date,Open,High,Low,Close,Volume
BEDL,2015-12-03,31.5,31.7,31.3,31.4,497396.0
BEDL,2015-12-02,34.5,34.9,34.0,34.7,1879799.0
BEDL,2015-12-01,34.4,34.6,33.6,34.3,1281187.0
BEDL,2015-11-03,32.1,32.3,31.1,31.4,575578.0
BEDL,2015-11-02,34.0,34.5,33.7,34.3,1635838.0
BEDL,2015-11-01,34.3,34.7,33.5,33.7,790244.0
BEDL,2015-10-03,32.4,32.5,31.9,32.1,552888.0
BEDL,2015-10-02,33.6,34.2,33.6,33.8,1571157.0
BEDL,2015-09-03,31.9,32.3,31.8,32.2,603976.0
BEDL,2015-09-02,33.6,33.9,33.2,33.7,657277.0
BEDL,2015-08-03,31.2,31.7,31.2,31.5,331776.0
BEDL,2015-08-02,33.0,33.5,33.0,33.4,753254.0
BEDL,2015-08-01,34.5,34.7,34.3,34.4,680522.0
BEDL,2015-07-01,35.0,35.5,34.4,34.7,1284110.0
BEDL,2015-06-01,34.0,35.1,33.9,34.9,1329040.0
BEDL,2015-05-04,31.4,31.9,31.2,31.4,531430.0
BEDL,2015-05-03,31.2,31.6,31.1,31.3,220127.0
BEDL,2015-05-02,32.9,33.2,32.8,33.1,542407.0
BEDL,2015-05-01,33.8,34.2,33.4,34.0,477946.0
BEDL,2015-04-03,31.3,31.7,31.3,31.4,249212.0
BEDL,2015-04-02,32.8,33.4,32.7,33.2,437663.0
BEDL,2015-03-31,31.1,32.7,31.0,32.5,1603916.0
BEDL,2015-03-30,31.5,31.6,31.0,31.1,363279.0
BEDL,2015-03-29,30.3,31.8,30.3,31.3,925426.0
BEDL,2015-03-25,30.2,30.6,29.9,30.2,477752.0
BEDL,2015-03-24,30.7,30.8,30.2,30.3,219701.0
BEDL,2015-03-23,31.1,31.4,30.4,30.5,398288.0
BEDL,2015-03-22,30.9,31.2,30.6,31.0,365788.0
BEDL,2015-03-19,30.5,30.6,30.2,30.3,175653.0
BEDL,2015-03-18,30.6,30.7,30.1,30.4,361832.0
BEDL,2015-03-16,31.2,31.2,30.7,30.9,421058.0
BEDL,2015-03-15,31.1,31.8,31.1,31.2,296976.0
BEDL,2015-03-03,31.8,31.9,31.3,31.4,417923.0
BEDL,2015-03-02,32.5,33.2,32.5,32.9,606379.0
BEDL,2015-02-26,32.5,32.8,32.3,32.4,476732.0
BEDL,2015-02-25,33.0,33.2,32.4,32.4,804205.0
BEDL,2015-02-24,33.1,33.3,32.9,33.0,782071.0
BEDL,2015-02-23,33.1,33.4,32.7,32.9,496430.0
BEDL,2015-02-22,32.8,33.3,32.8,33.0,513217.0
BEDL,2015-02-19,33.5,33.5,32.8,32.9,441286.0
BEDL,2015-02-18,33.8,33.9,33.0,33.2,764832.0
BEDL,2015-02-17,33.1,33.8,33.1,33.6,641179.0
BEDL,2015-02-16,34.1,34.5,33.2,33.5,862375.0
BEDL,2015-02-15,34.8,34.8,34.2,34.3,842220.0
BEDL,2015-02-04,31.7,31.9,31.2,31.4,402094.0
BEDL,2015-02-03,32.1,32.3,31.7,31.9,441454.0
BEDL,2015-02-02,33.0,33.1,32.3,32.7,409940.0
BEDL,2015-01-29,32.9,33.9,32.6,33.7,1066696.0
BEDL,2015-01-28,33.0,33.5,32.8,33.0,544885.0
BEDL,2015-01-27,32.6,33.7,32.5,33.4,400607.0
BEDL,2015-01-26,32.8,33.2,32.5,32.7,355360.0
BEDL,2015-01-25,33.6,33.6,32.5,32.6,493731.0
BEDL,2015-01-22,33.3,33.9,33.1,33.6,593147.0
BEDL,2015-01-21,34.0,34.6,32.8,33.3,693297.0
BEDL,2015-01-20,34.5,34.9,33.8,34.2,420065.0
BEDL,2015-01-19,35.0,35.2,34.2,34.4,977565.0
BEDL,2015-01-18,35.4,35.4,34.8,35.0,1173695.0
BEDL,2015-01-15,35.1,35.8,35.1,35.6,1056927.0
BEDL,2015-01-14,36.5,36.5,34.5,35.3,1354927.0
BEDL,2015-01-13,34.8,36.7,34.8,36.2,3808779.0
BEDL,2015-01-04,32.8,32.9,31.5,31.6,617027.0
BEDL,2015-01-03,32.9,32.9,32.0,32.1,457349.0
BEDL,2015-01-02,33.8,34.0,32.7,32.8,515521.0
BEDL,2015-01-01,33.3,34.2,33.1,33.9,619838.0
BEDL,2014-12-30,32.6,33.2,32.6,33.0,844281.0
BEDL,2014-12-29,32.3,33.0,32.2,32.6,633715.0
BEDL,2014-12-28,32.8,33.1,32.0,32.2,561835.0
BEDL,2014-12-24,33.2,33.8,32.9,33.0,722530.0
BEDL,2014-12-23,33.7,33.9,32.9,33.7,702117.0
BEDL,2014-12-22,34.0,34.9,33.8,34.0,519065.0
BEDL,2014-12-21,34.7,35.3,34.0,34.3,771423.0
BEDL,2014-12-18,33.1,34.6,32.8,34.3,673355.0
BEDL,2014-12-17,33.5,33.8,31.0,32.7,699875.0
BEDL,2014-12-15,33.5,34.0,33.2,33.3,302451.0
BEDL,2014-12-14,33.9,34.3,33.0,33.5,557662.0
BEDL,2014-12-11,39.2,39.8,37.4,37.8,5737200.0
BEDL,2014-12-10,36.6,37.2,35.8,36.1,2610400.0
BEDL,2014-12-08,32.8,33.0,31.9,32.3,2100000.0
BEDL,2014-12-06,31.2,31.6,30.8,30.9,882600.0
BEDL,2014-12-05,29.8,30.0,29.2,29.3,155600.0
BEDL,2014-12-03,32.1,32.2,31.6,31.6,314800.0
BEDL,2014-12-02,34.5,34.5,33.9,33.9,313000.0
BEDL,2014-12-01,36.0,36.6,35.7,36.0,1753400.0
BEDL,2014-11-30,36.1,36.2,34.2,34.5,1056600.0
BEDL,2014-11-27,36.0,36.3,34.8,35.3,721400.0
BEDL,2014-11-26,36.5,36.8,35.4,35.5,1578800.0
BEDL,2014-11-25,37.5,37.9,36.1,36.4,1853200.0
BEDL,2014-11-24,38.0,38.0,36.5,36.8,3043000.0
BEDL,2014-11-23,39.8,40.2,37.5,37.6,2386200.0
BEDL,2014-11-20,39.6,40.9,38.9,39.3,3699800.0
BEDL,2014-11-19,39.0,40.9,38.3,39.4,6719600.0
BEDL,2014-11-18,37.0,38.4,37.0,38.1,4171400.0
BEDL,2014-11-17,38.0,38.0,36.0,37.0,4046800.0
BEDL,2014-11-16,38.6,38.8,37.0,37.3,3928200.0
BEDL,2014-11-13,38.1,38.9,37.5,37.8,4758200.0
BEDL,2014-11-12,34.2,34.6,34.0,34.2,252958.0
BEDL,2014-11-11,35.8,39.1,35.5,39.0,6858600.0
