Trading_Code,Date,Open,High,Low,Close,Volume
BENGALWTL,2025-04-08,18.4,19.0,18.1,18.7,248198.0
BENGALWTL,2025-04-07,18.1,18.8,18.1,18.3,288599.0
BENGALWTL,2025-04-06,18.9,18.9,18.0,18.6,263252.0
BENGALWTL,2025-03-27,19.1,19.6,18.7,19.0,422052.0
BENGALWTL,2025-03-25,19.2,19.8,19.2,19.4,235215.0
BENGALWTL,2025-03-24,19.9,20.2,19.3,19.5,258486.0
BENGALWTL,2025-03-23,20.2,20.6,19.8,19.9,539056.0
BENGALWTL,2025-03-20,20.9,21.0,20.1,20.3,882722.0
BENGALWTL,2025-03-19,19.9,21.5,19.9,20.9,1164970.0
BENGALWTL,2025-03-18,20.6,20.6,19.5,19.9,1058672.0
BENGALWTL,2025-03-17,19.9,21.3,19.9,20.8,1344140.0
BENGALWTL,2025-03-16,18.0,19.6,18.0,19.6,1373242.0
BENGALWTL,2025-03-13,17.8,18.0,17.7,17.9,137065.0
BENGALWTL,2025-03-12,18.0,18.2,17.6,17.8,145433.0
BENGALWTL,2025-03-11,17.9,18.0,17.7,17.8,62572.0
BENGALWTL,2025-03-10,18.3,18.3,17.4,17.7,203830.0
BENGALWTL,2025-03-09,18.3,18.3,17.6,17.8,216705.0
BENGALWTL,2025-03-06,18.9,18.9,18.2,18.3,90094.0
BENGALWTL,2025-03-05,18.9,18.9,18.5,18.7,113351.0
BENGALWTL,2025-03-04,18.8,19.1,18.7,18.8,173021.0
BENGALWTL,2025-03-03,18.4,19.1,18.4,18.7,206642.0
BENGALWTL,2025-03-02,18.6,19.0,18.3,18.4,307010.0
BENGALWTL,2025-02-27,19.2,19.2,18.4,18.5,303784.0
BENGALWTL,2025-02-26,19.2,19.3,18.7,18.9,220429.0
BENGALWTL,2025-02-25,19.4,20.0,19.0,19.2,810679.0
BENGALWTL,2025-02-24,18.6,19.3,18.6,19.2,540231.0
BENGALWTL,2025-02-23,18.8,18.9,18.4,18.6,249096.0
BENGALWTL,2025-02-20,18.0,18.9,18.0,18.6,458886.0
BENGALWTL,2025-02-19,18.0,18.4,17.8,17.9,244359.0
BENGALWTL,2025-02-18,18.7,18.7,18.1,18.2,143579.0
BENGALWTL,2025-02-17,17.9,18.5,17.9,18.4,167301.0
BENGALWTL,2025-02-16,18.1,18.2,17.7,17.8,97173.0
BENGALWTL,2025-02-13,18.0,18.3,17.8,18.1,199808.0
BENGALWTL,2025-02-12,18.1,18.5,17.9,18.1,178584.0
BENGALWTL,2025-02-11,17.4,19.2,17.4,18.4,867346.0
BENGALWTL,2025-02-10,17.4,17.8,17.4,17.5,199857.0
BENGALWTL,2025-02-09,17.7,17.9,17.5,17.6,109653.0
BENGALWTL,2025-02-06,17.8,18.2,17.7,17.8,252720.0
BENGALWTL,2025-02-05,17.4,18.2,17.3,17.7,376377.0
BENGALWTL,2025-02-04,17.4,17.4,17.2,17.3,143407.0
BENGALWTL,2025-02-03,17.8,17.8,17.4,17.5,112048.0
BENGALWTL,2025-02-02,17.2,17.7,17.0,17.6,230022.0
BENGALWTL,2025-01-30,17.7,17.7,17.1,17.2,184841.0
BENGALWTL,2025-01-29,17.6,17.9,17.4,17.5,244616.0
BENGALWTL,2025-01-28,17.5,17.5,17.2,17.4,121160.0
BENGALWTL,2025-01-27,17.5,17.7,17.2,17.4,207524.0
BENGALWTL,2025-01-26,18.3,18.6,17.2,17.4,423178.0
BENGALWTL,2025-01-23,17.6,18.6,17.3,18.4,496607.0
BENGALWTL,2025-01-22,17.5,17.7,17.3,17.4,169008.0
BENGALWTL,2025-01-21,17.2,18.0,17.2,17.6,282985.0
BENGALWTL,2025-01-20,17.3,17.3,17.1,17.2,54671.0
BENGALWTL,2025-01-19,17.1,17.2,17.0,17.0,165395.0
BENGALWTL,2025-01-16,17.3,17.5,17.1,17.2,92950.0
BENGALWTL,2025-01-15,17.4,17.9,17.1,17.3,310849.0
BENGALWTL,2025-01-14,17.4,17.6,17.2,17.3,138524.0
BENGALWTL,2025-01-13,17.2,17.3,16.9,17.0,100926.0
BENGALWTL,2025-01-12,17.7,17.7,17.2,17.2,142691.0
BENGALWTL,2025-01-09,17.5,18.2,17.5,17.6,234926.0
BENGALWTL,2025-01-08,17.7,17.7,17.2,17.5,185475.0
BENGALWTL,2025-01-07,17.9,17.9,17.1,17.3,264362.0
BENGALWTL,2025-01-06,17.8,17.8,17.4,17.5,106042.0
BENGALWTL,2025-01-05,17.8,17.8,17.4,17.4,66910.0
BENGALWTL,2025-01-02,17.8,18.0,17.7,17.9,47275.0
BENGALWTL,2025-01-01,18.2,18.2,17.6,17.8,89650.0
BENGALWTL,2024-12-30,18.2,18.2,17.7,17.9,147435.0
BENGALWTL,2024-12-29,18.4,18.4,18.1,18.2,160119.0
BENGALWTL,2024-12-26,17.9,18.6,17.9,18.4,224275.0
BENGALWTL,2024-12-24,17.7,18.0,17.4,17.9,122503.0
BENGALWTL,2024-12-23,17.8,17.8,17.5,17.6,91521.0
BENGALWTL,2024-12-22,17.8,17.8,17.3,17.6,112521.0
BENGALWTL,2024-12-19,18.0,18.2,17.7,17.8,190145.0
BENGALWTL,2024-12-18,18.5,18.7,18.0,18.1,193555.0
BENGALWTL,2024-12-17,18.8,19.0,18.3,18.5,389195.0
BENGALWTL,2024-12-15,19.4,19.4,18.5,18.6,391575.0
BENGALWTL,2024-12-12,18.5,19.7,18.5,18.9,181593.0
BENGALWTL,2024-12-11,19.9,20.2,18.9,19.1,476774.0
BENGALWTL,2024-12-10,19.5,20.3,19.2,20.0,695044.0
BENGALWTL,2024-12-09,18.3,19.5,18.2,19.2,766597.0
BENGALWTL,2024-12-08,18.0,18.4,17.5,18.2,124909.0
BENGALWTL,2024-12-05,18.6,18.6,18.0,18.1,295138.0
BENGALWTL,2024-12-04,19.3,19.3,18.5,18.6,228392.0
BENGALWTL,2024-12-03,18.3,19.5,18.2,19.3,511949.0
BENGALWTL,2024-12-02,18.4,18.8,18.1,18.3,151775.0
BENGALWTL,2024-12-01,18.0,18.6,17.4,18.3,168716.0
BENGALWTL,2024-11-28,18.0,18.8,17.5,17.7,272586.0
BENGALWTL,2024-11-27,17.4,17.7,16.8,17.5,183126.0
BENGALWTL,2024-11-26,16.8,17.2,16.6,16.9,71763.0
BENGALWTL,2024-11-25,16.6,17.2,16.6,16.8,71099.0
BENGALWTL,2024-11-24,0.0,0.0,0.0,17.2,0.0
BENGALWTL,2024-11-21,17.7,17.7,17.1,17.2,113055.0
BENGALWTL,2024-11-20,17.6,17.6,17.2,17.4,74764.0
BENGALWTL,2024-11-19,18.0,18.0,17.5,17.5,165116.0
BENGALWTL,2024-11-18,17.8,18.0,17.6,17.7,238859.0
BENGALWTL,2024-11-17,18.1,18.4,17.7,17.8,358370.0
BENGALWTL,2024-11-14,17.5,18.2,17.3,17.8,444776.0
BENGALWTL,2024-11-13,17.5,17.5,16.4,16.7,115229.0
BENGALWTL,2024-11-12,17.5,17.5,16.5,16.6,183131.0
BENGALWTL,2024-11-11,17.3,17.5,16.9,17.1,178423.0
BENGALWTL,2024-11-10,17.6,18.3,17.1,17.3,308981.0
BENGALWTL,2024-11-07,16.5,18.1,16.4,17.7,557200.0
BENGALWTL,2024-11-06,16.9,17.0,16.4,16.5,244725.0
BENGALWTL,2024-11-05,16.8,17.5,16.8,16.9,257610.0
BENGALWTL,2024-11-04,15.8,16.7,15.7,16.5,232257.0
BENGALWTL,2024-11-03,16.0,16.7,15.6,15.8,136226.0
BENGALWTL,2024-10-31,16.2,16.5,15.6,16.0,119079.0
BENGALWTL,2024-10-30,14.8,16.0,14.8,16.0,302135.0
BENGALWTL,2024-10-29,14.4,14.8,14.3,14.6,87943.0
BENGALWTL,2024-10-28,13.5,14.4,13.5,13.7,78680.0
BENGALWTL,2024-10-27,14.7,14.7,13.3,13.5,72190.0
BENGALWTL,2024-10-24,14.5,14.8,14.0,14.3,37675.0
BENGALWTL,2024-10-23,15.3,15.7,14.2,14.5,43452.0
BENGALWTL,2024-10-22,14.2,15.5,14.1,15.3,80032.0
BENGALWTL,2024-10-21,14.8,15.0,14.0,14.1,122224.0
BENGALWTL,2024-10-20,14.9,15.1,14.7,14.9,30718.0
BENGALWTL,2024-10-17,15.3,15.7,14.8,15.0,100056.0
BENGALWTL,2024-10-16,16.4,16.4,15.5,15.5,68124.0
BENGALWTL,2024-10-15,16.5,16.8,16.0,16.1,56920.0
BENGALWTL,2024-10-14,17.1,17.2,16.5,16.6,59000.0
BENGALWTL,2024-10-09,16.5,17.2,16.5,17.1,69655.0
BENGALWTL,2024-10-08,16.7,16.9,16.5,16.6,65390.0
BENGALWTL,2024-10-07,17.1,17.1,16.5,16.9,10712.0
BENGALWTL,2024-10-06,16.6,17.1,16.4,16.8,65858.0
BENGALWTL,2024-10-03,16.8,16.8,15.5,16.5,17517.0
BENGALWTL,2024-10-02,16.8,17.0,16.1,16.1,39598.0
BENGALWTL,2024-10-01,17.5,17.5,16.9,17.0,25857.0
BENGALWTL,2024-09-30,17.7,17.7,17.1,17.2,12308.0
BENGALWTL,2024-09-29,17.2,17.5,16.9,17.0,24159.0
BENGALWTL,2024-09-26,18.0,18.0,16.9,17.1,43240.0
BENGALWTL,2024-09-25,19.0,19.0,17.1,17.5,102167.0
BENGALWTL,2024-09-24,18.7,18.9,18.7,18.8,43859.0
BENGALWTL,2024-09-23,19.3,19.5,18.6,18.8,97446.0
BENGALWTL,2024-09-22,19.8,19.8,19.0,19.1,108537.0
BENGALWTL,2024-09-19,19.8,20.1,19.4,19.5,63521.0
BENGALWTL,2024-09-18,20.1,20.3,19.8,19.9,49481.0
BENGALWTL,2024-09-17,20.0,20.6,20.0,20.1,99437.0
BENGALWTL,2024-09-15,20.6,20.6,19.5,19.8,49667.0
BENGALWTL,2024-09-12,19.5,20.0,19.5,19.7,24794.0
BENGALWTL,2024-09-11,19.7,20.2,19.5,19.6,32983.0
BENGALWTL,2024-09-10,19.3,20.0,19.3,19.8,36515.0
BENGALWTL,2024-09-09,20.8,20.8,19.1,19.3,42331.0
BENGALWTL,2024-09-08,20.2,20.8,19.8,19.9,25454.0
BENGALWTL,2024-09-05,20.1,20.8,20.1,20.2,40510.0
BENGALWTL,2024-09-04,21.4,21.4,20.0,20.3,40438.0
BENGALWTL,2024-09-03,21.0,21.0,20.4,20.5,148857.0
BENGALWTL,2024-09-02,21.5,21.8,21.0,21.1,57172.0
BENGALWTL,2024-09-01,21.1,21.6,21.1,21.5,54185.0
BENGALWTL,2024-08-29,21.3,21.4,20.6,21.2,84036.0
BENGALWTL,2024-08-28,20.4,21.1,20.2,21.0,15706.0
BENGALWTL,2024-08-27,21.4,21.4,20.1,20.2,93921.0
BENGALWTL,2024-08-25,20.4,22.1,20.4,20.7,35699.0
BENGALWTL,2024-08-22,20.4,21.5,20.4,20.6,32925.0
BENGALWTL,2024-08-21,21.6,21.8,20.7,20.7,90567.0
BENGALWTL,2024-08-20,21.7,22.1,21.3,21.3,54415.0
BENGALWTL,2024-08-19,21.2,22.0,21.2,21.7,120083.0
BENGALWTL,2024-08-18,22.4,22.4,21.2,21.6,89252.0
