Trading_Code,Date,Open,High,Low,Close,Volume
BESTHLDNG,2025-04-08,17.9,17.9,17.7,17.7,684988.0
BESTHLDNG,2025-04-07,17.9,18.2,17.7,17.8,1162329.0
BESTHLDNG,2025-04-06,18.0,18.0,17.6,17.8,1003686.0
BESTHLDNG,2025-03-27,18.1,18.2,17.9,18.0,773589.0
BESTHLDNG,2025-03-25,18.1,18.4,18.0,18.0,1046657.0
BESTHLDNG,2025-03-24,18.4,18.7,18.0,18.2,1663519.0
BESTHLDNG,2025-03-23,18.3,18.8,18.0,18.3,2580605.0
BESTHLDNG,2025-03-20,17.7,18.3,17.6,18.1,1083214.0
BESTHLDNG,2025-03-19,17.9,18.0,17.6,17.7,641227.0
BESTHLDNG,2025-03-18,17.8,18.0,17.7,17.8,833479.0
BESTHLDNG,2025-03-17,17.8,17.9,17.6,17.7,719720.0
BESTHLDNG,2025-03-16,18.1,18.3,17.5,17.7,1263324.0
BESTHLDNG,2025-03-13,18.3,18.4,18.0,18.1,689701.0
BESTHLDNG,2025-03-12,18.0,18.5,18.0,18.3,851249.0
BESTHLDNG,2025-03-11,18.4,18.4,18.0,18.1,621353.0
BESTHLDNG,2025-03-10,18.1,18.3,18.0,18.2,381142.0
BESTHLDNG,2025-03-09,18.4,18.4,17.9,18.0,488333.0
BESTHLDNG,2025-03-06,18.3,18.6,18.2,18.2,382448.0
BESTHLDNG,2025-03-05,18.5,18.6,18.3,18.3,742595.0
BESTHLDNG,2025-03-04,18.8,18.9,18.4,18.5,745050.0
BESTHLDNG,2025-03-03,19.0,19.0,18.7,18.8,851424.0
BESTHLDNG,2025-03-02,18.5,19.3,18.5,18.8,1408916.0
BESTHLDNG,2025-02-27,18.6,18.8,18.4,18.5,1771430.0
BESTHLDNG,2025-02-26,19.1,19.1,18.5,18.6,1581164.0
BESTHLDNG,2025-02-25,18.5,19.7,18.5,19.1,5225172.0
BESTHLDNG,2025-02-24,18.1,18.5,18.1,18.4,1967906.0
BESTHLDNG,2025-02-23,17.9,18.2,17.9,18.0,1043442.0
BESTHLDNG,2025-02-20,17.8,18.0,17.6,17.9,1289720.0
BESTHLDNG,2025-02-19,17.9,17.9,17.6,17.6,514229.0
BESTHLDNG,2025-02-18,17.9,18.3,17.7,17.8,1819332.0
BESTHLDNG,2025-02-17,17.7,17.9,17.6,17.8,769832.0
BESTHLDNG,2025-02-16,17.9,17.9,17.6,17.7,751832.0
BESTHLDNG,2025-02-13,17.9,18.0,17.7,17.8,858741.0
BESTHLDNG,2025-02-12,18.5,18.5,17.9,17.9,1245064.0
BESTHLDNG,2025-02-11,18.5,18.9,18.0,18.4,4294606.0
BESTHLDNG,2025-02-10,17.5,17.9,17.3,17.7,985364.0
BESTHLDNG,2025-02-09,17.7,17.8,17.3,17.4,702518.0
BESTHLDNG,2025-02-06,17.9,18.1,17.5,17.6,1028961.0
BESTHLDNG,2025-02-05,17.8,18.4,17.7,17.9,1848139.0
BESTHLDNG,2025-02-04,17.3,18.0,17.2,17.8,1657681.0
BESTHLDNG,2025-02-03,17.2,17.7,17.2,17.3,1000448.0
BESTHLDNG,2025-02-02,17.4,17.6,17.1,17.2,561541.0
BESTHLDNG,2025-01-30,17.6,17.7,17.1,17.3,1265132.0
BESTHLDNG,2025-01-29,18.0,18.1,17.5,17.6,802604.0
BESTHLDNG,2025-01-28,18.3,18.4,18.0,18.0,682821.0
BESTHLDNG,2025-01-27,18.3,18.7,18.2,18.3,1760953.0
BESTHLDNG,2025-01-26,18.1,18.3,17.9,18.2,1182652.0
BESTHLDNG,2025-01-23,18.5,18.6,18.0,18.1,1999057.0
BESTHLDNG,2025-01-22,19.3,19.3,18.6,18.7,2369214.0
BESTHLDNG,2025-01-21,17.4,18.9,17.1,18.9,5473192.0
BESTHLDNG,2025-01-20,17.3,17.4,17.1,17.2,1013233.0
BESTHLDNG,2025-01-19,17.2,17.4,17.0,17.1,958172.0
BESTHLDNG,2025-01-16,17.6,17.7,17.0,17.1,635029.0
BESTHLDNG,2025-01-15,17.1,18.1,17.1,17.5,1480742.0
BESTHLDNG,2025-01-14,17.3,17.4,17.0,17.1,336727.0
BESTHLDNG,2025-01-13,17.5,17.5,17.0,17.1,747991.0
