Trading_Code,Date,Open,High,Low,Close,Volume
BEXGSUKUK,2025-04-08,45.0,45.5,45.0,45.5,11301.0
BEXGSUKUK,2025-04-07,46.5,47.0,45.0,45.5,58961.0
BEXGSUKUK,2025-04-06,45.0,46.5,45.0,45.5,33813.0
BEXGSUKUK,2025-03-27,44.0,45.5,44.0,45.0,31277.0
BEXGSUKUK,2025-03-25,44.5,45.5,44.5,45.0,4341.0
BEXGSUKUK,2025-03-24,44.0,44.5,44.0,44.0,39350.0
BEXGSUKUK,2025-03-23,44.0,44.0,43.5,43.5,10468.0
BEXGSUKUK,2025-03-20,44.5,44.5,44.0,44.5,5236.0
BEXGSUKUK,2025-03-19,43.0,43.0,43.0,43.0,760.0
BEXGSUKUK,2025-03-18,0.0,0.0,0.0,43.0,0.0
BEXGSUKUK,2025-03-17,42.5,43.0,42.5,43.0,1250.0
BEXGSUKUK,2025-03-16,43.0,44.0,42.5,42.5,23839.0
BEXGSUKUK,2025-03-13,44.0,45.0,43.0,43.5,3544.0
BEXGSUKUK,2025-03-12,42.5,44.5,42.5,44.5,7492.0
BEXGSUKUK,2025-03-11,44.0,44.0,43.0,44.0,5580.0
BEXGSUKUK,2025-03-10,42.0,42.5,42.0,42.0,3171.0
BEXGSUKUK,2025-03-09,42.5,44.0,41.0,42.0,26425.0
BEXGSUKUK,2025-03-06,43.0,43.5,43.0,43.5,322.0
BEXGSUKUK,2025-03-05,43.0,43.0,43.0,43.0,4200.0
BEXGSUKUK,2025-03-04,46.0,46.0,43.0,43.5,30745.0
BEXGSUKUK,2025-03-03,46.0,46.0,44.5,46.0,353.0
BEXGSUKUK,2025-03-02,44.0,44.0,44.0,44.0,27.0
BEXGSUKUK,2025-02-27,45.5,45.5,42.0,44.0,18647.0
BEXGSUKUK,2025-02-26,46.5,46.5,45.5,46.5,1125.0
BEXGSUKUK,2025-02-25,46.0,46.0,46.0,46.0,2800.0
BEXGSUKUK,2025-02-24,45.5,45.5,45.5,45.5,250.0
BEXGSUKUK,2025-02-23,46.5,46.5,46.0,46.5,1260.0
BEXGSUKUK,2025-02-20,46.0,46.0,46.0,46.0,900.0
BEXGSUKUK,2025-02-19,46.0,46.5,45.5,46.0,1565.0
BEXGSUKUK,2025-02-18,45.5,47.0,45.5,46.5,610.0
BEXGSUKUK,2025-02-17,46.0,46.5,45.5,46.0,4596.0
BEXGSUKUK,2025-02-16,46.5,46.5,46.0,46.5,852.0
BEXGSUKUK,2025-02-13,47.0,47.0,46.5,47.0,2611.0
BEXGSUKUK,2025-02-12,47.0,47.0,46.0,46.5,2900.0
BEXGSUKUK,2025-02-11,47.0,47.0,46.5,46.5,3211.0
BEXGSUKUK,2025-02-10,47.0,47.0,46.5,47.0,2410.0
BEXGSUKUK,2025-02-09,47.0,47.0,46.5,47.0,3394.0
BEXGSUKUK,2025-02-06,47.0,47.0,47.0,47.0,20886.0
BEXGSUKUK,2025-02-05,46.5,47.0,46.5,46.5,2000.0
BEXGSUKUK,2025-02-04,46.5,46.5,46.5,46.5,150.0
BEXGSUKUK,2025-02-03,47.0,47.0,46.5,47.0,71152.0
BEXGSUKUK,2025-02-02,47.0,47.0,46.5,47.0,41451.0
BEXGSUKUK,2025-01-30,47.0,47.0,46.5,47.0,4211.0
BEXGSUKUK,2025-01-29,48.0,48.0,46.5,47.0,6250.0
BEXGSUKUK,2025-01-28,46.0,47.0,46.0,47.0,5592.0
BEXGSUKUK,2025-01-27,46.5,47.0,45.5,46.5,1119.0
BEXGSUKUK,2025-01-26,46.5,46.5,46.5,46.5,6700.0
BEXGSUKUK,2025-01-23,47.5,47.5,47.0,47.5,1970.0
BEXGSUKUK,2025-01-22,47.0,47.0,47.0,47.0,8405.0
BEXGSUKUK,2025-01-21,0.0,0.0,0.0,48.0,0.0
BEXGSUKUK,2025-01-20,47.5,48.0,47.5,48.0,10262.0
BEXGSUKUK,2025-01-19,48.0,48.0,48.0,48.0,17800.0
BEXGSUKUK,2025-01-16,46.0,46.0,46.0,46.0,10900.0
BEXGSUKUK,2025-01-15,46.5,46.5,46.0,46.5,5000.0
BEXGSUKUK,2025-01-14,47.0,47.0,47.0,47.0,20000.0
BEXGSUKUK,2025-01-13,48.0,48.0,47.0,47.0,115.0
BEXGSUKUK,2025-01-12,48.0,48.5,48.0,48.0,3500.0
