Trading_Code,Date,Open,High,Low,Close,Volume
BGIC,2025-04-08,33.4,34.1,33.1,33.5,4961.0
BGIC,2025-04-07,33.2,34.0,32.7,33.4,4920.0
BGIC,2025-04-06,33.6,33.6,33.1,33.2,3797.0
BGIC,2025-03-27,34.7,34.7,33.7,34.1,2553.0
BGIC,2025-03-25,34.2,34.3,34.0,34.1,1579.0
BGIC,2025-03-24,35.3,35.3,33.9,34.0,978.0
BGIC,2025-03-23,33.6,36.0,33.1,34.4,9044.0
BGIC,2025-03-20,33.3,33.5,33.1,33.2,2937.0
BGIC,2025-03-19,33.2,34.1,33.0,33.4,6814.0
BGIC,2025-03-18,34.7,34.9,34.0,34.3,7639.0
BGIC,2025-03-17,34.1,35.6,34.1,34.6,19952.0
BGIC,2025-03-16,34.8,36.0,34.3,35.9,36654.0
BGIC,2025-03-13,33.8,34.7,33.8,34.5,99186.0
BGIC,2025-03-12,33.6,33.9,33.3,33.7,37468.0
BGIC,2025-03-11,33.4,33.4,33.4,33.4,1.0
BGIC,2025-03-10,33.4,33.4,32.7,33.0,8636.0
BGIC,2025-03-09,33.4,34.0,32.8,33.4,7916.0
BGIC,2025-03-06,33.0,33.5,32.8,33.2,40637.0
BGIC,2025-03-05,32.4,32.9,32.0,32.7,3278.0
BGIC,2025-03-04,32.6,32.6,32.0,32.2,3225.0
BGIC,2025-03-03,33.0,33.0,32.5,33.0,547.0
BGIC,2025-03-02,33.1,33.1,32.9,33.1,1454.0
BGIC,2025-02-27,33.1,33.3,32.9,33.0,13795.0
BGIC,2025-02-26,33.3,33.4,33.0,33.2,6212.0
BGIC,2025-02-25,32.5,33.8,32.4,33.2,21149.0
BGIC,2025-02-24,32.2,32.9,32.2,32.5,4124.0
BGIC,2025-02-23,32.4,33.0,32.4,32.8,9390.0
BGIC,2025-02-20,32.1,32.3,31.8,32.0,30781.0
BGIC,2025-02-19,32.1,32.2,31.9,32.0,15530.0
BGIC,2025-02-18,32.5,33.0,32.2,32.3,20824.0
BGIC,2025-02-17,32.3,34.0,32.3,33.0,22247.0
BGIC,2025-02-16,32.2,32.4,32.2,32.3,3000.0
BGIC,2025-02-13,32.2,32.3,32.2,32.2,4953.0
BGIC,2025-02-12,33.3,33.3,32.5,32.5,4147.0
BGIC,2025-02-11,32.4,33.2,32.4,32.8,2150.0
BGIC,2025-02-10,32.6,33.3,32.5,32.7,711.0
BGIC,2025-02-09,33.5,33.5,32.9,33.2,9192.0
BGIC,2025-02-06,32.6,33.4,32.1,33.2,6157.0
BGIC,2025-02-05,32.5,32.9,32.4,32.7,11070.0
BGIC,2025-02-04,32.5,32.5,31.9,32.0,5601.0
BGIC,2025-02-03,32.6,32.7,31.9,32.4,6898.0
BGIC,2025-02-02,32.8,32.8,32.1,32.3,5991.0
BGIC,2025-01-30,33.3,33.5,33.0,33.2,3232.0
BGIC,2025-01-29,33.2,33.3,33.2,33.2,1385.0
BGIC,2025-01-28,33.0,33.7,32.9,33.4,6317.0
BGIC,2025-01-27,32.7,33.4,32.2,32.6,4235.0
BGIC,2025-01-26,33.5,33.5,32.2,32.4,563.0
BGIC,2025-01-23,33.7,33.8,33.6,33.7,8203.0
BGIC,2025-01-22,34.9,34.9,33.6,34.2,20667.0
BGIC,2025-01-21,33.6,35.0,33.6,33.9,20490.0
BGIC,2025-01-20,33.6,34.0,33.1,33.5,13969.0
BGIC,2025-01-19,33.0,34.1,33.0,33.5,20342.0
BGIC,2025-01-16,32.3,33.1,32.3,32.8,13070.0
BGIC,2025-01-15,32.1,33.2,32.1,32.6,5324.0
BGIC,2025-01-14,32.5,32.5,31.8,32.0,10105.0
BGIC,2025-01-13,32.0,32.5,32.0,32.1,876.0
BGIC,2025-01-12,32.8,33.3,32.6,32.8,7987.0
BGIC,2025-01-09,32.7,33.0,32.5,32.7,10100.0
BGIC,2025-01-08,32.8,32.9,32.5,32.7,7177.0
BGIC,2025-01-07,32.7,32.9,32.6,32.7,1565.0
BGIC,2025-01-06,30.8,33.7,30.8,32.2,13901.0
BGIC,2025-01-05,33.1,33.1,33.0,33.0,1160.0
BGIC,2025-01-02,33.2,33.4,32.7,32.8,21335.0
BGIC,2025-01-01,33.5,33.8,33.3,33.3,14154.0
BGIC,2024-12-30,33.4,33.8,33.4,33.5,3302.0
BGIC,2024-12-29,33.4,33.9,33.3,33.5,10734.0
BGIC,2024-12-26,33.6,33.7,33.5,33.5,3438.0
BGIC,2024-12-24,34.0,34.0,33.5,33.5,9050.0
BGIC,2024-12-23,33.9,34.0,33.7,33.8,14547.0
BGIC,2024-12-22,34.2,34.2,33.9,33.9,95.0
BGIC,2024-12-19,33.7,34.0,33.7,33.9,4100.0
BGIC,2024-12-18,34.2,34.4,34.1,34.2,9012.0
BGIC,2024-12-17,34.0,34.6,34.0,34.2,9023.0
BGIC,2024-12-15,33.7,34.7,33.7,33.9,1983.0
BGIC,2024-12-12,34.9,34.9,33.3,33.5,2443.0
BGIC,2024-12-11,33.7,35.5,33.2,33.8,2989.0
BGIC,2024-12-10,34.0,34.5,33.7,33.9,12683.0
BGIC,2024-12-09,34.9,34.9,33.8,34.0,8501.0
BGIC,2024-12-08,34.2,34.3,34.2,34.3,23593.0
BGIC,2024-12-05,34.9,34.9,34.6,34.7,4898.0
BGIC,2024-12-04,35.0,35.5,34.7,34.8,6031.0
BGIC,2024-12-03,35.5,35.5,34.8,35.0,14371.0
BGIC,2024-12-02,34.3,36.1,34.3,35.2,54641.0
BGIC,2024-12-01,34.6,34.8,34.3,34.5,4085.0
BGIC,2024-11-28,35.0,35.3,34.4,34.6,13920.0
BGIC,2024-11-27,33.5,35.0,33.5,34.4,12945.0
BGIC,2024-11-26,35.8,35.8,34.1,34.2,18120.0
BGIC,2024-11-25,35.8,35.8,34.2,34.5,18415.0
BGIC,2024-11-24,34.6,35.6,34.3,34.5,6894.0
BGIC,2024-11-21,36.3,36.3,34.5,34.6,20305.0
BGIC,2024-11-20,36.8,37.2,35.0,35.7,29417.0
BGIC,2024-11-19,36.0,38.2,36.0,37.2,99710.0
BGIC,2024-11-18,36.8,37.4,36.0,36.3,81492.0
BGIC,2024-11-17,37.0,37.6,35.3,36.1,29501.0
BGIC,2024-11-14,36.2,38.0,36.2,37.0,96560.0
BGIC,2024-11-13,35.5,36.3,35.0,36.1,63354.0
BGIC,2024-11-12,32.6,35.0,32.4,35.0,131715.0
BGIC,2024-11-11,32.0,32.3,30.9,31.9,9970.0
BGIC,2024-11-10,31.8,31.8,31.0,31.4,8094.0
BGIC,2024-11-07,32.1,32.5,31.8,32.0,6112.0
BGIC,2024-11-06,33.1,33.1,32.1,32.5,11420.0
BGIC,2024-11-05,34.7,34.7,33.3,33.6,28736.0
BGIC,2024-11-04,32.8,32.8,31.7,32.5,17099.0
BGIC,2024-11-03,32.8,33.0,30.4,32.3,38478.0
BGIC,2024-10-31,32.0,32.6,31.9,32.5,13524.0
BGIC,2024-10-30,31.8,32.5,31.8,32.4,35590.0
BGIC,2024-10-29,29.8,31.9,29.7,30.3,2855.0
BGIC,2024-10-28,31.0,31.5,29.8,29.9,9801.0
BGIC,2024-10-27,32.0,32.0,31.8,31.9,844.0
BGIC,2024-10-24,33.0,33.0,32.6,32.8,3503.0
BGIC,2024-10-23,34.2,36.2,33.6,35.3,3036.0
BGIC,2024-10-22,35.6,35.6,30.1,34.2,16191.0
BGIC,2024-10-21,35.9,35.9,30.0,33.0,17390.0
BGIC,2024-10-20,34.4,35.6,33.0,33.0,18347.0
BGIC,2024-10-17,36.0,36.0,34.1,34.4,5585.0
BGIC,2024-10-16,36.1,37.2,35.7,36.6,15368.0
BGIC,2024-10-15,38.2,38.3,36.2,36.3,42376.0
BGIC,2024-10-14,35.7,38.9,35.7,36.8,87588.0
BGIC,2024-10-09,34.0,36.4,34.0,36.1,46086.0
BGIC,2024-10-08,35.5,35.5,33.7,34.2,7758.0
BGIC,2024-10-07,35.0,35.4,34.4,34.5,18428.0
BGIC,2024-10-06,34.1,34.9,33.1,33.8,5166.0
BGIC,2024-10-03,35.3,35.3,34.5,34.7,1459.0
BGIC,2024-10-02,34.2,34.6,34.2,34.5,6185.0
BGIC,2024-10-01,35.1,35.2,35.0,35.0,935.0
BGIC,2024-09-30,35.2,35.2,34.9,35.1,3250.0
BGIC,2024-09-29,34.0,36.2,33.1,35.9,18859.0
BGIC,2024-09-26,35.5,35.6,34.0,34.8,10779.0
BGIC,2024-09-25,35.5,37.0,35.0,35.2,11315.0
BGIC,2024-09-24,37.0,37.3,36.2,36.9,9715.0
BGIC,2024-09-23,36.4,37.0,36.4,36.6,5382.0
BGIC,2024-09-22,37.0,37.6,36.5,36.7,12689.0
BGIC,2024-09-19,36.5,38.0,36.2,37.4,38993.0
BGIC,2024-09-18,36.2,36.9,36.2,36.3,1235.0
BGIC,2024-09-17,36.6,36.6,36.0,36.1,8689.0
BGIC,2024-09-15,37.5,37.5,35.7,36.1,4217.0
BGIC,2024-09-12,37.0,37.2,36.2,36.6,15563.0
BGIC,2024-09-11,36.0,37.0,35.1,36.6,13349.0
BGIC,2024-09-10,36.8,36.9,35.0,36.0,15220.0
BGIC,2024-09-09,36.9,37.0,36.0,36.1,11987.0
BGIC,2024-09-08,37.0,38.7,36.5,36.7,13464.0
BGIC,2024-09-05,38.5,38.5,37.3,37.7,7873.0
BGIC,2024-09-04,38.7,38.7,37.7,37.8,19239.0
BGIC,2024-09-03,39.8,39.8,37.8,38.0,37610.0
BGIC,2024-09-02,39.8,39.8,38.5,38.6,30148.0
BGIC,2024-09-01,40.0,40.0,38.8,39.4,51679.0
BGIC,2024-08-29,38.5,38.7,37.7,38.5,30057.0
BGIC,2024-08-28,40.0,40.0,37.7,38.5,36171.0
BGIC,2024-08-27,36.9,38.1,36.9,37.5,27959.0
BGIC,2024-08-25,36.5,36.9,36.2,36.9,30263.0
BGIC,2024-08-22,36.3,37.5,36.0,36.3,7693.0
BGIC,2024-08-21,36.0,36.6,35.7,36.3,6948.0
BGIC,2024-08-20,36.1,37.4,35.9,36.4,7109.0
BGIC,2024-08-19,37.5,37.9,36.7,37.0,11669.0
BGIC,2024-08-18,38.4,38.4,37.2,37.2,15705.0
BGIC,2024-08-15,38.1,39.3,38.1,38.3,13799.0
BGIC,2024-08-14,40.0,40.0,37.4,39.1,37374.0
BGIC,2024-08-13,39.2,39.2,38.4,38.5,30983.0
BGIC,2024-08-12,40.2,41.0,39.4,39.5,61036.0
BGIC,2024-08-11,41.2,42.5,40.3,40.6,151333.0
BGIC,2024-08-08,39.2,41.0,38.3,40.7,145382.0
BGIC,2024-08-07,38.5,39.5,37.9,38.8,111770.0
BGIC,2024-08-06,41.1,41.1,38.5,38.5,44856.0
BGIC,2024-08-04,38.0,38.0,35.6,37.4,74104.0
BGIC,2024-08-01,34.7,36.9,34.6,36.7,71403.0
BGIC,2024-07-31,35.6,36.8,34.7,35.3,62955.0
BGIC,2024-07-30,36.0,37.9,35.7,35.7,4424.0
BGIC,2024-07-29,38.3,38.3,36.6,36.8,18252.0
BGIC,2024-07-28,37.6,38.2,37.5,37.7,10981.0
BGIC,2024-07-25,38.0,39.0,38.0,38.6,4272.0
BGIC,2024-07-24,0.0,0.0,0.0,39.0,0.0
BGIC,2024-07-18,39.5,39.5,38.5,39.0,21782.0
BGIC,2024-07-16,38.8,39.1,38.6,39.0,34826.0
BGIC,2024-07-15,38.4,39.9,38.4,39.1,19666.0
BGIC,2024-07-14,39.6,40.5,39.2,39.4,38215.0
