Trading_Code,Date,Open,High,Low,Close,Volume
BIFC,2025-04-08,7.0,7.1,7.0,7.0,1810.0
BIFC,2025-04-07,7.2,7.2,6.9,7.0,45583.0
BIFC,2025-04-06,7.2,7.2,7.0,7.1,3112.0
BIFC,2025-03-27,7.2,7.2,7.2,7.2,450.0
BIFC,2025-03-25,7.1,7.3,7.1,7.2,35827.0
BIFC,2025-03-24,6.8,7.0,6.8,6.9,15094.0
BIFC,2025-03-23,6.9,7.2,6.9,7.0,28057.0
BIFC,2025-03-20,7.0,7.2,6.9,7.0,34526.0
BIFC,2025-03-19,7.0,7.1,7.0,7.0,37611.0
BIFC,2025-03-18,7.2,7.2,6.9,7.0,42617.0
BIFC,2025-03-17,7.2,7.2,6.9,7.0,10004.0
BIFC,2025-03-16,7.0,7.2,6.9,6.9,33239.0
BIFC,2025-03-13,7.2,7.4,6.8,6.9,114175.0
BIFC,2025-03-12,7.6,7.6,6.8,6.9,104936.0
BIFC,2025-03-11,7.5,7.5,7.3,7.3,110710.0
BIFC,2025-03-10,7.4,7.7,7.4,7.5,45640.0
BIFC,2025-03-09,7.6,7.7,7.3,7.4,54829.0
BIFC,2025-03-06,7.6,7.8,7.6,7.6,7057.0
BIFC,2025-03-05,7.5,7.9,7.5,7.6,15214.0
BIFC,2025-03-04,7.7,7.7,7.4,7.5,32422.0
BIFC,2025-03-03,7.5,7.7,7.5,7.5,21294.0
BIFC,2025-03-02,7.7,7.7,7.5,7.5,104211.0
BIFC,2025-02-27,7.9,7.9,7.7,7.8,25329.0
BIFC,2025-02-26,7.9,7.9,7.6,7.7,37144.0
BIFC,2025-02-25,7.8,7.9,7.7,7.8,19965.0
BIFC,2025-02-24,7.9,8.0,7.8,7.9,10824.0
BIFC,2025-02-23,7.6,7.9,7.5,7.7,18222.0
BIFC,2025-02-20,7.9,7.9,7.7,7.7,30081.0
BIFC,2025-02-19,8.0,8.2,7.8,7.8,7134.0
BIFC,2025-02-18,8.0,8.2,7.8,7.9,11732.0
BIFC,2025-02-17,8.1,8.1,7.8,7.8,23135.0
BIFC,2025-02-16,8.0,8.1,7.7,7.9,35359.0
BIFC,2025-02-13,8.0,8.2,7.7,7.9,25439.0
BIFC,2025-02-12,8.1,8.2,7.6,7.7,66205.0
BIFC,2025-02-11,8.9,8.9,7.8,8.1,27707.0
BIFC,2025-02-10,8.1,8.4,8.0,8.2,13848.0
BIFC,2025-02-09,8.0,8.5,8.0,8.5,193557.0
BIFC,2025-02-06,0.0,0.0,0.0,7.8,0.0
BIFC,2025-02-05,7.6,7.8,7.6,7.8,64904.0
BIFC,2025-02-04,7.7,7.8,7.5,7.5,51708.0
BIFC,2025-02-03,7.7,7.9,7.6,7.7,29897.0
BIFC,2025-02-02,8.0,8.0,7.8,7.8,14031.0
BIFC,2025-01-30,8.0,8.0,7.3,7.8,99730.0
BIFC,2025-01-29,8.1,8.1,7.2,7.5,82086.0
BIFC,2025-01-28,7.9,8.1,7.9,8.0,31485.0
BIFC,2025-01-27,7.9,8.1,7.9,8.0,16805.0
BIFC,2025-01-26,7.9,8.1,7.8,8.0,20689.0
BIFC,2025-01-23,8.0,8.1,7.9,7.9,9040.0
BIFC,2025-01-22,8.1,8.2,8.0,8.1,11515.0
BIFC,2025-01-21,8.6,8.6,7.7,7.8,77071.0
BIFC,2025-01-20,8.6,8.6,8.2,8.4,14747.0
BIFC,2025-01-19,8.9,8.9,7.7,7.9,4004.0
BIFC,2025-01-16,9.4,9.4,8.2,8.4,34622.0
BIFC,2025-01-15,8.2,8.8,8.2,8.8,44068.0
BIFC,2025-01-14,7.9,8.1,7.8,8.0,62271.0
BIFC,2025-01-13,7.7,7.9,7.7,7.8,39505.0
BIFC,2025-01-12,7.8,7.8,7.7,7.7,12815.0
BIFC,2025-01-09,7.8,7.9,7.7,7.8,8552.0
BIFC,2025-01-08,8.0,8.0,7.7,7.8,5204.0
BIFC,2025-01-07,7.9,8.1,7.7,7.7,39826.0
BIFC,2025-01-06,7.7,8.0,7.6,7.9,14941.0
BIFC,2025-01-05,8.4,8.4,8.0,8.1,15876.0
BIFC,2025-01-02,8.2,8.5,8.2,8.3,11085.0
BIFC,2025-01-01,8.4,8.5,8.1,8.5,26128.0
BIFC,2024-12-30,8.5,8.5,7.7,8.0,9673.0
BIFC,2024-12-29,7.9,8.5,7.7,7.8,11358.0
BIFC,2024-12-26,8.7,8.7,7.8,7.9,56448.0
BIFC,2024-12-24,9.2,9.2,8.4,8.6,45371.0
BIFC,2024-12-23,9.0,9.7,8.8,8.8,71059.0
BIFC,2024-12-22,8.8,9.0,8.5,9.0,42822.0
BIFC,2024-12-19,8.9,9.3,8.9,8.9,8854.0
BIFC,2024-12-18,9.5,9.5,9.0,9.0,18021.0
BIFC,2024-12-17,9.1,9.5,8.9,9.1,12993.0
BIFC,2024-12-15,9.2,9.2,8.9,9.0,13682.0
BIFC,2024-12-12,9.1,9.2,8.9,9.0,6322.0
BIFC,2024-12-11,8.8,9.5,8.8,8.9,33323.0
BIFC,2024-12-10,8.9,9.0,8.8,8.9,20431.0
BIFC,2024-12-09,9.6,9.6,8.7,8.8,20260.0
BIFC,2024-12-08,8.7,9.3,8.7,9.2,8153.0
BIFC,2024-12-05,9.8,9.8,9.0,9.0,16917.0
BIFC,2024-12-04,10.2,10.2,9.2,9.3,34034.0
