Trading_Code,Date,Open,High,Low,Close,Volume
BOC,2011-12-15,610.2,620.0,608.5,610.6,1950.0
BOC,2011-12-14,620.0,630.0,610.0,614.4,7070.0
BOC,2011-12-13,615.0,630.0,614.1,620.9,3200.0
BOC,2011-12-12,610.4,615.9,610.0,612.7,6100.0
BOC,2011-12-10,635.0,638.0,625.0,636.7,2500.0
BOC,2011-12-09,636.0,641.9,626.0,637.6,9900.0
BOC,2011-12-07,710.0,730.0,710.0,720.7,25450.0
BOC,2011-12-06,640.0,640.0,621.4,623.6,4600.0
BOC,2011-12-05,601.5,613.8,601.5,609.2,3350.0
BOC,2011-12-04,631.0,647.0,623.0,641.7,5900.0
BOC,2011-12-01,660.0,660.0,605.0,612.6,95350.0
BOC,2011-11-30,605.0,640.0,605.0,638.1,12450.0
BOC,2011-11-29,630.0,630.0,625.0,627.0,2200.0
BOC,2011-11-28,615.1,639.8,610.5,629.0,5950.0
BOC,2011-11-27,625.0,639.0,618.0,621.2,2100.0
BOC,2011-11-24,625.0,643.0,625.0,638.6,7300.0
BOC,2011-11-23,640.0,645.0,637.0,640.4,10250.0
BOC,2011-11-22,639.0,643.5,631.0,640.4,7850.0
BOC,2011-11-21,627.0,639.9,627.0,629.9,6200.0
BOC,2011-11-20,630.0,639.5,622.6,638.7,3700.0
BOC,2011-11-17,630.0,644.7,625.0,639.0,12900.0
BOC,2011-11-16,614.0,621.4,614.0,619.6,2600.0
BOC,2011-11-15,600.0,618.0,597.1,603.4,5500.0
BOC,2011-11-14,583.1,614.9,583.1,608.4,5350.0
BOC,2011-11-13,615.1,625.0,615.0,618.4,600.0
BOC,2011-11-12,618.0,618.0,612.7,615.1,1800.0
BOC,2011-11-10,640.0,640.0,629.4,633.0,8850.0
BOC,2011-11-09,644.9,645.0,634.0,636.6,3750.0
BOC,2011-11-08,660.3,673.8,660.3,664.2,4700.0
BOC,2011-11-07,705.0,715.0,700.0,711.3,16650.0
BOC,2011-11-05,600.5,608.0,600.5,604.1,6700.0
BOC,2011-11-04,634.6,658.0,630.0,632.6,20650.0
BOC,2011-11-01,590.0,619.1,590.0,617.9,44750.0
BOC,2011-10-31,638.5,640.0,612.5,623.9,11600.0
BOC,2011-10-30,610.0,624.0,609.2,612.4,3400.0
BOC,2011-10-27,614.0,627.0,614.0,622.8,4600.0
BOC,2011-10-26,630.0,630.0,615.5,620.9,4600.0
BOC,2011-10-25,622.1,622.1,621.0,621.8,450.0
BOC,2011-10-24,625.0,637.5,625.0,630.8,1550.0
BOC,2011-10-23,636.0,640.0,630.4,631.1,9650.0
BOC,2011-10-20,636.0,646.9,636.0,645.2,11350.0
BOC,2011-10-19,604.0,639.0,604.0,633.8,10200.0
BOC,2011-10-18,633.2,638.0,630.5,632.7,3050.0
BOC,2011-10-17,635.0,635.0,630.0,630.4,2650.0
BOC,2011-10-16,634.5,639.7,633.4,633.6,5800.0
BOC,2011-10-13,653.0,654.0,632.0,634.2,7050.0
BOC,2011-10-10,639.0,643.0,635.0,639.3,4900.0
BOC,2011-10-08,665.0,665.0,657.5,663.1,2250.0
BOC,2011-10-07,685.0,713.0,685.0,707.0,20100.0
BOC,2011-10-05,618.9,618.9,598.0,598.5,3150.0
BOC,2011-10-04,652.0,669.0,643.0,646.9,18700.0
BOC,2011-10-03,632.0,669.0,618.5,637.9,50650.0
BOC,2011-10-02,601.0,614.9,572.1,576.1,11200.0
BOC,2011-10-01,620.0,620.0,530.0,538.4,5950.0
BOC,2011-09-29,620.0,647.0,620.0,644.5,6850.0
BOC,2011-09-28,627.3,643.9,625.0,634.7,1500.0
BOC,2011-09-27,657.0,657.0,632.0,633.0,15150.0
BOC,2011-09-26,649.9,649.9,639.2,640.9,4100.0
BOC,2011-09-25,625.0,645.0,623.0,638.7,2100.0
BOC,2011-09-22,626.0,635.0,623.0,631.5,7700.0
BOC,2011-09-21,640.0,640.0,625.0,629.7,11100.0
BOC,2011-09-19,623.0,641.0,623.0,638.3,8150.0
BOC,2011-09-18,640.0,640.1,631.0,633.4,16350.0
BOC,2011-09-15,626.3,639.0,626.2,634.6,350.0
BOC,2011-09-14,652.4,652.4,629.0,639.7,11400.0
BOC,2011-09-13,638.0,648.5,625.7,643.3,10050.0
BOC,2011-09-10,649.0,649.0,634.0,635.4,6800.0
BOC,2011-09-08,667.0,668.0,665.3,666.5,2350.0
BOC,2011-09-06,640.2,644.0,636.3,642.7,15550.0
BOC,2011-09-05,593.0,614.0,588.0,597.2,8050.0
BOC,2011-09-03,626.8,629.0,602.5,624.1,29950.0
BOC,2011-09-02,595.0,630.0,595.0,602.3,29650.0
BOC,2011-09-01,649.0,655.0,590.0,599.8,27150.0
BOC,2011-08-25,659.9,672.0,647.5,660.4,3300.0
BOC,2011-08-24,650.7,654.0,640.0,646.8,3750.0
BOC,2011-08-23,655.0,660.0,650.5,655.6,2350.0
BOC,2011-08-21,659.9,660.5,655.5,657.4,3950.0
BOC,2011-08-18,655.0,664.0,655.0,658.6,8600.0
BOC,2011-08-17,659.5,680.0,640.0,649.3,2050.0
BOC,2011-08-16,640.2,645.0,640.2,644.0,2400.0
BOC,2011-08-14,656.0,662.0,656.0,656.4,4650.0
BOC,2011-08-12,615.1,617.0,615.0,615.1,1400.0
BOC,2011-08-09,636.0,645.0,636.0,642.2,1850.0
BOC,2011-08-08,683.0,685.0,665.0,671.7,6250.0
BOC,2011-08-06,642.0,644.0,641.0,642.2,10700.0
BOC,2011-08-05,600.0,609.0,588.0,592.8,12450.0
BOC,2011-08-03,577.8,613.2,577.8,602.0,42250.0
BOC,2011-08-02,599.0,600.0,553.0,599.4,13900.0
BOC,2011-07-31,711.2,714.5,702.6,704.0,26850.0
BOC,2011-07-28,720.0,726.0,711.0,716.0,15000.0
BOC,2011-07-27,739.0,739.0,716.2,716.6,31600.0
BOC,2011-07-26,725.0,731.0,721.0,723.1,16400.0
BOC,2011-07-25,764.0,764.0,724.1,725.2,37800.0
BOC,2011-07-24,784.0,784.0,728.1,731.4,39650.0
BOC,2011-07-21,717.5,725.0,701.3,703.6,27850.0
BOC,2011-07-20,719.0,728.5,718.0,724.3,18500.0
BOC,2011-07-19,722.9,730.0,716.8,720.0,12600.0
BOC,2011-07-17,706.1,730.0,706.1,716.5,9250.0
BOC,2011-07-14,740.0,748.5,736.1,739.1,37300.0
BOC,2011-07-13,691.3,741.0,691.0,732.3,32300.0
BOC,2011-07-12,625.0,625.0,616.0,620.1,300.0
BOC,2011-07-09,632.1,649.0,631.2,639.8,5750.0
BOC,2011-07-08,655.0,664.0,655.0,659.2,5000.0
BOC,2011-07-07,682.0,697.1,682.0,692.1,19250.0
BOC,2011-07-06,639.5,645.0,635.1,641.7,11150.0
BOC,2011-07-04,636.0,669.9,635.0,657.4,11100.0
BOC,2011-07-03,570.2,575.0,563.2,570.5,15400.0
BOC,2011-07-02,580.0,590.0,552.0,561.9,10700.0
BOC,2011-06-30,660.5,690.0,660.5,678.7,16850.0
BOC,2011-06-29,656.8,670.0,652.0,665.2,18650.0
BOC,2011-06-28,634.5,652.9,634.5,646.1,14450.0
BOC,2011-06-27,631.1,635.0,631.0,632.1,7850.0
BOC,2011-06-26,635.1,645.0,630.6,633.9,14650.0
BOC,2011-06-23,631.0,643.8,629.0,634.5,8150.0
BOC,2011-06-22,631.0,634.9,631.0,632.0,5300.0
BOC,2011-06-21,632.0,634.7,628.1,629.8,3450.0
BOC,2011-06-20,627.0,632.8,626.0,628.5,2900.0
BOC,2011-06-19,662.0,662.0,623.6,624.6,5000.0
BOC,2011-06-16,630.0,633.0,627.0,630.0,6550.0
BOC,2011-06-15,624.5,636.0,624.5,631.8,3600.0
BOC,2011-06-14,631.7,637.0,626.0,627.6,13200.0
BOC,2011-06-13,630.0,640.0,625.1,635.6,2750.0
BOC,2011-06-09,636.0,648.0,632.0,637.1,7000.0
BOC,2011-06-07,663.0,696.8,663.0,680.4,14900.0
BOC,2011-06-06,635.0,637.0,632.0,634.5,13800.0
BOC,2011-06-04,655.0,655.0,620.0,642.3,10700.0
BOC,2011-06-03,535.0,554.3,532.3,549.8,3700.0
BOC,2011-06-02,625.0,625.0,565.0,569.7,11200.0
BOC,2011-06-01,668.2,679.0,625.0,645.9,12600.0
BOC,2011-05-31,630.0,638.8,629.9,636.4,7950.0
BOC,2011-05-30,627.0,631.0,620.0,629.7,3350.0
BOC,2011-05-29,615.5,630.0,615.5,626.5,5650.0
BOC,2011-05-26,625.0,625.0,612.2,618.6,5000.0
BOC,2011-05-25,612.1,617.9,605.0,609.3,20150.0
BOC,2011-05-24,615.0,622.5,615.0,620.9,8350.0
BOC,2011-05-23,612.1,617.0,609.0,614.2,10350.0
BOC,2011-05-22,622.0,624.0,610.0,612.2,3800.0
BOC,2011-05-19,632.0,632.0,622.5,624.4,5500.0
BOC,2011-05-18,623.0,633.0,623.0,630.6,17150.0
BOC,2011-05-16,628.0,634.0,628.0,632.6,15850.0
BOC,2011-05-15,617.0,635.0,617.0,630.9,9700.0
BOC,2011-05-12,621.0,639.8,621.0,637.8,2450.0
BOC,2011-05-10,640.0,640.0,631.0,637.5,8850.0
BOC,2011-05-09,659.9,659.9,633.0,638.5,10500.0
BOC,2011-05-07,682.5,690.0,666.0,684.9,17600.0
BOC,2011-05-06,630.0,635.7,630.0,633.6,9950.0
BOC,2011-05-05,629.0,629.0,590.0,602.9,5900.0
BOC,2011-05-04,672.4,672.4,643.0,643.3,58150.0
BOC,2011-05-01,670.0,692.0,664.0,669.9,8900.0
BOC,2011-04-28,620.0,627.9,600.0,609.7,4800.0
BOC,2011-04-27,591.0,628.0,591.0,613.6,3250.0
BOC,2011-04-26,600.0,614.9,594.0,600.8,4550.0
BOC,2011-04-25,603.0,610.0,595.1,599.0,9450.0
BOC,2011-04-24,631.9,631.9,604.5,605.5,10550.0
BOC,2011-04-21,618.0,622.0,600.0,613.6,12700.0
BOC,2011-04-20,634.0,635.0,600.0,607.5,18950.0
BOC,2011-04-19,639.0,640.0,620.0,625.8,15700.0
BOC,2011-04-18,632.5,645.0,631.3,634.4,8650.0
BOC,2011-04-17,623.0,635.5,623.0,632.2,6150.0
BOC,2011-04-13,638.0,639.9,633.0,635.6,6650.0
BOC,2011-04-12,613.2,637.0,613.2,632.0,650.0
BOC,2011-04-10,635.0,639.8,628.0,633.0,2750.0
BOC,2011-04-09,656.0,665.0,652.0,658.6,2600.0
BOC,2011-04-08,672.0,683.5,667.5,668.6,8150.0
BOC,2011-04-07,662.0,674.9,661.0,669.4,8500.0
BOC,2011-04-05,618.0,628.0,610.5,615.3,7850.0
BOC,2011-04-04,640.0,664.3,640.0,659.6,21000.0
BOC,2011-04-01,695.0,703.0,660.1,675.3,17400.0
BOC,2011-03-31,652.8,679.0,652.8,673.2,47000.0
BOC,2011-03-30,628.0,654.0,624.0,645.4,30000.0
BOC,2011-03-29,638.0,646.0,626.5,630.0,26150.0
BOC,2011-03-28,607.6,634.8,607.5,625.8,25500.0
BOC,2011-03-27,629.0,629.0,592.0,610.3,14550.0
BOC,2011-03-24,600.0,616.8,575.2,612.2,12800.0
BOC,2011-03-22,613.0,623.1,611.0,617.9,26300.0
BOC,2011-03-21,621.0,621.0,614.0,614.2,12650.0
BOC,2011-03-20,606.0,626.5,606.0,619.7,42550.0
BOC,2011-03-16,615.0,625.0,612.1,620.5,10450.0
BOC,2011-03-15,605.0,645.0,605.0,619.4,47900.0
BOC,2011-03-14,595.0,635.9,591.0,634.3,45200.0
BOC,2011-03-13,595.0,615.0,560.0,593.6,47150.0
BOC,2011-03-11,630.0,632.0,630.0,630.0,4700.0
BOC,2011-03-10,640.0,650.0,633.2,636.3,4800.0
BOC,2011-03-08,680.0,686.4,666.1,672.9,18200.0
BOC,2011-03-07,678.0,680.0,663.0,664.8,7500.0
BOC,2011-03-05,627.0,627.0,606.1,607.5,4350.0
BOC,2011-03-04,677.0,677.0,650.0,657.2,18000.0
BOC,2011-03-03,525.1,550.0,521.0,542.7,9800.0
BOC,2011-03-02,618.0,620.0,605.0,606.5,12150.0
BOC,2011-03-01,718.0,718.0,696.1,697.6,10900.0
BOC,2011-02-28,517.0,530.0,505.0,516.4,20750.0
BOC,2011-02-27,542.2,548.0,514.1,529.0,9800.0
BOC,2011-02-24,585.0,585.0,544.4,554.6,14400.0
BOC,2011-02-23,557.6,579.0,542.1,548.4,4200.0
BOC,2011-02-20,585.3,585.3,560.0,585.3,12550.0
BOC,2011-02-15,530.0,544.5,510.0,544.5,13050.0
BOC,2011-02-14,531.0,543.0,504.0,506.6,31150.0
BOC,2011-02-13,567.3,577.0,540.0,543.4,14800.0
BOC,2011-02-11,636.5,636.5,625.0,629.7,650.0
BOC,2011-02-10,650.0,655.0,644.8,645.5,7100.0
BOC,2011-02-06,637.8,637.8,628.1,634.1,50800.0
BOC,2011-02-05,586.0,620.0,586.0,615.0,3750.0
BOC,2011-02-03,584.7,584.7,526.2,528.3,9200.0
