Trading_Code,Date,Open,High,Low,Close,Volume
BPPL,2025-04-08,10.7,10.7,10.3,10.4,322878.0
BPPL,2025-04-07,10.7,10.8,10.5,10.6,266393.0
BPPL,2025-04-06,10.6,10.7,10.5,10.7,150384.0
BPPL,2025-03-27,10.7,10.9,10.7,10.8,89089.0
BPPL,2025-03-25,10.9,10.9,10.6,10.7,315525.0
BPPL,2025-03-24,10.8,10.9,10.6,10.7,287819.0
BPPL,2025-03-23,11.1,11.1,10.7,10.7,248868.0
BPPL,2025-03-20,11.2,11.4,11.0,11.1,494073.0
BPPL,2025-03-19,11.6,11.7,11.1,11.2,544666.0
BPPL,2025-03-18,10.9,11.5,10.7,11.3,1466657.0
BPPL,2025-03-17,10.8,11.0,10.7,10.7,439771.0
BPPL,2025-03-16,10.8,11.0,10.7,10.8,288913.0
BPPL,2025-03-13,10.9,11.1,10.7,10.8,298527.0
BPPL,2025-03-12,10.7,11.1,10.7,10.9,374272.0
BPPL,2025-03-11,11.0,11.4,10.7,10.7,486589.0
BPPL,2025-03-10,10.7,11.2,10.6,11.0,213021.0
BPPL,2025-03-09,11.2,11.3,10.8,11.0,248267.0
BPPL,2025-03-06,11.0,11.5,10.9,11.1,313787.0
BPPL,2025-03-05,10.9,11.1,10.7,10.8,269919.0
BPPL,2025-03-04,10.9,11.1,10.8,10.9,194603.0
BPPL,2025-03-03,11.1,11.3,10.9,10.9,382624.0
BPPL,2025-03-02,11.2,11.4,11.0,11.1,255591.0
BPPL,2025-02-27,11.6,11.6,11.1,11.2,787599.0
BPPL,2025-02-26,11.2,11.9,11.2,11.5,1238949.0
BPPL,2025-02-25,11.5,11.5,11.1,11.2,950668.0
BPPL,2025-02-24,11.8,12.0,11.4,11.6,844953.0
BPPL,2025-02-23,10.7,11.7,10.7,11.7,2606135.0
BPPL,2025-02-20,10.6,10.8,10.6,10.7,410835.0
BPPL,2025-02-19,10.6,10.8,10.4,10.5,264461.0
BPPL,2025-02-18,10.9,10.9,10.7,10.7,469607.0
BPPL,2025-02-17,10.8,10.8,10.5,10.7,452283.0
BPPL,2025-02-16,10.8,11.3,10.7,10.8,1015578.0
BPPL,2025-02-13,10.6,10.9,10.4,10.7,909341.0
BPPL,2025-02-12,10.4,10.9,10.4,10.5,845312.0
BPPL,2025-02-11,10.3,10.6,10.3,10.4,778223.0
BPPL,2025-02-10,9.8,10.2,9.8,10.2,292673.0
BPPL,2025-02-09,10.5,10.6,9.9,9.9,474342.0
BPPL,2025-02-06,10.4,10.9,10.3,10.4,963197.0
BPPL,2025-02-05,9.6,10.4,9.5,10.2,1121907.0
BPPL,2025-02-04,9.6,9.8,9.4,9.6,160062.0
BPPL,2025-02-03,9.3,9.7,9.2,9.5,210465.0
BPPL,2025-02-02,9.4,9.4,9.2,9.3,99661.0
BPPL,2025-01-30,9.3,9.5,9.2,9.2,169132.0
BPPL,2025-01-29,9.5,9.6,9.3,9.4,216237.0
BPPL,2025-01-28,9.5,9.8,9.4,9.5,130946.0
BPPL,2025-01-27,9.9,9.9,9.5,9.5,349382.0
BPPL,2025-01-26,9.5,9.9,9.5,9.8,217793.0
BPPL,2025-01-23,10.3,10.3,9.6,9.6,180806.0
BPPL,2025-01-22,9.6,10.0,9.5,9.6,141742.0
BPPL,2025-01-21,9.5,10.0,9.4,9.9,407450.0
BPPL,2025-01-20,9.5,9.6,9.2,9.3,360391.0
BPPL,2025-01-19,9.5,9.6,9.4,9.4,120725.0
BPPL,2025-01-16,9.6,9.9,9.5,9.5,141699.0
BPPL,2025-01-15,9.6,9.8,9.6,9.6,74172.0
BPPL,2025-01-14,9.5,9.8,9.4,9.5,248778.0
BPPL,2025-01-13,9.6,9.7,9.4,9.5,57569.0
BPPL,2025-01-12,9.9,9.9,9.5,9.6,117657.0
BPPL,2025-01-09,9.9,10.0,9.7,9.7,82406.0
BPPL,2025-01-08,9.9,10.0,9.8,9.8,379973.0
BPPL,2025-01-07,10.0,10.0,9.8,9.9,85417.0
BPPL,2025-01-06,9.8,9.9,9.7,9.8,128884.0
BPPL,2025-01-05,9.8,9.9,9.7,9.8,32502.0
BPPL,2025-01-02,10.0,10.0,9.8,9.8,107105.0
BPPL,2025-01-01,9.8,10.2,9.8,9.9,69525.0
BPPL,2024-12-30,10.2,10.2,9.9,10.0,55416.0
BPPL,2024-12-29,10.0,10.2,10.0,10.1,187943.0
BPPL,2024-12-26,9.9,10.1,9.9,10.1,104897.0
BPPL,2024-12-24,10.3,10.3,9.9,10.0,77573.0
BPPL,2024-12-23,10.4,10.4,9.9,10.0,71611.0
BPPL,2024-12-22,10.3,10.3,10.1,10.1,115449.0
BPPL,2024-12-19,10.4,10.5,10.2,10.3,74789.0
BPPL,2024-12-18,10.5,10.6,10.3,10.3,211676.0
BPPL,2024-12-17,10.7,10.8,10.5,10.6,219450.0
BPPL,2024-12-15,10.4,10.6,10.3,10.5,168474.0
BPPL,2024-12-12,10.4,10.6,10.3,10.4,111105.0
BPPL,2024-12-11,10.6,10.7,10.3,10.4,341400.0
BPPL,2024-12-10,10.9,10.9,10.5,10.6,426244.0
BPPL,2024-12-09,10.5,10.9,10.5,10.7,354078.0
BPPL,2024-12-08,10.3,10.5,10.2,10.4,132925.0
BPPL,2024-12-05,10.8,10.9,10.3,10.5,263478.0
BPPL,2024-12-04,11.4,11.6,10.7,10.9,516255.0
BPPL,2024-12-03,10.9,11.3,10.6,11.3,742032.0
BPPL,2024-12-02,10.4,10.7,10.3,10.7,593439.0
BPPL,2024-12-01,0.0,0.0,0.0,10.2,0.0
BPPL,2024-11-28,10.5,10.6,10.2,10.2,327764.0
BPPL,2024-11-27,10.1,10.4,9.9,10.3,293617.0
BPPL,2024-11-26,10.2,10.3,10.0,10.1,73977.0
BPPL,2024-11-25,10.3,10.4,9.9,10.1,258627.0
BPPL,2024-11-24,10.3,10.4,10.1,10.1,148547.0
BPPL,2024-11-21,10.5,10.7,10.1,10.2,287120.0
BPPL,2024-11-20,10.4,10.7,10.4,10.5,229015.0
BPPL,2024-11-19,10.8,10.8,10.4,10.5,285036.0
BPPL,2024-11-18,11.0,11.2,10.6,10.7,391609.0
BPPL,2024-11-17,10.7,11.4,10.7,11.2,557650.0
BPPL,2024-11-14,11.0,11.5,10.9,11.1,1158281.0
BPPL,2024-11-13,10.6,11.0,10.6,10.9,138260.0
BPPL,2024-11-12,11.8,11.8,10.7,10.9,505944.0
BPPL,2024-11-11,11.5,11.5,11.0,11.4,960192.0
BPPL,2024-11-10,12.2,12.2,11.1,11.5,978666.0
BPPL,2024-11-07,11.6,12.7,11.6,12.4,2331671.0
BPPL,2024-11-06,11.8,12.0,11.4,11.6,226210.0
BPPL,2024-11-05,12.0,12.1,11.8,11.9,483623.0
BPPL,2024-11-04,10.9,11.8,10.8,11.7,352472.0
BPPL,2024-11-03,10.9,11.2,10.8,11.1,262280.0
BPPL,2024-10-31,10.4,11.0,10.3,10.8,194102.0
BPPL,2024-10-30,10.1,10.7,10.1,10.5,335203.0
BPPL,2024-10-29,10.0,10.1,9.6,10.0,199284.0
BPPL,2024-10-28,9.9,10.1,9.5,9.6,287136.0
BPPL,2024-10-27,10.3,10.5,9.7,9.8,233811.0
BPPL,2024-10-24,10.5,10.6,10.2,10.2,70716.0
BPPL,2024-10-23,11.0,11.1,10.6,10.6,111045.0
BPPL,2024-10-22,11.5,11.5,11.0,11.1,92825.0
BPPL,2024-10-21,11.0,11.0,10.6,10.8,182445.0
BPPL,2024-10-20,11.6,11.6,11.0,11.1,213538.0
BPPL,2024-10-17,11.9,11.9,11.5,11.5,196480.0
BPPL,2024-10-16,12.0,12.1,11.7,11.8,183261.0
BPPL,2024-10-15,12.0,12.2,11.9,12.1,209527.0
BPPL,2024-10-14,12.1,12.4,11.9,12.0,322193.0
BPPL,2024-10-09,12.0,12.3,12.0,12.2,63291.0
BPPL,2024-10-08,12.2,12.2,11.9,12.0,137428.0
BPPL,2024-10-07,12.4,12.4,12.0,12.1,60328.0
BPPL,2024-10-06,12.6,12.6,12.0,12.2,213719.0
BPPL,2024-10-03,12.2,12.3,12.0,12.3,148254.0
BPPL,2024-10-02,12.3,12.4,12.1,12.1,198579.0
BPPL,2024-10-01,12.9,12.9,12.2,12.5,189767.0
BPPL,2024-09-30,12.8,13.0,12.3,12.6,249909.0
BPPL,2024-09-29,13.3,13.3,12.7,12.8,173649.0
BPPL,2024-09-26,12.4,13.5,12.4,13.2,427778.0
BPPL,2024-09-25,12.9,12.9,12.4,12.6,244594.0
BPPL,2024-09-24,13.2,13.2,12.8,12.9,135839.0
BPPL,2024-09-23,13.2,13.4,13.0,13.0,200045.0
BPPL,2024-09-22,13.6,13.7,13.2,13.2,270158.0
BPPL,2024-09-19,13.8,13.8,13.5,13.5,157492.0
BPPL,2024-09-18,13.6,13.8,13.6,13.6,155223.0
BPPL,2024-09-17,13.9,13.9,13.6,13.7,332903.0
BPPL,2024-09-15,14.0,14.0,13.5,13.7,191472.0
BPPL,2024-09-12,13.9,13.9,13.5,13.6,256456.0
BPPL,2024-09-11,13.7,14.0,13.6,13.6,217374.0
BPPL,2024-09-10,13.9,13.9,13.5,13.7,294583.0
BPPL,2024-09-09,13.9,14.0,13.6,13.8,336405.0
BPPL,2024-09-08,14.5,14.8,14.0,14.1,433438.0
BPPL,2024-09-05,14.9,14.9,14.3,14.4,217560.0
