Trading_Code,Date,Open,High,Low,Close,Volume
BSCCL,2024-05-20,115.0,115.0,112.3,113.6,32201.0
BSCCL,2024-05-19,116.5,120.9,115.5,115.6,40212.0
BSCCL,2024-05-16,122.3,123.8,118.7,119.0,55598.0
BSCCL,2024-05-15,123.6,123.6,120.3,121.8,48226.0
BSCCL,2024-05-14,126.3,127.0,122.9,123.2,69972.0
BSCCL,2024-05-13,131.5,131.5,126.0,126.6,38058.0
BSCCL,2024-05-12,129.7,130.8,128.7,129.1,21968.0
BSCCL,2024-05-09,130.4,130.4,128.0,128.6,27935.0
BSCCL,2024-05-08,131.5,131.9,128.8,129.2,24980.0
BSCCL,2024-05-07,130.6,133.9,130.5,131.5,55242.0
BSCCL,2024-05-06,130.6,130.9,128.7,130.1,78072.0
BSCCL,2024-05-05,130.9,131.4,129.4,130.6,24480.0
BSCCL,2024-05-02,132.4,132.4,128.3,129.1,17453.0
BSCCL,2024-04-30,131.5,131.5,127.8,129.3,44353.0
BSCCL,2024-04-29,130.7,136.0,130.7,131.6,82331.0
BSCCL,2024-04-28,127.0,132.5,124.0,129.9,45424.0
BSCCL,2024-04-25,128.1,128.1,123.7,124.1,70473.0
BSCCL,2024-04-24,128.9,129.6,127.2,127.5,50475.0
BSCCL,2024-04-23,133.9,133.9,128.5,128.9,40146.0
BSCCL,2024-04-22,132.5,132.5,129.8,129.9,30643.0
BSCCL,2024-04-21,130.2,132.8,128.0,128.3,33393.0
BSCCL,2024-04-18,133.0,133.0,130.0,130.2,28298.0
BSCCL,2024-04-17,134.4,134.9,131.0,132.7,29095.0
BSCCL,2024-04-16,134.5,135.4,132.7,133.8,20993.0
BSCCL,2024-04-15,138.4,138.4,133.4,134.4,31782.0
BSCCL,2024-04-09,136.0,138.8,136.0,138.4,30106.0
BSCCL,2024-04-08,138.5,138.5,136.0,136.7,23336.0
BSCCL,2024-04-04,133.8,139.4,133.8,136.0,58602.0
BSCCL,2024-04-03,131.2,133.9,131.0,133.7,29383.0
BSCCL,2024-04-02,134.0,134.0,129.8,130.7,62063.0
BSCCL,2024-04-01,137.5,138.0,132.5,133.5,56913.0
BSCCL,2024-03-31,135.2,148.4,135.2,136.5,23189.0
BSCCL,2024-03-28,137.0,137.0,133.8,135.2,41654.0
BSCCL,2024-03-27,137.5,137.5,135.2,135.8,21911.0
BSCCL,2024-03-25,139.8,139.8,136.0,137.2,20052.0
BSCCL,2024-03-24,143.7,143.7,139.0,139.8,35366.0
BSCCL,2024-03-21,143.0,143.4,140.2,142.7,16932.0
BSCCL,2024-03-20,137.5,140.1,137.5,139.9,23971.0
BSCCL,2024-03-19,140.4,141.0,135.2,137.2,32738.0
BSCCL,2024-03-18,149.0,149.0,139.8,140.4,63374.0
BSCCL,2024-03-14,143.8,143.8,141.9,142.3,47572.0
BSCCL,2024-03-13,143.0,144.2,141.2,141.9,48522.0
BSCCL,2024-03-12,145.8,147.0,142.0,143.4,43649.0
BSCCL,2024-03-11,148.1,148.9,145.0,145.8,69878.0
BSCCL,2024-03-10,149.7,149.7,147.0,148.0,61309.0
BSCCL,2024-03-07,152.9,152.9,148.0,148.7,72722.0
BSCCL,2024-03-06,149.8,151.6,149.0,150.7,83321.0
BSCCL,2024-03-05,150.6,151.9,149.0,149.6,51570.0
BSCCL,2024-03-04,148.1,150.6,147.2,149.1,60761.0
BSCCL,2024-03-03,150.8,151.5,148.2,148.7,68748.0
BSCCL,2024-02-29,154.1,154.7,150.0,150.6,100722.0
BSCCL,2024-02-28,151.8,155.0,150.5,154.1,111538.0
BSCCL,2024-02-27,148.3,152.0,148.2,150.3,111659.0
BSCCL,2024-02-25,149.3,152.1,147.0,148.3,113966.0
BSCCL,2024-02-22,157.0,157.0,147.5,149.8,225558.0
BSCCL,2024-02-20,157.7,157.7,150.1,153.2,218142.0
BSCCL,2024-02-19,161.2,162.0,153.0,153.8,407343.0
BSCCL,2024-02-18,167.0,167.0,159.7,161.1,155357.0
BSCCL,2024-02-15,169.0,169.0,165.0,165.7,82879.0
BSCCL,2024-02-14,168.1,170.4,167.5,167.7,96369.0
BSCCL,2024-02-13,173.1,173.7,167.6,168.7,191385.0
BSCCL,2024-02-12,172.0,176.5,169.9,173.1,274156.0
BSCCL,2024-02-11,170.5,173.0,168.0,170.9,253523.0
BSCCL,2024-02-08,172.1,174.8,168.5,169.9,205104.0
BSCCL,2024-02-07,175.6,175.6,171.5,172.1,136113.0
BSCCL,2024-02-06,166.5,180.0,166.5,174.5,292944.0
BSCCL,2024-02-05,170.0,170.0,163.5,165.5,190598.0
BSCCL,2024-02-04,162.8,167.5,162.8,164.3,153265.0
BSCCL,2024-02-01,160.3,164.8,157.5,162.8,123165.0
BSCCL,2024-01-31,171.0,171.0,159.5,160.5,296970.0
BSCCL,2024-01-30,165.0,174.9,164.0,169.1,152574.0
BSCCL,2024-01-29,166.8,168.5,162.5,163.7,185282.0
BSCCL,2024-01-28,166.1,171.6,161.1,163.5,237363.0
BSCCL,2024-01-25,170.1,177.0,165.0,166.1,729199.0
BSCCL,2024-01-24,179.9,186.9,179.9,179.9,325081.0
BSCCL,2024-01-23,199.8,199.8,199.8,199.8,26518.0
BSCCL,2024-01-22,0.0,0.0,0.0,218.9,0.0
BSCCL,2024-01-21,218.9,218.9,218.9,218.9,11.0
BSCCL,2024-01-18,218.9,218.9,218.9,218.9,318.0
BSCCL,2024-01-17,218.9,218.9,218.9,218.9,11.0
BSCCL,2024-01-16,218.9,218.9,218.9,218.9,93.0
BSCCL,2024-01-15,218.9,218.9,218.9,218.9,4.0
BSCCL,2024-01-14,218.9,218.9,218.9,218.9,212.0
BSCCL,2024-01-11,218.9,218.9,218.9,218.9,102.0
BSCCL,2024-01-10,218.9,218.9,218.9,218.9,5.0
BSCCL,2024-01-09,218.9,218.9,218.9,218.9,2.0
BSCCL,2024-01-08,218.9,218.9,218.9,218.9,18.0
BSCCL,2024-01-04,218.9,218.9,218.9,218.9,55.0
BSCCL,2024-01-03,218.9,218.9,218.9,218.9,7.0
BSCCL,2024-01-02,218.9,218.9,218.9,218.9,2.0
BSCCL,2024-01-01,218.9,218.9,218.9,218.9,309.0
BSCCL,2023-12-28,218.9,218.9,218.9,218.9,560.0
BSCCL,2023-12-27,218.9,218.9,218.9,218.9,5.0
BSCCL,2023-12-26,218.9,218.9,218.9,218.9,461.0
BSCCL,2023-12-24,218.9,218.9,218.9,218.9,247.0
BSCCL,2023-12-21,218.9,218.9,218.9,218.9,11.0
BSCCL,2023-12-20,218.9,218.9,218.9,218.9,15.0
BSCCL,2023-12-19,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-12-18,218.9,218.9,218.9,218.9,3.0
BSCCL,2023-12-17,218.9,218.9,218.9,218.9,185.0
BSCCL,2023-12-14,218.9,218.9,218.9,218.9,45.0
BSCCL,2023-12-13,218.9,218.9,218.9,218.9,310.0
BSCCL,2023-12-12,218.9,218.9,218.9,218.9,10.0
BSCCL,2023-12-11,218.9,218.9,218.9,218.9,38.0
BSCCL,2023-12-10,218.9,218.9,218.9,218.9,1.0
BSCCL,2023-12-07,218.9,218.9,218.9,218.9,59.0
BSCCL,2023-12-06,218.9,218.9,218.9,218.9,55.0
BSCCL,2023-12-05,218.9,218.9,218.9,218.9,1079.0
BSCCL,2023-12-04,218.9,218.9,218.9,218.9,63.0
BSCCL,2023-12-03,218.9,218.9,218.9,218.9,200.0
BSCCL,2023-11-30,218.9,218.9,218.9,218.9,424.0
BSCCL,2023-11-29,218.9,218.9,218.9,218.9,68.0
BSCCL,2023-11-28,218.9,218.9,218.9,218.9,3.0
BSCCL,2023-11-27,218.9,218.9,218.9,218.9,25.0
BSCCL,2023-11-26,218.9,218.9,218.9,218.9,123.0
BSCCL,2023-11-23,218.9,218.9,218.9,218.9,24.0
BSCCL,2023-11-22,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-11-21,218.9,218.9,218.9,218.9,1.0
BSCCL,2023-11-20,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-11-19,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-11-16,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-11-15,218.9,218.9,218.9,218.9,7.0
BSCCL,2023-11-14,218.9,218.9,218.9,218.9,18.0
BSCCL,2023-11-13,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-11-12,218.9,218.9,218.9,218.9,10.0
BSCCL,2023-11-09,218.9,218.9,218.9,218.9,19.0
BSCCL,2023-11-08,218.9,218.9,218.9,218.9,90.0
BSCCL,2023-11-07,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-11-06,218.9,218.9,218.9,218.9,360.0
BSCCL,2023-11-05,218.9,218.9,218.9,218.9,7.0
BSCCL,2023-11-02,218.9,218.9,218.9,218.9,5.0
BSCCL,2023-11-01,218.9,218.9,218.9,218.9,8.0
BSCCL,2023-10-31,218.9,218.9,218.9,218.9,1.0
BSCCL,2023-10-30,218.9,218.9,218.9,218.9,13.0
BSCCL,2023-10-29,218.9,218.9,218.9,218.9,31.0
BSCCL,2023-10-26,218.9,218.9,218.9,218.9,16.0
BSCCL,2023-10-25,218.9,218.9,218.9,218.9,5.0
BSCCL,2023-10-23,218.9,218.9,218.9,218.9,1.0
BSCCL,2023-10-22,218.9,218.9,218.9,218.9,260.0
BSCCL,2023-10-19,218.9,218.9,218.9,218.9,5.0
BSCCL,2023-10-18,218.9,218.9,218.9,218.9,3.0
BSCCL,2023-10-17,218.9,218.9,218.9,218.9,4.0
BSCCL,2023-10-16,218.9,218.9,218.9,218.9,4.0
BSCCL,2023-10-15,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-10-12,218.9,218.9,218.9,218.9,3.0
BSCCL,2023-10-11,218.9,218.9,218.9,218.9,23.0
BSCCL,2023-10-10,218.9,218.9,218.9,218.9,4.0
BSCCL,2023-10-09,218.9,218.9,218.9,218.9,10.0
BSCCL,2023-10-08,218.9,218.9,218.9,218.9,5.0
BSCCL,2023-10-05,218.9,218.9,218.9,218.9,230.0
BSCCL,2023-10-04,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-10-03,218.9,218.9,218.9,218.9,809.0
BSCCL,2023-10-02,218.9,218.9,218.9,218.9,1.0
BSCCL,2023-10-01,218.9,218.9,218.9,218.9,12.0
BSCCL,2023-09-27,218.9,218.9,218.9,218.9,101.0
BSCCL,2023-09-26,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-09-25,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-09-24,218.9,218.9,218.9,218.9,502.0
BSCCL,2023-09-21,218.9,218.9,218.9,218.9,2.0
BSCCL,2023-09-20,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-09-19,218.9,218.9,218.9,218.9,203.0
BSCCL,2023-09-18,218.9,218.9,218.9,218.9,152.0
BSCCL,2023-09-17,218.9,218.9,218.9,218.9,337.0
BSCCL,2023-09-14,218.9,218.9,218.9,218.9,42.0
BSCCL,2023-09-13,218.9,218.9,218.9,218.9,180.0
BSCCL,2023-09-12,218.9,218.9,218.9,218.9,69.0
BSCCL,2023-09-11,218.9,218.9,218.9,218.9,62.0
BSCCL,2023-09-10,218.9,218.9,218.9,218.9,288.0
BSCCL,2023-09-07,218.9,218.9,218.9,218.9,107.0
BSCCL,2023-09-05,218.9,218.9,218.9,218.9,640.0
BSCCL,2023-09-04,218.9,218.9,218.9,218.9,114.0
BSCCL,2023-09-03,218.9,218.9,218.9,218.9,547.0
BSCCL,2023-08-31,218.9,218.9,218.9,218.9,2183.0
BSCCL,2023-08-30,218.9,218.9,218.9,218.9,1464.0
BSCCL,2023-08-29,218.9,218.9,218.9,218.9,743.0
BSCCL,2023-08-28,218.9,218.9,218.9,218.9,1487.0
BSCCL,2023-08-27,218.9,218.9,218.9,218.9,32.0
BSCCL,2023-08-24,218.9,218.9,218.9,218.9,1010.0
BSCCL,2023-08-23,218.9,218.9,218.9,218.9,1194.0
BSCCL,2023-08-22,218.9,218.9,218.9,218.9,12.0
BSCCL,2023-08-21,218.9,218.9,218.9,218.9,826.0
BSCCL,2023-08-20,218.9,218.9,218.9,218.9,256.0
BSCCL,2023-08-17,218.9,218.9,218.9,218.9,65.0
BSCCL,2023-08-16,218.9,218.9,218.9,218.9,130.0
BSCCL,2023-08-14,218.9,218.9,218.9,218.9,15.0
BSCCL,2023-08-13,218.9,218.9,218.9,218.9,105.0
BSCCL,2023-08-10,218.9,218.9,218.9,218.9,2503.0
BSCCL,2023-08-09,218.9,218.9,218.9,218.9,29.0
BSCCL,2023-08-08,218.9,218.9,218.9,218.9,535.0
BSCCL,2023-08-07,218.9,218.9,218.9,218.9,128.0
BSCCL,2023-08-06,218.9,218.9,218.9,218.9,5.0
BSCCL,2023-08-03,218.9,218.9,218.9,218.9,100.0
BSCCL,2023-08-02,218.9,218.9,218.9,218.9,766.0
BSCCL,2023-08-01,218.9,218.9,218.9,218.9,100.0
BSCCL,2023-07-31,218.9,218.9,218.9,218.9,5.0
BSCCL,2023-07-30,218.9,218.9,218.9,218.9,19.0
BSCCL,2023-07-27,218.9,218.9,218.9,218.9,1.0
BSCCL,2023-07-26,218.9,218.9,218.9,218.9,7.0
BSCCL,2023-07-25,218.9,218.9,218.9,218.9,816.0
BSCCL,2023-07-24,218.9,218.9,218.9,218.9,1650.0
BSCCL,2023-07-23,218.9,218.9,218.9,218.9,10135.0
BSCCL,2023-07-20,218.9,218.9,218.9,218.9,437.0
BSCCL,2023-07-19,218.9,218.9,218.9,218.9,100.0
BSCCL,2023-07-18,218.9,218.9,218.9,218.9,118.0
BSCCL,2023-07-17,218.9,218.9,218.9,218.9,584.0
BSCCL,2023-07-16,218.9,218.9,218.9,218.9,266.0
BSCCL,2023-07-13,218.9,218.9,218.9,218.9,241.0
BSCCL,2023-07-12,218.9,218.9,218.9,218.9,1550.0
BSCCL,2023-07-11,218.9,218.9,218.9,218.9,32.0
BSCCL,2023-07-10,218.9,218.9,218.9,218.9,433.0
BSCCL,2023-07-09,218.9,218.9,218.9,218.9,69.0
BSCCL,2023-07-06,218.9,218.9,218.9,218.9,178.0
BSCCL,2023-07-05,218.9,218.9,218.9,218.9,126.0
BSCCL,2023-07-04,218.9,218.9,218.9,218.9,177.0
BSCCL,2023-07-03,218.9,218.9,218.9,218.9,605.0
BSCCL,2023-07-02,218.9,218.9,218.9,218.9,233.0
BSCCL,2023-06-26,218.9,218.9,218.9,218.9,2628.0
BSCCL,2023-06-25,218.9,218.9,218.9,218.9,294.0
BSCCL,2023-06-22,218.9,218.9,218.9,218.9,467.0
BSCCL,2023-06-21,218.9,218.9,218.9,218.9,682.0
BSCCL,2023-06-20,218.9,218.9,218.9,218.9,920.0
BSCCL,2023-06-19,218.9,218.9,218.9,218.9,104.0
BSCCL,2023-06-18,218.9,218.9,218.9,218.9,608.0
BSCCL,2023-06-15,0.0,0.0,0.0,218.9,0.0
BSCCL,2023-06-14,218.9,218.9,218.9,218.9,85.0
BSCCL,2023-06-13,218.9,218.9,218.9,218.9,42.0
BSCCL,2023-06-12,218.9,218.9,218.9,218.9,52.0
BSCCL,2023-06-11,218.9,218.9,218.9,218.9,197.0
BSCCL,2023-06-08,218.9,218.9,218.9,218.9,25.0
BSCCL,2023-06-07,218.9,218.9,218.9,218.9,505.0
BSCCL,2023-06-06,218.9,218.9,218.9,218.9,1142.0
BSCCL,2023-06-05,218.9,218.9,218.9,218.9,1526.0
BSCCL,2023-06-04,218.9,218.9,218.9,218.9,10.0
BSCCL,2023-06-01,218.9,218.9,218.9,218.9,39.0
BSCCL,2023-05-31,218.9,218.9,218.9,218.9,440.0
BSCCL,2023-05-30,218.9,218.9,218.9,218.9,47.0
BSCCL,2023-05-29,218.9,218.9,218.9,218.9,1304.0
BSCCL,2023-05-28,218.9,218.9,218.9,218.9,4678.0
