Trading_Code,Date,Open,High,Low,Close,Volume
BSCPLC,2025-04-08,125.3,130.0,122.0,127.1,36932.0
BSCPLC,2025-04-07,122.9,126.0,120.0,124.9,80908.0
BSCPLC,2025-04-06,123.5,124.5,121.3,122.8,40280.0
BSCPLC,2025-03-27,124.7,124.7,122.8,123.4,31006.0
BSCPLC,2025-03-25,122.7,124.0,122.7,123.6,36103.0
BSCPLC,2025-03-24,123.9,125.4,122.1,122.7,61549.0
BSCPLC,2025-03-23,124.4,125.5,123.5,125.2,25212.0
BSCPLC,2025-03-20,113.2,125.1,113.2,124.4,27010.0
BSCPLC,2025-03-19,125.2,125.5,123.8,124.2,24110.0
BSCPLC,2025-03-18,126.0,126.6,124.5,125.0,43095.0
BSCPLC,2025-03-17,124.2,125.0,124.1,124.7,20074.0
BSCPLC,2025-03-16,125.6,125.6,124.0,124.5,53698.0
BSCPLC,2025-03-13,126.4,126.9,126.0,126.4,14480.0
BSCPLC,2025-03-12,127.1,127.1,126.1,126.4,24280.0
BSCPLC,2025-03-11,125.8,127.0,125.8,126.3,17702.0
BSCPLC,2025-03-10,126.7,127.3,125.4,126.3,51932.0
BSCPLC,2025-03-09,127.5,127.9,127.2,127.4,10914.0
BSCPLC,2025-03-06,127.1,128.4,127.0,128.0,7187.0
BSCPLC,2025-03-05,127.1,128.4,127.0,127.6,29081.0
BSCPLC,2025-03-04,128.1,128.8,127.4,127.5,27783.0
BSCPLC,2025-03-03,128.7,130.6,128.5,128.5,17007.0
BSCPLC,2025-03-02,130.7,131.5,128.5,128.9,88414.0
BSCPLC,2025-02-27,130.0,130.5,128.4,129.3,91864.0
BSCPLC,2025-02-26,130.0,130.8,128.0,128.6,54011.0
BSCPLC,2025-02-25,128.8,131.0,128.0,128.7,200869.0
BSCPLC,2025-02-24,127.9,129.2,127.9,128.9,69809.0
BSCPLC,2025-02-23,132.4,133.0,127.3,128.0,118704.0
BSCPLC,2025-02-20,125.0,133.0,125.0,130.3,299466.0
BSCPLC,2025-02-19,124.0,124.5,123.5,124.0,127191.0
BSCPLC,2025-02-18,124.9,124.9,123.6,123.7,84138.0
BSCPLC,2025-02-17,123.8,124.0,123.2,123.8,17053.0
BSCPLC,2025-02-16,126.0,126.0,123.4,123.5,23163.0
BSCPLC,2025-02-13,122.2,125.1,122.0,124.2,68784.0
BSCPLC,2025-02-12,122.8,122.9,122.2,122.6,13146.0
BSCPLC,2025-02-11,123.9,123.9,122.7,122.8,63823.0
BSCPLC,2025-02-10,122.4,124.4,122.4,122.6,22501.0
BSCPLC,2025-02-09,123.5,123.9,122.5,122.8,17417.0
BSCPLC,2025-02-06,122.1,123.5,122.1,122.9,21292.0
BSCPLC,2025-02-05,122.5,124.3,121.5,122.8,9773.0
BSCPLC,2025-02-04,124.0,124.0,122.1,122.3,20843.0
BSCPLC,2025-02-03,125.4,125.4,121.6,122.8,17879.0
BSCPLC,2025-02-02,122.1,124.7,122.1,124.2,38492.0
BSCPLC,2025-01-30,123.1,124.0,122.0,123.4,21780.0
BSCPLC,2025-01-29,120.7,123.8,120.7,123.1,33928.0
BSCPLC,2025-01-28,122.9,122.9,120.5,121.0,21617.0
BSCPLC,2025-01-27,121.5,122.9,120.6,121.6,25509.0
BSCPLC,2025-01-26,120.0,124.9,120.0,121.4,50230.0
BSCPLC,2025-01-23,125.7,127.2,125.7,126.6,44605.0
BSCPLC,2025-01-22,124.3,126.9,124.0,126.5,96319.0
BSCPLC,2025-01-21,124.9,126.8,124.0,125.9,60460.0
BSCPLC,2025-01-20,124.0,126.0,122.7,124.9,49455.0
BSCPLC,2025-01-19,121.0,124.0,120.6,123.9,59731.0
BSCPLC,2025-01-16,122.8,122.8,120.3,121.8,38661.0
BSCPLC,2025-01-15,121.2,122.0,120.6,121.5,33240.0
BSCPLC,2025-01-14,123.1,123.1,120.7,121.0,56897.0
BSCPLC,2025-01-13,120.0,123.3,119.2,122.9,66034.0
BSCPLC,2025-01-12,122.9,122.9,120.0,120.5,73927.0
BSCPLC,2025-01-09,121.0,121.9,119.8,121.6,24806.0
BSCPLC,2025-01-08,121.9,121.9,119.2,119.8,45041.0
BSCPLC,2025-01-07,123.0,124.0,121.1,121.2,40922.0
BSCPLC,2025-01-06,123.4,123.4,120.0,121.9,32802.0
BSCPLC,2025-01-05,121.1,121.9,120.1,120.6,50466.0
BSCPLC,2025-01-02,125.6,125.6,122.3,122.8,78365.0
BSCPLC,2025-01-01,126.1,129.0,123.4,125.6,124933.0
BSCPLC,2024-12-30,122.3,127.1,121.7,126.1,298564.0
BSCPLC,2024-12-29,118.8,122.0,118.8,121.1,110392.0
BSCPLC,2024-12-26,117.1,118.5,116.4,118.1,63199.0
BSCPLC,2024-12-24,115.7,118.5,115.7,117.2,22893.0
BSCPLC,2024-12-23,119.0,119.0,115.1,115.7,87815.0
BSCPLC,2024-12-22,119.8,121.0,116.8,117.3,83041.0
BSCPLC,2024-12-19,120.0,121.5,119.0,120.1,80323.0
BSCPLC,2024-12-18,121.7,124.6,120.0,120.3,117597.0
BSCPLC,2024-12-17,116.5,124.9,116.5,122.0,239381.0
BSCPLC,2024-12-15,115.2,116.3,114.6,115.9,55741.0
BSCPLC,2024-12-12,116.8,117.0,115.0,115.2,20172.0
BSCPLC,2024-12-11,115.3,116.0,115.2,115.3,18819.0
BSCPLC,2024-12-10,115.5,117.0,114.6,115.7,37292.0
BSCPLC,2024-12-09,116.5,116.5,114.2,114.5,28521.0
BSCPLC,2024-12-08,115.1,116.2,115.0,115.1,17535.0
BSCPLC,2024-12-05,117.2,117.6,116.1,116.4,38195.0
