Trading_Code,Date,Open,High,Low,Close,Volume
BSRMLTD,2025-04-08,74.2,74.2,73.3,73.6,18777.0
BSRMLTD,2025-04-07,73.7,74.5,73.6,73.6,25138.0
BSRMLTD,2025-04-06,74.8,74.8,73.5,73.7,28462.0
BSRMLTD,2025-03-27,74.8,74.8,73.7,74.1,6687.0
BSRMLTD,2025-03-25,74.5,74.8,73.5,74.2,11128.0
BSRMLTD,2025-03-24,73.5,74.7,73.5,74.5,19230.0
BSRMLTD,2025-03-23,74.5,74.5,71.9,73.2,36021.0
BSRMLTD,2025-03-20,72.9,73.5,72.5,73.0,3985.0
BSRMLTD,2025-03-19,73.5,73.5,72.6,72.9,13506.0
BSRMLTD,2025-03-18,73.0,73.5,72.8,73.0,14796.0
BSRMLTD,2025-03-17,72.8,73.5,72.2,72.7,11977.0
BSRMLTD,2025-03-16,73.9,74.2,72.6,72.7,26285.0
BSRMLTD,2025-03-13,73.5,73.5,72.9,73.0,59252.0
BSRMLTD,2025-03-12,73.9,73.9,73.0,73.1,48564.0
BSRMLTD,2025-03-11,74.0,74.0,72.9,73.3,77644.0
BSRMLTD,2025-03-10,74.7,74.8,73.5,73.8,24998.0
BSRMLTD,2025-03-09,76.3,76.3,73.7,74.5,15619.0
BSRMLTD,2025-03-06,76.9,78.5,75.0,75.4,59788.0
BSRMLTD,2025-03-05,75.5,76.5,75.5,76.1,5524.0
BSRMLTD,2025-03-04,76.4,77.9,75.1,75.5,35464.0
BSRMLTD,2025-03-03,77.3,78.0,76.0,76.4,23475.0
BSRMLTD,2025-03-02,77.8,78.0,77.3,77.5,33914.0
BSRMLTD,2025-02-27,77.8,78.9,77.6,78.0,7366.0
BSRMLTD,2025-02-26,78.2,78.8,77.5,77.7,164285.0
BSRMLTD,2025-02-25,78.1,78.2,77.5,78.0,128872.0
BSRMLTD,2025-02-24,78.1,78.8,77.4,77.9,145031.0
BSRMLTD,2025-02-23,78.7,78.8,76.5,77.6,93519.0
BSRMLTD,2025-02-20,79.8,79.8,78.1,78.1,44241.0
BSRMLTD,2025-02-19,79.4,79.4,78.4,79.0,55454.0
BSRMLTD,2025-02-18,79.7,79.7,77.8,78.2,36377.0
BSRMLTD,2025-02-17,80.2,80.2,78.4,79.6,60063.0
BSRMLTD,2025-02-16,80.4,80.4,78.3,79.3,126323.0
BSRMLTD,2025-02-13,78.7,80.8,78.5,79.4,96874.0
BSRMLTD,2025-02-12,80.2,81.2,79.0,79.0,57376.0
BSRMLTD,2025-02-11,80.5,81.2,79.4,80.2,76191.0
BSRMLTD,2025-02-10,80.5,80.9,79.2,79.8,47217.0
BSRMLTD,2025-02-09,86.9,86.9,79.0,81.8,6337.0
BSRMLTD,2025-02-06,79.3,81.8,78.0,81.3,45718.0
BSRMLTD,2025-02-05,78.4,80.4,78.4,79.3,5711.0
BSRMLTD,2025-02-04,79.0,81.0,78.0,80.2,25187.0
BSRMLTD,2025-02-03,79.2,80.0,78.9,79.0,8661.0
BSRMLTD,2025-02-02,80.0,81.7,78.6,78.8,30707.0
BSRMLTD,2025-01-30,86.0,86.0,80.2,80.3,20301.0
BSRMLTD,2025-01-29,84.0,84.0,81.0,81.1,8903.0
BSRMLTD,2025-01-28,82.1,82.1,81.0,81.2,6501.0
BSRMLTD,2025-01-27,83.9,83.9,82.0,82.2,109854.0
BSRMLTD,2025-01-26,85.9,85.9,82.8,83.0,72710.0
BSRMLTD,2025-01-23,86.3,86.3,83.5,83.8,93673.0
BSRMLTD,2025-01-22,87.4,90.0,84.0,85.7,312377.0
BSRMLTD,2025-01-21,86.8,87.9,83.5,86.3,100679.0
BSRMLTD,2025-01-20,81.1,87.3,81.1,86.8,132524.0
BSRMLTD,2025-01-19,80.2,83.6,80.2,83.0,55769.0
BSRMLTD,2025-01-16,80.5,82.9,78.1,81.4,163651.0
BSRMLTD,2025-01-15,75.2,81.0,75.2,79.6,165334.0
