Trading_Code,Date,Open,High,Low,Close,Volume
CAPITECGBF,2025-04-08,7.2,7.6,7.2,7.5,1633360.0
CAPITECGBF,2025-04-07,7.4,7.5,7.2,7.2,526870.0
CAPITECGBF,2025-04-06,7.2,7.5,7.2,7.4,1071567.0
CAPITECGBF,2025-03-27,7.2,7.3,7.1,7.2,293560.0
CAPITECGBF,2025-03-25,7.2,7.2,7.0,7.1,395667.0
CAPITECGBF,2025-03-24,7.1,7.3,7.1,7.1,454442.0
CAPITECGBF,2025-03-23,7.2,7.3,7.0,7.1,466530.0
CAPITECGBF,2025-03-20,7.5,7.5,7.2,7.2,705414.0
CAPITECGBF,2025-03-19,7.4,7.7,7.4,7.5,1811926.0
CAPITECGBF,2025-03-18,7.1,7.4,7.0,7.3,721721.0
CAPITECGBF,2025-03-17,7.1,7.2,7.0,7.1,465164.0
CAPITECGBF,2025-03-16,7.2,7.2,7.0,7.1,723221.0
CAPITECGBF,2025-03-13,7.3,7.3,7.1,7.2,381986.0
CAPITECGBF,2025-03-12,7.2,7.4,7.2,7.2,300541.0
CAPITECGBF,2025-03-11,7.3,7.4,7.2,7.2,543874.0
CAPITECGBF,2025-03-10,7.4,7.4,7.2,7.3,273393.0
CAPITECGBF,2025-03-09,7.5,7.5,7.3,7.3,137881.0
CAPITECGBF,2025-03-06,7.5,7.6,7.4,7.4,267671.0
CAPITECGBF,2025-03-05,7.5,7.5,7.3,7.4,424903.0
CAPITECGBF,2025-03-04,7.6,7.6,7.4,7.4,276638.0
CAPITECGBF,2025-03-03,7.8,7.8,7.5,7.5,971990.0
CAPITECGBF,2025-03-02,7.7,7.9,7.6,7.8,1253208.0
CAPITECGBF,2025-02-27,7.7,7.8,7.5,7.6,942058.0
CAPITECGBF,2025-02-26,7.6,8.1,7.6,7.8,2898917.0
CAPITECGBF,2025-02-25,7.5,7.6,7.4,7.5,1389845.0
CAPITECGBF,2025-02-24,7.5,7.6,7.4,7.5,1306072.0
CAPITECGBF,2025-02-23,7.6,7.7,7.4,7.5,1267658.0
CAPITECGBF,2025-02-20,7.3,7.5,7.2,7.4,1516246.0
CAPITECGBF,2025-02-19,7.3,7.4,7.1,7.2,750118.0
CAPITECGBF,2025-02-18,7.1,7.5,7.1,7.3,1778982.0
CAPITECGBF,2025-02-17,7.1,7.2,7.0,7.0,587357.0
CAPITECGBF,2025-02-16,7.2,7.2,7.0,7.1,549129.0
CAPITECGBF,2025-02-13,7.4,7.4,7.2,7.2,574917.0
CAPITECGBF,2025-02-12,7.1,7.5,7.0,7.4,1972232.0
CAPITECGBF,2025-02-11,7.0,7.2,7.0,7.1,472088.0
CAPITECGBF,2025-02-10,7.0,7.1,6.9,7.0,382125.0
CAPITECGBF,2025-02-09,7.3,7.3,7.0,7.0,883383.0
CAPITECGBF,2025-02-06,7.3,7.3,7.1,7.2,775839.0
CAPITECGBF,2025-02-05,7.0,7.4,6.9,7.2,813660.0
CAPITECGBF,2025-02-04,6.8,7.2,6.8,7.0,646194.0
CAPITECGBF,2025-02-03,7.4,7.4,7.1,7.1,1085470.0
CAPITECGBF,2025-02-02,6.7,7.3,6.7,7.3,1877117.0
CAPITECGBF,2025-01-30,7.0,7.0,6.7,6.7,424913.0
CAPITECGBF,2025-01-29,7.1,7.1,6.8,6.9,760362.0
CAPITECGBF,2025-01-28,7.2,7.3,6.9,7.0,859755.0
CAPITECGBF,2025-01-27,7.4,7.5,7.1,7.2,1015456.0
CAPITECGBF,2025-01-26,7.6,7.6,7.3,7.4,1035194.0
CAPITECGBF,2025-01-23,7.6,7.7,7.5,7.6,672640.0
CAPITECGBF,2025-01-22,7.7,7.7,7.5,7.5,685229.0
CAPITECGBF,2025-01-21,7.8,7.9,7.5,7.6,1209467.0
CAPITECGBF,2025-01-20,7.7,7.9,7.7,7.7,774366.0
CAPITECGBF,2025-01-19,7.9,7.9,7.5,7.6,830458.0
CAPITECGBF,2025-01-16,7.9,8.0,7.8,7.8,1222024.0
CAPITECGBF,2025-01-15,8.1,8.2,7.9,7.9,1180520.0
CAPITECGBF,2025-01-14,8.2,8.4,8.0,8.1,1288226.0
CAPITECGBF,2025-01-13,8.3,8.5,8.1,8.2,763070.0
CAPITECGBF,2025-01-12,8.3,8.5,8.2,8.4,1441073.0
CAPITECGBF,2025-01-09,8.3,8.4,8.1,8.2,374532.0
CAPITECGBF,2025-01-08,8.3,8.4,8.2,8.2,591478.0
CAPITECGBF,2025-01-07,8.3,8.5,8.3,8.3,1044381.0
CAPITECGBF,2025-01-06,8.3,8.4,8.2,8.3,520158.0
CAPITECGBF,2025-01-05,8.4,8.5,8.1,8.2,737584.0
CAPITECGBF,2025-01-02,8.7,8.7,8.3,8.4,597186.0
CAPITECGBF,2025-01-01,8.6,8.8,8.5,8.6,554148.0
CAPITECGBF,2024-12-30,8.6,8.7,8.5,8.6,801835.0
CAPITECGBF,2024-12-29,8.6,8.7,8.4,8.5,655390.0
CAPITECGBF,2024-12-26,8.7,8.7,8.5,8.5,701871.0
CAPITECGBF,2024-12-24,8.7,8.7,8.6,8.6,665900.0
CAPITECGBF,2024-12-23,8.7,8.8,8.6,8.7,395202.0
CAPITECGBF,2024-12-22,8.8,8.8,8.6,8.7,421193.0
CAPITECGBF,2024-12-19,8.8,8.8,8.6,8.7,654058.0
CAPITECGBF,2024-12-18,9.0,9.0,8.7,8.7,1121433.0
CAPITECGBF,2024-12-17,8.9,9.2,8.9,8.9,1052504.0
CAPITECGBF,2024-12-15,8.9,9.2,8.8,8.9,1113414.0
CAPITECGBF,2024-12-12,8.9,9.0,8.8,8.8,601613.0
CAPITECGBF,2024-12-11,9.0,9.1,8.8,8.9,1276705.0
CAPITECGBF,2024-12-10,9.1,9.3,8.9,9.0,1452602.0
CAPITECGBF,2024-12-09,9.2,9.3,8.9,9.0,762941.0
CAPITECGBF,2024-12-08,9.0,9.1,8.9,9.0,854620.0
CAPITECGBF,2024-12-05,9.5,9.5,9.1,9.1,1122127.0
CAPITECGBF,2024-12-04,9.1,9.9,9.1,9.5,3927824.0
CAPITECGBF,2024-12-03,9.2,9.2,9.0,9.1,1105342.0
CAPITECGBF,2024-12-02,9.0,9.3,9.0,9.1,1836281.0
CAPITECGBF,2024-12-01,8.9,9.0,8.8,8.9,714993.0
CAPITECGBF,2024-11-28,9.2,9.4,8.8,8.9,1184786.0
CAPITECGBF,2024-11-27,8.7,9.3,8.7,9.1,1720800.0
CAPITECGBF,2024-11-26,8.8,8.9,8.7,8.7,801186.0
CAPITECGBF,2024-11-25,8.7,8.8,8.6,8.7,898400.0
CAPITECGBF,2024-11-24,8.7,8.9,8.6,8.6,888494.0
CAPITECGBF,2024-11-21,8.8,8.9,8.6,8.7,430529.0
CAPITECGBF,2024-11-20,8.9,8.9,8.7,8.8,654031.0
CAPITECGBF,2024-11-19,8.9,9.0,8.8,8.8,1070691.0
CAPITECGBF,2024-11-18,9.1,9.1,8.8,8.9,612816.0
CAPITECGBF,2024-11-17,9.1,9.3,8.9,9.0,1282990.0
CAPITECGBF,2024-11-14,9.2,9.3,9.0,9.1,1139481.0
CAPITECGBF,2024-11-13,9.0,9.1,8.9,9.0,757408.0
CAPITECGBF,2024-11-12,9.3,9.4,9.1,9.1,1326824.0
CAPITECGBF,2024-11-11,9.4,9.4,9.1,9.2,1059904.0
CAPITECGBF,2024-11-10,9.2,9.4,9.1,9.2,1904224.0
CAPITECGBF,2024-11-07,9.7,9.8,9.3,9.4,1155169.0
CAPITECGBF,2024-11-06,9.3,10.0,9.3,9.7,3938678.0
CAPITECGBF,2024-11-05,9.5,9.6,9.2,9.3,1846995.0
CAPITECGBF,2024-11-04,9.1,9.6,8.9,9.4,2159449.0
CAPITECGBF,2024-11-03,9.6,9.8,9.0,9.2,2264861.0
CAPITECGBF,2024-10-31,9.2,9.7,9.2,9.6,2819344.0
CAPITECGBF,2024-10-30,8.9,9.2,8.9,9.0,2141608.0
CAPITECGBF,2024-10-29,8.7,9.0,8.6,8.8,1146444.0
CAPITECGBF,2024-10-28,8.9,8.9,8.5,8.6,1067675.0
CAPITECGBF,2024-10-27,9.0,9.2,8.8,8.8,1570729.0
CAPITECGBF,2024-10-24,9.0,9.2,8.9,9.1,1946382.0
CAPITECGBF,2024-10-23,9.3,9.4,8.8,8.9,1708719.0
CAPITECGBF,2024-10-22,9.5,9.7,9.3,9.4,1869564.0
CAPITECGBF,2024-10-21,9.0,9.5,8.9,9.4,1863673.0
CAPITECGBF,2024-10-20,9.5,9.6,8.7,8.9,1526367.0
CAPITECGBF,2024-10-17,9.7,9.8,9.2,9.3,1508427.0
CAPITECGBF,2024-10-16,9.9,10.1,9.5,9.6,1688573.0
CAPITECGBF,2024-10-15,10.7,10.7,9.8,10.0,5529491.0
CAPITECGBF,2024-10-14,9.4,9.9,9.2,9.9,1679394.0
CAPITECGBF,2024-10-09,8.7,9.1,8.6,9.0,1311717.0
CAPITECGBF,2024-10-08,8.8,8.8,8.6,8.6,834380.0
CAPITECGBF,2024-10-07,8.9,9.0,8.6,8.7,856478.0
CAPITECGBF,2024-10-06,9.1,9.4,8.9,8.9,870487.0
CAPITECGBF,2024-10-03,8.9,9.1,8.8,9.0,790068.0
CAPITECGBF,2024-10-02,9.2,9.2,8.8,8.9,1454380.0
CAPITECGBF,2024-10-01,9.3,9.4,9.1,9.2,1329866.0
CAPITECGBF,2024-09-30,9.2,9.5,9.1,9.2,1245338.0
CAPITECGBF,2024-09-29,9.6,9.8,9.1,9.2,1524749.0
CAPITECGBF,2024-09-26,9.8,10.1,9.3,9.5,1780237.0
CAPITECGBF,2024-09-25,10.1,10.6,9.9,10.0,4253078.0
CAPITECGBF,2024-09-24,9.8,10.5,9.7,10.1,2430786.0
CAPITECGBF,2024-09-23,10.2,10.2,9.7,9.8,1719908.0
CAPITECGBF,2024-09-22,10.2,10.4,10.0,10.0,1255987.0
CAPITECGBF,2024-09-19,10.2,10.4,10.1,10.1,1600914.0
CAPITECGBF,2024-09-18,10.6,10.7,10.2,10.2,1153417.0
CAPITECGBF,2024-09-17,10.1,10.8,10.0,10.5,2877117.0
CAPITECGBF,2024-09-15,10.5,10.5,9.9,10.0,1322918.0
CAPITECGBF,2024-09-12,10.6,10.7,10.3,10.3,1995944.0
CAPITECGBF,2024-09-11,10.6,10.8,10.3,10.4,1876066.0
CAPITECGBF,2024-09-10,10.8,10.8,10.3,10.5,865513.0
CAPITECGBF,2024-09-09,11.5,11.5,10.3,10.5,1413875.0
CAPITECGBF,2024-09-08,11.7,12.1,10.8,11.0,1690672.0
CAPITECGBF,2024-09-05,11.4,12.0,11.3,11.7,2385999.0
CAPITECGBF,2024-09-04,0.0,0.0,0.0,11.4,0.0
CAPITECGBF,2024-09-03,11.1,11.8,11.0,11.4,1556589.0
CAPITECGBF,2024-09-02,12.1,12.1,11.1,11.3,1448560.0
CAPITECGBF,2024-09-01,12.2,12.5,11.8,11.9,2471538.0
CAPITECGBF,2024-08-29,12.2,12.5,11.9,12.1,2207721.0
CAPITECGBF,2024-08-28,11.3,12.4,11.3,12.2,2655224.0
CAPITECGBF,2024-08-27,11.8,11.9,11.6,11.6,1412868.0
CAPITECGBF,2024-08-25,12.0,12.2,11.9,11.9,2108965.0
CAPITECGBF,2024-08-22,12.1,12.5,12.1,12.2,4679805.0
CAPITECGBF,2024-08-21,12.4,12.4,12.4,12.4,91773.0
CAPITECGBF,2024-08-20,12.7,12.7,12.7,12.7,86625.0
CAPITECGBF,2024-08-19,13.0,13.0,13.0,13.0,109028.0
CAPITECGBF,2024-08-18,13.4,13.4,13.4,13.4,64677.0
CAPITECGBF,2024-08-15,13.8,13.8,13.8,13.8,146589.0
CAPITECGBF,2024-08-14,14.2,14.2,14.2,14.2,175223.0
CAPITECGBF,2024-08-13,14.6,14.6,14.6,14.6,279519.0
CAPITECGBF,2024-08-12,15.4,15.8,15.0,15.0,3626834.0
CAPITECGBF,2024-08-11,15.1,16.3,13.8,15.4,14418970.0
CAPITECGBF,2024-08-08,14.5,15.1,14.2,15.1,12072874.0
CAPITECGBF,2024-08-07,12.7,13.8,12.7,13.8,6692420.0
CAPITECGBF,2024-08-06,12.2,13.3,12.1,12.6,5712867.0
CAPITECGBF,2024-08-04,12.2,12.2,12.2,12.2,49963.0
CAPITECGBF,2024-08-01,11.9,12.6,11.7,12.5,3277061.0
CAPITECGBF,2024-07-31,12.0,12.3,12.0,12.0,2818111.0
CAPITECGBF,2024-07-30,12.4,12.4,12.3,12.3,399357.0
CAPITECGBF,2024-07-29,13.0,13.0,12.6,12.6,2194385.0
CAPITECGBF,2024-07-28,13.2,13.8,12.8,12.9,4886123.0
CAPITECGBF,2024-07-25,12.8,13.1,12.8,13.1,3938469.0
CAPITECGBF,2024-07-24,13.1,13.1,13.1,13.1,11865.0
CAPITECGBF,2024-07-18,13.6,13.6,13.5,13.5,654849.0
CAPITECGBF,2024-07-16,14.5,14.5,13.9,13.9,4194602.0
CAPITECGBF,2024-07-15,14.3,14.5,14.3,14.3,6365161.0
CAPITECGBF,2024-07-14,14.7,14.7,14.7,14.7,121485.0
CAPITECGBF,2024-07-11,15.5,15.5,15.1,15.1,773695.0
CAPITECGBF,2024-07-10,14.5,15.9,14.1,15.5,5461719.0
CAPITECGBF,2024-07-09,14.4,16.1,14.4,14.5,30880012.0
CAPITECGBF,2024-07-08,14.8,14.8,14.8,14.8,501338.0
CAPITECGBF,2024-07-07,15.2,15.2,15.2,15.2,949851.0
CAPITECGBF,2024-07-04,15.6,15.6,15.6,15.6,1263011.0
CAPITECGBF,2024-07-03,16.0,16.0,16.0,16.0,51186.0
CAPITECGBF,2024-07-02,16.4,16.4,16.4,16.4,184096.0
CAPITECGBF,2024-06-30,16.9,17.1,16.9,16.9,4703276.0
CAPITECGBF,2024-06-27,16.2,17.6,16.2,17.4,7988260.0
CAPITECGBF,2024-06-26,16.3,17.6,16.0,16.6,12888240.0
CAPITECGBF,2024-06-25,15.5,16.8,15.1,16.4,6670371.0
CAPITECGBF,2024-06-24,14.1,15.6,13.8,15.4,7933888.0
CAPITECGBF,2024-06-23,14.5,14.8,14.1,14.2,4814952.0
CAPITECGBF,2024-06-20,13.9,15.0,13.9,14.5,4434057.0
CAPITECGBF,2024-06-19,12.5,13.7,12.4,13.7,4801670.0
CAPITECGBF,2024-06-13,11.8,12.7,11.8,12.5,1641846.0
CAPITECGBF,2024-06-12,11.7,12.3,11.7,12.0,2442060.0
CAPITECGBF,2024-06-11,11.8,12.0,11.5,11.7,1391730.0
CAPITECGBF,2024-06-10,11.1,11.9,10.9,11.8,2554731.0
CAPITECGBF,2024-06-09,11.4,11.6,11.2,11.2,1943355.0
CAPITECGBF,2024-06-06,11.0,11.5,11.0,11.3,1813392.0
CAPITECGBF,2024-06-05,11.2,11.6,11.2,11.2,1286994.0
CAPITECGBF,2024-06-04,11.5,11.9,11.5,11.5,2465972.0
CAPITECGBF,2024-06-03,11.8,12.0,11.8,11.8,567945.0
CAPITECGBF,2024-06-02,12.1,12.4,12.1,12.1,1482862.0
CAPITECGBF,2024-05-30,12.5,12.9,12.1,12.4,2210134.0
CAPITECGBF,2024-05-29,11.5,12.4,11.5,12.4,6701156.0
CAPITECGBF,2024-05-28,11.9,11.9,11.3,11.3,1440564.0
CAPITECGBF,2024-05-27,10.8,11.7,10.6,11.6,1354680.0
CAPITECGBF,2024-05-26,11.3,11.3,10.9,10.9,304551.0
CAPITECGBF,2024-05-23,11.6,11.7,11.2,11.2,995566.0
CAPITECGBF,2024-05-21,11.5,12.1,11.2,11.5,2270951.0
CAPITECGBF,2024-05-20,11.1,11.4,11.1,11.2,1211256.0
CAPITECGBF,2024-05-19,11.4,11.6,11.4,11.4,334190.0
CAPITECGBF,2024-05-16,12.0,12.3,11.6,11.7,1979376.0
CAPITECGBF,2024-05-15,11.5,12.1,11.1,11.9,3484834.0
CAPITECGBF,2024-05-14,11.6,12.2,11.2,11.4,2736665.0
CAPITECGBF,2024-05-13,10.1,11.3,10.0,11.3,2217947.0
CAPITECGBF,2024-05-12,10.3,10.5,10.3,10.3,788121.0
CAPITECGBF,2024-05-09,10.9,10.9,10.6,10.6,473232.0
CAPITECGBF,2024-05-08,10.3,11.0,10.1,10.9,2690273.0
CAPITECGBF,2024-05-07,9.7,10.3,9.5,10.0,948006.0
CAPITECGBF,2024-05-06,9.3,9.7,9.1,9.5,405911.0
CAPITECGBF,2024-05-05,9.4,9.4,9.0,9.3,138556.0
CAPITECGBF,2024-05-02,9.1,9.3,9.0,9.1,508570.0
CAPITECGBF,2024-04-30,9.7,9.7,9.2,9.2,398875.0
CAPITECGBF,2024-04-29,9.5,9.7,9.4,9.4,315358.0
CAPITECGBF,2024-04-28,10.0,10.0,9.6,9.6,359591.0
CAPITECGBF,2024-04-25,10.1,10.2,9.7,9.8,447857.0
CAPITECGBF,2024-04-24,9.9,10.4,9.3,9.9,782217.0
CAPITECGBF,2024-04-23,9.9,10.1,9.5,9.7,345844.0
