Trading_Code,Date,Open,High,Low,Close,Volume
CENTRALINS,2025-04-08,32.6,34.4,32.6,34.0,32672.0
CENTRALINS,2025-04-07,32.5,34.3,32.5,34.0,37182.0
CENTRALINS,2025-04-06,34.6,34.6,32.5,33.0,37274.0
CENTRALINS,2025-03-27,35.3,35.3,32.3,33.8,78423.0
CENTRALINS,2025-03-25,35.5,35.5,34.5,34.5,23256.0
CENTRALINS,2025-03-24,35.6,35.6,34.3,34.5,84907.0
CENTRALINS,2025-03-23,36.2,36.2,34.3,34.7,37337.0
CENTRALINS,2025-03-20,36.4,36.4,35.1,35.3,51738.0
CENTRALINS,2025-03-19,36.8,36.8,35.5,35.6,56900.0
CENTRALINS,2025-03-18,37.1,37.1,35.7,35.8,123690.0
CENTRALINS,2025-03-17,37.7,37.7,36.0,36.2,115104.0
CENTRALINS,2025-03-16,35.3,37.8,35.3,36.9,191829.0
CENTRALINS,2025-03-13,36.7,37.4,35.6,36.3,156901.0
CENTRALINS,2025-03-12,36.7,36.7,35.7,36.0,48061.0
CENTRALINS,2025-03-11,36.3,36.3,35.3,35.9,354610.0
CENTRALINS,2025-03-10,35.9,36.2,35.4,35.5,116836.0
CENTRALINS,2025-03-09,36.9,36.9,35.1,35.3,47851.0
CENTRALINS,2025-03-06,36.9,36.9,35.9,36.0,13400.0
CENTRALINS,2025-03-05,37.6,37.6,35.9,36.0,107402.0
CENTRALINS,2025-03-04,37.3,37.4,35.6,36.2,72684.0
CENTRALINS,2025-03-03,38.0,38.0,36.6,36.8,77253.0
CENTRALINS,2025-03-02,37.8,38.0,35.8,37.5,109433.0
CENTRALINS,2025-02-27,37.1,37.7,36.5,36.6,173243.0
CENTRALINS,2025-02-26,35.9,38.7,35.9,36.9,19567.0
CENTRALINS,2025-02-25,37.9,37.9,35.6,36.7,75772.0
CENTRALINS,2025-02-24,37.3,37.3,36.3,36.5,17061.0
CENTRALINS,2025-02-23,37.4,37.6,35.3,36.5,15900.0
CENTRALINS,2025-02-20,37.2,37.9,35.2,35.6,37977.0
CENTRALINS,2025-02-19,36.6,37.0,36.0,36.2,18582.0
CENTRALINS,2025-02-18,37.9,37.9,36.5,36.9,79230.0
CENTRALINS,2025-02-17,37.6,37.6,36.0,37.0,130681.0
CENTRALINS,2025-02-16,37.2,37.2,36.0,36.2,35019.0
CENTRALINS,2025-02-13,37.3,37.4,35.2,37.0,95222.0
CENTRALINS,2025-02-12,37.6,37.6,35.1,36.1,45175.0
CENTRALINS,2025-02-11,36.9,36.9,35.1,35.6,48821.0
CENTRALINS,2025-02-10,37.8,37.8,35.7,35.8,30672.0
CENTRALINS,2025-02-09,35.9,37.6,35.9,36.5,17962.0
CENTRALINS,2025-02-06,35.8,37.9,35.8,36.6,27605.0
