Trading_Code,Date,Open,High,Low,Close,Volume
CENTRALPHL,2025-04-08,12.0,12.0,10.8,11.1,2031216.0
CENTRALPHL,2025-04-07,12.1,12.3,11.8,11.9,757794.0
CENTRALPHL,2025-04-06,12.3,12.3,11.9,12.1,683809.0
CENTRALPHL,2025-03-27,12.4,12.4,12.2,12.3,294109.0
CENTRALPHL,2025-03-25,12.2,12.4,12.2,12.3,306210.0
CENTRALPHL,2025-03-24,12.3,12.5,12.1,12.2,676420.0
CENTRALPHL,2025-03-23,12.4,12.7,12.2,12.2,1193374.0
CENTRALPHL,2025-03-20,12.5,12.5,12.1,12.2,1204394.0
CENTRALPHL,2025-03-19,12.5,12.7,12.3,12.4,960177.0
CENTRALPHL,2025-03-18,12.9,13.0,12.4,12.5,998535.0
CENTRALPHL,2025-03-17,12.7,13.2,12.7,12.8,2203048.0
CENTRALPHL,2025-03-16,12.5,12.8,12.4,12.6,804495.0
CENTRALPHL,2025-03-13,12.5,12.6,12.3,12.4,665487.0
CENTRALPHL,2025-03-12,12.3,12.7,12.3,12.4,649321.0
CENTRALPHL,2025-03-11,12.4,12.6,12.2,12.3,462735.0
CENTRALPHL,2025-03-10,12.4,12.5,12.1,12.3,591797.0
CENTRALPHL,2025-03-09,12.8,12.9,12.2,12.3,959302.0
CENTRALPHL,2025-03-06,12.3,12.9,12.2,12.7,1515275.0
CENTRALPHL,2025-03-05,12.3,12.4,12.0,12.2,471325.0
CENTRALPHL,2025-03-04,12.3,12.6,12.0,12.1,1034654.0
CENTRALPHL,2025-03-03,12.5,12.6,11.9,12.1,1973489.0
CENTRALPHL,2025-03-02,13.0,13.1,12.4,12.5,1756736.0
CENTRALPHL,2025-02-27,13.3,13.4,12.8,13.0,1252926.0
CENTRALPHL,2025-02-26,12.9,13.6,12.9,13.3,1119615.0
CENTRALPHL,2025-02-25,13.5,13.5,12.9,12.9,2056405.0
CENTRALPHL,2025-02-24,13.8,13.8,13.2,13.3,1542765.0
CENTRALPHL,2025-02-23,13.6,13.9,13.5,13.6,1269325.0
CENTRALPHL,2025-02-20,13.4,13.5,13.2,13.4,1002692.0
CENTRALPHL,2025-02-19,13.6,13.6,13.3,13.3,1129075.0
CENTRALPHL,2025-02-18,14.1,14.5,13.5,13.6,1737863.0
CENTRALPHL,2025-02-17,13.4,14.1,13.4,14.0,1729074.0
CENTRALPHL,2025-02-16,13.8,13.8,13.1,13.2,1345098.0
CENTRALPHL,2025-02-13,13.9,14.1,13.5,13.7,1507578.0
CENTRALPHL,2025-02-12,14.1,14.3,13.5,13.7,1673684.0
CENTRALPHL,2025-02-11,14.9,15.1,14.0,14.1,3181869.0
CENTRALPHL,2025-02-10,14.2,14.9,14.1,14.7,3413566.0
CENTRALPHL,2025-02-09,14.2,14.8,13.2,13.8,4229156.0
CENTRALPHL,2025-02-06,14.9,15.4,13.9,14.2,4934089.0
CENTRALPHL,2025-02-05,15.2,15.9,14.3,14.9,5813475.0
CENTRALPHL,2025-02-04,14.3,15.2,13.5,15.1,5204784.0
CENTRALPHL,2025-02-03,14.0,14.7,13.9,14.1,6392415.0
CENTRALPHL,2025-02-02,12.4,13.4,12.4,13.4,6623213.0
CENTRALPHL,2025-01-30,11.9,12.3,11.6,12.2,2783997.0
CENTRALPHL,2025-01-29,11.7,12.1,11.6,11.9,1507195.0
CENTRALPHL,2025-01-28,12.7,12.8,11.6,11.8,3344767.0
CENTRALPHL,2025-01-27,11.8,12.7,11.8,12.5,5060191.0
CENTRALPHL,2025-01-26,12.0,12.3,11.6,11.8,1446967.0
CENTRALPHL,2025-01-23,11.5,12.1,11.4,11.9,2790884.0
CENTRALPHL,2025-01-22,12.4,12.5,11.5,11.7,3699194.0
CENTRALPHL,2025-01-21,12.7,13.3,12.2,12.3,5528551.0
CENTRALPHL,2025-01-20,12.0,12.7,11.9,12.5,4376202.0
CENTRALPHL,2025-01-19,11.0,12.0,10.8,11.7,6317866.0
CENTRALPHL,2025-01-16,12.2,12.2,10.8,11.0,12365881.0
CENTRALPHL,2025-01-15,10.9,11.1,10.9,11.1,2044391.0
CENTRALPHL,2025-01-14,9.4,10.1,9.3,10.1,3452158.0
CENTRALPHL,2025-01-13,9.3,9.4,9.1,9.2,2132059.0
CENTRALPHL,2025-01-12,9.5,9.6,9.0,9.1,1513354.0
CENTRALPHL,2025-01-09,9.7,9.8,9.3,9.4,827124.0
CENTRALPHL,2025-01-08,9.5,9.7,9.3,9.5,2376935.0
CENTRALPHL,2025-01-07,9.3,9.8,9.2,9.4,3048497.0
CENTRALPHL,2025-01-06,9.5,9.6,9.2,9.2,1342323.0
CENTRALPHL,2025-01-05,9.3,9.7,9.2,9.5,4076595.0
CENTRALPHL,2025-01-02,8.8,9.4,8.7,9.2,4159543.0
CENTRALPHL,2025-01-01,9.0,9.0,8.8,8.8,531136.0
CENTRALPHL,2024-12-30,8.8,9.0,8.5,8.9,1114553.0
CENTRALPHL,2024-12-29,8.6,9.1,8.6,8.9,1477167.0
CENTRALPHL,2024-12-26,8.6,8.7,8.3,8.6,339269.0
CENTRALPHL,2024-12-24,8.0,8.8,7.5,8.6,1012015.0
CENTRALPHL,2024-12-23,8.4,8.4,8.0,8.0,346407.0
CENTRALPHL,2024-12-22,8.7,8.7,8.2,8.3,637396.0
CENTRALPHL,2024-12-19,8.7,8.8,8.6,8.7,195337.0
CENTRALPHL,2024-12-18,8.8,8.9,8.6,8.7,560067.0
CENTRALPHL,2024-12-17,8.8,8.9,8.7,8.8,325007.0
CENTRALPHL,2024-12-15,8.7,8.8,8.6,8.8,370996.0
CENTRALPHL,2024-12-12,8.8,8.9,8.7,8.7,277429.0
CENTRALPHL,2024-12-11,9.1,9.1,8.7,8.8,511189.0
CENTRALPHL,2024-12-10,8.9,9.1,8.8,9.0,1200050.0
CENTRALPHL,2024-12-09,8.8,8.9,8.7,8.7,254792.0
CENTRALPHL,2024-12-08,8.8,8.8,8.6,8.7,483427.0
CENTRALPHL,2024-12-05,8.9,9.0,8.7,8.8,399190.0
CENTRALPHL,2024-12-04,9.2,9.4,8.9,9.0,1170728.0
CENTRALPHL,2024-12-03,9.3,9.3,9.0,9.0,816673.0
CENTRALPHL,2024-12-02,8.8,9.4,8.8,9.1,2011955.0
CENTRALPHL,2024-12-01,8.9,8.9,8.5,8.7,921710.0
CENTRALPHL,2024-11-28,8.7,9.0,8.7,8.8,644608.0
CENTRALPHL,2024-11-27,0.0,0.0,0.0,8.5,0.0
CENTRALPHL,2024-11-26,8.7,8.8,8.5,8.5,463765.0
CENTRALPHL,2024-11-25,8.6,8.7,8.5,8.6,243157.0
CENTRALPHL,2024-11-24,8.7,8.7,8.5,8.5,260853.0
CENTRALPHL,2024-11-21,8.9,8.9,8.6,8.7,292782.0
CENTRALPHL,2024-11-20,8.8,9.0,8.7,8.8,309056.0
CENTRALPHL,2024-11-19,9.1,9.1,8.7,8.8,329513.0
CENTRALPHL,2024-11-18,9.3,9.3,8.9,9.0,712751.0
CENTRALPHL,2024-11-17,9.5,9.7,9.1,9.2,1249988.0
CENTRALPHL,2024-11-14,9.0,9.1,8.9,8.9,665557.0
CENTRALPHL,2024-11-13,9.0,9.1,8.8,8.8,573298.0
CENTRALPHL,2024-11-12,9.4,9.5,8.9,9.1,749789.0
CENTRALPHL,2024-11-11,9.6,9.6,9.1,9.4,604141.0
CENTRALPHL,2024-11-10,9.4,9.8,9.3,9.4,1885399.0
CENTRALPHL,2024-11-07,8.9,9.6,8.7,9.4,2031609.0
CENTRALPHL,2024-11-06,9.0,9.2,8.8,9.0,977053.0
CENTRALPHL,2024-11-05,8.7,9.3,8.5,9.0,2566349.0
CENTRALPHL,2024-11-04,9.0,9.1,8.6,8.7,2442343.0
CENTRALPHL,2024-11-03,8.8,9.1,8.5,9.0,1428491.0
CENTRALPHL,2024-10-31,8.6,8.7,8.2,8.5,1767981.0
CENTRALPHL,2024-10-30,8.3,9.0,8.3,8.4,1861556.0
CENTRALPHL,2024-10-29,8.0,8.4,8.0,8.3,248273.0
CENTRALPHL,2024-10-28,8.7,8.7,7.9,8.0,360096.0
CENTRALPHL,2024-10-27,9.0,9.0,8.3,8.4,544888.0
CENTRALPHL,2024-10-24,9.1,9.1,8.7,8.9,406530.0
CENTRALPHL,2024-10-23,9.9,9.9,9.1,9.1,457219.0
CENTRALPHL,2024-10-22,9.2,10.0,9.1,9.9,783134.0
