Trading_Code,Date,Open,High,Low,Close,Volume
CITYBANK,2025-04-08,23.0,23.0,22.8,22.9,550872.0
CITYBANK,2025-04-07,23.0,23.0,22.9,23.0,978004.0
CITYBANK,2025-04-06,22.8,23.2,22.8,23.0,1530874.0
CITYBANK,2025-03-27,23.0,23.1,22.9,23.0,1240937.0
CITYBANK,2025-03-25,22.5,23.0,22.5,22.9,855646.0
CITYBANK,2025-03-24,22.6,22.8,22.4,22.5,1464210.0
CITYBANK,2025-03-23,22.7,22.8,22.6,22.6,880136.0
CITYBANK,2025-03-20,22.9,22.9,22.7,22.7,714109.0
CITYBANK,2025-03-19,22.8,22.8,22.7,22.8,535030.0
CITYBANK,2025-03-18,22.9,22.9,22.6,22.7,1983981.0
CITYBANK,2025-03-17,23.0,23.0,22.8,22.9,851656.0
CITYBANK,2025-03-16,22.9,23.0,22.9,22.9,765958.0
CITYBANK,2025-03-13,23.0,23.1,22.9,22.9,1134993.0
CITYBANK,2025-03-12,22.8,23.0,22.8,23.0,722996.0
CITYBANK,2025-03-11,22.8,22.9,22.7,22.8,781978.0
CITYBANK,2025-03-10,22.7,22.9,22.7,22.8,371491.0
CITYBANK,2025-03-09,22.7,22.8,22.6,22.6,784211.0
CITYBANK,2025-03-06,22.8,22.9,22.7,22.7,496504.0
CITYBANK,2025-03-05,22.7,22.9,22.7,22.7,713390.0
CITYBANK,2025-03-04,22.7,22.8,22.6,22.7,737185.0
CITYBANK,2025-03-03,22.8,22.8,22.5,22.6,932332.0
CITYBANK,2025-03-02,22.9,23.1,22.6,22.7,843496.0
CITYBANK,2025-02-27,23.0,23.1,22.9,22.9,1272653.0
CITYBANK,2025-02-26,23.1,23.3,23.0,23.0,408272.0
CITYBANK,2025-02-25,23.0,23.5,22.8,23.1,3088170.0
CITYBANK,2025-02-24,23.0,23.1,22.9,23.0,1152498.0
CITYBANK,2025-02-23,23.1,23.2,22.9,23.0,3270774.0
CITYBANK,2025-02-20,23.1,23.2,23.0,23.2,2707569.0
CITYBANK,2025-02-19,23.2,23.2,23.0,23.1,2090386.0
CITYBANK,2025-02-18,23.0,23.1,22.8,23.1,3253803.0
CITYBANK,2025-02-17,22.8,23.0,22.8,22.9,1867178.0
CITYBANK,2025-02-16,22.8,22.9,22.7,22.8,1733805.0
CITYBANK,2025-02-13,22.8,22.9,22.7,22.8,1387782.0
CITYBANK,2025-02-12,22.8,22.9,22.7,22.8,2528543.0
CITYBANK,2025-02-11,22.7,22.9,22.6,22.7,4090945.0
CITYBANK,2025-02-10,22.8,22.9,22.7,22.7,2286477.0
CITYBANK,2025-02-09,23.0,23.0,22.7,22.8,2811691.0
CITYBANK,2025-02-06,23.0,23.1,22.8,22.9,2392564.0
CITYBANK,2025-02-05,22.8,23.0,22.8,22.9,3038990.0
CITYBANK,2025-02-04,23.0,23.0,22.8,22.9,2683972.0
CITYBANK,2025-02-03,23.2,23.3,22.7,22.8,5612080.0
CITYBANK,2025-02-02,22.9,23.2,22.8,23.1,4757464.0
CITYBANK,2025-01-30,22.9,23.1,22.8,22.9,2095815.0
CITYBANK,2025-01-29,22.9,23.0,22.7,22.9,1409749.0
CITYBANK,2025-01-28,22.7,23.0,22.6,22.8,1880836.0
CITYBANK,2025-01-27,22.7,22.8,22.6,22.7,1019990.0
CITYBANK,2025-01-26,22.7,22.8,22.5,22.7,841812.0
CITYBANK,2025-01-23,22.6,22.8,22.6,22.7,1090232.0
CITYBANK,2025-01-22,22.6,22.7,22.5,22.6,734691.0
CITYBANK,2025-01-21,22.7,22.7,22.5,22.6,2136019.0
CITYBANK,2025-01-20,22.6,22.7,22.5,22.6,604850.0
CITYBANK,2025-01-19,22.4,22.7,22.3,22.6,929902.0
CITYBANK,2025-01-16,22.3,22.6,22.3,22.4,620587.0
CITYBANK,2025-01-15,22.5,22.5,22.3,22.4,937815.0
CITYBANK,2025-01-14,22.6,22.7,22.4,22.5,736985.0
CITYBANK,2025-01-13,22.4,22.7,22.3,22.6,944154.0
CITYBANK,2025-01-12,22.7,22.7,22.3,22.4,1151190.0
CITYBANK,2025-01-09,22.7,22.7,22.5,22.6,789053.0
CITYBANK,2025-01-08,22.8,22.8,22.6,22.7,1089272.0
CITYBANK,2025-01-07,22.8,23.0,22.6,22.7,1752202.0
CITYBANK,2025-01-06,22.8,22.9,22.6,22.8,2249608.0
CITYBANK,2025-01-05,23.1,23.4,22.6,22.8,2140513.0
CITYBANK,2025-01-02,22.9,23.1,22.6,23.0,4786632.0
CITYBANK,2025-01-01,22.4,23.0,22.4,22.7,4253792.0
CITYBANK,2024-12-30,22.1,22.5,22.0,22.4,4156812.0
CITYBANK,2024-12-29,21.9,22.3,21.8,22.1,3537494.0
CITYBANK,2024-12-26,22.1,22.1,21.7,21.8,496322.0
CITYBANK,2024-12-24,21.8,21.9,21.7,21.9,317489.0
