Trading_Code,Date,Open,High,Low,Close,Volume
CLICL,2025-04-08,47.2,49.5,47.2,48.9,226998.0
CLICL,2025-04-07,46.8,48.9,46.8,47.8,217335.0
CLICL,2025-04-06,45.7,47.9,45.7,47.4,144059.0
CLICL,2025-03-27,46.2,47.9,46.2,47.7,190562.0
CLICL,2025-03-25,46.0,46.8,46.0,46.4,177680.0
CLICL,2025-03-24,44.7,46.8,43.4,45.9,191672.0
CLICL,2025-03-23,45.0,45.5,43.7,44.9,107887.0
CLICL,2025-03-20,45.0,45.8,44.6,45.0,181134.0
CLICL,2025-03-19,44.5,45.5,44.4,44.8,169493.0
CLICL,2025-03-18,44.0,45.2,43.7,44.5,134634.0
CLICL,2025-03-17,44.5,45.9,44.4,44.6,220716.0
CLICL,2025-03-16,45.0,45.9,44.5,44.9,362357.0
CLICL,2025-03-13,44.3,45.4,44.3,45.0,379641.0
CLICL,2025-03-12,45.6,45.7,44.4,45.0,276881.0
CLICL,2025-03-11,43.4,45.9,42.0,45.4,676897.0
CLICL,2025-03-10,42.7,43.2,42.7,43.1,279864.0
CLICL,2025-03-09,41.8,43.0,41.8,42.7,67534.0
CLICL,2025-03-06,42.1,42.6,42.1,42.4,89122.0
CLICL,2025-03-05,42.5,42.5,41.9,42.0,41780.0
CLICL,2025-03-04,42.1,42.6,41.7,41.9,60096.0
CLICL,2025-03-03,41.7,42.3,41.7,42.1,38273.0
CLICL,2025-03-02,42.2,42.3,41.7,41.7,35691.0
CLICL,2025-02-27,42.0,42.8,41.8,42.0,111702.0
CLICL,2025-02-26,42.5,43.0,41.4,41.7,189661.0
CLICL,2025-02-25,44.0,44.0,42.6,42.9,189023.0
CLICL,2025-02-24,44.5,44.8,43.4,43.7,251897.0
CLICL,2025-02-23,43.0,44.1,42.8,43.8,204931.0
CLICL,2025-02-20,41.5,43.8,41.5,43.6,233459.0
CLICL,2025-02-19,42.3,43.6,42.3,43.0,293502.0
CLICL,2025-02-18,42.1,43.0,42.0,42.3,260578.0
CLICL,2025-02-17,42.5,42.8,41.7,42.2,345613.0
CLICL,2025-02-16,41.3,43.4,41.2,42.8,316959.0
CLICL,2025-02-13,42.2,42.6,41.4,41.6,158398.0
CLICL,2025-02-12,42.9,43.2,41.8,42.4,501775.0
