Trading_Code,Date,Open,High,Low,Close,Volume
CMCKAMAL,2017-12-14,27.5,28.4,27.4,28.2,6470326.0
CMCKAMAL,2017-12-13,27.5,27.6,27.1,27.3,1623601.0
CMCKAMAL,2017-12-12,27.1,27.4,26.9,27.1,2333099.0
CMCKAMAL,2017-12-11,23.9,24.4,23.9,24.2,1083914.0
CMCKAMAL,2017-12-10,24.0,24.3,23.5,23.9,419300.0
CMCKAMAL,2017-12-09,28.2,28.3,27.3,27.5,4167300.0
CMCKAMAL,2017-12-07,26.4,26.4,25.4,25.5,2724428.0
CMCKAMAL,2017-12-06,26.7,26.8,26.2,26.3,1396721.0
CMCKAMAL,2017-12-04,26.5,27.2,26.0,26.1,1769985.0
CMCKAMAL,2017-12-03,29.8,30.1,28.7,29.1,6355194.0
CMCKAMAL,2017-12-02,24.0,24.3,23.6,23.8,2811088.0
CMCKAMAL,2017-12-01,23.8,23.9,23.1,23.3,3291037.0
CMCKAMAL,2017-11-30,27.0,27.4,26.7,27.2,2452713.0
CMCKAMAL,2017-11-29,27.3,27.4,26.6,26.9,3928103.0
CMCKAMAL,2017-11-28,26.7,27.8,26.2,27.2,7518816.0
CMCKAMAL,2017-11-27,27.9,27.9,26.6,26.8,4659419.0
CMCKAMAL,2017-11-26,26.7,27.5,26.5,27.3,4482708.0
CMCKAMAL,2017-11-23,26.8,26.9,26.1,26.5,3377437.0
CMCKAMAL,2017-11-22,25.8,27.5,25.6,26.6,8727969.0
CMCKAMAL,2017-11-21,25.9,26.2,25.3,25.7,3876394.0
CMCKAMAL,2017-11-20,24.6,26.0,24.3,25.6,3272723.0
CMCKAMAL,2017-11-19,24.4,24.7,24.2,24.5,793865.0
CMCKAMAL,2017-11-16,24.3,24.3,24.1,24.2,728861.0
CMCKAMAL,2017-11-15,24.4,24.4,24.0,24.0,347528.0
CMCKAMAL,2017-11-14,24.1,24.4,23.9,24.2,1130331.0
CMCKAMAL,2017-11-13,24.3,24.4,23.8,23.9,589111.0
CMCKAMAL,2017-11-12,27.5,27.5,27.1,27.1,1650871.0
CMCKAMAL,2017-11-10,24.4,24.7,23.8,24.0,1007462.0
CMCKAMAL,2017-11-09,27.4,28.4,27.3,28.0,9003750.0
CMCKAMAL,2017-11-07,26.5,26.8,26.1,26.3,1773638.0
CMCKAMAL,2017-11-06,27.4,27.6,26.4,26.6,2253894.0
CMCKAMAL,2017-11-05,25.6,25.7,25.1,25.2,679336.0
CMCKAMAL,2017-11-04,26.6,27.4,26.1,26.4,2461932.0
CMCKAMAL,2017-11-01,24.1,24.3,23.5,23.7,4718170.0
CMCKAMAL,2017-10-31,23.9,24.4,23.8,24.0,700214.0
CMCKAMAL,2017-10-30,24.0,24.2,23.8,23.9,217674.0
CMCKAMAL,2017-10-29,24.2,24.8,23.9,24.1,717400.0
CMCKAMAL,2017-10-26,24.2,24.6,24.1,24.2,281481.0
CMCKAMAL,2017-10-25,24.0,24.6,24.0,24.4,588062.0
