Trading_Code,Date,Open,High,Low,Close,Volume
CNATEX,2025-04-08,3.9,4.0,3.8,3.8,405970.0
CNATEX,2025-04-07,4.0,4.0,3.9,3.9,138423.0
CNATEX,2025-04-06,3.9,4.0,3.8,4.0,698207.0
CNATEX,2025-03-27,4.1,4.2,4.0,4.1,162086.0
CNATEX,2025-03-25,4.1,4.1,4.0,4.1,236936.0
CNATEX,2025-03-24,4.1,4.1,4.0,4.0,160500.0
CNATEX,2025-03-23,4.2,4.2,4.0,4.0,470527.0
CNATEX,2025-03-20,4.2,4.2,4.1,4.1,461163.0
CNATEX,2025-03-19,4.2,4.2,4.1,4.1,366602.0
CNATEX,2025-03-18,4.1,4.3,4.1,4.1,273535.0
CNATEX,2025-03-17,4.2,4.3,4.1,4.2,292479.0
CNATEX,2025-03-16,4.3,4.3,4.1,4.2,215012.0
CNATEX,2025-03-13,4.3,4.4,4.2,4.2,345680.0
CNATEX,2025-03-12,4.3,4.4,4.1,4.2,969581.0
CNATEX,2025-03-11,4.4,4.4,4.3,4.3,106380.0
CNATEX,2025-03-10,4.4,4.4,4.3,4.3,275091.0
CNATEX,2025-03-09,4.4,4.4,4.3,4.3,225688.0
CNATEX,2025-03-06,4.4,4.5,4.3,4.4,389992.0
CNATEX,2025-03-05,4.5,4.5,4.3,4.3,339779.0
CNATEX,2025-03-04,4.5,4.5,4.4,4.4,652094.0
CNATEX,2025-03-03,4.6,4.6,4.4,4.4,159577.0
CNATEX,2025-03-02,4.5,4.6,4.4,4.5,410235.0
CNATEX,2025-02-27,4.5,4.6,4.4,4.4,335498.0
CNATEX,2025-02-26,4.6,4.6,4.4,4.5,970443.0
CNATEX,2025-02-25,4.6,4.7,4.5,4.6,793524.0
CNATEX,2025-02-24,4.5,4.6,4.4,4.6,827053.0
CNATEX,2025-02-23,4.6,4.6,4.4,4.4,545252.0
CNATEX,2025-02-20,4.4,4.6,4.4,4.5,939042.0
CNATEX,2025-02-19,4.5,4.5,4.4,4.4,336126.0
CNATEX,2025-02-18,4.5,4.6,4.4,4.5,648964.0
CNATEX,2025-02-17,4.6,4.7,4.5,4.5,295589.0
CNATEX,2025-02-16,4.6,4.8,4.5,4.6,1002514.0
CNATEX,2025-02-13,4.6,4.8,4.5,4.6,1914572.0
CNATEX,2025-02-12,4.4,4.5,4.3,4.5,324744.0
CNATEX,2025-02-11,4.4,4.4,4.2,4.3,834536.0
CNATEX,2025-02-10,4.5,4.5,4.3,4.3,376429.0
CNATEX,2025-02-09,4.6,4.7,4.4,4.4,417679.0
CNATEX,2025-02-06,4.6,4.7,4.5,4.5,1361273.0
CNATEX,2025-02-05,4.4,4.6,4.3,4.5,1406942.0
CNATEX,2025-02-04,4.4,4.5,4.2,4.3,324768.0
CNATEX,2025-02-03,4.5,4.6,4.3,4.4,537218.0
CNATEX,2025-02-02,4.3,4.5,4.3,4.4,688310.0
CNATEX,2025-01-30,4.4,4.4,4.2,4.2,189577.0
CNATEX,2025-01-29,4.5,4.6,4.3,4.3,444304.0
CNATEX,2025-01-28,4.2,4.6,4.2,4.5,2492685.0
CNATEX,2025-01-27,4.1,4.2,4.1,4.2,87291.0
CNATEX,2025-01-26,4.1,4.2,4.1,4.1,315948.0
CNATEX,2025-01-23,4.3,4.4,4.2,4.2,330492.0
CNATEX,2025-01-22,4.5,4.7,4.2,4.2,1050518.0
CNATEX,2025-01-21,4.5,4.5,4.4,4.4,709305.0
CNATEX,2025-01-20,4.4,4.5,4.3,4.4,748884.0
CNATEX,2025-01-19,4.6,4.6,4.4,4.4,1403124.0
CNATEX,2025-01-16,4.8,4.8,4.5,4.6,3271387.0
CNATEX,2025-01-15,4.8,4.9,4.7,4.8,1366377.0
CNATEX,2025-01-14,4.7,4.9,4.7,4.7,1660816.0
CNATEX,2025-01-13,4.8,4.8,4.6,4.6,1035098.0
CNATEX,2025-01-12,4.9,5.0,4.6,4.8,1622239.0
CNATEX,2025-01-09,4.9,5.0,4.8,4.9,716247.0
CNATEX,2025-01-08,5.0,5.0,4.8,4.9,1216067.0
CNATEX,2025-01-07,4.8,5.0,4.8,4.9,1262253.0
CNATEX,2025-01-06,4.8,4.9,4.7,4.8,834371.0
CNATEX,2025-01-05,4.9,4.9,4.6,4.7,674455.0
CNATEX,2025-01-02,4.9,4.9,4.8,4.9,514883.0
CNATEX,2025-01-01,4.9,5.0,4.8,4.9,672959.0
CNATEX,2024-12-30,4.9,5.0,4.8,4.8,1458926.0
CNATEX,2024-12-29,5.0,5.1,4.9,4.9,1070850.0
CNATEX,2024-12-26,5.0,5.0,4.9,5.0,597641.0
CNATEX,2024-12-24,5.0,5.1,4.9,4.9,940873.0
CNATEX,2024-12-23,5.0,5.1,4.9,5.0,1238468.0
CNATEX,2024-12-22,5.1,5.2,4.9,5.0,1030624.0
CNATEX,2024-12-19,5.1,5.2,5.0,5.1,1615473.0
CNATEX,2024-12-18,5.3,5.3,5.1,5.1,2040269.0
CNATEX,2024-12-17,5.3,5.4,5.2,5.2,835861.0
CNATEX,2024-12-15,5.2,5.4,5.2,5.3,1734740.0
CNATEX,2024-12-12,5.3,5.4,5.2,5.2,1027690.0
CNATEX,2024-12-11,5.4,5.5,5.2,5.3,2351558.0
CNATEX,2024-12-10,5.5,5.5,5.3,5.4,2892044.0
CNATEX,2024-12-09,5.3,5.6,5.3,5.5,3875491.0
CNATEX,2024-12-08,5.1,5.3,5.0,5.2,2216629.0
CNATEX,2024-12-05,5.4,5.4,5.1,5.2,2753289.0
CNATEX,2024-12-04,5.7,5.7,5.3,5.4,4671672.0
CNATEX,2024-12-03,5.7,5.9,5.6,5.7,9112283.0
CNATEX,2024-12-02,5.0,5.5,5.0,5.5,5818964.0
CNATEX,2024-12-01,4.9,5.0,4.9,5.0,1179003.0
CNATEX,2024-11-28,5.1,5.1,4.9,4.9,1780057.0
CNATEX,2024-11-27,4.9,5.0,4.8,5.0,1491907.0
CNATEX,2024-11-26,4.9,5.0,4.9,4.9,949051.0
CNATEX,2024-11-25,5.0,5.1,4.9,4.9,1652513.0
CNATEX,2024-11-24,5.1,5.2,4.9,5.0,1928533.0
CNATEX,2024-11-21,5.0,5.2,5.0,5.1,3542383.0
CNATEX,2024-11-20,4.9,5.0,4.9,4.9,2015674.0
CNATEX,2024-11-19,5.4,5.4,4.9,4.9,2162102.0
CNATEX,2024-11-18,4.8,5.1,4.8,5.1,3624743.0
CNATEX,2024-11-17,4.7,4.9,4.7,4.7,625466.0
CNATEX,2024-11-14,4.7,4.9,4.7,4.7,994162.0
CNATEX,2024-11-13,4.7,4.8,4.6,4.7,324378.0
CNATEX,2024-11-12,4.9,4.9,4.6,4.7,1183694.0
CNATEX,2024-11-11,4.7,4.9,4.7,4.8,1120420.0
CNATEX,2024-11-10,4.8,4.8,4.6,4.6,1040374.0
CNATEX,2024-11-07,4.9,4.9,4.7,4.7,1873539.0
CNATEX,2024-11-06,5.1,5.1,4.9,4.9,2076026.0
CNATEX,2024-11-05,5.0,5.2,4.9,5.1,3403512.0
CNATEX,2024-11-04,5.0,5.0,4.5,4.9,2803792.0
CNATEX,2024-11-03,4.9,5.1,4.8,4.9,3506922.0
CNATEX,2024-10-31,4.8,4.8,4.5,4.8,4340401.0
CNATEX,2024-10-30,4.1,4.4,4.0,4.4,1338408.0
CNATEX,2024-10-29,3.8,4.0,3.7,4.0,1822968.0
CNATEX,2024-10-28,4.1,4.1,3.8,3.9,1126377.0
CNATEX,2024-10-27,4.5,4.6,4.1,4.1,1850695.0
CNATEX,2024-10-24,4.6,4.6,4.5,4.5,689081.0
CNATEX,2024-10-23,4.8,4.8,4.5,4.6,745937.0
CNATEX,2024-10-22,4.6,4.8,4.5,4.7,1104453.0
CNATEX,2024-10-21,4.7,4.7,4.4,4.5,1496080.0
CNATEX,2024-10-20,4.9,4.9,4.6,4.6,813855.0
CNATEX,2024-10-17,4.8,4.9,4.7,4.8,923873.0
CNATEX,2024-10-16,5.0,5.0,4.8,4.8,1245049.0
CNATEX,2024-10-15,5.1,5.2,4.9,5.0,1853162.0
CNATEX,2024-10-14,5.0,5.2,5.0,5.1,1466559.0
CNATEX,2024-10-09,4.9,5.1,4.8,5.0,1538754.0
CNATEX,2024-10-08,4.9,5.0,4.9,4.9,778106.0
CNATEX,2024-10-07,5.0,5.1,4.9,4.9,1252186.0
CNATEX,2024-10-06,4.9,5.2,4.8,5.1,2498629.0
CNATEX,2024-10-03,4.8,5.0,4.7,4.8,2644550.0
CNATEX,2024-10-02,5.1,5.1,4.7,4.8,1585657.0
CNATEX,2024-10-01,5.3,5.3,5.0,5.1,1128468.0
CNATEX,2024-09-30,5.3,5.4,5.2,5.2,690835.0
CNATEX,2024-09-29,5.3,5.5,5.3,5.3,593253.0
CNATEX,2024-09-26,5.4,5.4,5.0,5.4,1068141.0
CNATEX,2024-09-25,6.1,6.2,5.5,5.5,2615535.0
CNATEX,2024-09-24,6.2,6.3,6.0,6.1,1717766.0
CNATEX,2024-09-23,6.3,6.4,6.2,6.2,879598.0
CNATEX,2024-09-22,6.3,6.5,6.3,6.3,1326043.0
CNATEX,2024-09-19,6.4,6.5,6.3,6.3,959583.0
CNATEX,2024-09-18,6.4,6.5,6.3,6.4,1038730.0
CNATEX,2024-09-17,6.5,6.6,6.4,6.4,1302002.0
CNATEX,2024-09-15,6.5,6.6,6.4,6.5,1165681.0
CNATEX,2024-09-12,6.4,6.6,6.4,6.5,1831025.0
CNATEX,2024-09-11,6.5,6.6,6.4,6.4,1283352.0
CNATEX,2024-09-10,6.4,6.5,6.3,6.4,709830.0
CNATEX,2024-09-09,6.6,6.6,6.3,6.4,1494954.0
CNATEX,2024-09-08,6.7,6.7,6.5,6.5,963576.0
CNATEX,2024-09-05,6.7,6.8,6.5,6.6,901077.0
CNATEX,2024-09-04,6.8,6.8,6.6,6.6,1206252.0
CNATEX,2024-09-03,6.8,6.9,6.7,6.7,1393740.0
CNATEX,2024-09-02,6.9,7.0,6.7,6.7,1498375.0
CNATEX,2024-09-01,7.0,7.1,6.9,6.9,2305443.0
CNATEX,2024-08-29,6.7,7.0,6.6,6.9,1853997.0
CNATEX,2024-08-28,6.9,6.9,6.7,6.8,575274.0
CNATEX,2024-08-27,6.6,6.9,6.6,6.8,1296033.0
CNATEX,2024-08-25,6.9,6.9,6.6,6.6,1095778.0
CNATEX,2024-08-22,6.5,6.8,6.5,6.7,1352703.0
CNATEX,2024-08-21,6.8,6.8,6.6,6.6,1179928.0
CNATEX,2024-08-20,6.9,7.0,6.8,6.8,1003152.0
CNATEX,2024-08-19,6.9,7.1,6.8,6.8,1368484.0
CNATEX,2024-08-18,7.1,7.1,6.9,6.9,985928.0
CNATEX,2024-08-15,7.2,7.3,7.0,7.1,1943229.0
CNATEX,2024-08-14,7.5,7.6,7.2,7.2,2515884.0
CNATEX,2024-08-13,7.2,7.6,7.2,7.4,4141714.0
CNATEX,2024-08-12,7.6,7.7,7.4,7.4,2922128.0
CNATEX,2024-08-11,7.6,7.9,7.2,7.6,7228160.0
CNATEX,2024-08-08,6.7,7.5,6.7,7.4,6040316.0
CNATEX,2024-08-07,7.3,7.4,6.9,6.9,1806950.0
CNATEX,2024-08-06,6.4,7.1,6.4,7.1,2390011.0
