Trading_Code,Date,Open,High,Low,Close,Volume
CONFIDCEM,2025-04-08,49.5,50.5,49.5,50.0,217834.0
CONFIDCEM,2025-04-07,51.0,51.0,49.9,50.0,184090.0
CONFIDCEM,2025-04-06,51.6,51.6,49.9,50.1,230179.0
CONFIDCEM,2025-03-27,52.4,52.4,51.4,51.6,97846.0
CONFIDCEM,2025-03-25,52.2,52.6,51.8,52.0,87386.0
CONFIDCEM,2025-03-24,52.6,52.6,52.2,52.4,68676.0
CONFIDCEM,2025-03-23,53.0,53.1,51.9,52.5,276670.0
CONFIDCEM,2025-03-20,51.8,51.8,50.9,51.4,68741.0
CONFIDCEM,2025-03-19,51.4,51.5,51.2,51.3,48439.0
CONFIDCEM,2025-03-18,51.8,52.0,51.3,51.4,83461.0
CONFIDCEM,2025-03-17,52.1,53.4,51.5,51.8,93310.0
CONFIDCEM,2025-03-16,51.8,52.0,51.3,51.4,95968.0
CONFIDCEM,2025-03-13,51.9,52.2,51.6,51.6,61776.0
CONFIDCEM,2025-03-12,51.9,52.6,51.7,51.8,73082.0
CONFIDCEM,2025-03-11,52.0,52.3,51.7,51.9,32562.0
CONFIDCEM,2025-03-10,52.1,52.6,51.6,51.7,95828.0
CONFIDCEM,2025-03-09,53.5,53.5,52.0,52.1,47824.0
CONFIDCEM,2025-03-06,52.9,53.2,52.8,52.9,81915.0
CONFIDCEM,2025-03-05,53.2,53.2,52.5,52.7,66419.0
CONFIDCEM,2025-03-04,53.6,53.6,52.6,52.9,105841.0
CONFIDCEM,2025-03-03,53.5,53.6,53.0,53.5,42714.0
CONFIDCEM,2025-03-02,53.1,53.8,53.0,53.1,83747.0
CONFIDCEM,2025-02-27,53.9,54.0,53.1,53.3,153024.0
CONFIDCEM,2025-02-26,54.1,54.4,53.3,53.5,141575.0
CONFIDCEM,2025-02-25,53.7,54.3,53.3,54.0,264760.0
CONFIDCEM,2025-02-24,53.1,53.6,52.2,53.4,150643.0
CONFIDCEM,2025-02-23,52.6,53.0,52.1,52.4,156270.0
CONFIDCEM,2025-02-20,52.9,53.5,52.5,52.7,80019.0
CONFIDCEM,2025-02-19,54.0,54.0,52.7,52.9,101470.0
CONFIDCEM,2025-02-18,54.0,54.5,53.1,53.4,137857.0
CONFIDCEM,2025-02-17,54.5,54.5,53.5,54.1,96124.0
CONFIDCEM,2025-02-16,53.3,54.2,53.1,54.0,90595.0
CONFIDCEM,2025-02-13,53.5,53.5,52.8,53.2,77480.0
CONFIDCEM,2025-02-12,54.1,54.4,52.9,53.0,102676.0
CONFIDCEM,2025-02-11,53.0,54.5,53.0,54.0,212136.0
CONFIDCEM,2025-02-10,52.9,53.8,52.2,52.9,212230.0
CONFIDCEM,2025-02-09,54.6,54.7,52.7,52.9,117999.0
CONFIDCEM,2025-02-06,52.8,54.6,52.3,54.3,210163.0
CONFIDCEM,2025-02-05,52.1,53.3,51.7,53.0,118091.0
CONFIDCEM,2025-02-04,52.7,53.2,51.8,52.1,145119.0
CONFIDCEM,2025-02-03,53.1,54.0,52.8,53.0,151175.0
CONFIDCEM,2025-02-02,55.5,55.5,52.9,53.1,190949.0
CONFIDCEM,2025-01-30,55.5,56.5,55.1,55.6,107577.0
CONFIDCEM,2025-01-29,56.1,56.7,55.2,55.8,96725.0
CONFIDCEM,2025-01-28,57.1,58.5,56.1,56.5,103915.0
CONFIDCEM,2025-01-27,56.5,57.7,56.5,57.4,115733.0
CONFIDCEM,2025-01-26,56.1,57.5,55.8,56.8,112612.0
CONFIDCEM,2025-01-23,57.1,57.8,56.6,56.8,108547.0
CONFIDCEM,2025-01-22,55.2,58.4,55.1,57.5,490106.0
CONFIDCEM,2025-01-21,57.3,57.3,55.4,55.8,189220.0
CONFIDCEM,2025-01-20,53.2,57.1,53.2,56.8,311213.0
CONFIDCEM,2025-01-19,51.8,53.5,51.8,53.1,83299.0
CONFIDCEM,2025-01-16,51.7,52.8,51.7,52.2,48946.0
CONFIDCEM,2025-01-15,52.8,52.8,51.6,51.8,76928.0
CONFIDCEM,2025-01-14,52.7,53.7,51.2,51.8,76780.0
CONFIDCEM,2025-01-13,54.0,54.0,52.6,52.7,103907.0
CONFIDCEM,2025-01-12,0.0,0.0,0.0,54.6,0.0
CONFIDCEM,2025-01-09,55.1,55.1,54.3,54.6,116183.0
CONFIDCEM,2025-01-08,55.1,55.6,54.9,55.1,97930.0
CONFIDCEM,2025-01-07,56.0,56.2,55.6,55.6,93357.0
CONFIDCEM,2025-01-06,54.7,56.4,54.4,55.5,82388.0
CONFIDCEM,2025-01-05,56.6,56.6,54.5,54.7,86577.0
CONFIDCEM,2025-01-02,56.2,56.6,55.7,55.9,41705.0
CONFIDCEM,2025-01-01,57.2,57.2,56.1,56.3,66627.0
CONFIDCEM,2024-12-30,56.7,57.1,55.6,56.7,291032.0
CONFIDCEM,2024-12-29,56.5,57.3,56.3,56.6,105541.0
CONFIDCEM,2024-12-26,56.2,56.8,55.8,56.3,99476.0
CONFIDCEM,2024-12-24,57.6,58.0,56.0,56.3,160213.0
CONFIDCEM,2024-12-23,58.1,58.3,57.2,57.5,111382.0
CONFIDCEM,2024-12-22,59.1,60.5,58.2,58.3,106883.0
CONFIDCEM,2024-12-19,60.0,60.7,58.6,58.9,176976.0
CONFIDCEM,2024-12-18,61.3,62.0,60.1,60.2,251228.0
CONFIDCEM,2024-12-17,58.6,61.3,58.6,60.9,326587.0
CONFIDCEM,2024-12-15,58.7,59.5,57.8,58.5,106922.0
CONFIDCEM,2024-12-12,57.6,58.8,57.2,57.6,110743.0
CONFIDCEM,2024-12-11,59.2,59.8,57.6,57.9,109468.0
CONFIDCEM,2024-12-10,60.6,60.7,59.0,59.3,338124.0
CONFIDCEM,2024-12-09,60.5,60.9,59.4,59.6,297817.0
CONFIDCEM,2024-12-08,61.8,62.5,60.5,60.9,442706.0
CONFIDCEM,2024-12-05,60.9,61.9,59.2,60.6,190839.0
CONFIDCEM,2024-12-04,56.7,60.0,56.4,59.2,454120.0
CONFIDCEM,2024-12-03,61.9,63.1,61.5,62.4,403314.0
CONFIDCEM,2024-12-02,62.0,63.4,61.5,61.7,413771.0
CONFIDCEM,2024-12-01,62.7,63.4,61.0,61.6,534058.0
CONFIDCEM,2024-11-28,62.1,65.0,62.0,62.3,590755.0
CONFIDCEM,2024-11-27,62.1,64.5,62.1,63.8,609491.0
CONFIDCEM,2024-11-26,63.1,64.4,61.9,62.0,388611.0
CONFIDCEM,2024-11-25,61.9,64.7,61.9,63.1,788637.0
CONFIDCEM,2024-11-24,60.7,61.9,59.1,61.4,331923.0
CONFIDCEM,2024-11-21,64.2,64.7,60.1,60.7,635385.0
CONFIDCEM,2024-11-20,65.7,66.9,63.2,64.2,797952.0
CONFIDCEM,2024-11-19,67.5,67.5,63.9,65.5,607915.0
