Trading_Code,Date,Open,High,Low,Close,Volume
CONTININS,2025-04-08,25.4,26.5,25.4,25.8,43536.0
CONTININS,2025-04-07,26.4,26.6,25.8,26.0,183236.0
CONTININS,2025-04-06,26.4,28.7,25.9,26.0,211954.0
CONTININS,2025-03-27,26.0,26.4,25.9,26.3,82410.0
CONTININS,2025-03-25,26.3,26.3,25.6,25.9,141956.0
CONTININS,2025-03-24,25.8,26.0,25.4,25.7,146465.0
CONTININS,2025-03-23,25.9,26.0,25.0,25.3,109186.0
CONTININS,2025-03-20,26.1,26.3,25.5,25.6,109228.0
CONTININS,2025-03-19,27.3,27.3,26.0,26.2,115828.0
CONTININS,2025-03-18,26.1,27.3,26.1,26.9,375601.0
CONTININS,2025-03-17,26.8,27.1,26.0,26.4,175556.0
CONTININS,2025-03-16,26.4,28.3,24.6,27.2,568559.0
CONTININS,2025-03-13,24.4,26.7,24.3,26.2,815529.0
CONTININS,2025-03-12,24.3,24.6,24.2,24.3,137337.0
CONTININS,2025-03-11,24.1,24.6,24.0,24.2,259802.0
CONTININS,2025-03-10,23.8,23.9,23.6,23.7,46229.0
CONTININS,2025-03-09,24.3,24.3,23.6,23.7,32070.0
CONTININS,2025-03-06,24.0,24.0,23.7,23.8,11605.0
CONTININS,2025-03-05,24.1,24.1,23.7,23.8,91576.0
CONTININS,2025-03-04,24.1,24.3,24.0,24.1,50949.0
CONTININS,2025-03-03,24.4,24.4,24.0,24.1,22395.0
CONTININS,2025-03-02,24.5,24.5,24.0,24.1,34115.0
CONTININS,2025-02-27,24.4,24.7,24.3,24.3,36126.0
CONTININS,2025-02-26,24.9,25.0,24.5,24.6,58206.0
CONTININS,2025-02-25,24.4,26.7,24.4,24.9,220190.0
CONTININS,2025-02-24,25.0,25.0,24.2,24.4,80795.0
CONTININS,2025-02-23,23.9,24.8,23.9,24.6,107757.0
CONTININS,2025-02-20,24.2,24.2,23.7,23.9,60547.0
CONTININS,2025-02-19,23.3,24.0,23.3,23.7,48746.0
CONTININS,2025-02-18,23.9,24.1,22.8,23.5,85402.0
CONTININS,2025-02-17,23.9,24.2,23.7,23.8,55591.0
CONTININS,2025-02-16,24.2,24.3,23.7,24.0,95021.0
