Trading_Code,Date,Open,High,Low,Close,Volume
CROWNCEMNT,2025-04-08,47.9,50.9,47.5,50.0,104860.0
CROWNCEMNT,2025-04-07,49.3,50.7,47.2,47.4,59936.0
CROWNCEMNT,2025-04-06,50.2,50.2,46.0,48.2,44145.0
CROWNCEMNT,2025-03-27,51.0,51.0,49.6,50.2,10777.0
CROWNCEMNT,2025-03-25,52.0,52.0,49.0,49.5,59509.0
CROWNCEMNT,2025-03-24,53.8,53.8,50.6,51.6,66108.0
CROWNCEMNT,2025-03-23,51.0,54.7,50.8,53.7,451744.0
CROWNCEMNT,2025-03-20,48.6,50.0,48.6,49.8,77059.0
CROWNCEMNT,2025-03-19,52.1,52.1,47.1,48.9,73083.0
CROWNCEMNT,2025-03-18,48.0,48.0,46.6,47.6,29504.0
CROWNCEMNT,2025-03-17,49.0,49.0,46.5,47.3,37160.0
CROWNCEMNT,2025-03-16,45.5,48.5,45.5,47.6,77598.0
CROWNCEMNT,2025-03-13,45.2,45.7,45.2,45.4,40275.0
CROWNCEMNT,2025-03-12,45.9,46.0,45.4,45.7,3099.0
CROWNCEMNT,2025-03-11,47.4,47.4,45.3,45.9,6631.0
CROWNCEMNT,2025-03-10,45.9,45.9,45.3,45.8,13288.0
CROWNCEMNT,2025-03-09,45.2,45.6,45.2,45.3,17731.0
CROWNCEMNT,2025-03-06,45.1,45.4,45.1,45.2,4705.0
CROWNCEMNT,2025-03-05,45.2,45.5,45.0,45.2,4896.0
CROWNCEMNT,2025-03-04,45.7,45.8,45.0,45.7,9772.0
CROWNCEMNT,2025-03-03,45.9,46.2,45.4,45.5,10123.0
CROWNCEMNT,2025-03-02,45.6,45.6,45.5,45.6,2721.0
CROWNCEMNT,2025-02-27,45.7,46.4,45.5,45.8,12812.0
CROWNCEMNT,2025-02-26,45.3,45.7,45.2,45.5,9253.0
CROWNCEMNT,2025-02-25,45.0,45.8,45.0,45.5,6688.0
CROWNCEMNT,2025-02-24,45.1,45.7,45.1,45.3,12619.0
CROWNCEMNT,2025-02-23,45.2,45.5,45.0,45.2,2224.0
CROWNCEMNT,2025-02-20,44.8,45.5,44.8,45.1,9129.0
CROWNCEMNT,2025-02-19,45.7,45.7,45.1,45.1,1839.0
CROWNCEMNT,2025-02-18,45.9,46.9,45.2,46.1,6808.0
CROWNCEMNT,2025-02-17,45.9,45.9,45.1,45.2,1964.0
CROWNCEMNT,2025-02-16,45.4,45.9,44.5,45.7,13787.0
CROWNCEMNT,2025-02-13,45.9,45.9,44.8,45.3,7299.0
CROWNCEMNT,2025-02-12,46.1,47.9,45.3,45.6,6237.0
CROWNCEMNT,2025-02-11,44.6,46.0,44.6,45.8,22448.0
CROWNCEMNT,2025-02-10,44.8,45.0,44.2,44.9,2966.0
CROWNCEMNT,2025-02-09,45.0,45.4,45.0,45.0,11091.0
CROWNCEMNT,2025-02-06,45.6,47.9,44.0,45.0,19545.0
CROWNCEMNT,2025-02-05,45.0,45.0,44.0,44.4,7422.0
CROWNCEMNT,2025-02-04,45.3,48.6,44.4,44.5,25345.0
CROWNCEMNT,2025-02-03,45.4,45.4,44.1,44.3,19659.0
CROWNCEMNT,2025-02-02,45.0,45.0,44.2,44.5,9729.0
CROWNCEMNT,2025-01-30,45.2,45.2,44.3,44.4,5914.0
CROWNCEMNT,2025-01-29,44.9,49.1,44.7,45.2,13376.0
CROWNCEMNT,2025-01-28,44.6,45.0,44.2,44.9,5568.0
CROWNCEMNT,2025-01-27,45.0,45.0,44.2,44.4,12500.0
CROWNCEMNT,2025-01-26,44.1,45.2,44.1,44.6,5194.0
CROWNCEMNT,2025-01-23,44.4,45.7,44.4,44.8,2993.0
CROWNCEMNT,2025-01-22,45.2,45.9,44.0,44.4,21049.0
CROWNCEMNT,2025-01-21,45.0,45.3,43.8,45.2,17623.0
CROWNCEMNT,2025-01-20,43.2,44.4,43.0,44.2,15660.0
CROWNCEMNT,2025-01-19,43.5,43.5,43.0,43.1,355.0
CROWNCEMNT,2025-01-16,43.9,43.9,43.0,43.5,3595.0
CROWNCEMNT,2025-01-15,43.2,43.3,43.0,43.2,17636.0
CROWNCEMNT,2025-01-14,43.6,43.6,43.1,43.1,14746.0
CROWNCEMNT,2025-01-13,43.5,43.9,43.4,43.6,1736.0
CROWNCEMNT,2025-01-12,45.0,45.0,43.8,43.9,9670.0
CROWNCEMNT,2025-01-09,43.5,44.4,43.4,44.0,6029.0
CROWNCEMNT,2025-01-08,43.4,44.3,43.4,44.0,7790.0
CROWNCEMNT,2025-01-07,44.4,44.5,43.7,43.9,11157.0
CROWNCEMNT,2025-01-06,44.8,44.8,43.6,44.1,4537.0
CROWNCEMNT,2025-01-05,43.1,44.9,43.1,43.9,28645.0
CROWNCEMNT,2025-01-02,43.5,44.0,43.5,43.7,12439.0
CROWNCEMNT,2025-01-01,45.0,45.0,43.7,43.8,3599.0
CROWNCEMNT,2024-12-30,43.9,43.9,43.5,43.5,17886.0
CROWNCEMNT,2024-12-29,44.5,44.5,43.6,43.7,28156.0
CROWNCEMNT,2024-12-26,43.9,43.9,43.7,43.9,15118.0
CROWNCEMNT,2024-12-24,45.1,45.2,43.5,43.7,89066.0
CROWNCEMNT,2024-12-23,45.6,46.3,44.8,45.0,26647.0
CROWNCEMNT,2024-12-22,46.7,47.0,45.0,45.2,68930.0
CROWNCEMNT,2024-12-19,47.0,47.1,46.0,46.3,53204.0
CROWNCEMNT,2024-12-18,47.4,47.4,46.4,46.7,12997.0
CROWNCEMNT,2024-12-17,47.8,49.8,46.3,46.8,37222.0
CROWNCEMNT,2024-12-15,46.5,47.0,45.9,46.3,11219.0
CROWNCEMNT,2024-12-12,47.6,48.9,45.5,45.8,50961.0
