Trading_Code,Date,Open,High,Low,Close,Volume
CRYSTALINS,2025-04-08,45.8,45.8,44.8,45.0,121003.0
CRYSTALINS,2025-04-07,45.5,45.9,45.3,45.7,106033.0
CRYSTALINS,2025-04-06,45.0,45.4,44.3,45.0,74172.0
CRYSTALINS,2025-03-27,46.9,46.9,44.9,45.0,94053.0
CRYSTALINS,2025-03-25,46.0,46.3,45.5,45.7,117431.0
CRYSTALINS,2025-03-24,45.4,46.2,45.3,45.5,93669.0
CRYSTALINS,2025-03-23,46.5,47.3,44.5,44.9,185140.0
CRYSTALINS,2025-03-20,46.3,46.5,45.4,46.0,143573.0
CRYSTALINS,2025-03-19,47.1,47.3,46.0,46.2,166142.0
CRYSTALINS,2025-03-18,46.9,47.9,46.1,46.9,275093.0
CRYSTALINS,2025-03-17,49.2,49.2,46.9,47.1,244211.0
CRYSTALINS,2025-03-16,48.3,50.0,47.5,48.5,758324.0
CRYSTALINS,2025-03-13,47.0,49.3,46.5,47.9,557551.0
CRYSTALINS,2025-03-12,46.2,47.2,45.9,46.9,239487.0
CRYSTALINS,2025-03-11,45.6,46.1,44.7,45.9,170131.0
CRYSTALINS,2025-03-10,45.5,45.7,44.3,44.8,131516.0
CRYSTALINS,2025-03-09,47.0,47.0,44.2,45.0,146668.0
CRYSTALINS,2025-03-06,47.6,47.6,46.2,46.5,194659.0
CRYSTALINS,2025-03-05,47.5,48.0,46.9,47.1,176234.0
CRYSTALINS,2025-03-04,48.7,48.9,47.3,47.6,166467.0
CRYSTALINS,2025-03-03,48.6,49.8,48.1,48.5,411981.0
CRYSTALINS,2025-03-02,0.0,0.0,0.0,48.6,0.0
CRYSTALINS,2025-02-27,49.6,50.1,48.2,48.6,339855.0
CRYSTALINS,2025-02-26,50.8,50.9,49.1,49.6,248820.0
CRYSTALINS,2025-02-25,50.6,52.5,50.1,50.8,795691.0
CRYSTALINS,2025-02-24,49.0,50.4,48.6,50.1,503129.0
CRYSTALINS,2025-02-23,49.0,49.6,48.5,49.0,486391.0
CRYSTALINS,2025-02-20,47.3,48.4,47.3,48.0,238803.0
CRYSTALINS,2025-02-19,47.2,48.0,47.0,47.8,210580.0
CRYSTALINS,2025-02-18,47.6,48.0,47.1,47.2,168929.0
CRYSTALINS,2025-02-17,47.7,48.2,47.4,47.5,214013.0
CRYSTALINS,2025-02-16,48.6,48.6,47.4,47.7,160121.0
CRYSTALINS,2025-02-13,46.7,48.6,46.2,48.2,334281.0
CRYSTALINS,2025-02-12,48.5,48.8,46.4,46.7,383505.0
CRYSTALINS,2025-02-11,49.7,50.1,48.1,48.5,653066.0
CRYSTALINS,2025-02-10,52.5,53.6,49.1,49.6,859685.0
CRYSTALINS,2025-02-09,52.0,52.5,51.7,52.3,400509.0
CRYSTALINS,2025-02-06,53.0,53.0,51.8,51.9,299724.0
CRYSTALINS,2025-02-05,51.0,53.4,51.0,52.7,563484.0
CRYSTALINS,2025-02-04,52.5,53.1,51.8,52.1,419816.0
CRYSTALINS,2025-02-03,51.9,53.4,51.5,52.3,543630.0
CRYSTALINS,2025-02-02,51.2,52.4,51.2,51.9,215257.0
CRYSTALINS,2025-01-30,52.9,52.9,51.0,51.2,253263.0
CRYSTALINS,2025-01-29,51.4,53.2,51.4,52.3,404517.0
CRYSTALINS,2025-01-28,50.7,52.1,50.6,51.5,323010.0
CRYSTALINS,2025-01-27,50.5,51.8,50.3,50.5,225624.0
CRYSTALINS,2025-01-26,52.0,52.2,51.0,51.2,168566.0
CRYSTALINS,2025-01-23,52.1,53.2,51.6,51.9,186543.0
CRYSTALINS,2025-01-22,52.7,53.5,52.3,52.5,155674.0
CRYSTALINS,2025-01-21,52.6,54.5,52.1,52.7,319018.0
CRYSTALINS,2025-01-20,54.0,54.2,52.5,52.7,343582.0
CRYSTALINS,2025-01-19,52.1,54.5,52.0,53.9,466593.0
CRYSTALINS,2025-01-16,49.9,52.3,49.9,51.9,352212.0
CRYSTALINS,2025-01-15,50.5,51.0,49.2,49.9,154199.0
CRYSTALINS,2025-01-14,52.0,52.3,50.5,50.7,141746.0
CRYSTALINS,2025-01-13,52.4,52.7,50.2,51.0,213209.0
CRYSTALINS,2025-01-12,53.9,53.9,52.1,52.5,175167.0
CRYSTALINS,2025-01-09,53.0,53.6,52.8,53.1,151038.0
CRYSTALINS,2025-01-08,53.6,54.0,52.8,53.0,206497.0
CRYSTALINS,2025-01-07,55.0,55.0,53.3,53.7,184914.0
CRYSTALINS,2025-01-06,53.5,54.8,53.1,54.2,212672.0
CRYSTALINS,2025-01-05,55.0,55.0,53.1,53.6,278633.0
CRYSTALINS,2025-01-02,55.4,55.8,54.3,54.5,211285.0
CRYSTALINS,2025-01-01,57.0,57.7,55.2,55.5,395722.0
CRYSTALINS,2024-12-30,56.9,57.4,56.0,56.7,574379.0
CRYSTALINS,2024-12-29,54.7,56.7,54.6,56.1,740994.0
CRYSTALINS,2024-12-26,54.3,54.5,53.5,54.3,143350.0
CRYSTALINS,2024-12-24,54.0,54.8,53.6,53.8,202866.0
CRYSTALINS,2024-12-23,53.9,55.4,53.9,54.1,233639.0
CRYSTALINS,2024-12-22,54.3,54.7,53.5,53.8,242874.0
CRYSTALINS,2024-12-19,55.4,55.4,54.4,54.6,136957.0
CRYSTALINS,2024-12-18,54.7,56.1,54.6,54.8,548918.0
CRYSTALINS,2024-12-17,55.5,55.6,54.0,54.3,251481.0
CRYSTALINS,2024-12-15,53.8,55.3,53.3,54.5,210641.0
CRYSTALINS,2024-12-12,54.6,54.6,53.0,53.2,220548.0
CRYSTALINS,2024-12-11,56.1,56.2,54.3,54.4,314323.0
CRYSTALINS,2024-12-10,52.9,56.5,52.6,55.8,712694.0
CRYSTALINS,2024-12-09,52.7,53.0,51.9,52.4,158760.0
CRYSTALINS,2024-12-08,53.2,53.5,51.3,52.0,263865.0
CRYSTALINS,2024-12-05,55.2,55.8,53.2,53.5,188334.0
CRYSTALINS,2024-12-04,56.8,57.0,55.1,55.4,212639.0
CRYSTALINS,2024-12-03,56.8,57.3,55.6,56.3,278851.0
CRYSTALINS,2024-12-02,55.0,57.3,55.0,56.9,342602.0
CRYSTALINS,2024-12-01,56.4,56.4,55.2,55.4,290526.0
CRYSTALINS,2024-11-28,57.5,58.2,56.0,56.2,306307.0
CRYSTALINS,2024-11-27,56.4,57.3,55.8,57.0,280722.0
CRYSTALINS,2024-11-26,57.6,58.2,55.0,55.4,391038.0
CRYSTALINS,2024-11-25,59.6,59.6,56.8,57.2,396942.0
CRYSTALINS,2024-11-24,57.3,59.7,56.7,58.6,463779.0
CRYSTALINS,2024-11-21,58.2,59.4,56.3,56.8,431363.0
