Trading_Code,Date,Open,High,Low,Close,Volume
CVOPRL,2025-04-08,142.0,146.6,140.8,145.9,281553.0
CVOPRL,2025-04-07,142.3,144.8,140.1,140.8,141929.0
CVOPRL,2025-04-06,143.8,143.8,140.0,141.5,125315.0
CVOPRL,2025-03-27,144.1,147.5,143.2,143.8,309560.0
CVOPRL,2025-03-25,140.7,144.0,138.2,143.3,208305.0
CVOPRL,2025-03-24,139.4,140.8,137.6,139.6,107103.0
CVOPRL,2025-03-23,132.1,141.0,132.1,137.4,252160.0
CVOPRL,2025-03-20,133.2,133.2,130.6,131.9,30858.0
CVOPRL,2025-03-19,132.3,134.0,131.6,131.8,66777.0
CVOPRL,2025-03-18,132.0,132.9,130.8,132.2,28516.0
CVOPRL,2025-03-17,132.9,132.9,130.6,130.9,56330.0
CVOPRL,2025-03-16,134.1,135.5,131.0,132.8,83829.0
CVOPRL,2025-03-13,133.0,136.0,133.0,134.1,56447.0
CVOPRL,2025-03-12,133.2,137.9,133.2,135.8,127686.0
CVOPRL,2025-03-11,131.1,136.3,131.1,135.7,125546.0
CVOPRL,2025-03-10,128.3,132.0,128.3,131.1,63917.0
CVOPRL,2025-03-09,127.1,129.1,127.1,128.3,23414.0
CVOPRL,2025-03-06,130.0,131.2,127.1,127.8,50094.0
CVOPRL,2025-03-05,131.2,133.0,128.3,129.7,61721.0
CVOPRL,2025-03-04,133.3,133.3,130.0,130.5,60896.0
CVOPRL,2025-03-03,135.0,135.0,132.5,132.8,30457.0
CVOPRL,2025-03-02,133.9,135.0,133.0,133.6,48202.0
CVOPRL,2025-02-27,135.7,136.7,133.6,133.9,118331.0
CVOPRL,2025-02-26,135.2,137.2,135.0,135.3,141975.0
CVOPRL,2025-02-25,134.7,135.9,132.1,135.8,129481.0
CVOPRL,2025-02-24,133.5,135.9,132.3,133.0,59523.0
CVOPRL,2025-02-23,136.3,136.6,133.5,134.1,101174.0
CVOPRL,2025-02-20,134.7,137.9,134.0,137.1,134346.0
CVOPRL,2025-02-19,134.3,135.9,133.5,134.6,82125.0
CVOPRL,2025-02-18,138.9,138.9,134.5,135.3,160275.0
CVOPRL,2025-02-17,138.0,139.0,136.0,137.0,85848.0
CVOPRL,2025-02-16,135.4,139.6,135.4,138.0,110651.0
CVOPRL,2025-02-13,133.6,137.0,133.6,136.0,106371.0
CVOPRL,2025-02-12,133.4,135.8,131.3,132.9,172774.0
CVOPRL,2025-02-11,134.6,136.8,133.0,133.9,92912.0
CVOPRL,2025-02-10,135.6,137.4,134.5,135.4,133232.0
CVOPRL,2025-02-09,131.1,137.6,131.1,136.4,219833.0
CVOPRL,2025-02-06,129.0,134.3,129.0,132.3,124544.0
CVOPRL,2025-02-05,131.0,132.8,129.6,130.2,161341.0
CVOPRL,2025-02-04,131.0,133.6,128.3,131.8,185377.0
CVOPRL,2025-02-03,125.5,132.4,125.5,131.0,329946.0
CVOPRL,2025-02-02,122.1,125.9,122.1,125.4,129368.0
CVOPRL,2025-01-30,125.0,127.5,122.1,123.0,144455.0
CVOPRL,2025-01-29,117.1,126.3,117.1,124.7,203563.0
CVOPRL,2025-01-28,120.7,122.9,119.0,120.6,90347.0
CVOPRL,2025-01-27,118.2,121.2,116.0,119.9,103564.0
CVOPRL,2025-01-26,121.9,122.6,117.4,118.2,98355.0
CVOPRL,2025-01-23,125.5,126.2,120.1,121.3,182103.0
CVOPRL,2025-01-22,119.8,128.8,119.3,125.5,320852.0
CVOPRL,2025-01-21,127.8,127.8,118.4,119.1,211690.0
CVOPRL,2025-01-20,118.7,120.0,116.0,117.9,133394.0
CVOPRL,2025-01-19,122.0,122.9,117.0,118.7,165977.0
CVOPRL,2025-01-16,113.0,123.0,112.9,120.3,310912.0
CVOPRL,2025-01-15,108.1,112.5,108.1,111.9,94683.0
CVOPRL,2025-01-14,110.7,114.0,108.0,110.9,189044.0
CVOPRL,2025-01-13,101.1,110.0,101.1,109.4,166155.0
CVOPRL,2025-01-12,101.0,103.5,100.7,101.2,66962.0
CVOPRL,2025-01-09,102.3,103.8,101.7,102.1,32294.0
CVOPRL,2025-01-08,104.0,104.0,101.6,102.3,29364.0
CVOPRL,2025-01-07,102.0,104.8,102.0,104.2,55465.0
CVOPRL,2025-01-06,101.2,102.8,99.5,100.8,76442.0
CVOPRL,2025-01-05,101.1,102.0,99.0,99.9,17103.0
CVOPRL,2025-01-02,102.7,102.7,100.7,101.3,18737.0
CVOPRL,2025-01-01,102.5,104.0,102.5,103.1,15538.0
CVOPRL,2024-12-30,101.1,104.5,101.1,103.5,18745.0
CVOPRL,2024-12-29,102.0,102.9,101.4,101.7,5426.0
CVOPRL,2024-12-26,103.8,103.8,100.8,101.5,9639.0
CVOPRL,2024-12-24,101.8,103.0,100.0,102.5,25260.0
CVOPRL,2024-12-23,102.9,103.1,101.0,101.8,12746.0
CVOPRL,2024-12-22,103.2,104.0,101.2,101.9,16699.0
CVOPRL,2024-12-19,103.1,104.4,103.0,103.5,38558.0
CVOPRL,2024-12-18,103.0,104.4,102.4,103.7,20055.0
CVOPRL,2024-12-17,104.3,104.6,102.4,103.0,35753.0
CVOPRL,2024-12-15,102.0,103.4,101.8,102.8,39159.0
CVOPRL,2024-12-12,104.8,104.9,101.2,101.6,26900.0
CVOPRL,2024-12-11,105.6,105.6,101.4,102.8,28846.0
CVOPRL,2024-12-10,105.3,105.8,104.2,104.4,19400.0
CVOPRL,2024-12-09,105.8,107.2,103.9,104.3,20537.0
CVOPRL,2024-12-08,106.0,106.7,103.6,105.5,46167.0
CVOPRL,2024-12-05,107.6,109.0,105.7,106.0,19759.0
CVOPRL,2024-12-04,108.5,109.0,106.3,108.0,38927.0
CVOPRL,2024-12-03,104.4,108.0,104.4,106.6,43283.0
CVOPRL,2024-12-02,106.9,107.8,105.6,106.8,24956.0
CVOPRL,2024-12-01,104.2,107.5,104.0,105.1,29650.0
CVOPRL,2024-11-28,104.8,107.4,104.0,105.2,44089.0
CVOPRL,2024-11-27,102.5,105.9,102.0,104.1,33409.0
CVOPRL,2024-11-26,103.0,104.8,101.4,101.7,30601.0
CVOPRL,2024-11-25,101.8,103.8,101.4,102.1,21241.0
CVOPRL,2024-11-24,103.0,103.0,100.1,101.9,21523.0
CVOPRL,2024-11-21,104.7,105.8,102.0,102.4,30425.0
CVOPRL,2024-11-20,102.5,106.0,102.5,103.7,35166.0
CVOPRL,2024-11-19,109.0,109.0,103.8,104.3,40342.0
CVOPRL,2024-11-18,109.8,110.5,106.4,107.2,59859.0
CVOPRL,2024-11-17,114.0,114.0,109.3,109.9,49788.0
CVOPRL,2024-11-14,109.0,111.4,107.0,110.3,107041.0
CVOPRL,2024-11-13,105.2,106.4,103.2,104.9,21660.0
CVOPRL,2024-11-12,108.9,109.0,105.0,105.2,41935.0
CVOPRL,2024-11-11,107.4,109.7,106.3,108.8,29805.0
CVOPRL,2024-11-10,107.6,112.9,106.0,109.1,51952.0
CVOPRL,2024-11-07,105.0,111.0,105.0,107.6,40300.0
CVOPRL,2024-11-06,112.0,113.2,108.5,109.7,59467.0
CVOPRL,2024-11-05,111.3,115.9,111.0,114.1,93952.0
CVOPRL,2024-11-04,99.0,111.0,99.0,109.5,86298.0
CVOPRL,2024-11-03,102.0,105.0,101.1,102.4,64844.0
CVOPRL,2024-10-31,0.0,0.0,0.0,102.8,0.0
CVOPRL,2024-10-30,97.5,104.4,95.5,102.8,95136.0
CVOPRL,2024-10-29,92.3,98.1,91.0,97.4,64165.0
CVOPRL,2024-10-28,88.0,92.8,86.5,90.6,50003.0
CVOPRL,2024-10-27,99.1,99.4,90.2,90.3,62157.0
CVOPRL,2024-10-24,103.0,103.0,98.0,100.2,39726.0
CVOPRL,2024-10-23,110.5,112.7,102.0,104.1,49253.0
CVOPRL,2024-10-22,109.1,112.4,107.1,110.9,35373.0
CVOPRL,2024-10-21,114.0,114.1,105.0,109.1,48107.0
CVOPRL,2024-10-20,121.7,121.7,112.3,112.7,43528.0
CVOPRL,2024-10-17,124.0,124.9,120.0,121.5,27312.0
CVOPRL,2024-10-16,125.8,125.8,123.5,123.8,17972.0
CVOPRL,2024-10-15,126.3,126.3,124.5,124.9,32825.0
CVOPRL,2024-10-14,126.0,128.1,125.8,126.3,30733.0
CVOPRL,2024-10-09,125.8,126.0,124.3,125.7,61823.0
CVOPRL,2024-10-08,126.9,127.0,123.4,124.5,32423.0
CVOPRL,2024-10-07,125.4,126.9,124.9,125.2,25777.0
CVOPRL,2024-10-06,125.6,128.7,125.2,125.7,28960.0
CVOPRL,2024-10-03,128.7,129.0,123.6,125.1,43192.0
CVOPRL,2024-10-02,130.0,130.2,125.5,126.3,46170.0
CVOPRL,2024-10-01,130.0,133.7,130.0,131.2,40362.0
CVOPRL,2024-09-30,129.1,132.8,129.1,131.4,50881.0
CVOPRL,2024-09-29,138.0,138.0,128.1,129.2,45828.0
CVOPRL,2024-09-26,137.0,137.0,131.0,131.9,66137.0
CVOPRL,2024-09-25,137.1,139.0,133.0,133.7,91859.0
CVOPRL,2024-09-24,140.9,143.4,137.1,137.2,155339.0
CVOPRL,2024-09-23,144.9,144.9,140.0,140.7,85134.0
CVOPRL,2024-09-22,154.6,155.0,141.2,142.3,422672.0
CVOPRL,2024-09-19,154.7,154.7,146.8,147.7,168321.0
CVOPRL,2024-09-18,149.7,156.0,149.6,153.3,451153.0
CVOPRL,2024-09-17,145.9,149.2,143.5,148.3,144045.0
CVOPRL,2024-09-15,146.5,147.8,144.2,145.4,119852.0
CVOPRL,2024-09-12,141.1,149.6,140.4,146.7,161995.0
CVOPRL,2024-09-11,148.6,148.6,141.0,141.5,146115.0
CVOPRL,2024-09-10,145.2,147.0,144.0,144.9,95319.0
CVOPRL,2024-09-09,139.7,147.7,137.2,144.7,170585.0
CVOPRL,2024-09-08,140.4,140.4,136.0,136.7,42660.0
CVOPRL,2024-09-05,141.0,142.0,134.7,135.8,99466.0
CVOPRL,2024-09-04,143.0,145.5,140.2,141.1,42020.0
CVOPRL,2024-09-03,142.9,148.5,142.2,143.8,89055.0
CVOPRL,2024-09-02,145.9,146.3,140.5,142.6,43539.0
CVOPRL,2024-09-01,148.0,148.0,143.6,144.7,42562.0
CVOPRL,2024-08-29,139.8,147.0,138.8,145.2,65266.0
CVOPRL,2024-08-28,139.7,139.7,137.0,138.5,25029.0
CVOPRL,2024-08-27,139.1,140.2,135.1,137.5,20755.0
CVOPRL,2024-08-25,136.1,139.8,134.0,139.0,46761.0
CVOPRL,2024-08-22,129.8,138.8,127.6,136.1,52955.0
CVOPRL,2024-08-21,132.0,137.7,131.0,131.4,35226.0
CVOPRL,2024-08-20,141.0,141.0,134.9,135.0,63155.0
CVOPRL,2024-08-19,140.0,144.3,137.3,139.0,20838.0
CVOPRL,2024-08-18,145.6,145.6,139.1,139.4,36891.0
CVOPRL,2024-08-15,145.0,145.5,143.1,143.4,43309.0
CVOPRL,2024-08-14,144.5,145.5,143.9,144.4,65013.0
CVOPRL,2024-08-13,143.1,146.4,142.6,144.2,88494.0
CVOPRL,2024-08-12,147.7,147.7,142.2,143.2,64505.0
CVOPRL,2024-08-11,152.4,152.4,144.3,145.4,173499.0
CVOPRL,2024-08-08,144.0,149.7,143.1,148.7,121001.0
CVOPRL,2024-08-07,139.5,144.5,134.7,143.8,89801.0
CVOPRL,2024-08-06,125.8,142.5,125.8,137.2,67733.0
CVOPRL,2024-08-04,131.2,131.2,129.6,129.6,5140.0
CVOPRL,2024-08-01,132.3,136.6,131.0,133.6,46506.0
CVOPRL,2024-07-31,136.5,136.5,130.4,132.1,46700.0
CVOPRL,2024-07-30,138.0,138.0,132.6,132.6,47720.0
CVOPRL,2024-07-29,141.8,141.8,136.4,136.6,34756.0
CVOPRL,2024-07-28,142.2,145.0,137.0,140.6,72900.0
CVOPRL,2024-07-25,135.2,142.9,135.2,141.2,36195.0
CVOPRL,2024-07-24,139.0,141.3,139.0,139.0,26259.0
CVOPRL,2024-07-18,145.0,145.2,142.8,143.2,33496.0
CVOPRL,2024-07-16,147.0,150.0,145.5,147.2,61754.0
CVOPRL,2024-07-15,143.5,149.3,143.5,145.7,49687.0
CVOPRL,2024-07-14,145.1,148.0,143.5,144.1,52595.0
CVOPRL,2024-07-11,152.6,152.6,146.0,146.2,74439.0
CVOPRL,2024-07-10,146.5,154.4,145.0,150.5,215173.0
CVOPRL,2024-07-09,146.9,146.9,144.0,145.3,45952.0
CVOPRL,2024-07-08,148.9,148.9,143.7,144.7,51001.0
CVOPRL,2024-07-07,147.8,150.0,144.0,147.3,92324.0
CVOPRL,2024-07-04,146.9,149.1,144.8,145.7,103481.0
CVOPRL,2024-07-03,141.8,145.0,140.9,144.7,49578.0
CVOPRL,2024-07-02,140.0,144.5,139.3,141.9,56824.0
CVOPRL,2024-06-30,136.0,145.2,135.2,142.9,91227.0
