Trading_Code,Date,Open,High,Low,Close,Volume
DAFODILCOM,2025-04-08,63.0,67.0,63.0,65.9,35886.0
DAFODILCOM,2025-04-07,60.2,64.7,60.2,64.2,9179.0
DAFODILCOM,2025-04-06,63.3,63.3,60.2,60.4,12085.0
DAFODILCOM,2025-03-27,63.1,64.8,63.1,63.4,25277.0
DAFODILCOM,2025-03-25,64.9,64.9,63.5,64.2,25069.0
DAFODILCOM,2025-03-24,64.9,64.9,64.8,64.9,1552.0
DAFODILCOM,2025-03-23,65.0,65.7,63.5,64.5,4525.0
DAFODILCOM,2025-03-20,64.4,65.4,63.5,65.0,34203.0
DAFODILCOM,2025-03-19,65.1,65.2,63.0,63.2,28919.0
DAFODILCOM,2025-03-18,63.6,64.7,63.4,64.2,17468.0
DAFODILCOM,2025-03-17,67.0,67.0,63.5,63.5,24558.0
DAFODILCOM,2025-03-16,68.0,68.0,63.3,64.7,35123.0
DAFODILCOM,2025-03-13,65.0,66.0,64.0,64.5,1466.0
DAFODILCOM,2025-03-12,67.6,67.6,65.0,65.2,25583.0
DAFODILCOM,2025-03-11,67.4,67.4,65.9,67.0,8905.0
DAFODILCOM,2025-03-10,65.5,67.2,65.2,67.1,6531.0
DAFODILCOM,2025-03-09,68.0,68.0,65.0,66.7,20852.0
DAFODILCOM,2025-03-06,66.9,68.1,66.9,67.6,17402.0
DAFODILCOM,2025-03-05,66.7,67.6,66.7,67.1,3706.0
DAFODILCOM,2025-03-04,66.9,67.8,65.7,67.3,5782.0
DAFODILCOM,2025-03-03,68.3,70.8,63.8,65.7,60611.0
DAFODILCOM,2025-03-02,67.0,68.3,66.6,67.5,13815.0
DAFODILCOM,2025-02-27,66.1,69.0,66.1,68.1,106026.0
DAFODILCOM,2025-02-26,67.3,67.9,66.5,66.7,21363.0
DAFODILCOM,2025-02-25,68.7,68.7,67.2,67.6,19647.0
DAFODILCOM,2025-02-24,67.0,67.9,67.0,67.4,37909.0
DAFODILCOM,2025-02-23,65.1,68.8,65.1,67.5,24150.0
DAFODILCOM,2025-02-20,68.0,70.0,67.0,67.8,49039.0
DAFODILCOM,2025-02-19,67.0,68.7,67.0,68.2,47485.0
DAFODILCOM,2025-02-18,67.0,68.0,67.0,67.6,17478.0
DAFODILCOM,2025-02-17,68.9,69.9,67.0,67.9,23162.0
DAFODILCOM,2025-02-16,69.0,72.3,68.0,69.5,78619.0
DAFODILCOM,2025-02-13,66.0,70.0,66.0,69.7,67962.0
DAFODILCOM,2025-02-12,65.0,68.1,65.0,67.8,83940.0
DAFODILCOM,2025-02-11,65.9,66.5,64.4,65.9,34177.0
DAFODILCOM,2025-02-10,64.0,65.1,63.2,64.7,58377.0
DAFODILCOM,2025-02-09,63.4,65.9,62.9,63.8,117696.0
DAFODILCOM,2025-02-06,62.4,63.3,62.4,63.0,17151.0
DAFODILCOM,2025-02-05,62.0,63.3,62.0,62.4,50445.0
DAFODILCOM,2025-02-04,63.9,63.9,61.7,62.0,16415.0
DAFODILCOM,2025-02-03,63.0,63.7,61.5,63.2,11678.0
DAFODILCOM,2025-02-02,64.8,64.8,60.0,62.9,21187.0
DAFODILCOM,2025-01-30,62.8,63.4,60.7,60.9,4468.0
DAFODILCOM,2025-01-29,63.0,63.0,61.0,61.3,2446.0
DAFODILCOM,2025-01-28,63.0,63.7,61.0,62.0,19838.0
DAFODILCOM,2025-01-27,64.8,64.8,62.8,63.3,91763.0
DAFODILCOM,2025-01-26,61.4,63.4,61.1,63.3,23442.0
DAFODILCOM,2025-01-23,63.0,63.0,62.5,62.8,153.0
DAFODILCOM,2025-01-22,62.8,62.8,61.8,61.9,5357.0
DAFODILCOM,2025-01-21,62.9,63.0,61.6,62.0,23763.0
DAFODILCOM,2025-01-20,61.9,62.7,61.0,61.3,5527.0
DAFODILCOM,2025-01-19,61.0,62.0,60.6,61.0,1793.0
DAFODILCOM,2025-01-16,60.6,62.2,60.6,61.8,8714.0
DAFODILCOM,2025-01-15,61.5,61.6,60.6,60.7,4070.0
DAFODILCOM,2025-01-14,63.6,63.6,61.2,61.5,5140.0
DAFODILCOM,2025-01-13,63.4,63.4,61.5,61.6,27135.0
DAFODILCOM,2025-01-12,64.0,64.8,62.7,62.8,32978.0
DAFODILCOM,2025-01-09,59.3,64.3,59.3,63.6,105654.0
DAFODILCOM,2025-01-08,57.8,58.8,56.7,58.5,23840.0
DAFODILCOM,2025-01-07,57.2,58.0,56.0,57.7,19487.0
DAFODILCOM,2025-01-06,58.0,58.0,55.0,57.1,37199.0
DAFODILCOM,2025-01-05,58.9,59.9,58.2,58.2,17331.0
DAFODILCOM,2025-01-02,63.0,63.0,58.5,58.9,47608.0
DAFODILCOM,2025-01-01,63.1,63.8,62.6,62.8,12025.0
DAFODILCOM,2024-12-30,63.4,63.8,62.3,63.0,17499.0
DAFODILCOM,2024-12-29,65.0,65.0,63.1,63.8,3065.0
DAFODILCOM,2024-12-26,65.8,65.8,63.0,63.1,27002.0
DAFODILCOM,2024-12-24,67.5,67.5,65.5,65.8,28191.0
DAFODILCOM,2024-12-23,65.0,67.4,65.0,66.7,91656.0
DAFODILCOM,2024-12-22,61.0,65.2,61.0,64.6,63913.0
DAFODILCOM,2024-12-19,61.4,61.9,59.8,60.0,47465.0
DAFODILCOM,2024-12-18,62.4,62.4,61.7,61.8,30355.0
DAFODILCOM,2024-12-17,65.1,65.1,61.9,62.5,32221.0
DAFODILCOM,2024-12-15,65.0,65.0,61.5,62.4,35455.0
DAFODILCOM,2024-12-12,61.6,62.5,61.2,61.5,11751.0
DAFODILCOM,2024-12-11,63.0,63.0,61.5,61.6,16085.0
DAFODILCOM,2024-12-10,66.0,66.0,62.2,62.8,26429.0
DAFODILCOM,2024-12-09,64.0,64.0,62.6,62.7,31586.0
DAFODILCOM,2024-12-08,63.8,64.4,63.6,64.0,19896.0
DAFODILCOM,2024-12-05,70.5,70.5,63.9,64.1,14596.0
DAFODILCOM,2024-12-04,65.8,65.8,63.3,64.1,23578.0
DAFODILCOM,2024-12-03,68.8,68.8,63.9,64.0,83094.0
DAFODILCOM,2024-12-02,70.6,70.6,67.5,68.5,129857.0
DAFODILCOM,2024-12-01,67.1,68.9,66.0,68.4,101677.0
DAFODILCOM,2024-11-28,68.8,68.8,67.0,67.3,5743.0
DAFODILCOM,2024-11-27,68.7,69.4,66.9,67.1,28205.0
DAFODILCOM,2024-11-26,72.0,72.0,68.3,68.7,53344.0
DAFODILCOM,2024-11-25,71.5,72.0,66.9,68.2,48751.0
DAFODILCOM,2024-11-24,65.8,70.0,65.8,66.8,10277.0
DAFODILCOM,2024-11-21,0.0,0.0,0.0,65.3,0.0
DAFODILCOM,2024-11-20,66.3,66.5,64.0,65.3,6019.0
DAFODILCOM,2024-11-19,69.1,69.1,65.1,66.3,10300.0
DAFODILCOM,2024-11-18,68.3,68.3,67.0,67.2,6672.0
DAFODILCOM,2024-11-17,69.0,70.0,66.5,67.2,19792.0
DAFODILCOM,2024-11-14,69.1,72.0,68.4,68.7,17287.0
DAFODILCOM,2024-11-13,62.3,72.0,62.3,70.8,21834.0
DAFODILCOM,2024-11-12,70.0,71.0,69.0,69.2,20324.0
DAFODILCOM,2024-11-11,71.0,72.7,69.6,70.1,7116.0
DAFODILCOM,2024-11-10,75.8,75.8,70.0,70.0,7419.0
DAFODILCOM,2024-11-07,66.5,75.8,66.5,73.3,18290.0
DAFODILCOM,2024-11-06,75.8,76.4,73.1,73.4,18507.0
DAFODILCOM,2024-11-05,67.5,77.0,67.0,75.8,65378.0
DAFODILCOM,2024-11-04,80.0,80.0,73.7,74.4,42600.0
DAFODILCOM,2024-11-03,81.0,81.0,74.3,76.0,30697.0
DAFODILCOM,2024-10-31,82.0,82.0,75.0,75.4,7270.0
DAFODILCOM,2024-10-30,78.9,79.0,76.5,77.0,5920.0
DAFODILCOM,2024-10-29,75.5,78.0,75.5,77.5,1313.0
DAFODILCOM,2024-10-28,76.5,77.4,76.5,77.0,4482.0
DAFODILCOM,2024-10-27,77.1,79.0,73.0,78.7,53414.0
DAFODILCOM,2024-10-24,77.0,79.5,77.0,78.3,22933.0
DAFODILCOM,2024-10-23,80.0,80.0,77.7,78.5,74452.0
DAFODILCOM,2024-10-22,77.6,79.4,76.0,77.9,1818.0
DAFODILCOM,2024-10-21,79.0,79.0,77.0,78.7,5610.0
DAFODILCOM,2024-10-20,82.0,82.4,79.0,79.1,49533.0
DAFODILCOM,2024-10-17,81.0,83.0,74.0,82.4,17439.0
DAFODILCOM,2024-10-16,81.7,83.3,81.4,81.5,48344.0
DAFODILCOM,2024-10-15,82.2,83.6,81.5,82.2,5220.0
DAFODILCOM,2024-10-14,83.9,84.0,82.1,82.8,28759.0
DAFODILCOM,2024-10-09,84.0,84.4,82.5,83.6,60530.0
DAFODILCOM,2024-10-08,82.5,84.6,82.0,83.9,76667.0
DAFODILCOM,2024-10-07,82.5,84.0,79.0,83.1,52067.0
DAFODILCOM,2024-10-06,82.1,84.6,82.1,83.2,43319.0
DAFODILCOM,2024-10-03,83.7,83.8,81.7,82.2,7917.0
DAFODILCOM,2024-10-02,82.2,82.8,82.0,82.6,18623.0
DAFODILCOM,2024-10-01,76.0,85.2,76.0,82.3,113766.0
DAFODILCOM,2024-09-30,83.7,86.0,75.4,83.7,127003.0
DAFODILCOM,2024-09-29,75.0,84.6,75.0,83.7,103343.0
DAFODILCOM,2024-09-26,76.0,84.9,75.0,82.8,380575.0
DAFODILCOM,2024-09-25,78.8,81.4,78.2,79.7,121452.0
DAFODILCOM,2024-09-24,78.9,79.2,76.1,78.6,42868.0
DAFODILCOM,2024-09-23,76.2,78.7,76.0,76.4,23840.0
DAFODILCOM,2024-09-22,78.1,79.1,76.0,76.2,12514.0
DAFODILCOM,2024-09-19,79.8,79.8,77.1,78.0,16050.0
DAFODILCOM,2024-09-18,74.6,78.2,74.5,77.6,58582.0
DAFODILCOM,2024-09-17,71.0,75.8,71.0,74.5,42632.0
DAFODILCOM,2024-09-15,72.3,72.7,67.0,72.0,24238.0
DAFODILCOM,2024-09-12,72.0,73.2,67.0,72.3,22147.0
DAFODILCOM,2024-09-11,73.6,73.6,70.9,71.2,45508.0
DAFODILCOM,2024-09-10,74.1,74.2,72.0,72.6,26693.0
