Trading_Code,Date,Open,High,Low,Close,Volume
DANDYDYE,2009-12-08,65.25,71.0,60.0,66.25,1000.0
DANDYDYE,2009-12-03,29.0,29.0,29.0,29.0,100.0
DANDYDYE,2009-11-08,80.25,80.25,67.0,71.0,1000.0
DANDYDYE,2009-11-06,32.75,32.75,32.75,32.75,100.0
DANDYDYE,2009-11-03,29.5,30.25,29.5,29.75,2200.0
DANDYDYE,2009-11-01,27.0,27.0,27.0,27.0,100.0
DANDYDYE,2009-10-09,75.5,78.0,75.0,76.0,550.0
DANDYDYE,2009-10-08,105.0,107.0,81.0,83.5,6650.0
DANDYDYE,2009-10-05,29.25,29.25,29.25,29.25,50.0
DANDYDYE,2009-10-02,33.0,33.0,33.0,33.0,50.0
DANDYDYE,2009-09-16,98.75,100.0,94.0,98.5,3400.0
DANDYDYE,2009-09-15,89.25,96.0,88.0,94.0,4650.0
DANDYDYE,2009-09-14,78.0,84.0,78.0,82.5,1900.0
DANDYDYE,2009-09-13,79.0,79.0,76.0,77.5,800.0
DANDYDYE,2009-09-09,70.0,80.0,70.0,75.0,850.0
DANDYDYE,2009-09-08,59.5,118.75,58.0,100.25,10300.0
DANDYDYE,2009-09-06,31.0,31.0,31.0,31.0,100.0
DANDYDYE,2009-09-04,30.25,32.0,30.25,31.0,100.0
DANDYDYE,2009-09-03,31.25,31.25,31.0,31.0,1200.0
DANDYDYE,2009-09-02,31.0,31.0,30.75,30.75,200.0
DANDYDYE,2009-08-18,82.0,97.5,82.0,95.25,3100.0
DANDYDYE,2009-08-17,72.0,84.25,72.0,81.25,3450.0
DANDYDYE,2009-08-16,66.0,79.25,66.0,70.25,1300.0
DANDYDYE,2009-08-09,69.75,70.0,69.75,69.75,700.0
DANDYDYE,2009-08-06,29.5,29.5,29.5,29.5,100.0
DANDYDYE,2009-08-03,35.5,35.5,30.0,33.25,1250.0
DANDYDYE,2009-08-02,33.25,33.25,31.0,32.75,950.0
DANDYDYE,2009-07-30,37.5,44.0,35.0,36.5,3100.0
DANDYDYE,2009-07-29,35.5,42.0,35.0,37.0,2400.0
DANDYDYE,2009-07-28,33.5,35.75,33.5,35.25,300.0
DANDYDYE,2009-07-27,31.25,34.0,31.25,33.5,950.0
DANDYDYE,2009-07-26,33.75,33.75,33.75,33.75,50.0
DANDYDYE,2009-07-23,31.0,31.0,31.0,31.0,400.0
DANDYDYE,2009-07-15,32.0,32.0,32.0,32.0,150.0
DANDYDYE,2009-07-13,32.25,32.25,32.25,32.25,100.0
DANDYDYE,2009-07-09,64.0,66.75,64.0,65.75,1300.0
DANDYDYE,2009-07-05,28.5,30.75,28.0,29.5,500.0
DANDYDYE,2009-06-22,32.5,32.5,32.5,32.5,100.0
DANDYDYE,2009-06-21,35.75,37.0,34.0,34.75,1050.0
DANDYDYE,2009-06-18,32.5,35.0,32.5,34.0,1050.0
DANDYDYE,2009-06-17,32.5,32.75,32.0,32.25,350.0
DANDYDYE,2009-06-16,32.5,32.5,32.5,32.5,300.0
DANDYDYE,2009-06-14,30.0,30.25,30.0,30.0,200.0
DANDYDYE,2009-06-09,71.5,71.5,67.0,69.75,2000.0
DANDYDYE,2009-06-08,53.0,59.5,53.0,58.75,1200.0
DANDYDYE,2009-06-04,31.25,32.25,31.25,31.75,750.0
DANDYDYE,2009-05-31,30.25,30.25,30.25,30.25,100.0
DANDYDYE,2009-05-28,32.25,32.25,30.5,31.5,300.0
DANDYDYE,2009-05-27,31.75,32.25,31.75,32.0,600.0
DANDYDYE,2009-05-26,31.0,31.0,31.0,31.0,200.0
DANDYDYE,2009-05-25,32.0,32.0,32.0,32.0,150.0
DANDYDYE,2009-05-24,32.25,32.25,32.25,32.25,100.0
DANDYDYE,2009-05-21,31.0,32.0,31.0,31.5,500.0
DANDYDYE,2009-05-19,29.5,30.75,29.5,29.75,150.0
DANDYDYE,2009-05-17,29.5,29.5,29.5,29.5,300.0
DANDYDYE,2009-05-14,30.0,30.0,29.0,29.5,400.0
DANDYDYE,2009-05-13,29.0,29.0,29.0,29.0,100.0
DANDYDYE,2009-05-08,45.75,51.25,45.75,49.75,3000.0
DANDYDYE,2009-05-03,39.0,39.0,34.75,36.5,1300.0
DANDYDYE,2009-05-02,36.0,36.0,36.0,36.0,450.0
DANDYDYE,2009-04-29,30.0,30.0,27.0,28.0,1000.0
DANDYDYE,2009-04-28,30.0,30.0,29.75,29.75,100.0
DANDYDYE,2009-04-23,29.25,29.25,29.25,29.25,300.0
DANDYDYE,2009-04-22,30.25,30.25,30.25,30.25,150.0
DANDYDYE,2009-04-21,31.0,31.0,31.0,31.0,150.0
DANDYDYE,2009-04-20,32.5,32.5,32.5,32.5,100.0
DANDYDYE,2009-04-16,30.25,30.25,30.25,30.25,100.0
