Trading_Code,Date,Open,High,Low,Close,Volume
DBH,2025-04-08,36.2,36.6,36.0,36.3,99554.0
DBH,2025-04-07,36.3,36.5,35.9,36.2,71878.0
DBH,2025-04-06,35.1,36.3,35.1,36.0,64857.0
DBH,2025-03-27,36.2,36.3,35.9,36.1,39265.0
DBH,2025-03-25,35.6,37.0,35.6,36.2,274790.0
DBH,2025-03-24,35.4,35.6,35.2,35.3,73965.0
DBH,2025-03-23,36.0,36.1,35.0,35.3,68436.0
DBH,2025-03-20,36.1,36.3,35.4,35.7,140728.0
DBH,2025-03-19,35.8,36.2,35.5,35.7,83451.0
DBH,2025-03-18,35.8,36.4,35.6,35.8,85997.0
DBH,2025-03-17,36.3,36.6,35.7,35.8,77156.0
DBH,2025-03-16,36.5,36.5,36.1,36.3,153677.0
DBH,2025-03-13,37.1,37.1,36.7,36.8,71107.0
DBH,2025-03-12,36.8,37.3,36.8,37.1,151577.0
DBH,2025-03-11,36.4,37.0,36.4,36.8,57315.0
DBH,2025-03-10,36.5,36.7,36.3,36.6,68759.0
DBH,2025-03-09,36.7,36.7,36.4,36.4,31910.0
DBH,2025-03-06,36.5,37.4,36.5,36.8,153754.0
DBH,2025-03-05,36.3,36.5,36.0,36.3,76678.0
DBH,2025-03-04,36.5,36.9,36.0,36.3,138810.0
DBH,2025-03-03,36.3,36.9,36.1,36.7,37090.0
DBH,2025-03-02,37.0,37.4,36.2,36.4,147443.0
DBH,2025-02-27,36.7,37.6,36.6,37.1,136097.0
DBH,2025-02-26,37.3,37.4,36.5,36.7,104944.0
DBH,2025-02-25,37.0,38.2,37.0,37.2,436819.0
DBH,2025-02-24,36.8,37.7,36.7,37.6,581056.0
DBH,2025-02-23,36.4,36.9,36.4,36.6,92512.0
DBH,2025-02-20,36.1,36.8,36.0,36.6,125830.0
DBH,2025-02-19,36.5,36.6,36.1,36.2,63212.0
DBH,2025-02-18,36.7,36.9,36.1,36.3,160135.0
DBH,2025-02-17,36.4,37.3,36.4,36.7,150988.0
DBH,2025-02-16,36.5,37.0,36.4,36.6,63106.0
DBH,2025-02-13,37.1,37.1,36.4,36.5,102444.0
DBH,2025-02-12,36.8,37.1,36.7,36.9,116991.0
DBH,2025-02-11,36.8,37.1,36.7,36.9,192812.0
DBH,2025-02-10,36.4,36.8,36.1,36.7,144105.0
DBH,2025-02-09,37.2,37.3,36.1,36.3,261734.0
DBH,2025-02-06,35.7,37.2,35.6,37.0,238980.0
DBH,2025-02-05,35.6,36.1,35.2,35.4,170970.0
DBH,2025-02-04,36.0,36.0,35.5,35.6,142035.0
DBH,2025-02-03,35.6,36.0,35.5,35.8,86032.0
DBH,2025-02-02,35.4,35.9,35.3,35.4,56741.0
DBH,2025-01-30,35.9,35.9,35.1,35.3,84738.0
DBH,2025-01-29,35.9,36.0,35.3,35.5,98889.0
DBH,2025-01-28,36.3,36.5,35.6,35.9,91110.0
DBH,2025-01-27,36.4,36.9,36.2,36.4,135788.0
DBH,2025-01-26,35.9,36.5,35.8,36.3,87327.0
