Trading_Code,Date,Open,High,Low,Close,Volume
DBH1STMF,2025-04-08,5.0,5.3,4.9,5.2,1199614.0
DBH1STMF,2025-04-07,5.0,5.2,4.8,4.9,666213.0
DBH1STMF,2025-04-06,4.9,5.2,4.9,5.0,1925983.0
DBH1STMF,2025-03-27,4.8,5.1,4.8,4.8,1002297.0
DBH1STMF,2025-03-25,4.5,4.8,4.5,4.7,368264.0
DBH1STMF,2025-03-24,4.8,4.9,4.5,4.6,652843.0
DBH1STMF,2025-03-23,4.8,5.2,4.8,4.9,610332.0
DBH1STMF,2025-03-20,4.8,4.8,4.6,4.8,1596941.0
DBH1STMF,2025-03-19,4.1,4.4,4.1,4.4,1023914.0
DBH1STMF,2025-03-18,3.8,4.0,3.7,4.0,1186770.0
DBH1STMF,2025-03-17,3.7,3.8,3.7,3.7,6001.0
DBH1STMF,2025-03-16,3.9,3.9,3.8,3.9,6920.0
DBH1STMF,2025-03-13,3.7,3.9,3.7,3.9,193938.0
DBH1STMF,2025-03-12,3.6,3.7,3.5,3.7,42858.0
DBH1STMF,2025-03-11,3.6,3.8,3.5,3.5,248565.0
DBH1STMF,2025-03-10,3.8,3.8,3.6,3.6,42502.0
DBH1STMF,2025-03-09,3.5,3.8,3.5,3.7,13067.0
DBH1STMF,2025-03-06,3.9,3.9,3.7,3.7,32700.0
DBH1STMF,2025-03-05,3.8,3.9,3.8,3.8,3491.0
DBH1STMF,2025-03-04,3.9,3.9,3.7,3.7,274441.0
DBH1STMF,2025-03-03,3.8,3.9,3.8,3.9,210402.0
DBH1STMF,2025-03-02,3.9,4.0,3.9,3.9,74048.0
DBH1STMF,2025-02-27,3.9,4.1,3.9,4.0,87548.0
DBH1STMF,2025-02-26,3.9,3.9,3.8,3.9,62194.0
DBH1STMF,2025-02-25,3.9,3.9,3.8,3.8,88517.0
DBH1STMF,2025-02-24,3.8,3.9,3.8,3.8,42800.0
DBH1STMF,2025-02-23,3.6,3.9,3.6,3.8,425922.0
DBH1STMF,2025-02-20,3.7,3.7,3.6,3.7,84725.0
DBH1STMF,2025-02-19,3.6,3.7,3.6,3.6,83798.0
DBH1STMF,2025-02-18,3.7,3.9,3.6,3.7,272829.0
DBH1STMF,2025-02-17,3.6,3.7,3.5,3.6,31433.0
DBH1STMF,2025-02-16,3.6,3.7,3.6,3.6,64273.0
DBH1STMF,2025-02-13,3.7,3.7,3.6,3.6,21104.0
DBH1STMF,2025-02-12,3.6,3.7,3.6,3.7,240350.0
DBH1STMF,2025-02-11,3.6,3.6,3.5,3.6,92326.0
DBH1STMF,2025-02-10,3.7,3.7,3.5,3.5,221922.0
DBH1STMF,2025-02-09,3.7,3.7,3.5,3.5,227082.0
DBH1STMF,2025-02-06,3.6,3.7,3.6,3.6,108578.0
DBH1STMF,2025-02-05,3.5,3.7,3.5,3.6,72110.0
DBH1STMF,2025-02-04,3.6,3.6,3.6,3.6,68440.0
DBH1STMF,2025-02-03,3.5,3.6,3.5,3.6,6133.0
DBH1STMF,2025-02-02,3.5,3.7,3.5,3.5,107850.0
DBH1STMF,2025-01-30,3.5,3.6,3.5,3.6,35741.0
DBH1STMF,2025-01-29,3.6,3.6,3.6,3.6,54789.0
DBH1STMF,2025-01-28,3.6,3.6,3.5,3.6,61169.0
DBH1STMF,2025-01-27,3.5,3.6,3.5,3.5,14710.0
DBH1STMF,2025-01-26,3.7,3.7,3.5,3.6,67219.0
DBH1STMF,2025-01-23,3.7,3.7,3.6,3.6,34914.0
DBH1STMF,2025-01-22,3.7,3.8,3.6,3.6,208650.0
DBH1STMF,2025-01-21,3.7,3.8,3.7,3.7,37365.0
DBH1STMF,2025-01-20,3.6,3.8,3.6,3.7,46951.0
DBH1STMF,2025-01-19,3.7,3.8,3.5,3.6,87970.0
DBH1STMF,2025-01-16,3.9,3.9,3.7,3.8,4179.0
DBH1STMF,2025-01-15,3.8,3.9,3.7,3.9,107775.0
DBH1STMF,2025-01-14,3.9,3.9,3.7,3.8,56742.0
