Trading_Code,Date,Open,High,Low,Close,Volume
DELTALIFE,2025-04-08,75.7,77.0,75.6,76.2,109818.0
DELTALIFE,2025-04-07,76.6,77.3,75.6,75.8,83519.0
DELTALIFE,2025-04-06,75.0,76.1,74.2,75.8,66603.0
DELTALIFE,2025-03-27,76.2,76.2,75.1,75.3,49052.0
DELTALIFE,2025-03-25,75.0,77.0,74.3,75.8,109236.0
DELTALIFE,2025-03-24,76.7,77.5,75.0,75.2,138371.0
DELTALIFE,2025-03-23,75.3,78.0,75.3,76.4,220912.0
DELTALIFE,2025-03-20,74.6,75.6,74.2,75.3,91068.0
DELTALIFE,2025-03-19,74.5,74.7,74.1,74.2,59271.0
DELTALIFE,2025-03-18,74.5,75.0,74.0,74.1,66591.0
DELTALIFE,2025-03-17,75.0,75.3,73.8,74.3,76076.0
DELTALIFE,2025-03-16,75.3,76.1,74.3,74.7,259190.0
DELTALIFE,2025-03-13,76.0,76.9,74.9,75.6,225580.0
DELTALIFE,2025-03-12,78.0,78.1,76.5,76.8,97835.0
DELTALIFE,2025-03-11,74.2,80.1,73.7,78.4,1034651.0
DELTALIFE,2025-03-10,73.0,74.9,72.5,72.9,133168.0
DELTALIFE,2025-03-09,75.5,75.5,73.0,73.0,291388.0
DELTALIFE,2025-03-06,76.0,77.9,74.8,75.0,134665.0
DELTALIFE,2025-03-05,76.5,76.7,75.0,75.5,160975.0
DELTALIFE,2025-03-04,76.7,77.0,75.7,76.0,132366.0
DELTALIFE,2025-03-03,77.0,77.6,76.3,76.6,172694.0
DELTALIFE,2025-03-02,78.9,79.0,76.3,76.9,150116.0
DELTALIFE,2025-02-27,78.0,78.9,77.3,77.6,146792.0
DELTALIFE,2025-02-26,78.5,78.9,77.2,77.7,188960.0
DELTALIFE,2025-02-25,80.3,80.9,77.8,78.2,200152.0
DELTALIFE,2025-02-24,80.2,81.1,79.5,80.1,137376.0
DELTALIFE,2025-02-23,78.6,80.9,78.5,80.2,99573.0
DELTALIFE,2025-02-20,78.6,79.0,78.5,78.7,90155.0
DELTALIFE,2025-02-19,78.5,79.2,78.1,78.8,116611.0
DELTALIFE,2025-02-18,78.2,79.2,77.8,78.9,37668.0
DELTALIFE,2025-02-17,77.9,78.4,77.7,77.9,96952.0
DELTALIFE,2025-02-16,78.9,78.9,77.8,78.1,48432.0
DELTALIFE,2025-02-13,79.0,79.0,78.1,78.4,40459.0
DELTALIFE,2025-02-12,78.7,78.9,78.0,78.3,92046.0
DELTALIFE,2025-02-11,79.0,79.3,78.7,78.9,55635.0
DELTALIFE,2025-02-10,78.5,79.1,78.4,78.9,46356.0
DELTALIFE,2025-02-09,79.0,79.2,78.6,78.7,30904.0
DELTALIFE,2025-02-06,79.9,79.9,78.4,78.7,40155.0
DELTALIFE,2025-02-05,79.7,80.4,79.1,79.7,85434.0
DELTALIFE,2025-02-04,78.0,79.8,78.0,79.5,61458.0
DELTALIFE,2025-02-03,78.3,79.2,78.0,78.8,57892.0
DELTALIFE,2025-02-02,77.2,78.2,77.1,78.1,41662.0
DELTALIFE,2025-01-30,77.1,78.0,77.1,77.8,37798.0
DELTALIFE,2025-01-29,77.0,77.7,76.8,77.5,59355.0
DELTALIFE,2025-01-28,76.7,77.1,76.5,77.1,41378.0
DELTALIFE,2025-01-27,77.9,78.0,76.4,76.6,30516.0
DELTALIFE,2025-01-26,77.7,78.0,76.4,76.6,58951.0
DELTALIFE,2025-01-23,77.9,77.9,77.4,77.7,28211.0
DELTALIFE,2025-01-22,78.3,78.5,76.5,77.4,38087.0
DELTALIFE,2025-01-21,78.3,78.7,77.6,77.8,47019.0
DELTALIFE,2025-01-20,79.5,79.5,77.8,77.8,31222.0
DELTALIFE,2025-01-19,77.7,79.5,77.1,78.5,21789.0
DELTALIFE,2025-01-16,77.8,78.3,77.2,77.7,29549.0
DELTALIFE,2025-01-15,77.8,78.0,77.4,77.6,11756.0
DELTALIFE,2025-01-14,77.8,78.8,77.7,77.8,15660.0
DELTALIFE,2025-01-13,77.8,78.0,75.6,77.7,58365.0
DELTALIFE,2025-01-12,78.9,79.3,77.5,77.8,94530.0
DELTALIFE,2025-01-09,78.8,80.0,78.5,79.3,45833.0
DELTALIFE,2025-01-08,79.7,79.7,78.3,78.6,15825.0
DELTALIFE,2025-01-07,79.5,80.5,78.7,78.8,21721.0
DELTALIFE,2025-01-06,79.1,79.9,78.0,79.3,25595.0
DELTALIFE,2025-01-05,79.1,79.2,77.6,78.9,32439.0
DELTALIFE,2025-01-02,79.1,79.7,78.8,79.1,28195.0
DELTALIFE,2025-01-01,80.0,80.4,79.2,79.6,23124.0
DELTALIFE,2024-12-30,80.4,80.5,79.7,79.8,38791.0
DELTALIFE,2024-12-29,79.8,80.4,79.2,79.5,64017.0
DELTALIFE,2024-12-26,80.2,80.2,79.1,79.5,26601.0
DELTALIFE,2024-12-24,80.1,80.5,78.4,79.0,79380.0
DELTALIFE,2024-12-23,80.9,81.0,79.6,80.1,17493.0
DELTALIFE,2024-12-22,81.4,81.4,79.3,80.0,44788.0
DELTALIFE,2024-12-19,80.7,80.9,80.0,80.1,25027.0
DELTALIFE,2024-12-18,81.5,81.8,80.0,80.5,26032.0
DELTALIFE,2024-12-17,81.6,82.8,81.0,81.6,55118.0
DELTALIFE,2024-12-15,81.4,81.7,80.8,81.4,7858.0
DELTALIFE,2024-12-12,82.5,82.5,80.0,80.3,29542.0
DELTALIFE,2024-12-11,82.2,82.2,80.7,81.1,13481.0
DELTALIFE,2024-12-10,82.0,82.5,81.4,81.5,33229.0
DELTALIFE,2024-12-09,82.9,82.9,81.0,81.5,19813.0
DELTALIFE,2024-12-08,81.5,81.5,79.0,80.9,56750.0
DELTALIFE,2024-12-05,82.8,83.4,82.1,82.3,22064.0
DELTALIFE,2024-12-04,84.0,84.4,82.5,83.0,52206.0
DELTALIFE,2024-12-03,83.5,84.0,82.1,82.8,56673.0
DELTALIFE,2024-12-02,82.8,84.8,82.8,83.1,65818.0
DELTALIFE,2024-12-01,83.0,83.2,81.8,82.8,38741.0
DELTALIFE,2024-11-28,85.0,85.3,82.4,83.0,78814.0
DELTALIFE,2024-11-27,83.0,84.9,82.0,84.1,47812.0
DELTALIFE,2024-11-26,84.0,84.0,81.8,82.2,51126.0
DELTALIFE,2024-11-25,84.8,84.8,82.2,82.9,45856.0
DELTALIFE,2024-11-24,84.8,86.6,83.5,83.9,76096.0
DELTALIFE,2024-11-21,85.5,87.7,84.8,85.2,41860.0
DELTALIFE,2024-11-20,87.6,87.6,84.8,85.2,76319.0
