Trading_Code,Date,Open,High,Low,Close,Volume
DESCO,2025-04-08,24.7,27.2,24.6,27.0,935829.0
DESCO,2025-04-07,25.0,25.2,24.7,24.8,68272.0
DESCO,2025-04-06,24.0,25.6,24.0,25.1,110728.0
DESCO,2025-03-27,24.5,25.0,24.5,24.9,24414.0
DESCO,2025-03-25,24.4,25.3,24.3,25.0,100674.0
DESCO,2025-03-24,23.9,25.0,23.9,24.4,75030.0
DESCO,2025-03-23,24.1,24.4,23.6,23.9,83108.0
DESCO,2025-03-20,24.6,25.0,24.2,24.4,154800.0
DESCO,2025-03-19,25.2,25.2,24.5,24.6,244045.0
DESCO,2025-03-18,25.4,25.5,25.0,25.1,248355.0
DESCO,2025-03-17,25.9,26.1,25.3,25.3,192582.0
DESCO,2025-03-16,25.2,26.4,24.8,25.9,547024.0
DESCO,2025-03-13,25.8,25.8,25.0,25.2,251896.0
DESCO,2025-03-12,25.5,26.3,25.4,25.6,512390.0
DESCO,2025-03-11,26.1,26.5,25.1,25.4,547338.0
DESCO,2025-03-10,27.2,27.2,25.5,25.9,887514.0
DESCO,2025-03-09,27.9,29.1,27.0,27.2,847952.0
DESCO,2025-03-06,24.2,26.5,24.2,26.5,1725384.0
DESCO,2025-03-05,23.1,24.3,23.1,24.1,169468.0
DESCO,2025-03-04,24.0,24.0,23.3,23.5,238148.0
DESCO,2025-03-03,22.7,24.1,22.7,23.8,124280.0
DESCO,2025-03-02,22.8,23.2,22.7,23.0,75230.0
DESCO,2025-02-27,22.5,22.7,22.5,22.6,9890.0
DESCO,2025-02-26,22.9,22.9,22.3,22.5,48716.0
DESCO,2025-02-25,22.9,22.9,22.5,22.5,95452.0
DESCO,2025-02-24,23.0,23.2,22.8,22.9,19748.0
DESCO,2025-02-23,22.5,22.9,22.5,22.8,5444.0
DESCO,2025-02-20,22.8,23.1,22.1,22.4,22898.0
DESCO,2025-02-19,23.2,23.4,22.2,22.5,24650.0
DESCO,2025-02-18,23.7,23.9,22.7,22.9,131040.0
DESCO,2025-02-17,23.7,23.9,23.1,23.3,26896.0
DESCO,2025-02-16,23.8,24.0,23.7,23.7,44347.0
DESCO,2025-02-13,24.0,24.0,23.4,23.6,106349.0
DESCO,2025-02-12,23.9,24.9,23.9,24.0,13866.0
DESCO,2025-02-11,24.6,24.9,24.2,24.4,78019.0
DESCO,2025-02-10,24.2,25.0,23.6,24.0,300594.0
DESCO,2025-02-09,25.4,25.4,23.8,24.1,47982.0
DESCO,2025-02-06,23.7,24.6,23.7,24.3,159031.0
DESCO,2025-02-05,23.5,23.9,23.3,23.5,45675.0
DESCO,2025-02-04,23.1,24.7,23.1,23.7,23156.0
DESCO,2025-02-03,24.5,25.4,23.8,24.1,110083.0
DESCO,2025-02-02,24.5,25.4,24.0,24.5,96837.0
DESCO,2025-01-30,23.4,23.5,23.0,23.1,24821.0
DESCO,2025-01-29,23.5,23.6,23.4,23.4,15641.0
DESCO,2025-01-28,23.2,24.2,23.1,24.0,47789.0
DESCO,2025-01-27,24.2,24.2,23.3,23.8,5546.0
DESCO,2025-01-26,23.3,23.6,23.3,23.4,14171.0
DESCO,2025-01-23,23.2,24.3,23.2,23.6,18333.0
DESCO,2025-01-22,23.0,24.0,22.8,23.8,32048.0
DESCO,2025-01-21,22.8,24.4,22.8,23.3,90988.0
DESCO,2025-01-20,22.7,23.0,22.5,22.7,7876.0
DESCO,2025-01-19,22.7,23.0,22.5,22.7,5977.0
DESCO,2025-01-16,23.1,23.1,22.8,23.0,22567.0
DESCO,2025-01-15,23.2,23.2,22.8,23.1,48725.0
DESCO,2025-01-14,22.9,23.7,22.9,23.0,30639.0
DESCO,2025-01-13,23.0,23.0,22.6,22.8,7253.0
DESCO,2025-01-12,23.8,23.9,23.0,23.0,54191.0
DESCO,2025-01-09,23.3,23.9,23.3,23.4,5592.0
DESCO,2025-01-08,23.8,23.8,23.2,23.4,10736.0
DESCO,2025-01-07,24.3,25.0,23.5,23.7,123473.0
DESCO,2025-01-06,23.5,24.1,23.0,23.8,72286.0
DESCO,2025-01-05,23.1,23.1,22.0,22.6,2451.0
DESCO,2025-01-02,22.8,23.4,22.7,23.1,1325.0
DESCO,2025-01-01,23.0,23.4,22.7,23.0,97410.0
DESCO,2024-12-30,22.5,23.5,22.5,23.1,44791.0
DESCO,2024-12-29,21.9,23.0,21.9,22.8,17524.0
DESCO,2024-12-26,21.2,22.7,21.2,22.6,32443.0
DESCO,2024-12-24,21.7,22.3,21.7,21.8,15817.0
DESCO,2024-12-23,22.6,22.6,21.8,22.0,12479.0
DESCO,2024-12-22,22.6,22.6,21.9,22.1,31472.0
DESCO,2024-12-19,22.0,22.6,21.8,22.4,10098.0
DESCO,2024-12-18,22.0,22.9,22.0,22.4,57835.0
DESCO,2024-12-17,22.3,22.8,21.1,22.0,79422.0
DESCO,2024-12-15,21.5,21.9,21.0,21.3,25307.0
DESCO,2024-12-12,21.2,21.9,20.9,21.5,16951.0
DESCO,2024-12-11,22.1,22.4,21.0,21.2,21604.0
DESCO,2024-12-10,21.3,22.6,21.3,22.1,82239.0
DESCO,2024-12-09,20.7,21.3,20.7,21.0,1655.0
DESCO,2024-12-08,21.6,21.7,20.4,20.8,19934.0
DESCO,2024-12-05,21.1,21.9,20.4,21.5,25357.0
DESCO,2024-12-04,21.7,21.7,20.9,21.4,15163.0
DESCO,2024-12-03,21.0,21.6,20.2,21.4,21143.0
DESCO,2024-12-02,20.9,21.5,20.6,21.0,45679.0
DESCO,2024-12-01,20.9,22.1,20.0,21.1,24872.0
DESCO,2024-11-28,20.7,21.0,20.3,20.5,22278.0
DESCO,2024-11-27,20.0,20.8,20.0,20.6,15280.0
DESCO,2024-11-26,19.4,20.3,19.4,20.1,2598.0
DESCO,2024-11-25,20.0,20.5,19.9,20.1,16214.0
DESCO,2024-11-24,19.5,20.0,19.3,19.7,35456.0
DESCO,2024-11-21,0.0,0.0,0.0,19.7,0.0
DESCO,2024-11-20,19.9,20.0,19.6,19.7,44017.0
DESCO,2024-11-19,20.0,20.4,19.8,20.0,24013.0
