Trading_Code,Date,Open,High,Low,Close,Volume
DGIC,2025-04-08,26.3,26.3,24.9,25.1,132971.0
DGIC,2025-04-07,24.5,26.4,24.1,25.6,437112.0
DGIC,2025-04-06,24.0,24.4,23.3,24.2,86882.0
DGIC,2025-03-27,23.8,24.0,23.7,23.9,159082.0
DGIC,2025-03-25,23.2,24.0,23.1,23.8,187310.0
DGIC,2025-03-24,23.3,23.5,23.0,23.3,174847.0
DGIC,2025-03-23,22.5,23.7,21.0,23.2,192090.0
DGIC,2025-03-20,22.5,23.5,22.1,22.3,171343.0
DGIC,2025-03-19,24.2,24.2,22.7,22.9,267148.0
DGIC,2025-03-18,24.4,24.6,23.4,23.6,329198.0
DGIC,2025-03-17,24.4,24.8,23.8,23.9,324420.0
DGIC,2025-03-16,22.6,24.8,22.6,24.7,856346.0
DGIC,2025-03-13,21.0,22.9,21.0,22.6,552624.0
DGIC,2025-03-12,20.8,21.2,20.8,20.9,24850.0
DGIC,2025-03-11,21.1,21.3,20.6,20.7,53111.0
DGIC,2025-03-10,20.8,20.9,20.4,20.5,17675.0
DGIC,2025-03-09,20.9,20.9,20.7,20.7,16071.0
DGIC,2025-03-06,21.4,21.4,20.9,20.9,41573.0
DGIC,2025-03-05,21.3,21.4,21.1,21.3,15856.0
DGIC,2025-03-04,21.5,21.5,21.0,21.2,59672.0
DGIC,2025-03-03,21.3,21.5,21.2,21.3,11061.0
DGIC,2025-03-02,21.2,21.7,21.2,21.3,38846.0
DGIC,2025-02-27,21.9,21.9,21.3,21.4,57823.0
DGIC,2025-02-26,22.1,22.1,21.6,21.6,51805.0
DGIC,2025-02-25,21.5,22.2,21.2,22.0,240414.0
DGIC,2025-02-24,21.9,21.9,21.3,21.4,66395.0
DGIC,2025-02-23,21.2,21.8,20.9,21.4,139308.0
DGIC,2025-02-20,21.0,21.2,20.7,20.9,57368.0
DGIC,2025-02-19,21.1,21.3,21.0,21.0,50707.0
DGIC,2025-02-18,21.3,21.4,21.0,21.1,30987.0
DGIC,2025-02-17,21.9,21.9,20.9,21.1,199338.0
DGIC,2025-02-16,21.6,22.0,21.0,21.1,84699.0
DGIC,2025-02-13,21.6,22.0,21.5,21.8,7876.0
DGIC,2025-02-12,21.9,22.4,21.7,21.8,70007.0
DGIC,2025-02-11,21.9,22.4,21.8,22.0,35091.0
DGIC,2025-02-10,21.9,22.0,21.9,22.0,44864.0
DGIC,2025-02-09,22.5,22.8,21.9,22.0,58272.0
DGIC,2025-02-06,22.3,22.6,22.1,22.2,19963.0
DGIC,2025-02-05,22.9,22.9,22.0,22.3,86386.0
DGIC,2025-02-04,22.9,22.9,22.2,22.5,50607.0
DGIC,2025-02-03,22.7,22.7,22.3,22.6,73971.0
DGIC,2025-02-02,22.8,22.8,22.0,22.3,30895.0
DGIC,2025-01-30,23.0,23.0,22.1,22.1,21902.0
DGIC,2025-01-29,22.6,22.9,22.5,22.6,38594.0
DGIC,2025-01-28,22.1,22.9,22.0,22.5,48144.0
DGIC,2025-01-27,22.4,22.4,22.1,22.2,15490.0
DGIC,2025-01-26,22.6,22.6,22.2,22.3,9867.0
DGIC,2025-01-23,22.6,22.9,22.5,22.6,26587.0
DGIC,2025-01-22,22.8,23.0,22.6,22.7,19208.0
DGIC,2025-01-21,23.5,23.7,22.7,23.1,120553.0
DGIC,2025-01-20,24.0,24.0,23.1,23.3,46649.0
DGIC,2025-01-19,22.5,23.8,22.5,23.3,171526.0
DGIC,2025-01-16,22.3,22.6,21.6,21.9,29752.0
DGIC,2025-01-15,23.2,23.2,22.0,22.1,26911.0
DGIC,2025-01-14,23.0,23.0,21.9,22.7,18872.0
DGIC,2025-01-13,22.3,22.3,21.8,21.8,8389.0
DGIC,2025-01-12,22.8,23.4,22.2,22.3,53080.0
DGIC,2025-01-09,22.7,23.2,22.7,22.8,7130.0
DGIC,2025-01-08,23.3,23.3,22.6,22.7,13528.0
DGIC,2025-01-07,23.7,23.8,22.8,22.9,96321.0
DGIC,2025-01-06,23.2,23.6,23.2,23.3,9909.0
DGIC,2025-01-05,23.0,23.0,22.8,22.9,24297.0
DGIC,2025-01-02,23.0,23.2,22.9,23.0,15953.0
DGIC,2025-01-01,23.5,23.5,23.2,23.2,29473.0
DGIC,2024-12-30,24.2,24.2,23.2,23.4,12482.0
DGIC,2024-12-29,23.1,23.6,23.1,23.3,32576.0
DGIC,2024-12-26,23.4,23.4,22.8,23.0,4327.0
DGIC,2024-12-24,23.6,23.6,22.8,22.9,21757.0
DGIC,2024-12-23,23.8,23.8,23.0,23.2,10518.0
DGIC,2024-12-22,23.4,23.6,22.8,22.9,59554.0
DGIC,2024-12-19,23.5,23.8,23.3,23.4,12905.0
DGIC,2024-12-18,24.3,24.3,23.4,23.4,53587.0
DGIC,2024-12-17,24.3,24.4,24.0,24.0,41781.0
DGIC,2024-12-15,24.0,24.0,23.8,23.9,22566.0
DGIC,2024-12-12,23.7,24.3,23.4,23.5,59013.0
DGIC,2024-12-11,24.3,24.8,23.8,24.0,68926.0
DGIC,2024-12-10,24.2,24.7,23.5,24.2,125072.0
DGIC,2024-12-09,24.5,24.5,23.8,24.0,44798.0
DGIC,2024-12-08,24.2,24.5,24.0,24.1,24467.0
DGIC,2024-12-05,24.8,24.8,24.3,24.6,41385.0
DGIC,2024-12-04,25.0,25.5,24.6,24.7,94480.0
DGIC,2024-12-03,25.5,25.6,24.7,25.1,94868.0
DGIC,2024-12-02,24.8,25.7,24.0,25.3,232616.0
DGIC,2024-12-01,24.8,24.8,24.0,24.2,81366.0
DGIC,2024-11-28,24.6,25.5,23.9,24.6,116319.0
DGIC,2024-11-27,24.0,25.0,24.0,24.6,67124.0
DGIC,2024-11-26,25.1,25.1,23.6,23.9,81643.0
DGIC,2024-11-25,25.5,25.6,24.1,24.6,127440.0
DGIC,2024-11-24,24.2,25.4,24.1,24.9,81041.0
DGIC,2024-11-21,26.0,26.1,24.4,24.9,215769.0
DGIC,2024-11-20,26.5,27.4,24.1,25.7,155776.0
DGIC,2024-11-19,27.1,27.7,26.5,26.7,343879.0
DGIC,2024-11-18,26.0,27.8,25.4,27.1,409510.0
DGIC,2024-11-17,25.0,26.7,25.0,25.6,243547.0
DGIC,2024-11-14,24.7,26.2,24.7,25.8,582036.0
DGIC,2024-11-13,21.2,24.3,21.2,24.3,317640.0
DGIC,2024-11-12,21.4,22.8,21.0,22.1,152260.0
DGIC,2024-11-11,19.7,21.6,19.7,21.1,24627.0
DGIC,2024-11-10,20.5,21.7,19.8,20.2,47859.0
DGIC,2024-11-07,21.1,22.0,21.1,21.3,29991.0
DGIC,2024-11-06,22.0,22.2,21.6,21.8,72357.0
DGIC,2024-11-05,22.0,23.2,21.5,22.2,174357.0
DGIC,2024-11-04,21.2,21.6,21.0,21.5,73843.0
DGIC,2024-11-03,21.0,22.1,21.0,21.2,145229.0
DGIC,2024-10-31,19.7,21.2,19.7,21.0,68659.0
DGIC,2024-10-30,20.0,20.5,19.5,20.3,234775.0
DGIC,2024-10-29,18.7,19.2,17.9,18.8,11666.0
DGIC,2024-10-28,19.3,19.3,17.9,18.6,19661.0
DGIC,2024-10-27,18.9,20.3,18.5,18.7,14220.0
DGIC,2024-10-24,19.1,20.1,19.1,19.2,7429.0
DGIC,2024-10-23,21.5,21.5,19.6,19.8,23155.0
DGIC,2024-10-22,20.4,21.0,19.8,20.5,53585.0
DGIC,2024-10-21,20.0,20.0,17.5,19.5,11213.0
DGIC,2024-10-20,20.9,20.9,18.9,19.0,128381.0
DGIC,2024-10-17,22.3,22.7,20.1,21.0,89351.0
DGIC,2024-10-16,22.6,22.7,22.2,22.3,22593.0
DGIC,2024-10-15,23.3,23.3,22.7,22.8,10556.0
DGIC,2024-10-14,24.1,24.2,22.7,22.9,23393.0
DGIC,2024-10-09,21.7,23.0,21.7,22.7,19554.0
DGIC,2024-10-08,22.0,22.4,21.8,21.9,13447.0
DGIC,2024-10-07,22.2,22.7,22.0,22.2,2398.0
DGIC,2024-10-06,21.6,23.0,21.2,22.0,11962.0
DGIC,2024-10-03,23.0,23.2,21.1,21.9,26549.0
DGIC,2024-10-02,23.3,24.0,22.5,22.7,24612.0
