Trading_Code,Date,Open,High,Low,Close,Volume
DSEX,2022-12-07,6366.96,6385.92,6345.98,6355.49,67949350.0
DSEX,2022-12-06,6480.3,6481.38,6421.59,6431.46,63640700.0
DSEX,2022-12-05,6591.99,6606.19,6554.09,6565.47,82336110.0
DSEX,2022-12-04,6638.57,6648.32,6567.29,6574.07,53295080.0
DSEX,2022-12-01,7049.15,7092.31,6988.66,6996.06,166417080.0
DSEX,2022-11-05,6665.61,6676.39,6585.54,6591.99,113570870.0
DSEX,2022-11-04,6662.45,6677.73,6636.95,6638.57,55746250.0
DSEX,2022-11-01,6994.15,7098.52,6994.15,7049.15,197688530.0
DSEX,2022-10-05,6698.08,6726.06,6653.03,6665.61,125800580.0
DSEX,2022-10-04,6641.23,6673.6,6635.93,6662.45,64356970.0
DSEX,2022-10-03,6630.02,6740.8,6629.95,6668.15,106120660.0
DSEX,2022-10-02,7081.38,7100.97,7077.32,7085.95,125432670.0
DSEX,2022-10-01,6932.61,7000.27,6926.81,6994.15,148745440.0
DSEX,2022-09-06,6484.25,6512.96,6474.49,6480.3,75826620.0
DSEX,2022-09-05,6669.42,6704.83,6669.42,6698.08,120831870.0
DSEX,2022-09-03,6474.29,6647.41,6474.29,6630.02,77301500.0
DSEX,2022-09-02,7072.79,7098.46,7064.99,7081.38,115081790.0
DSEX,2022-09-01,6987.45,7029.06,6922.57,6932.61,146108850.0
DSEX,2022-08-06,6468.6,6500.81,6468.6,6484.25,91965740.0
DSEX,2022-08-05,6643.17,6673.02,6641.13,6669.42,97253670.0
DSEX,2022-08-03,6456.51,6498.71,6318.57,6474.29,74609350.0
DSEX,2022-08-02,7051.8,7085.25,7051.65,7072.79,144975810.0
DSEX,2022-07-17,6324.5,6343.49,6303.34,6304.29,59349810.0
DSEX,2022-07-14,6324.81,6342.04,6298.1,6324.5,58063940.0
DSEX,2022-07-13,6355.49,6363.21,6321.86,6324.81,70231130.0
DSEX,2022-07-07,6366.05,6386.5,6360.58,6366.96,78866120.0
DSEX,2022-07-06,6489.17,6500.25,6457.35,6468.6,73981380.0
DSEX,2022-07-04,6662.48,6662.52,6603.91,6641.23,51564390.0
DSEX,2022-07-03,6638.64,6647.18,6453.72,6456.51,74026380.0
DSEX,2022-07-02,7064.29,7107.92,7043.7,7051.8,142779200.0
DSEX,2022-06-30,6350.47,6387.86,6349.88,6376.94,93774750.0
DSEX,2022-06-29,6342.59,6371.41,6342.46,6350.47,80569870.0
DSEX,2022-06-28,6320.33,6355.14,6320.33,6342.59,81882640.0
DSEX,2022-06-27,6301.09,6325.16,6291.96,6320.33,70076270.0
DSEX,2022-06-26,6327.65,6351.98,6296.61,6301.09,59437930.0
DSEX,2022-06-23,6317.8,6369.98,6317.8,6327.65,68374370.0
DSEX,2022-06-22,6311.66,6329.5,6298.88,6317.8,69437280.0
DSEX,2022-06-21,6357.39,6362.44,6310.89,6311.66,72588360.0
DSEX,2022-06-20,6406.47,6417.8,6346.79,6357.39,82239420.0
DSEX,2022-06-19,6425.74,6460.64,6397.3,6406.47,89578400.0
DSEX,2022-06-16,6374.51,6432.51,6374.51,6425.74,104663220.0
DSEX,2022-06-15,6361.39,6416.55,6361.39,6374.51,94388970.0
DSEX,2022-06-14,6391.99,6411.21,6357.43,6361.39,87491980.0
DSEX,2022-06-13,6431.46,6443.51,6391.99,6391.99,79819720.0
DSEX,2022-06-07,6372.13,6400.42,6360.98,6366.05,74695460.0
DSEX,2022-06-06,6497.39,6524.88,6484.19,6489.17,97407200.0
DSEX,2022-06-04,6694.3,6700.71,6652.37,6662.48,49050230.0
DSEX,2022-06-03,6696.52,6711.48,6633.48,6638.64,65156310.0
DSEX,2022-06-02,7023.52,7082.59,7023.52,7064.29,133509730.0
DSEX,2022-06-01,6929.93,7004.22,6929.84,6987.45,168347680.0
DSEX,2022-05-31,6388.66,6409.69,6366.99,6392.86,63787680.0
DSEX,2022-05-30,6369.33,6426.89,6365.05,6388.66,83640170.0
DSEX,2022-05-29,6237.98,6375.89,6237.98,6369.33,83361860.0
DSEX,2022-05-26,6187.65,6252.47,6172.32,6237.98,53912570.0
DSEX,2022-05-25,6211.46,6216.79,6139.65,6187.65,51311720.0
DSEX,2022-05-24,6261.55,6306.35,6190.23,6211.46,66084220.0
DSEX,2022-05-23,6142.68,6286.65,6142.68,6261.55,65893690.0
DSEX,2022-05-22,6258.25,6291.72,6132.59,6142.68,68221400.0
DSEX,2022-05-19,6309.92,6324.86,6222.67,6258.25,66888120.0
DSEX,2022-05-18,6403.51,6447.05,6287.91,6309.92,76293560.0
DSEX,2022-05-17,6430.93,6484.37,6318.9,6403.51,77976480.0
DSEX,2022-05-16,6565.47,6567.75,6416.72,6430.93,102415420.0
DSEX,2022-05-07,6346.88,6402.65,6346.88,6372.13,96079610.0
DSEX,2022-05-06,6451.53,6507.73,6451.53,6497.39,95010440.0
DSEX,2022-05-05,6655.67,6658.76,6616.74,6643.17,46870660.0
DSEX,2022-05-04,6718.91,6718.91,6684.42,6694.3,57583120.0
DSEX,2022-05-01,6892.99,6947.42,6892.99,6929.93,141416430.0
